party_id,nepa_number,eplanning_project_id,event_class,channel,is_lobbying,party_name_as_published,party_role,party_organization_type,resolved_native_entity_id,resolved_native_entity_name,resolution_method,administrative_record_position,administrative_record_position_quote,lobbying_position,lobbying_position_basis,supporting_quote,source_url,fetched_date,confidence_tier,built_date,built_by_script,cedar_uid
NEPAP-DOI-BLM-UT-C040-2018-0027-CX-TRBF-KAIBAB-00,DOI-BLM-UT-C040-2018-0027-CX,06b4dba1-a7f2-f011-8406-001dd802fdea,GOVERNMENT_ENGAGEMENT,CONSULTATION,0,Kaibab Band,TRIBE_NAMED_IN_PROJECT_RECORD,TRIBAL_GOVERNMENT_OR_ORGANIZATION,TRBF-KAIBAB-00,Kaibab,government_class_core,NOT_STATED_IN_RECORD,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,"Office-BLM by the Kane County Sherriff’s Office. BLM Archaeologists assessed the remains and determined that they were Native American. They observed one intact adult individual. Tribal Consultation was initiated, pursuant to 43 CFR 10.3 (b)(2) and 43 CFR 10.5(b)(2-3) with the Hopi Tribe, the Kaibab Band of Paiut",https://eplanning.blm.gov/project-home?id=06b4dba1-a7f2-f011-8406-001dd802fdea,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py,CE-0015J-9V
NEPAP-DOI-BLM-NM-F010-2024-0060-EA-TRBF-NAVAJO-00,DOI-BLM-NM-F010-2024-0060-EA,0de5e4e6-a7f2-f011-8407-001dd80db62a,GOVERNMENT_ENGAGEMENT,,0,Navajo Nation,TRIBE_NAMED_IN_PROJECT_RECORD,TRIBAL_GOVERNMENT_OR_ORGANIZATION,TRBF-NAVAJO-00,Navajo,government_class_core,NOT_STATED_IN_RECORD,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,"d. These three existing pads each have existing road and pipeline infrastructure. The existing well pads include Navajo Tribal U11A, Navajo Tribal U16-A2-D, and Navajo Tribal U24A. See plats and shapefiles for visuals. No expansion or additional disturbance is proposed. All features associated with the pr",https://eplanning.blm.gov/project-home?id=0de5e4e6-a7f2-f011-8407-001dd80db62a,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py,CE-0017F-1G
NEPAP-DOI-BLM-AZ-C010-2018-0020-CX-TRBF-HUALAP-00,DOI-BLM-AZ-C010-2018-0020-CX,2cfdaa9e-a7f2-f011-8407-001dd80db62a,GOVERNMENT_ENGAGEMENT,,0,Hualapai Indian Tribe,TRIBE_NAMED_IN_PROJECT_RECORD,TRIBAL_GOVERNMENT_OR_ORGANIZATION,TRBF-HUALAP-00,Hualapai,government_class_core,NOT_STATED_IN_RECORD,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,Renewal of right-of-way for airstrip held by the Hualapai Nation.,https://eplanning.blm.gov/project-home?id=2cfdaa9e-a7f2-f011-8407-001dd80db62a,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py,CE-00155-VP
NEPAP-DOI-BLM-ID-C020-2024-0007-CX-TRBF-NEZPRC-00,DOI-BLM-ID-C020-2024-0007-CX,42c0b9dd-a7f2-f011-8406-001dd802fdea,GOVERNMENT_ENGAGEMENT,,0,Nez Perce Tribe,TRIBE_NAMED_IN_PROJECT_RECORD,TRIBAL_GOVERNMENT_OR_ORGANIZATION,TRBF-NEZPRC-00,Nez Perce,fr_official_name,NOT_STATED_IN_RECORD,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,"The archeological site is located on the Nez Perce Tribe significant named place called ‘iwè’weh’he located along the Lower Salmon River across from Rice Creek, Idaho County, Idaho. The archeological site has been impacted by past road",https://eplanning.blm.gov/project-home?id=42c0b9dd-a7f2-f011-8406-001dd802fdea,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py,CE-0017H-D2
NEPAP-DOI-BLM-NV-C010-2024-0021-CX-TRBF-WLKRRV-00,DOI-BLM-NV-C010-2024-0021-CX,5156b2e3-a7f2-f011-8406-001dd802fdea,GOVERNMENT_ENGAGEMENT,,0,Walker River Paiute Tribe,TRIBE_NAMED_IN_PROJECT_RECORD,TRIBAL_GOVERNMENT_OR_ORGANIZATION,TRBF-WLKRRV-00,Walker River,name_head,NOT_STATED_IN_RECORD,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,"tored to the public domain, as well as an application for transfer of public land acres into trust for the Walker River Paiute Tribe (WRPT). The Proposed Action would be simultaneous revocation, restoration, and transfer by the Secretary of the Interior or other appropriate Secretarial Officer of the following",https://eplanning.blm.gov/project-home?id=5156b2e3-a7f2-f011-8406-001dd802fdea,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py,CE-001C6-4Z
NEPAP-DOI-BLM-ORWA-W020-2016-0013-CX-TRBF-YAKAMA-00,DOI-BLM-ORWA-W020-2016-0013-CX,640f1b91-a7f2-f011-8406-001dd80ef717,GOVERNMENT_ENGAGEMENT,,0,Yakama Nation,TRIBE_NAMED_IN_PROJECT_RECORD,TRIBAL_GOVERNMENT_OR_ORGANIZATION,TRBF-YAKAMA-00,Confederated Yakama,government_class_core,NOT_STATED_IN_RECORD,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,"BLM is proposing to renew an existing authorization for the Yakama Nation to operate and maintain an existing gaging station, cableway, and access road (WAOR-51974). The maintenance and operation requires a right-of-way total 0.630 acres. The term of",https://eplanning.blm.gov/project-home?id=640f1b91-a7f2-f011-8406-001dd80ef717,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py,CE-001CC-8N
NEPAP-DOI-BLM-ID-C020-2025-0005-EA-TRBF-NEZPRC-00,DOI-BLM-ID-C020-2025-0005-EA,8c13a6ef-a7f2-f011-8406-001dd802fdea,GOVERNMENT_ENGAGEMENT,,0,Nez Perce Tribe,TRIBE_NAMED_IN_PROJECT_RECORD,TRIBAL_GOVERNMENT_OR_ORGANIZATION,TRBF-NEZPRC-00,Nez Perce,fr_official_name,NOT_STATED_IN_RECORD,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,"The action being considered is the authorization, construction, and operation by the Nez Perce Tribe (NPT) of a fall Chinook salmon acclimation facility at Russell Bar.",https://eplanning.blm.gov/project-home?id=8c13a6ef-a7f2-f011-8406-001dd802fdea,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py,CE-0017H-D2
NEPAP-DOI-BLM-CA-N050-2025-0001-CX-TRBF-SUSANV-00,DOI-BLM-CA-N050-2025-0001-CX,af474be5-a7f2-f011-8406-001dd80ef717,GOVERNMENT_ENGAGEMENT,,0,Susanville Indian Rancheria,TRIBE_NAMED_IN_PROJECT_RECORD,TRIBAL_GOVERNMENT_OR_ORGANIZATION,TRBF-SUSANV-00,Susanville,government_class_core,NOT_STATED_IN_RECORD,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,"Members from the Susanville Indian Rancheria (SIR), Pyramid Lake Paiute Tribe (PLPT), and archeologists at the Bureau of Land Management Eagle Lake Field Office (BLM; ELFO) have coordinated to install a protective exclosure",https://eplanning.blm.gov/project-home?id=af474be5-a7f2-f011-8406-001dd80ef717,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py,CE-001B1-1J
NEPAP-DOI-BLM-UT-Y020-2024-0022-CX-TRBF-UTEMTN-00,DOI-BLM-UT-Y020-2024-0022-CX,bd3d7de2-a7f2-f011-8407-001dd80bcf93,GOVERNMENT_ENGAGEMENT,,0,Ute Mountain Ute Tribe,TRIBE_NAMED_IN_PROJECT_RECORD,TRIBAL_GOVERNMENT_OR_ORGANIZATION,TRBF-UTEMTN-00,Ute Mountain,fr_official_name,NOT_STATED_IN_RECORD,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,Ute Mountain Ute Tribe Right-of-Way UTUT 106351517 for Water Monitoring Well RARE-5,https://eplanning.blm.gov/project-home?id=bd3d7de2-a7f2-f011-8407-001dd80bcf93,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py,CE-001BZ-N0
NEPAP-DOI-BLM-UT-Y020-2024-0024-CX-TRBF-UTEMTN-00,DOI-BLM-UT-Y020-2024-0024-CX,c33d7de2-a7f2-f011-8407-001dd80bcf93,GOVERNMENT_ENGAGEMENT,,0,Ute Mountain Ute Tribe,TRIBE_NAMED_IN_PROJECT_RECORD,TRIBAL_GOVERNMENT_OR_ORGANIZATION,TRBF-UTEMTN-00,Ute Mountain,fr_official_name,NOT_STATED_IN_RECORD,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,Ute Mountain Ute Tribe Right-of-Way UTUT 106351506 for Water Monitoring Well RARE-7,https://eplanning.blm.gov/project-home?id=c33d7de2-a7f2-f011-8407-001dd80bcf93,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py,CE-001BZ-N0
