nepa_number,eplanning_project_id,project_name,agency,lead_office,nepa_document_type,nepa_status,program,sub_program,applicant_or_developer_as_published,city,state_or_territory,counties,latitude,longitude,tribal_relevance_basis,tribal_relevance_quote,tribal_consultation_referenced,tribes_named_in_record,tribe_ids_named_in_record,project_description_verbatim,absence_note,source_url,fetched_date,confidence_tier,built_date
DOI-BLM-NV-W010-2021-0008-EA,017686c4-a7f2-f011-8407-001dd80bcf93,Pueblo Fire House R&amp;PP,Bureau of Land Management,Humboldt River Field Office,EA,Completed - Completed,Lands and Realty,Land Transfer,"Humboldt County, Nevada",Denio,Nevada,Humboldt County,,,tribal_term_in_project_name;tribal_term_in_published_project_description,"The Proposed Action would convey, via patent, 5 acres of public land, within the Pueblo Fire Protection District to Humboldt County, Nevada to construct and operate a facility to house fire suppression and road maintenance equipment. The BLM would dispose of its rev",0,,,"The Proposed Action would convey, via patent, 5 acres of public land, within the Pueblo Fire Protection District to Humboldt County, Nevada to construct and operate a facility to house fire suppression and road maintenance equipment.  The BLM would dispose of its reversionary interest on the parcel as part of the conveyance.  Humboldt County proposes to construct a fire station within 5 years of the land being conveyed.","A blank tribal field is a property of the PUBLISHED SUMMARY, not of the project. Consultation may have occurred and sit in the agency file.",https://eplanning.blm.gov/project-home?id=017686c4-a7f2-f011-8407-001dd80bcf93,2026-08-12,A,2026-08-12
DOI-BLM-UT-G010-2025-0075-EA,04963ef1-a7f2-f011-8406-001dd80ef717,Uinta Wax Existing Jenks Pad RD Tribal well 9N-32E-H3UB with Indian Trust Minerals,Bureau of Land Management,Vernal Field Office,EA,Completed - Completed,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Oil & Gas,"Uinta Wax Operating, LLC",Fort Duchesne,Utah,Uintah County,,,tribal_term_in_project_name;tribal_term_in_published_project_description,"Uinta Wax is proposing to drill a new oil & gas well from the existing Jenks Pad, the RD Tribal 9N-32E-H3UB with Indian Trust Minerals located in the SWSE Section 11, T3S R2E, U.S.M. approximately sixteen miles southeast of Roosevelt, Uintah County, Utah.",0,,,"Uinta Wax is proposing to drill a new oil & gas well from the existing Jenks Pad, the RD Tribal 9N-32E-H3UB with Indian Trust Minerals located in the SWSE Section 11, T3S R2E, U.S.M. approximately sixteen miles southeast of Roosevelt, Uintah County, Utah.","A blank tribal field is a property of the PUBLISHED SUMMARY, not of the project. Consultation may have occurred and sit in the agency file.",https://eplanning.blm.gov/project-home?id=04963ef1-a7f2-f011-8406-001dd80ef717,2026-08-12,A,2026-08-12
DOI-BLM-NM-F010-2024-0060-EA,0de5e4e6-a7f2-f011-8407-001dd80db62a,"Navajo Tribal N-11A, U-24A, U16-A2-D Helium Wells",Bureau of Land Management,Farmington Field Office,EA,Completed - Completed,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Oil & Gas,"Tacitus, LLC",Shiprock,New Mexico,San Juan County,,,tribal_term_in_project_name;tribal_term_in_published_project_description,"d. These three existing pads each have existing road and pipeline infrastructure. The existing well pads include Navajo Tribal U11A, Navajo Tribal U16-A2-D, and Navajo Tribal U24A. See plats and shapefiles for visuals. No expansion or additional disturbance is proposed. All features associated with the pr",0,"Navajo Nation, Arizona, New Mexico, & Utah",CE-0017F-1G,"NTEC is proposing to reoccupy three existing well pads to drill at least one helium well on each existing pad. These three existing pads each have existing road and pipeline infrastructure. The existing well pads include Navajo Tribal U11A, Navajo Tribal U16-A2-D, and Navajo Tribal U24A. See plats and shapefiles for visuals. No expansion or additional disturbance is proposed. All features associated with the proposed helium development project were visited on April 17th, 2024 during an onsite with NTEC, BLM, BIA, and the Navajo Nation.","A blank tribal field is a property of the PUBLISHED SUMMARY, not of the project. Consultation may have occurred and sit in the agency file.",https://eplanning.blm.gov/project-home?id=0de5e4e6-a7f2-f011-8407-001dd80db62a,2026-08-12,A,2026-08-12
DOI-BLM-NV-C010-2024-0011-CX,1e48dfe4-a7f2-f011-8407-001dd80bcf22,Revocation of Withdrawal/Restoration to Public Domain/Transfer into Trust for Walker River Paiute Tribe,Bureau of Land Management,Stillwater Field Office,CE,Cancelled - Cancelled,Lands and Realty,Withdrawals,Bureau of Reclamation Notice of Intent to Relinquish/Bureau of Indian Affairs Application on behalf of Walker River Paiute Tribe,Hawthorne,Nevada,Mineral County,,,tribal_term_in_project_name;tribal_term_in_published_project_description,"tored to the public domain, as well as an application for transfer of public land acres into trust for the Walker River Paiute Tribe (WRPT). The Proposed Action would be simultaneous revocation, restoration, and transfer by the Secretary of the Interior or other appropriate Secretarial Officer of the following",0,"Walker River Paiute Tribe of the Walker River Reservation, Nevada",CE-001C6-4Z,"The Bureau of Land Management (BLM) is processing a Bureau of Reclamation (BOR) Notice of Intent to Relinquish 109.6 acres withdrawn for its use so the land can be restored to the public domain, as well as an application for transfer of public land acres into trust for the Walker River Paiute Tribe (WRPT). The Proposed Action would be simultaneous revocation, restoration, and transfer by the Secretary of the Interior or other appropriate Secretarial Officer of the following lands, as requested: BOR lands for relinquishment, restoration to the public domain and transfer to the Walker River Paiute Tribe under the Act of June 22, 1936, 49 Stat. 1806 (1936 Act)","A blank tribal field is a property of the PUBLISHED SUMMARY, not of the project. Consultation may have occurred and sit in the agency file.",https://eplanning.blm.gov/project-home?id=1e48dfe4-a7f2-f011-8407-001dd80bcf22,2026-08-12,A,2026-08-12
DOI-BLM-UT-C040-2017-0001-CX,4c119c99-a7f2-f011-8407-001dd80c29f3,Kanab Field Office NAGPRA Reburial,Bureau of Land Management,Kanab Field Office,CE,Completed - Completed,Cultural-Historical-Native American Resources,,BLM,Kanab,Utah,Application Information,,,register_program_cultural_historical_native_american;tribal_term_in_project_name;tribal_term_in_published_project_description,"The BLM, in consultation with the Hopi Tribe, are in the process of repatriating Native American Graves Protection Repatriation Act (NAGPRA) human remains and cultural items removed from BLM lands. There is a relationship of",0,Hopi Tribe of Arizona,CE-00153-F4,"The BLM, in consultation with the Hopi Tribe, are in the process of repatriating Native American Graves Protection Repatriation Act (NAGPRA) human remains and cultural items removed from BLM lands. There is a relationship of shared group identity that can be reasonably traced between the present day Hopi Tribe and an identifiable earlier group, represented by the ancestral remains. The remains and cultural items were removed during various permitted archaeological excavations in Washington and Kane Counties in the 1960’s, 1970’s and 1980’s from known archaeological sites on public land. As part of the repatriation, a request from the Hopi Tribe has been made to rebury the NAGPRA remains and cultural items on public land in one location in Kane County, Utah. This reburial location is an area that is unlikely to be disturbed and is monitored by recreation staff frequently. Reburial of American Indian and Alaska Native human remains and cultural items are closely tied to repatriations of those remains and objects by the BLM under the terms of NAGPRA. Rebural of NAGPRA items on public lands may be authorized on a case-by-case basis. Respect regarding the reburial is expected to be sens","A blank tribal field is a property of the PUBLISHED SUMMARY, not of the project. Consultation may have occurred and sit in the agency file.",https://eplanning.blm.gov/project-home?id=4c119c99-a7f2-f011-8407-001dd80c29f3,2026-08-12,A,2026-08-12
DOI-BLM-ORWA-W020-2016-0013-CX,640f1b91-a7f2-f011-8406-001dd80ef717,"Yakama Nation Gaging Station, Cableway, and Access Road Renewal  ",Bureau of Land Management,Wenatchee Field Office,CE,Completed - Completed,None,,Yakama Nation,Ellensburg,Washington,Application Information,,,tribal_term_in_project_name;tribal_term_in_published_project_description,"BLM is proposing to renew an existing authorization for the Yakama Nation to operate and maintain an existing gaging station, cableway, and access road (WAOR-51974). The maintenance and operation requires a right-of-way total 0.630 acres. The term of",0,Confederated Tribes and Bands of the Yakama Nation,CE-001CC-8N,"BLM is proposing to renew an existing authorization for the Yakama Nation to operate and maintain an existing gaging station, cableway, and access road (WAOR-51974).  The maintenance and operation requires a right-of-way total 0.630 acres.  The term of the grant would be 30 years.  The right-of-way would include standard terms and conditions.","A blank tribal field is a property of the PUBLISHED SUMMARY, not of the project. Consultation may have occurred and sit in the agency file.",https://eplanning.blm.gov/project-home?id=640f1b91-a7f2-f011-8406-001dd80ef717,2026-08-12,A,2026-08-12
DOI-BLM-UT-G010-2026-0089-EA,90c3c67b-4d37-f111-88b3-001dd804183b,Uinta Wax Proposes the Moonshadow East Pad Oil Wells with Indian Trust Minerals,Bureau of Land Management,Vernal Field Office,EA,Completed - Completed,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Oil & Gas,,Roosevelt,Utah,Uintah,40.2904,-109.9073,tribal_term_in_project_name;tribal_term_in_published_project_description,"Township 2 South, Range 1 East, U.S.B.&M. The surface is entirely privately owned, but the proposed wells would target Indian Trust minerals administered by the BLM.",0,,,"This Environmental Assessment has been prepared by the Bureau of Land Management (BLM) to disclose and analyze the potential environmental effects of drilling up to six oil wells from a well pad (the Moonshadow East) on private surface as proposed by the applicant, Uinta Wax Operating LLC. The applicant submitted six Applications for Permit to Drill to the BLM. The project location is in Uintah County, Utah, approximately 4.3 linear miles southeast of Roosevelt, Utah in Section 20, Township 2 South, Range 1 East, U.S.B.&M. The surface is entirely privately owned, but the proposed wells would target Indian Trust minerals administered by the BLM.","A blank tribal field is a property of the PUBLISHED SUMMARY, not of the project. Consultation may have occurred and sit in the agency file.",https://eplanning.blm.gov/project-home?id=90c3c67b-4d37-f111-88b3-001dd804183b,2026-08-12,A,2026-08-12
DOI-BLM-UT-Y020-2024-0021-CX,b63d7de2-a7f2-f011-8407-001dd80bcf93,Ute Mountain Ute Tribe Right-of-Way UTUT 106351504 for Water Monitoring Well RARE-4,Bureau of Land Management,Monticello Field Office,CE,Completed - Completed,Lands and Realty,Rights-of-Way,,Blanding,Utah,San Juan County,,,tribal_term_in_project_name,Ute Mountain Ute Tribe Right-of-Way UTUT 106351504 for Water Monitoring Well RARE-4,0,Ute Mountain Ute Tribe,CE-001BZ-N0,"Salt Lake Meridian, San Juan County, Utah T. 37 S., R. 22 E., Section 34, NW1/4SW1/4","A blank tribal field is a property of the PUBLISHED SUMMARY, not of the project. Consultation may have occurred and sit in the agency file.",https://eplanning.blm.gov/project-home?id=b63d7de2-a7f2-f011-8407-001dd80bcf93,2026-08-12,A,2026-08-12
DOI-BLM-UT-Y020-2024-0023-CX,c23d7de2-a7f2-f011-8407-001dd80bcf93,Ute Mountain Ute Tribe Right-of-Way UTUT 106351528 for Water Monitoring Well RARE-6,Bureau of Land Management,Monticello Field Office,CE,Completed - Completed,Lands and Realty,Rights-of-Way,,Blanding,Utah,San Juan County,,,tribal_term_in_project_name,Ute Mountain Ute Tribe Right-of-Way UTUT 106351528 for Water Monitoring Well RARE-6,0,Ute Mountain Ute Tribe,CE-001BZ-N0,"Salt Lake Meridian, San Juan County, Utah T. 38 S., R. 22 E., Section 10, SW1/4NW1/4","A blank tribal field is a property of the PUBLISHED SUMMARY, not of the project. Consultation may have occurred and sit in the agency file.",https://eplanning.blm.gov/project-home?id=c23d7de2-a7f2-f011-8407-001dd80bcf93,2026-08-12,A,2026-08-12
DOI-BLM-NV-E020-2015-0026-CX,cb4b4e9d-a7f2-f011-8407-001dd803dca7,Te-Moak Tribal Land Expansion NVN-093889,Bureau of Land Management,Tuscarora Field Office,CE,Completed - Completed,Lands and Realty,Land Transfer,Bureau of Indian Affairs,Elko,Nevada,Application Information,,,tribal_term_in_project_name;tribal_term_in_published_project_description,District at (775) 753-0200. The National Defense Authorization Act of 2015 designated land to be held in trust for the Te-Moak Tribe of the Western Shoshone Indians of Nevada (Elko Band). The land is approximately 373 acres administered by the Tuscarora Field Office. The land shall be used for traditional and c,0,Te-Moak Tribe of Western Shoshone Indians of Nevada (Four constituent bands: Battle Mountain Band; Elko Band; South Fork Band; and Wells Band),CE-001B8-B1,"A Decision for this action has been issued. If you are interested in this project or any of the associated documents, please contact the Elko District at (775) 753-0200. The National Defense Authorization Act of 2015 designated land to be held in trust for the Te-Moak Tribe of the Western Shoshone Indians of Nevada (Elko Band). The land is approximately 373 acres administered by the Tuscarora Field Office. The land shall be used for traditional and customary uses; stewardship conservation for the benefit of the tribe; and residential or recreational development. This land is not to be utilized for class II or class III gaming. Thinning and landscape restoration may be completed within this area for fuels reduction in coordination with the Bureau of Land Management and the Tribe.","A blank tribal field is a property of the PUBLISHED SUMMARY, not of the project. Consultation may have occurred and sit in the agency file.",https://eplanning.blm.gov/project-home?id=cb4b4e9d-a7f2-f011-8407-001dd803dca7,2026-08-12,A,2026-08-12
