party_id,document_number,event_class,channel,agency,sub_agency,undertaking_title,notice_date,party_name_as_published,party_role,party_role_basis,party_role_quote,project_reference,resolved_native_entity_id,resolved_native_entity_name,resolution_method,is_lobbying,federal_register_citation,source_url,fetched_date,tier,confidence,built_date,cedar_uid
S106P-FR-dac2c7999362546f,02-16252,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,Energy Department,Federal Energy Regulatory Commission,Alabama Power Company; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places,2002-06-27,Alabama Power Company,LICENSEE,name_then_as_role_for_named_project,"Alabama Power Company, as licensee for Project Nos. 2146, 82, and 618, and the Mississippi Band of Choctaw Indians, Jena Band of Choctaw Indians, Chickasaw Nation, Poarch Band of Creek Indians, and the U.S. Bureau of Indian Affairs have expressed an interest in this preceding and are invited to participate in consultations to develop the programmatic agreement.","Project No. 2146, 82",,,,0,67 FR 43307,https://www.federalregister.gov/documents/2002/06/27/02-16252/alabama-power-company-notice-of-proposed-restricted-service-list-for-a-programmatic-agreement-for,2026-09-01,A,high,2026-09-01,
S106P-FR-3d1e66c0e271e05b,02-27455,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,Energy Department,Federal Energy Regulatory Commission,Alabama Power Company; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places,2002-10-29,Alabama Power Company,LICENSEE,name_then_as_role_for_named_project,"Alabama Power Company, as licensee for Project Nos. 2146, 82, and 618, and the Mississippi Band of Choctaw Indians, Jena Band of Choctaw Indians, Chickasaw Nation, Poarch Band of Creek Indians, and the U.S. Bureau of Indian Affairs have expressed an interest in this preceding and are invited to participate in consultations to develop the programmatic agreement.","Project No. 2146, 82",,,,0,67 FR 65971,https://www.federalregister.gov/documents/2002/10/29/02-27455/alabama-power-company-notice-of-proposed-restricted-service-list-for-a-programmatic-agreement-for,2026-09-01,A,high,2026-09-01,
S106P-FR-36de1b3342f5acaa,2010-15694,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,Energy Department,Federal Energy Regulatory Commission,Marseilles Land and Water Company; Marseilles Lock and Dam Project; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places,2010-06-29,Marseilles Land and Water Company,APPLICANT,name_then_as_role_for_named_project,"Marseilles Land and Water Company, as applicant for the Marseilles Lock and Dam Project, is invited to participate in the consultation to develop the programmatic agreement.",,,,,0,75 FR 37432,https://www.federalregister.gov/documents/2010/06/29/2010-15694/marseilles-land-and-water-company-marseilles-lock-and-dam-project-notice-of-proposed-restricted,2026-09-01,A,high,2026-09-01,
S106P-FR-d0e7b9138c299d43,2011-10839,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,Energy Department,Federal Energy Regulatory Commission,"Georgia Power Company; Project No. 485-063-Georgia and Alabama, Bartletts Ferry Hydroelectric Project; Notice of Proposed Restricted Service List for a Programmatic Agreement",2011-05-04,Georgia Power Company,LICENSEE,name_then_as_role_for_named_project,"Georgia Power Company, as licensee for Project No. 485-063, is invited to participate in consultations to develop the Programmatic Agreement and to sign as a concurring party to the Programmatic Agreement.",Project No. 485-063,,,,0,76 FR 25330,https://www.federalregister.gov/documents/2011/05/04/2011-10839/georgia-power-company-project-no-485-063-georgia-and-alabama-bartletts-ferry-hydroelectric-project,2026-09-01,A,high,2026-09-01,
S106P-FR-349c1fcc30fe030e,2012-1077,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,Energy Department,Federal Energy Regulatory Commission,Yuba County Water Agency; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places,2012-01-20,Yuba County Water Agency,LICENSEE,name_then_as_role_for_named_project,"Yuba County Water Agency, as licensee for the Yuba River Project No. 2246, and the United Indian Auburn Indian Community, Nevada City Rancheria, Strawberry Valley Rancheria, Enterprise Rancheria, Mooretown Rancheria, Greenville Rancheria, Washoe Tribe, Mechoopda Maidu Indians, Tsi-Akim Maidu Tribe, Tahoe and Plumas National Forest have expressed an interest in this preceding and are invited to participate in consultations to develop the programmatic agreement.",Project No. 2246,,,,0,77 FR 2974,https://www.federalregister.gov/documents/2012/01/20/2012-1077/yuba-county-water-agency-notice-of-proposed-restricted-service-list-for-a-programmatic-agreement-for,2026-09-01,A,high,2026-09-01,
S106P-FR-fb056deca2c9117f,2013-21199,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,Energy Department,Federal Energy Regulatory Commission,Loup River Public Power District; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places,2013-08-30,Loup River Public Power District,APPLICANT,name_then_as_role_for_named_project,"Loup River Public Power District, as applicant for the Loup River Hydroelectric Project, the Omaha Tribe of Nebraska, the Pawnee Nation of Oklahoma, and the Santee Sioux Tribe of Nebraska have expressed an interest in this proceeding and are invited to participate in consultations to develop the Programmatic Agreement.",,,,,0,78 FR 53754,https://www.federalregister.gov/documents/2013/08/30/2013-21199/loup-river-public-power-district-notice-of-proposed-restricted-service-list-for-a-programmatic,2026-09-01,A,high,2026-09-01,
S106P-FR-02677ca250159af2,2014-30517,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,Interior Department,Land Management Bureau,"Notice of Intent To Prepare an Environmental Impact Statement for the Proposed Hycroft Mine Expansion Phase II, Humboldt and Pershing Counties, NV",2014-12-30,"Hycroft Resources and Development, Inc",APPLICANT,role_noun_then_corporate_name,"SUPPLEMENTARY INFORMATION: The applicant, Hycroft Resources and Development, Inc, (HRDI) has proposed an expansion of their operations at the existing Hycroft Mine, which is located approximately 55 miles west of Winnemucca, Nevada, in Humboldt and Pershing Counties.",,,,,0,79 FR 78469,https://www.federalregister.gov/documents/2014/12/30/2014-30517/notice-of-intent-to-prepare-an-environmental-impact-statement-for-the-proposed-hycroft-mine,2026-09-01,A,high,2026-09-01,
S106P-FR-b43e2a0ce75d2453,2016-06069,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,Interior Department,Fish and Wildlife Service,"Endangered and Threatened Wildlife and Plants; Designation and Nondesignation of Critical Habitat on Molokai, Lanai, Maui, and Kahoolawe for 135 Species",2016-03-30,"Honuaula Partners, LLC",DEVELOPER,role_noun_then_corporate_name,"The Honuaula project, a master planned community with residential, commercial, and recreational uses, has been in development for many years, and the developer, Honuaula Partners, LLC, has been working with the Service to develop an HCP as part of its application for an incidental take permit.",,,,,0,81 FR 17790,https://www.federalregister.gov/documents/2016/03/30/2016-06069/endangered-and-threatened-wildlife-and-plants-designation-and-nondesignation-of-critical-habitat-on,2026-09-01,A,high,2026-09-01,
S106P-FR-1f7434d94fbc1d75,E6-17462,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,Energy Department,Federal Energy Regulatory Commission,Northern Indiana Public Service Company; Norway-Oakdale Project; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places,2006-10-19,Northern Indiana Public Service Company,LICENSEE,name_then_as_role_for_named_project,"Northern Indiana Public Service Company, as licensee for Project No. 12514, the Pokagon Band of Potawatomi Indians of Indiana and Michigan, and the Miami Tribe of Oklahoma are invited to participate in consultations to develop the programmatic agreement.",Project No. 12514,,,,0,71 FR 61752,https://www.federalregister.gov/documents/2006/10/19/E6-17462/northern-indiana-public-service-company-norway-oakdale-project-notice-of-proposed-restricted-service,2026-09-01,A,high,2026-09-01,
S106P-FR-1960beff0b186035,E7-24664,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,Energy Department,Federal Energy Regulatory Commission,South Carolina Public Service Authority; Santee Cooper Hydroelectric Project; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places,2007-12-20,South Carolina Public Service Authority,LICENSEE,name_then_as_role_for_named_project,"South Carolina Public Service Authority, as licensee for Project No. 199, is invited to participate in consultations to develop the Programmatic Agreement and to sign as a concurring party to the Programmatic Agreement.",Project No. 199,,,,0,72 FR 72353,https://www.federalregister.gov/documents/2007/12/20/E7-24664/south-carolina-public-service-authority-santee-cooper-hydroelectric-project-notice-of-proposed,2026-09-01,A,high,2026-09-01,
