assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,action_date,fiscal_year,fy_partial_flag,obligated_usd,assistance_type,assistance_type_description,cfda,cfda_title,awarding_agency_name,awarding_sub_agency_name,recipient_uei,recipient_duns,recipient_name,recipient_city_name,recipient_state_code,canonical_name,attribution_method,attribution_source_line,attribution_rule,exclusion_reason,exclusion_source_line,exclusion_rule,ak_flag,excluded_flag,attributed_flag,confidence_tier,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,credit_instrument_flag,business_types_code,business_types_description,obligated_usd_real2025,deflator_factor_2025,inflation_base_year,population_basis,state_agreement,source_archive_stamp,fetched_date,attribution_status,attribution_basis,source_vintage,source_vintage_basis,business_types_description_normalized,business_types_description_normalized_basis,cedar_uid,geo_recipient_county_fips,geo_recipient_county_name,geo_recipient_state_fips,geo_recipient_place_dominance_share,geo_recipient_place_ambiguous,geo_pop_county_fips,geo_pop_county_name,geo_pop_state_fips,geo_pop_place_dominance_share,geo_pop_place_ambiguous,geo_key_tier,geo_key_basis,geo_built_date
8635_B07SR531832_-NONE-_14.862_-NONE-,ASST_NON_B07SR531832_086,B07SR531832,2007-12-05,2008,0,500000.00,-1,NOT SPECIFIED,14.862,INDIAN COMMUNITY DEVELOPMENT BLOCK GRANT PROGRAM,Department of Housing and Urban Development,Assistant Secretary for Public and Indian Housing,SDP7D3BDGAH7,071846547,YAKAMA NATION,TOPPENISH,WA,Confederated Tribes and Bands of the Yakama Nation,uei_exact_archive,,,,,,,0,1,B,0.00,0.00,0.00,0.00,0,I,INDIAN/NATIVE AMERICANTRIBAL GOVERNMENT (FEDERALLY RECOGNIZED),732727.0,1.465454,2025,both,agree,20260806,2026-08-12,cedar_neid,"tribe_id is present in data/spine/cedar_entity_spine.csv (membership, not shape); tribe_id_scheme was left blank by 24_funding_merge.py",usaspending_award_archive_20260806,source_archive_stamp,INDIAN/NATIVE AMERICAN TRIBAL GOVERNMENT (FEDERALLY-RECOGNIZED),"one token re-rendered to the majority form; variant differs by one missing space and one absent hyphen (7,160 rows vs 118,465). Source vocabulary, not ours.",CE-001CC-8N,53077,YAKIMA,53,,,53077,YAKIMA,53,,,exact_award_summary,usaspending_prime_award_summary_on_assistance_award_unique_key,2026-09-02
8635_B07SR020019_-NONE-_14.862_-NONE-,ASST_NON_B07SR020019_086,B07SR020019,2008-01-14,2008,0,600000.00,-1,NOT SPECIFIED,14.862,INDIAN COMMUNITY DEVELOPMENT BLOCK GRANT PROGRAM,Department of Housing and Urban Development,Assistant Secretary for Public and Indian Housing,F1NDZEJ91QF9,930123505,CURYUNG TRIBAL COUNCIL,DILLINGHAM,AK,Curyung Tribal Council,uei_exact_archive,,,,,,,0,1,B,0.00,0.00,0.00,0.00,0,I,INDIAN/NATIVE AMERICANTRIBAL GOVERNMENT (FEDERALLY RECOGNIZED),879272.4,1.465454,2025,both,agree,20260806,2026-08-12,cedar_neid,"tribe_id is present in data/spine/cedar_entity_spine.csv (membership, not shape); tribe_id_scheme was left blank by 24_funding_merge.py",usaspending_award_archive_20260806,source_archive_stamp,INDIAN/NATIVE AMERICAN TRIBAL GOVERNMENT (FEDERALLY-RECOGNIZED),"one token re-rendered to the majority form; variant differs by one missing space and one absent hyphen (7,160 rows vs 118,465). Source vocabulary, not ours.",CE-0001H-BS,02070,DILLINGHAM (CA),02,,,02070,DILLINGHAM (CA),02,,,exact_award_summary,usaspending_prime_award_summary_on_assistance_award_unique_key,2026-09-02
8635_B04SR040502_-NONE-_14.862_2010-09-08101500025284,ASST_NON_B04SR040502_086,B04SR040502,2010-09-08,2010,0,-0.90,04,PROJECT GRANT (B),14.862,INDIAN COMMUNITY DEVELOPMENT BLOCK GRANT PROGRAM,Department of Housing and Urban Development,Assistant Secretary for Public and Indian Housing,S8UKXJ8B7A83,063293153,WHITE MOUNTAIN APACHE TRIBE,WHITERIVER,AZ,"White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",uei_exact_archive,,,,,,,0,1,B,0.00,0.00,0.00,0.00,0,I,INDIAN/NATIVE AMERICAN TRIBAL GOVERNMENT (FEDERALLY-RECOGNIZED),-1.3,1.438984,2025,both,agree,20260806,2026-08-12,cedar_neid,"tribe_id is present in data/spine/cedar_entity_spine.csv (membership, not shape); tribe_id_scheme was left blank by 24_funding_merge.py",usaspending_award_archive_20260806,source_archive_stamp,INDIAN/NATIVE AMERICAN TRIBAL GOVERNMENT (FEDERALLY-RECOGNIZED),as recorded,CE-001C7-AR,04017,NAVAJO,04,,,04017,NAVAJO,04,,,exact_award_summary,usaspending_prime_award_summary_on_assistance_award_unique_key,2026-09-02
8635_10IH0202000_-NONE-_14.867_2010-09-03101500041916,ASST_NON_10IH0202000_086,10IH0202000,2010-09-03,2010,0,4815333.00,03,FORMULA GRANT (A),14.867,INDIAN HOUSING BLOCK GRANTS,Department of Housing and Urban Development,Assistant Secretary for Public and Indian Housing,WSPWNRKSH5N1,792340911,AVCP REGIONAL HOUSING AUTHORITY,BETHEL,AK,Arctic Slope Regional Corporation,uei_exact_archive,,,,,,,0,1,B,0.00,0.00,0.00,0.00,0,C,CITY OR TOWNSHIP GOVERNMENT,6929187.14,1.438984,2025,ledger_uei,agree,20260806,2026-08-12,cedar_neid,"tribe_id is present in data/spine/cedar_entity_spine.csv (membership, not shape); tribe_id_scheme was left blank by 24_funding_merge.py",usaspending_award_archive_20260806,source_archive_stamp,CITY OR TOWNSHIP GOVERNMENT,as recorded,CE-00078-KR,02050,BETHEL (CA),02,,,02050,BETHEL (CA),02,,,exact_award_summary,usaspending_prime_award_summary_on_assistance_award_unique_key,2026-09-02
8635_10IT4007240_-NONE-_14.867_2010-08-10101500033348,ASST_NON_10IT4007240_086,10IT4007240,2010-08-10,2010,0,16237676.00,03,FORMULA GRANT (A),14.867,INDIAN HOUSING BLOCK GRANTS,Department of Housing and Urban Development,Assistant Secretary for Public and Indian Housing,KDYABRXCN245,072406150,MUSCOGEE CREEK NATION,OKMULGEE,OK,The Muscogee (Creek) Nation,uei_exact_archive,,,,,,,0,1,B,0.00,0.00,0.00,0.00,0,C,CITY OR TOWNSHIP GOVERNMENT,23365755.96,1.438984,2025,ledger_uei,agree,20260806,2026-08-12,cedar_neid,"tribe_id is present in data/spine/cedar_entity_spine.csv (membership, not shape); tribe_id_scheme was left blank by 24_funding_merge.py",usaspending_award_archive_20260806,source_archive_stamp,CITY OR TOWNSHIP GOVERNMENT,as recorded,CE-0017B-9C,40111,OKMULGEE,40,,,40111,OKMULGEE,40,,,exact_award_summary,usaspending_prime_award_summary_on_assistance_award_unique_key,2026-09-02
8635_10IT0603560_-NONE-_14.867_2010-08-04101500037652,ASST_NON_10IT0603560_086,10IT0603560,2010-08-04,2010,0,1933596.00,03,FORMULA GRANT (A),14.867,INDIAN HOUSING BLOCK GRANTS,Department of Housing and Urban Development,Assistant Secretary for Public and Indian Housing,UUNDRN9KHE91,037718785,BISHOP INDIAN TRIBAL COUNCIL,BISHOP,CA,Bishop Paiute Tribe,uei_exact_archive,,,,,,,0,1,B,0.00,0.00,0.00,0.00,0,C,CITY OR TOWNSHIP GOVERNMENT,2782413.71,1.438984,2025,ledger_uei,agree,20260806,2026-08-12,cedar_neid,"tribe_id is present in data/spine/cedar_entity_spine.csv (membership, not shape); tribe_id_scheme was left blank by 24_funding_merge.py",usaspending_award_archive_20260806,source_archive_stamp,CITY OR TOWNSHIP GOVERNMENT,as recorded,CE-0012F-80,06027,INYO,06,,,06027,INYO,06,,,exact_award_summary,usaspending_prime_award_summary_on_assistance_award_unique_key,2026-09-02
8635_10IH0629120_-NONE-_14.867_2010-08-04101500038114,ASST_NON_10IH0629120_086,10IH0629120,2010-08-04,2010,0,2197778.00,03,FORMULA GRANT (A),14.867,INDIAN HOUSING BLOCK GRANTS,Department of Housing and Urban Development,Assistant Secretary for Public and Indian Housing,QQBMZ8LN7UN5,042233911,QUECHAN HOUSING AUTHORITY,WINTERHAVEN,CA,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",uei_exact_archive,,,,,,,0,1,B,0.00,0.00,0.00,0.00,0,C,CITY OR TOWNSHIP GOVERNMENT,3162567.38,1.438984,2025,ledger_uei,agree,20260806,2026-08-12,cedar_neid,"tribe_id is present in data/spine/cedar_entity_spine.csv (membership, not shape); tribe_id_scheme was left blank by 24_funding_merge.py",usaspending_award_archive_20260806,source_archive_stamp,CITY OR TOWNSHIP GOVERNMENT,as recorded,CE-00191-QJ,06025,IMPERIAL,06,,,06025,IMPERIAL,06,,,exact_award_summary,usaspending_prime_award_summary_on_assistance_award_unique_key,2026-09-02
8635_10IT3729450_-NONE-_14.867_2010-08-04101500037662,ASST_NON_10IT3729450_086,10IT3729450,2010-08-04,2010,0,350999.00,03,FORMULA GRANT (A),14.867,INDIAN HOUSING BLOCK GRANTS,Department of Housing and Urban Development,Assistant Secretary for Public and Indian Housing,RYG8HZ52A1Y7,782906861,"WACCAMAW SIOUAN INDIAN TRIBE, INC.",BOLTON,NC,Waccamaw Siouan Indians,uei_exact_archive,,,,,,,0,1,B,0.00,0.00,0.00,0.00,0,C,CITY OR TOWNSHIP GOVERNMENT,505081.95,1.438984,2025,ledger_uei,agree,20260806,2026-08-12,cedar_neid,"tribe_id is present in data/spine/cedar_entity_spine.csv (membership, not shape); tribe_id_scheme was left blank by 24_funding_merge.py",usaspending_award_archive_20260806,source_archive_stamp,CITY OR TOWNSHIP GOVERNMENT,as recorded,CE-001EM-2X,37047,COLUMBUS,37,,,37047,COLUMBUS,37,,,exact_award_summary,usaspending_prime_award_summary_on_assistance_award_unique_key,2026-09-02
8635_10IH2726660_-NONE-_14.867_2010-06-21101500036072,ASST_NON_10IH2726660_086,10IH2726660,2010-06-21,2010,0,-4163330.00,03,FORMULA GRANT (A),14.867,INDIAN HOUSING BLOCK GRANTS,Department of Housing and Urban Development,Assistant Secretary for Public and Indian Housing,GUVFE5UUGLW1,826542164,LEECH LAKE BAND OF OJIBWE HOUSING AUTHORITY,CASS LAKE,MN,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",uei_exact_archive,,,,,,,0,1,B,0.00,0.00,0.00,0.00,0,C,CITY OR TOWNSHIP GOVERNMENT,-5990965.26,1.438984,2025,ledger_uei,agree,20260806,2026-08-12,cedar_neid,"tribe_id is present in data/spine/cedar_entity_spine.csv (membership, not shape); tribe_id_scheme was left blank by 24_funding_merge.py",usaspending_award_archive_20260806,source_archive_stamp,CITY OR TOWNSHIP GOVERNMENT,as recorded,CE-00170-7S,27021,CASS,27,,,27021,CASS,27,,,exact_award_summary,usaspending_prime_award_summary_on_assistance_award_unique_key,2026-09-02
8635_10IH5534180_-NONE-_14.867_2010-05-04101500445824,ASST_NON_10IH5534180_086,10IH5534180,2010-05-04,2010,0,2796723.00,03,FORMULA GRANT (A),14.867,INDIAN HOUSING BLOCK GRANTS,Department of Housing and Urban Development,Assistant Secretary for Public and Indian Housing,VQBHYPJNGKV7,930717947,LAC COURTE OREILLES HOUSING AUTHORITY,HAYWARD,WI,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,uei_exact_archive,,,,,,,0,1,B,0.00,0.00,0.00,0.00,0,C,CITY OR TOWNSHIP GOVERNMENT,4024439.65,1.438984,2025,ledger_uei,agree,20260806,2026-08-12,cedar_neid,"tribe_id is present in data/spine/cedar_entity_spine.csv (membership, not shape); tribe_id_scheme was left blank by 24_funding_merge.py",usaspending_award_archive_20260806,source_archive_stamp,CITY OR TOWNSHIP GOVERNMENT,as recorded,CE-00163-MM,55113,SAWYER,55,,,55113,SAWYER,55,,,exact_award_summary,usaspending_prime_award_summary_on_assistance_award_unique_key,2026-09-02
