canonical_name,fiscal_year,fy_partial_flag,total_obligated_usd,obl_type_02_block_grant,obl_type_03_formula_grant,obl_type_04_project_grant,obl_type_05_cooperative_agreement,obl_type_06_direct_payment_specified_use,obl_type_10_direct_payment_unrestricted,obl_type_11_other_reimbursable_or_indirect,n_transactions,n_recipients,cedar_uid
absentee shawnee tribe of oklahoma,2008,0,5570769.0,1500426.0,2999027.0,605215.0,400000.0,66101.0,0.0,0.0,37,3,CE-00124-6D
absentee shawnee tribe of oklahoma,2012,0,22124319.0,1080033.0,252142.0,1006625.0,0.0,19785519.0,0.0,0.0,49,1,CE-00124-6D
absentee shawnee tribe of oklahoma,2016,0,34779850.0,4079004.0,398182.0,1152536.0,292650.0,28857478.0,0.0,0.0,70,1,CE-00124-6D
absentee shawnee tribe of oklahoma,2020,0,83902264.25,2813365.38,6838374.43,2428942.0,118203.0,71703379.44,0.0,0.0,124,1,CE-00124-6D
agua caliente band of cahuilla indians,2008,0,380312.0,0.0,0.0,240000.0,0.0,140312.0,0.0,0.0,4,2,CE-0011V-BW
agua caliente band of cahuilla indians,2012,0,422758.0,0.0,0.0,200419.0,222339.0,0.0,0.0,0.0,5,1,CE-0011V-BW
agua caliente band of cahuilla indians,2016,0,1199690.0,0.0,55880.0,0.0,168348.0,618881.0,356581.0,0.0,17,1,CE-0011V-BW
agua caliente band of cahuilla indians,2020,0,29510399.35,0.0,4450436.69,302000.0,0.0,24757962.66,0.0,0.0,25,1,CE-0011V-BW
ak-chin indian community,2008,0,1852821.0,238856.0,335207.0,507900.0,60000.0,168800.0,542058.0,0.0,22,3,CE-0011Y-X7
ak-chin indian community,2012,0,998914.0,0.0,77081.0,540982.0,0.0,380851.0,0.0,0.0,21,2,CE-0011Y-X7
