ros_entity_number,ros_entity_name,tribal_type,tribal_type_distinct_values,ros_entity_type,organization_name,billed_entity_number,ros_physical_address,ros_physical_city,ros_physical_state,ros_physical_zipcode,ros_physical_county,ros_urban_rural_status,ros_latitude,ros_longitude,ros_number_of_full_time_students,line_item_rows,funding_years_present,first_funding_year,last_funding_year,source_asset_id,retrieved_at,source_id,population_basis,inclusion_basis,inclusion_basis_detail
100071,DUCKWATER ELEMENTARY SCHOOL,Tribal School,1,School,NYE COUNTY SCHOOL DISTRICT,143398,2 DUCKWATER RD,DUCKWATER,NV,89314,NYE,Rural,38.9515,-115.718,3,10,1,2023,2023,avi8-svp9,2026-09-02T15:48:18.758931+00:00,usac_open_data,TYPE_FILTER,subject_classification,USAC tribal_type = Tribal School
100128,SCHURZ ELEMENTARY SCHOOL,Tribal School,1,School,MINERAL COUNTY SCHOOL DISTRICT,143418,GENERAL DELIVERY,SCHURZ,NV,89427,MINERAL,Rural,38.969,-118.785,41,25,4,2023,2026,avi8-svp9,2026-09-02T15:48:18.758931+00:00,usac_open_data,TYPE_FILTER,subject_classification,USAC tribal_type = Tribal School
105107,SHERMAN INDIAN HIGH SCHOOL,Tribal School,1,School,BIE CNTRL OFC/DPT OF INTERIOR,21973,9010 MAGNOLIA AVE,RIVERSIDE,CA,92503,RIVERSIDE,Urban,33.9251,-117.437,388,31,10,2017,2026,avi8-svp9,2026-09-02T15:48:18.758931+00:00,usac_open_data,TYPE_FILTER,subject_classification,USAC tribal_type = Tribal School
111171,CAPTAIN JOHN CONTINUATION SCHOOL,Tribal School,1,School,KLAMATH-TRINITY JT UN SCH DIST,144523,555 LOOP RD.,HOOPA,CA,95546,Humboldt,Rural,41.050817,-123.679399,49,100,1,2023,2023,avi8-svp9,2026-09-02T15:48:18.758931+00:00,usac_open_data,TYPE_FILTER,subject_classification,USAC tribal_type = Tribal School
111184,WEITCHPEC ELEMENTARY SCHOOL,Tribal School,1,School,KLAMATH-TRINITY JT UN SCH DIST,144523,444 Upper Weitchpec School Rd.,HOOPA,CA,95546,Humboldt,Rural,41.188107,-123.705318,18,103,1,2023,2023,avi8-svp9,2026-09-02T15:48:18.758931+00:00,usac_open_data,TYPE_FILTER,subject_classification,USAC tribal_type = Tribal School
115031,MUCKLESHOOT TRIBAL SCHOOL,Tribal School,1,School,Office of the Superintendent of Public Instruction,154904,15209 SE 376TH ST,AUBURN,WA,98092,King,Urban,47.2639,-122.137,470,26,10,2017,2026,avi8-svp9,2026-09-02T15:48:18.758931+00:00,usac_open_data,TYPE_FILTER,subject_classification,USAC tribal_type = Tribal School
115369,MOUNT ERIE ELEMENTARY SCHOOL,Tribal School,1,School,ANACORTES SCHOOL DISTRICT 103,145203,1313 41ST ST,ANACORTES,WA,98221,Skagit,Rural,48.486989,-122.618685,336,9,1,2023,2023,avi8-svp9,2026-09-02T15:48:18.758931+00:00,usac_open_data,TYPE_FILTER,subject_classification,USAC tribal_type = Tribal School
115454,ORCAS ELEMENTARY SCHOOL,Tribal School,1,School,ORCAS ISLAND SCHOOL DISTRICT,145217,611 SCHOOL RD,EASTSOUND,WA,98245,SAN JUAN,Rural,48.6985457,-122.9033866,225,8,1,2023,2023,avi8-svp9,2026-09-02T15:48:18.758931+00:00,usac_open_data,TYPE_FILTER,subject_classification,USAC tribal_type = Tribal School
115588,SHAW ISLAND ELEM SCHOOL,Tribal School,1,School,WASHINGTON OFM K20,152695,44 Hoffman Cove Rd,SHAW ISLAND,WA,98286,SAN JUAN,Rural,48.5726433,-122.9616155,14,3,1,2023,2023,avi8-svp9,2026-09-02T15:48:18.758931+00:00,usac_open_data,TYPE_FILTER,subject_classification,USAC tribal_type = Tribal School
116096,LAKE QUINAULT SCHOOL (K-12),Tribal School,1,School,LAKE QUINAULT SCHOOL DIST 97,145300,6130 HWY 101 N,AMANDA PARK,WA,98526,Grays Harbor,Rural,47.460439,-123.895655,181,8,1,2023,2023,avi8-svp9,2026-09-02T15:48:18.758931+00:00,usac_open_data,TYPE_FILTER,subject_classification,USAC tribal_type = Tribal School
