bandwidth,category_of_expense,download_speed,eligible_service,eligible_site,filing_hcp,filing_hcp_city,filing_hcp_county,filing_hcp_entity_type,filing_hcp_name,filing_hcp_state,filing_hcp_street,filing_hcp_zip_code,filing_window,frequency_of_expense,frn_line_number,fund_type,funding_commitment_date,funding_end_date,funding_request_number,funding_start_date,funding_submission_date,funding_year,invoice_deadline_date,jitter,latency,monthly_rural_rate,monthly_urban_rate,multi_year_funding,number_of_bidders,original_committed_amount,original_requested_amount,packet_loss,participating_hcp,participating_hcp_city,participating_hcp_county,participating_hcp_entity_type,participating_hcp_name,participating_hcp_state,participating_hcp_street,participating_hcp_zip_code,program,prorata_factor,quantity_of_item_invoiced,reliability,service_level_agreement,service_provider_id,service_provider_name,service_type,status,total_authorized_disbursement_amount,total_commited_amount,upload_speed,source_asset_id,source_url,retrieved_at,source_id,population_basis,confidence_tier,attribution_method,inclusion_basis,inclusion_basis_detail,inclusion_basis_terms_matched
0,Leased/Tariffed Facilities or Services,43.008 Mbps,1,1,35344,Rockville,Montgomery,Consortium Of The Above,Indian Health Service,MD,5600 Fishers Ln Rm 07E34,20852-1750,2017_03,Month,1,Consortium,2018-03-16T00:00:00.000,2018-09-30T00:00:00.000,17130671,2017-10-01T00:00:00.000,2017-03-30T00:00:00.000,2017,2019-03-31T23:59:59.000,4ms or less,70ms or less,0,0,Yes,,21014.06,21014.06,0.05% or less,11579,Acoma,Cibola,Rural Health Clinic,Ihs-Abq  Acoma-Canoncito-Laguna Hospital,NM,80 B Veterans Blvd,87034,Healthcare Connect Fund,1.000000000000000000,1,99.9% or greater,Yes,143001197,Verizon Business Global LLC,Virtual Private Network (VPN),Committed,21014.06,21014.06,43.008 Mbps,2kme-evqq,https://opendata.usac.org/resource/2kme-evqq,2026-09-02T15:48:43.110353+00:00,usac_open_data,NAME_TOKEN_SWEEP,C,usac_rhc_name_token_candidate,term_match,"provider name carries a Native token; RHC publishes NO tribal type, so this is a CANDIDATE and not a classification",indian health
0,Leased/Tariffed Facilities or Services,43.008 Mbps,1,1,35344,Rockville,Montgomery,Consortium Of The Above,Indian Health Service,MD,5600 Fishers Ln Rm 07E34,20852-1750,2017_03,Month,13,Consortium,2018-03-16T00:00:00.000,2018-09-30T00:00:00.000,17130671,2017-10-01T00:00:00.000,2017-03-30T00:00:00.000,2017,2019-03-31T23:59:59.000,4ms or less,70ms or less,0,0,Yes,,40445.11,40445.11,0.05% or less,11600,Zuni,Mckinley,Not-For-Profit Hospital,Ihs-Abq Zuni Comprehensive Health Center,NM,"Route 301 North ""B"" Street",87327,Healthcare Connect Fund,1.000000000000000000,1,99.9% or greater,Yes,143001197,Verizon Business Global LLC,Virtual Private Network (VPN),Committed,40445.11,40445.11,43.008 Mbps,2kme-evqq,https://opendata.usac.org/resource/2kme-evqq,2026-09-02T15:48:43.110353+00:00,usac_open_data,NAME_TOKEN_SWEEP,C,usac_rhc_name_token_candidate,term_match,"provider name carries a Native token; RHC publishes NO tribal type, so this is a CANDIDATE and not a classification",indian health
0,Leased/Tariffed Facilities or Services,1.536 Mbps,1,1,35344,Rockville,Montgomery,Consortium Of The Above,Indian Health Service,MD,5600 Fishers Ln Rm 07E34,20852-1750,2017_03,Month,17,Consortium,2018-03-16T00:00:00.000,2018-09-30T00:00:00.000,17130671,2017-10-01T00:00:00.000,2017-03-30T00:00:00.000,2017,2019-03-31T23:59:59.000,4ms or less,60ms or less,0,0,Yes,,2158.42,2158.42,0.05% or less,26210,Santa Fe,Santa Fe,Not-For-Profit Hospital,Ihs-Abq Santa Fe Indian Hospital,NM,1700 Cerrillos Rd,87505,Healthcare Connect Fund,1.000000000000000000,1,99.95% or greater,Yes,143001197,Verizon Business Global LLC,T-1 / DS-1,Committed,2158.42,2158.42,1.536 Mbps,2kme-evqq,https://opendata.usac.org/resource/2kme-evqq,2026-09-02T15:48:43.110353+00:00,usac_open_data,NAME_TOKEN_SWEEP,C,usac_rhc_name_token_candidate,term_match,"provider name carries a Native token; RHC publishes NO tribal type, so this is a CANDIDATE and not a classification",indian health; indian hospital
0,Leased/Tariffed Facilities or Services,1.536 Mbps,1,1,35344,Rockville,Montgomery,Consortium Of The Above,Indian Health Service,MD,5600 Fishers Ln Rm 07E34,20852-1750,2017_03,Month,4,Consortium,2018-03-16T00:00:00.000,2018-09-30T00:00:00.000,17130671,2017-10-01T00:00:00.000,2017-03-30T00:00:00.000,2017,2019-03-31T23:59:59.000,4ms or less,70ms or less,0,0,Yes,,3672.16,3672.16,0.05% or less,11589,Paraje,Cibola,Rural Health Clinic,Ihs-Abq Laguna Dental Center,NM,11 Basswood Rd,87007,Healthcare Connect Fund,1.000000000000000000,1,99.9% or greater,Yes,143001197,Verizon Business Global LLC,Virtual Private Network (VPN),Committed,0E-67,0E-56,1.536 Mbps,2kme-evqq,https://opendata.usac.org/resource/2kme-evqq,2026-09-02T15:48:43.110353+00:00,usac_open_data,NAME_TOKEN_SWEEP,C,usac_rhc_name_token_candidate,term_match,"provider name carries a Native token; RHC publishes NO tribal type, so this is a CANDIDATE and not a classification",indian health
0,Leased/Tariffed Facilities or Services,6.16MB,1,1,17211,Portland,Multnomah,Consortium Of The Above,California Telehealth Network,OR,1881 Sw Naito Pkwy,97201-5195,2018_01,Month,28,Consortium,2019-05-29T00:00:00.000,2019-06-30T00:00:00.000,18442861,2018-07-01T00:00:00.000,2018-06-27T00:00:00.000,2018,2019-12-31T23:59:59.000,9 ms per link,45 ms per link,0,0,No,4,7285.36,21856.07,<0.3% per link,10298,Mecca,Riverside,Rural Health Clinic,"Clinicas De Salud Del Pueblo, Inc. - Mecca Clinic",CA,91275 66Th Avenue,92254,Healthcare Connect Fund,1.000000000000000000,1,99.99%,Yes,143001192,"AT&T Enterprises, LLC",Virtual Private Network (VPN),Committed,6763.73,6763.72,6.16MB,2kme-evqq,https://opendata.usac.org/resource/2kme-evqq,2026-09-02T15:48:43.110353+00:00,usac_open_data,NAME_TOKEN_SWEEP,C,usac_rhc_name_token_candidate,term_match,"provider name carries a Native token; RHC publishes NO tribal type, so this is a CANDIDATE and not a classification",pueblo
0,Leased/Tariffed Facilities or Services,6.16MB,1,1,17211,Portland,Multnomah,Consortium Of The Above,California Telehealth Network,OR,1881 Sw Naito Pkwy,97201-5195,2018_01,Month,79,Consortium,2019-05-29T00:00:00.000,2019-06-30T00:00:00.000,18442861,2018-07-01T00:00:00.000,2018-06-27T00:00:00.000,2018,2019-12-31T23:59:59.000,9 ms per link,45 ms per link,0,0,No,4,7322.33,53097.88,<0.3% per link,13758,Anza,Riverside,Rural Health Clinic,"Riverside San Bernardino County Indian Health, Inc., Anza Clinic",CA,39100 Contreras Road,92539,Healthcare Connect Fund,1.000000000000000000,1,99.99%,Yes,143001192,"AT&T Enterprises, LLC",Virtual Private Network (VPN),Committed,6804.91,6804.91,6.16MB,2kme-evqq,https://opendata.usac.org/resource/2kme-evqq,2026-09-02T15:48:43.110353+00:00,usac_open_data,NAME_TOKEN_SWEEP,C,usac_rhc_name_token_candidate,term_match,"provider name carries a Native token; RHC publishes NO tribal type, so this is a CANDIDATE and not a classification",indian health
0,Leased/Tariffed Facilities or Services,6.16MB,1,1,17211,Portland,Multnomah,Consortium Of The Above,California Telehealth Network,OR,1881 Sw Naito Pkwy,97201-5195,2018_01,Month,83,Consortium,2019-05-29T00:00:00.000,2019-06-30T00:00:00.000,18442861,2018-07-01T00:00:00.000,2018-06-27T00:00:00.000,2018,2019-12-31T23:59:59.000,9 ms per link,45 ms per link,0,0,No,4,7322.33,21966.98,<0.3% per link,23028,Palm Springs,Riverside,Rural Health Clinic,"Riverside San Bernardino County Indian Health, Inc., Palm Springs",CA,901 E. Tahquitz Way,92262,Healthcare Connect Fund,1.000000000000000000,1,99.99%,Yes,143001192,"AT&T Enterprises, LLC",Virtual Private Network (VPN),Committed,7058.34,7058.34,6.16MB,2kme-evqq,https://opendata.usac.org/resource/2kme-evqq,2026-09-02T15:48:43.110353+00:00,usac_open_data,NAME_TOKEN_SWEEP,C,usac_rhc_name_token_candidate,term_match,"provider name carries a Native token; RHC publishes NO tribal type, so this is a CANDIDATE and not a classification",indian health
0,Leased/Tariffed Facilities or Services,10.0MB,1,1,17211,Portland,Multnomah,Consortium Of The Above,California Telehealth Network,OR,1881 Sw Naito Pkwy,97201-5195,2018_01,Month,93,Consortium,2019-05-29T00:00:00.000,2019-06-30T00:00:00.000,18442861,2018-07-01T00:00:00.000,2018-06-27T00:00:00.000,2018,2019-12-31T23:59:59.000,9 ms per link,45 ms per link,0,0,No,4,7344.17,10409.49,<0.3% per link,23117,Santa Rosa,Sonoma,Rural Health Clinic,"Sonoma County Indian Health Project, Inc., Medical Clinic",CA,144 Stony Point Rd.,95401,Healthcare Connect Fund,1.000000000000000000,1,99.99%,Yes,143001192,"AT&T Enterprises, LLC",Ethernet,Committed,5666.15,5666.15,10.0MB,2kme-evqq,https://opendata.usac.org/resource/2kme-evqq,2026-09-02T15:48:43.110353+00:00,usac_open_data,NAME_TOKEN_SWEEP,C,usac_rhc_name_token_candidate,term_match,"provider name carries a Native token; RHC publishes NO tribal type, so this is a CANDIDATE and not a classification",indian health
0,Data,50.0 Mbps,1,1,17211,Portland,Multnomah,Consortium Of The Above,California Telehealth Network,OR,1881 Sw Naito Pkwy,97201-5195,2021_01,Month,42,Consortium,2022-02-24T00:00:00.000,2022-06-30T00:00:00.000,21143571,2021-07-01T00:00:00.000,2021-05-30T00:00:00.000,2021,2023-02-25T23:59:59.000,9 ms per link,45 ms per link,0,0,No,1,13519.12,13519.12,<0.3% per link,12279,Yreka,Siskiyou,Community Health Center Or Health Center Providing Health Care To Migrants,Karuk Tribal Health Clinic,CA,1519 South Oregon,96097,Healthcare Connect Fund,1.000000000000000000,1,99.99%,Yes,143001192,"AT&T Enterprises, LLC",Ethernet,Committed,10010.9,10010.9,50.0 Mbps,2kme-evqq,https://opendata.usac.org/resource/2kme-evqq,2026-09-02T15:48:43.110353+00:00,usac_open_data,NAME_TOKEN_SWEEP,C,usac_rhc_name_token_candidate,term_match,"provider name carries a Native token; RHC publishes NO tribal type, so this is a CANDIDATE and not a classification",tribal
0,Data,6.16 Mbps,1,1,17211,Portland,Multnomah,Consortium Of The Above,California Telehealth Network,OR,1881 Sw Naito Pkwy,97201-5195,2021_01,Month,64,Consortium,2022-02-24T00:00:00.000,2022-06-30T00:00:00.000,21143571,2021-07-01T00:00:00.000,2021-05-30T00:00:00.000,2021,2023-02-25T23:59:59.000,9 ms per link,45 ms per link,0,0,No,1,0E-56,8854.48,<0.3% per link,23027,Banning,Riverside,Rural Health Clinic,"Riverside San Bernardino County Indian Health, Inc., Morongo Clinic",CA,11555 Half Potrero Rd.,92220,Healthcare Connect Fund,1.000000000000000000,1,99.99%,Yes,143001192,"AT&T Enterprises, LLC",MPLS,Committed,0E-67,0E-56,6.16 Mbps,2kme-evqq,https://opendata.usac.org/resource/2kme-evqq,2026-09-02T15:48:43.110353+00:00,usac_open_data,NAME_TOKEN_SWEEP,C,usac_rhc_name_token_candidate,term_match,"provider name carries a Native token; RHC publishes NO tribal type, so this is a CANDIDATE and not a classification",indian health
