record_id,list_type,as_of_date,cedar_uid,tribe_canonical_name,tribe_name_as_published,facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,facility_name_as_published,facility_name_match_method,casino_city,casino_county,pays_into_sdf,pays_into_rstf,rstf_eligible,measurement_type,confidence_tier,entity_match_method,entity_tier,source_authority,source_document_type,source_url,source_page,source_quote,fetched_date,built_date,entity_tier_basis,entity_keyed_date
CAFAC-00133,cgcc_paying_tribes_list,2024-11-05,CE-0011X-QE,"Augustine Band of Cahuilla Indians, California",Augustine Band of Cahuilla Indians,CCP-555700,,CEDAR-PLACE-000043-73,Augustine Casino,Augustine Casino,exact_name_in_state,Coachella,Riverside,,yes,,,B,containment,B,California Gambling Control Commission,cgcc_paying_tribes_list,https://cgcc.ca.gov/documents/Tribal/List_of_tribes_currently_making_payments.pdf,1,Augustine Band of Cahuilla Indians | Augustine Casino | Coachella | Riverside,2026-08-07,2026-09-01,,
CAFAC-00137,cgcc_paying_tribes_list,2024-11-05,CE-0012F-80,Bishop Paiute Tribe,Bishop Paiute Tribe,CCP-55200,,CEDAR-PLACE-000096-FG,Paiute Palace Casino,Wanaaha Casino,sole_property_of_tribe_in_state,Bishop,Inyo,yes,,,,B,core,B,California Gambling Control Commission,cgcc_paying_tribes_list,https://cgcc.ca.gov/documents/Tribal/List_of_tribes_currently_making_payments.pdf,1,Bishop Paiute Tribe | Wanaaha Casino | Bishop | Inyo,2026-08-07,2026-09-01,,
CAFAC-00141,cgcc_paying_tribes_list,2024-11-05,CE-00132-ZB,Chicken Ranch Rancheria of Me-Wuk Indians of California,Chicken Ranch Rancheria of Me-Wuk Indians of California,CCP-41600,,CEDAR-PLACE-000056-N8,Chicken Ranch Bingo & Casino,Chicken Ranch Casino Resort,sole_property_of_tribe_in_state,Jamestown,Tuolumne,,yes,,,B,alias,B,California Gambling Control Commission,cgcc_paying_tribes_list,https://cgcc.ca.gov/documents/Tribal/List_of_tribes_currently_making_payments.pdf,1,Chicken Ranch Rancheria of Me-Wuk Indians of California | Chicken Ranch Casino Resort | Jamestown | Tuolumne,2026-08-07,2026-09-01,,
CAFAC-00145,cgcc_paying_tribes_list,2024-11-05,CE-0015D-BY,Jackson Band of Miwuk Indians,Jackson Band of Miwuk Indians,CCP-42000,,CEDAR-PLACE-000681-ZH,Jackson Rancheria Casino & Hotel,Jackson Rancheria Casino & Hotel,exact_name_in_state,Jackson,Amador,yes,yes,,,B,alias,B,California Gambling Control Commission,cgcc_paying_tribes_list,https://cgcc.ca.gov/documents/Tribal/List_of_tribes_currently_making_payments.pdf,1,Jackson Band of Miwuk Indians | Jackson Rancheria Casino & Hotel | Jackson | Amador,2026-08-07,2026-09-01,,
CAFAC-00150,cgcc_paying_tribes_list,2024-11-05,CE-0018Q-P8,Paskenta Band of Nomlaki Indians of California,Paskenta Band of Nomlaki Indians of California,CCP-536400,,CEDAR-PLACE-000112-F0,Rolling Hills Casino,Rolling Hills Casino,exact_name_in_state,Corning,Tehama,yes,,,,B,alias,B,California Gambling Control Commission,cgcc_paying_tribes_list,https://cgcc.ca.gov/documents/Tribal/List_of_tribes_currently_making_payments.pdf,2,Paskenta Band of Nomlaki Indians of California | Rolling Hills Casino | Corning | Tehama,2026-08-07,2026-09-01,,
CAFAC-00154,cgcc_paying_tribes_list,2024-11-05,CE-00191-QJ,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona","Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",CCP-750100,,CEDAR-PLACE-000104-ZR,Quechan Casino Resort,Quechan Casino Resort,exact_name_in_state,Winterhaven,Imperial,yes,,,,B,alias,B,California Gambling Control Commission,cgcc_paying_tribes_list,https://cgcc.ca.gov/documents/Tribal/List_of_tribes_currently_making_payments.pdf,2,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona | Quechan Casino Resort | Winterhaven | Imperial",2026-08-07,2026-09-01,,
CAFAC-00159,cgcc_paying_tribes_list,2024-11-05,CE-001AW-Y5,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation,CCP-42800,,CEDAR-PLACE-000058-1T,Chumash Casino Resort,Chumash Casino Resort,exact_name_in_state,Santa Ynez,Santa Barbara,yes,yes,,,B,containment,B,California Gambling Control Commission,cgcc_paying_tribes_list,https://cgcc.ca.gov/documents/Tribal/List_of_tribes_currently_making_payments.pdf,2,Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation | Chumash Casino Resort | Santa Ynez | Santa Barbara,2026-08-07,2026-09-01,,
CAFAC-00164,cgcc_paying_tribes_list,2024-11-05,CE-001BM-KD,"Tule River Indian Tribe of the Tule River Reservation, California",Tule River Indian Tribe of the Tule River Reservation,CCP-249900,,CEDAR-PLACE-000065-GS,Eagle Mountain Casino,Eagle Mountain Casino,exact_name_in_state,Porterville,Tulare,yes,yes,,,B,core,B,California Gambling Control Commission,cgcc_paying_tribes_list,https://cgcc.ca.gov/documents/Tribal/List_of_tribes_currently_making_payments.pdf,2,Tule River Indian Tribe of the Tule River Reservation | Eagle Mountain Casino | Porterville | Tulare,2026-08-07,2026-09-01,,
CAFAC-00168,cgcc_paying_tribes_list,2024-11-05,CE-00125-C6,United Auburn Indian Community of the Auburn Rancheria of California,United Auburn Indian Community of the Auburn Rancheria of California,CCP-585400,,CEDAR-PLACE-000125-X5,Thunder Valley Casino Resort,Thunder Valley Casino Resort Page 2 of 3,sole_property_of_tribe_in_state,Lincoln,Placer,yes,yes,,,B,alias,B,California Gambling Control Commission,cgcc_paying_tribes_list,https://cgcc.ca.gov/documents/Tribal/List_of_tribes_currently_making_payments.pdf,2,United Auburn Indian Community of the Auburn Rancheria of California | Thunder Valley Casino Resort Page 2 of 3 | Lincoln | Placer,2026-08-07,2026-09-01,,
CAFAC-00173,cgcc_rstf_eligible_list,2025-11-13,CE-00121-M2,"Alturas Indian Rancheria, California",Alturas Indian Rancheria,CCP-531600,,CEDAR-PLACE-000062-SY,Desert Rose Casino,Desert Rose Casino,exact_name_in_state,Alturas,Modoc,,,yes,,B,core,B,California Gambling Control Commission,cgcc_rstf_eligible_list,https://cgcc.ca.gov/documents/Tribal/List_of_RSTF_Eligible_Tribes.pdf,1,Alturas Indian Rancheria | Desert Rose Casino | Alturas | Modoc,2026-08-07,2026-09-01,,
