payment_id,fund,direction,recipient_type,cedar_uid,tribe_id,tribe_canonical_name,party_name_as_published,county,metric,value,unit,period_start,period_end,period_basis,measurement_type,value_suppressed_by_regulator,revenue_evidence_class,compact_rate_pct,compact_revenue_concept,compact_base_scope,payment_invertible,derived_tribe_revenue_value,derived_revenue_scope,bound_basis,compact_term_source_url,compact_term_source_quote,confidence_tier,entity_match_method,entity_tier,exclusion_flag,exclusion_reason,source_authority,source_document_type,source_url,source_page,source_quote,source_link_text,zone_header,foot_status,foot_detail,document_status,issue_date,fetched_date,built_date,built_by_script
CAGP-002828,RSTF,paid_in,tribe,CE-00178-Q1,TRBF-MORNGO-00,Morongo,Morongo Band of Mission Indians,,rstf_payment_received_inception_to_date,497300.0,USD,2007-07-01,2007-12-31,fiscal_year_to_date,REGULATORY_REPORTED_COUNT,,BOUNDED_DERIVED_REVENUE,15,Net Win,tribe,no,,,marginal_base_rate_applies_only_to_net_win_from_devices_above_a_stated_threshold,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2007.12.19_morongo_band_of_mission_indians_tribal_state_gaming_compact.pdf,"y the 1999  Compact, and other valuable consideration, the Tribe shall pay to the  State the following:  (i) an annual payment of thirty-six million, seven hundred  thousand dollars ($36,700,000.00); and  (ii) an annual payment for the operation of the additional  Gaming Devices identified in subdivision (a)(iii) of: ( 1) fifteen  percent (15%) of tpe Net Win generated from the operation of  up to",B,containment,B,cumulative_do_not_sum,"Inception-to-date total. Published beside annual figures it is a double count; extracted and footed, withheld from any sum.",California Gambling Control Commission,rstf_quarterly_distribution,https://cgcc.ca.gov/documents/rstfi/2007/RSTF%20Distrib%2025th_CommStaffReport%20FINAL%2012-31-2007.pdf,5,"Morongo Band of Mission Indians 0.00 497,300.00",Quarter Ended: 12/31/2007,"Exhibit 3 Revenue Sharing Trust Fund Distribution Amount of Revenue from Each Compact Tribe Received by the Commission Through December 31, 2007 for the Fiscal Year Ending June 30, 2008 Revenue Received Revenue Received Compact Tribe Fiscal Year to Date Inception to Date",foots,"col0:14,103,620.50==14,103,620.50; col1:220,252,623.47==220,252,623.47",original,,2026-08-07,2026-09-01,code/103_build_california_gaming.py
CAGP-003498,RSTF,paid_in,tribe,CE-00178-Q1,TRBF-MORNGO-00,Morongo,Morongo Band of Mission Indians,,rstf_payment_received_inception_to_date,497300.0,USD,2007-07-01,2008-06-30,fiscal_year_to_date,REGULATORY_REPORTED_COUNT,,BOUNDED_DERIVED_REVENUE,15,Net Win,tribe,no,,,marginal_base_rate_applies_only_to_net_win_from_devices_above_a_stated_threshold,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2007.12.19_morongo_band_of_mission_indians_tribal_state_gaming_compact.pdf,"y the 1999  Compact, and other valuable consideration, the Tribe shall pay to the  State the following:  (i) an annual payment of thirty-six million, seven hundred  thousand dollars ($36,700,000.00); and  (ii) an annual payment for the operation of the additional  Gaming Devices identified in subdivision (a)(iii) of: ( 1) fifteen  percent (15%) of tpe Net Win generated from the operation of  up to",B,containment,B,cumulative_do_not_sum,"Inception-to-date total. Published beside annual figures it is a double count; extracted and footed, withheld from any sum.",California Gambling Control Commission,rstf_quarterly_distribution,https://cgcc.ca.gov/documents/rstfi/2008/RSTF%20Distrib%2027th_CommStaffReport%20FINAL.pdf,5,"Morongo Band of Mission Indians 0.00 497,300.00",Quarter Ended: 06/30/2008,"Exhibit 3 Revenue Sharing Trust Fund Distribution Amount of Revenue from Each Compact Tribe Received by the Commission for the Fiscal Year Ending June 30, 2008 Revenue Received Revenue Received Compact Tribe Fiscal Year to Date Inception to Date",foots,"col0:30,597,624.62==30,597,624.62; col1:236,746,627.59==236,746,627.59",original,,2026-08-07,2026-09-01,code/103_build_california_gaming.py
CAGP-004430,RSTF,paid_in,tribe,CE-00178-Q1,TRBF-MORNGO-00,Morongo,Morongo Band of Mission Indians,,rstf_payment_received_inception_to_date,962104.14,USD,2008-07-01,2008-09-30,fiscal_year_to_date,REGULATORY_REPORTED_COUNT,,BOUNDED_DERIVED_REVENUE,15,Net Win,tribe,no,,,marginal_base_rate_applies_only_to_net_win_from_devices_above_a_stated_threshold,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2007.12.19_morongo_band_of_mission_indians_tribal_state_gaming_compact.pdf,"y the 1999  Compact, and other valuable consideration, the Tribe shall pay to the  State the following:  (i) an annual payment of thirty-six million, seven hundred  thousand dollars ($36,700,000.00); and  (ii) an annual payment for the operation of the additional  Gaming Devices identified in subdivision (a)(iii) of: ( 1) fifteen  percent (15%) of tpe Net Win generated from the operation of  up to",B,containment,B,cumulative_do_not_sum,"Inception-to-date total. Published beside annual figures it is a double count; extracted and footed, withheld from any sum.",California Gambling Control Commission,rstf_quarterly_distribution,https://cgcc.ca.gov/documents/rstfi/2009/RSTF%20Distrib%2028th_CommStaffReport%20FINAL%20rev.pdf,7,"Morongo Band of Mission Indians 464,804.14 962,104.14",Quarter Ended: 09/30/2008,"Exhibit 3 Revenue Sharing Trust Fund Distribution Amount of Revenue from Each Compact Tribe Received by the Commission for the Quarter Ending September 30, 2008 Revenue Received Revenue Received Compact Tribe Fiscal Year to Date Inception to Date",foots,"col0:10,138,616.62==10,138,616.62; col1:246,885,244.21==246,885,244.21",original,,2026-08-07,2026-09-01,code/103_build_california_gaming.py
CAGP-005361,RSTF,paid_in,tribe,CE-00178-Q1,TRBF-MORNGO-00,Morongo,Morongo Band of Mission Indians,,rstf_payment_received_fiscal_year_to_date,1964804.14,USD,2008-07-01,2009-06-30,fiscal_year_to_date,REGULATORY_REPORTED_COUNT,,BOUNDED_DERIVED_REVENUE,15,Net Win,tribe,no,,,marginal_base_rate_applies_only_to_net_win_from_devices_above_a_stated_threshold,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2007.12.19_morongo_band_of_mission_indians_tribal_state_gaming_compact.pdf,"y the 1999  Compact, and other valuable consideration, the Tribe shall pay to the  State the following:  (i) an annual payment of thirty-six million, seven hundred  thousand dollars ($36,700,000.00); and  (ii) an annual payment for the operation of the additional  Gaming Devices identified in subdivision (a)(iii) of: ( 1) fifteen  percent (15%) of tpe Net Win generated from the operation of  up to",B,containment,B,superseded_by_revised_report,CGCC republished this quarter as a REVISED staff report.,California Gambling Control Commission,rstf_quarterly_distribution,https://cgcc.ca.gov/documents/rstfi/2009/RSTF_Distrib%2031st_CommStaffReport_FINAL.pdf,7,"Morongo Band of Mission Indians 1,964,804.14 2,462,104.14",Quarter Ended: 06/30/2009,"Exhibit 3 Revenue Sharing Trust Fund Amount of Revenue from Each Compact Tribe Received by the Commission for the Quarter Ending June 30, 2009 Revenue Received Revenue Received Compact Tribe Fiscal Year to Date Inception to Date",foots,"col0:39,517,858.67==39,517,858.67; col1:276,264,486.26==276,264,486.26",original,,2026-08-07,2026-09-01,code/103_build_california_gaming.py
CAGP-005830,RSTF,paid_in,tribe,CE-00178-Q1,TRBF-MORNGO-00,Morongo,Morongo Band of Mission Indians,,rstf_payment_received_inception_to_date,2462104.14,USD,2008-07-01,2009-06-30,fiscal_year_to_date,REGULATORY_REPORTED_COUNT,,BOUNDED_DERIVED_REVENUE,15,Net Win,tribe,no,,,marginal_base_rate_applies_only_to_net_win_from_devices_above_a_stated_threshold,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2007.12.19_morongo_band_of_mission_indians_tribal_state_gaming_compact.pdf,"y the 1999  Compact, and other valuable consideration, the Tribe shall pay to the  State the following:  (i) an annual payment of thirty-six million, seven hundred  thousand dollars ($36,700,000.00); and  (ii) an annual payment for the operation of the additional  Gaming Devices identified in subdivision (a)(iii) of: ( 1) fifteen  percent (15%) of tpe Net Win generated from the operation of  up to",B,containment,B,cumulative_do_not_sum,"Inception-to-date total. Published beside annual figures it is a double count; extracted and footed, withheld from any sum.",California Gambling Control Commission,rstf_quarterly_distribution,https://cgcc.ca.gov/documents/rstfi/2009/RSTF_Distrib_31st_CommStaffReport_FINAL_Rev.pdf,10,"Morongo Band of Mission Indians 1,964,804.14 2,462,104.14",REVISED Quarter Ended: 06/30/2009,"Exhibit 3 Revenue Sharing Trust Fund Amount of Revenue from Each Compact Tribe Received by the Commission for the Quarter Ending June 30, 2009 Revenue Revenue Received Received Fiscal Year to Inception to Compact Tribe Date Date Agua Caliente Band of Cahuilla Indians of the",foots,"col0:39,517,858.67==39,517,858.67; col1:276,264,486.26==276,264,486.26",revised,,2026-08-07,2026-09-01,code/103_build_california_gaming.py
CAGP-006298,RSTF,paid_in,tribe,CE-00178-Q1,TRBF-MORNGO-00,Morongo,Morongo Band of Mission Indians,,rstf_payment_received_inception_to_date,2962104.14,USD,2009-07-01,2009-09-30,fiscal_year_to_date,REGULATORY_REPORTED_COUNT,,BOUNDED_DERIVED_REVENUE,15,Net Win,tribe,no,,,marginal_base_rate_applies_only_to_net_win_from_devices_above_a_stated_threshold,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2007.12.19_morongo_band_of_mission_indians_tribal_state_gaming_compact.pdf,"y the 1999  Compact, and other valuable consideration, the Tribe shall pay to the  State the following:  (i) an annual payment of thirty-six million, seven hundred  thousand dollars ($36,700,000.00); and  (ii) an annual payment for the operation of the additional  Gaming Devices identified in subdivision (a)(iii) of: ( 1) fifteen  percent (15%) of tpe Net Win generated from the operation of  up to",B,containment,B,cumulative_do_not_sum,"Inception-to-date total. Published beside annual figures it is a double count; extracted and footed, withheld from any sum.",California Gambling Control Commission,rstf_quarterly_distribution,https://cgcc.ca.gov/documents/rstfi/2009/RSTF_Distrib_32nd_CommStaffReport_FINAL.pdf,7,"Morongo Band of Mission Indians 500,000.00 2,962,104.14",Quarter Ended: 09/30/2009,"Exhibit 3 Revenue Sharing Trust Fund Amount of Revenue from Each Compact Tribe Received by the Commission for the Quarter Ending September 30, 2009 Revenue Received Revenue Received Compact Tribe Fiscal Year to Date Inception to Date",foots,"col0:10,348,212.50==10,348,212.50; col1:286,612,698.76==286,612,698.76",original,,2026-08-07,2026-09-01,code/103_build_california_gaming.py
CAGP-006428,RSTF,paid_in,tribe,CE-00187-PR,TRBF-PCHNGA-00,Pechanga,Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation,,rstf_payment_received_inception_to_date,5006120.11,USD,2009-07-01,2009-09-30,fiscal_year_to_date,REGULATORY_REPORTED_COUNT,,BOUNDED_DERIVED_REVENUE,15,Net Win,tribe,no,,,marginal_base_rate_applies_only_to_net_win_from_devices_above_a_stated_threshold,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2007.12.19_pechanga_band_of_luiseno_indians_tribal_state_gaming_compact.pdf,"by the 1999  Compact, and other valuable consideration, the Tribe shall pay to the  State the following:  (i) an annual payment of forty-two million, five hundred  thousand dollars ($42,500,000.00); and  (ii) an annual payment for the operation of the additional  Gaming Devices identified in subdivision (a)(iii) of: (1) fifteen  percent (15%) of the Net Win generated from the operation of  up to t",B,containment,B,cumulative_do_not_sum,"Inception-to-date total. Published beside annual figures it is a double count; extracted and footed, withheld from any sum.",California Gambling Control Commission,rstf_quarterly_distribution,https://cgcc.ca.gov/documents/rstfi/2009/RSTF_Distrib_32nd_CommStaffReport_FINAL_rev.pdf,10,"Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation 500,000.00 5,006,120.11",REVISED Quarter Ended: 09/30/2009,"Exhibit 3 Revenue Sharing Trust Fund Amount of Revenue from Each Compact Tribe Received by the Commission for the Quarter Ending September 30, 2009 Revenue Revenue Compact Tribe Received Fiscal Received Year to Date Inception to Date Agua Caliente Band of Cahuilla Indians of",foots,"col0:10,348,212.50==10,348,212.50; col1:286,612,698.76==286,612,698.76",revised,,2026-08-07,2026-09-01,code/103_build_california_gaming.py
CAGP-006897,RSTF,paid_in,tribe,CE-00187-PR,TRBF-PCHNGA-00,Pechanga,Pechanga Band of Luiseno Mission,,rstf_payment_received_fiscal_year_to_date,1000000.0,USD,2009-07-01,2009-12-31,fiscal_year_to_date,REGULATORY_REPORTED_COUNT,,BOUNDED_DERIVED_REVENUE,15,Net Win,tribe,no,,,marginal_base_rate_applies_only_to_net_win_from_devices_above_a_stated_threshold,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2007.12.19_pechanga_band_of_luiseno_indians_tribal_state_gaming_compact.pdf,"by the 1999  Compact, and other valuable consideration, the Tribe shall pay to the  State the following:  (i) an annual payment of forty-two million, five hundred  thousand dollars ($42,500,000.00); and  (ii) an annual payment for the operation of the additional  Gaming Devices identified in subdivision (a)(iii) of: (1) fifteen  percent (15%) of the Net Win generated from the operation of  up to t",B,containment,B,superseded_by_revised_report,CGCC republished this quarter as a REVISED staff report.,California Gambling Control Commission,rstf_quarterly_distribution,https://cgcc.ca.gov/documents/rstfi/2009/RSTF_Distrib_33rd_CommStaffReport_FINAL.pdf,7,"Pechanga Band of Luiseno Mission 1,000,000.00 5,506,120.11",Quarter Ended: 12/31/2009,"Exhibit 3 Revenue Sharing Trust Fund Amount of Revenue from Each Compact Tribe Received by the Commission for the Quarter Ending December 31, 2009 Revenue Received Revenue Received Compact Tribe Fiscal Year to Date Inception to Date",foots,"col0:24,875,420.90==24,875,420.90; col1:301,139,907.16==301,139,907.15",original,,2026-08-07,2026-09-01,code/103_build_california_gaming.py
CAGP-007056,RSTF,paid_in,tribe,CE-001B4-KX,TRBF-SYCUAN-00,Sycuan,Sycuan Band of the Kumeyaay Nation,,rstf_payment_received_inception_to_date,22523460.21,USD,2009-07-01,2009-12-31,fiscal_year_to_date,REGULATORY_REPORTED_COUNT,,BOUNDED_DERIVED_REVENUE,15,Net Win,tribe,no,,,marginal_base_rate_applies_only_to_net_win_from_devices_above_a_stated_threshold,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202007.12.19%20Sycuan%20Band%20of%20Kumeyaay%20Nation%20Tribal%20State%20Gaming%20Compact.pdf,"licensing system established by the 1999 Compact, and other valuable  consideration, the Tribe shall pay to the State the following:  (i) an annual payment of twenty million dollars ($20,000,000.00); and  (ii) an annual payment of fifteen percent (15%) of the Net Win  generated from the operation of all additional Gaming Devices over  the existing two thousand (2,000) Gaming Devices specified in  ",B,alias,B,cumulative_do_not_sum,"Inception-to-date total. Published beside annual figures it is a double count; extracted and footed, withheld from any sum.",California Gambling Control Commission,rstf_quarterly_distribution,https://cgcc.ca.gov/documents/rstfi/2009/RSTF_Distrib_33rd_CommStaffReport_FINAL_rev.pdf,11,"Sycuan Band of the Kumeyaay Nation 1,169,925.00 22,523,460.21",REVISED Quarter Ended: 12/31/2009,"Exhibit 3 Revenue Sharing Trust Fund Amount of Revenue from Each Compact Tribe Received by the Commission for the Quarter Ending December 31, 2009 Revenue Received Revenue Received Compact Tribe Fiscal Year to Date Inception to Date Agua Caliente Band of Cahuilla Indians of the",foots,"col0:24,875,420.90==24,875,420.90; col1:301,139,907.16==301,139,907.15",revised,,2026-08-07,2026-09-01,code/103_build_california_gaming.py
CAGP-007490,RSTF,paid_in,tribe,CE-00187-PR,TRBF-PCHNGA-00,Pechanga,Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation,,rstf_payment_received_inception_to_date,6006120.11,USD,2009-07-01,2010-03-31,fiscal_year_to_date,REGULATORY_REPORTED_COUNT,,BOUNDED_DERIVED_REVENUE,15,Net Win,tribe,no,,,marginal_base_rate_applies_only_to_net_win_from_devices_above_a_stated_threshold,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2007.12.19_pechanga_band_of_luiseno_indians_tribal_state_gaming_compact.pdf,"by the 1999  Compact, and other valuable consideration, the Tribe shall pay to the  State the following:  (i) an annual payment of forty-two million, five hundred  thousand dollars ($42,500,000.00); and  (ii) an annual payment for the operation of the additional  Gaming Devices identified in subdivision (a)(iii) of: (1) fifteen  percent (15%) of the Net Win generated from the operation of  up to t",B,containment,B,cumulative_do_not_sum,"Inception-to-date total. Published beside annual figures it is a double count; extracted and footed, withheld from any sum.",California Gambling Control Commission,rstf_quarterly_distribution,https://cgcc.ca.gov/documents/rstfi/2010/RSTF_Distrib_34th_CommStaffReport_FINAL.pdf,10,"Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation 1,500,000.00 6,006,120.11",Quarter Ended: 03/31/2010,"Exhibit 3 Revenue Sharing Trust Fund Amount of Revenue from Each Compact Tribe Received by the Commission for the Quarter Ending March 31, 2010 Revenue Received Revenue Received Compact Tribe Fiscal Year to Date Inception to Date Agua Caliente Band of Cahuilla Indians of the",foots,"col0:37,097,246.74==37,097,246.74; col1:313,361,733.00==313,361,733.00",original,,2026-08-07,2026-09-01,code/103_build_california_gaming.py
