event_id,compact_id,tribe,state,event_date,event_type,description,FR_citation,FR_notice_url,source_pdf,source_url,basis,tribe_id,tribe_canonical_name,entity_match_method,entity_tier,entity_match_basis,entity_keyed_date,entity_id,cedar_uid
EVT-bd99789c973dcf96,CMP-CA-big-sandy-rancheria-of-western-mon-20000516,Big Sandy Rancheria of Western Mono Indians of California,California,2024-11-15,secretarial_disapproval,Big Sandy Rancheria of Western Mono Indians Tribal State Gaming Compact Disapproval Letter,,,508_compliant_2024.11.15_big_sandy_racheria_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2024.11.15_big_sandy_racheria_tribal_state_gaming_compact.pdf,"BIA Office of Indian Gaming index, Decision=""Disapproved""",TRBF-BGSNDY-00,Big Sandy,inherited_from_compact_id,A,structural inheritance from CMP-CA-big-sandy-rancheria-of-western-mon-20000516 (resolver_alias),2026-08-06,TRBF-BGSNDY-00,CE-0012C-PN
EVT-7ba5c9353cdca404,,"Habematolel Pomo of Upper Lake, California",California,2010-08-17,secretarial_disapproval,Habematolel Pomo of Upper Lake Tribal State Gaming Compact Disapproval Letter,,,508 Compliant 2010.08.17 Habematolel Pomo of Upper Lake Disapproval Letter and Compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202010.08.17%20Habematolel%20Pomo%20of%20Upper%20Lake%20Disapproval%20Letter%20and%20Compact.pdf,"BIA Office of Indian Gaming index, Decision=""Disapproved""",TRBF-HBMTLL-00,Habematolel,alias,A,resolver_alias,2026-08-06,TRBF-HBMTLL-00,CE-0014Y-CQ
EVT-55cdec9c5b606f8e,CMP-CA-middletown-rancheria-of-pomo-india-20000516,Middletown Rancheria of Pomo Indians of California,California,2022-07-22,secretarial_disapproval,Middletown Rancheria of Pomo Indians Tribal State Gaming Compact Disapproval Letter,,,508_compliant_2022.07.22_middletown_rancheria_disapproval_letter_tribe.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2022.07.22_middletown_rancheria_disapproval_letter_tribe.pdf,"BIA Office of Indian Gaming index, Decision=""Disapproved""",TRBF-MDDLTN-00,Middletown,inherited_from_compact_id,A,structural inheritance from CMP-CA-middletown-rancheria-of-pomo-india-20000516 (resolver_alias),2026-08-06,TRBF-MDDLTN-00,CE-0016S-RT
EVT-005e32a7fa303788,CMP-CA-santa-rosa-indian-community-of-the-20000516,"Santa Rosa Indian Community of the Santa Rosa Rancheria, California",California,2022-07-22,secretarial_disapproval,Santa Rosa Indian Community of the Santa Rosa Rancheria Tribal State Gaming Compact Disapproval Letter,,,508_compliant_2022.07.22_santa_rosa_indian_community_disapproval_letter_tribe.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2022.07.22_santa_rosa_indian_community_disapproval_letter_tribe.pdf,"BIA Office of Indian Gaming index, Decision=""Disapproved""",TRBF-SROSAR-00,Santa Rosa,inherited_from_compact_id,A,structural inheritance from CMP-CA-santa-rosa-indian-community-of-the-20000516 (resolver_alias),2026-08-06,TRBF-SROSAR-00,CE-001AS-CT
EVT-2a9bf23ecd43ac3c,,Jena Band of Choctaw Indians,Louisiana,2002-03-07,secretarial_disapproval,Jena Band of Choctaw Indians Tribal State Gaming Compact Disapproval Letter,,,508_compliant_2002.03.07_jena_band_of_choctaw_indians_disapproval_letter.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2002.03.07_jena_band_of_choctaw_indians_disapproval_letter.pdf,"BIA Office of Indian Gaming index, Decision=""Disapproved""",TRBF-JNACTW-00,Jena,alias,A,resolver_alias,2026-08-06,TRBF-JNACTW-00,CE-0015H-32
EVT-48db21173b71f18c,,"Zuni Tribe of the Zuni Reservation, New Mexico",New Mexico,2014-09-10,secretarial_disapproval,Pueblo of Zuni Tribal State Gaming Compact Disapproval Letter,,,508_compliant_2014.09.10_pueblo_of_zuni_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2014.09.10_pueblo_of_zuni_tribal_state_gaming_compact.pdf,"BIA Office of Indian Gaming index, Decision=""Disapproved""",TRBF-ZUNINM-00,Zuni,alias,A,resolver_alias,2026-08-06,TRBF-ZUNINM-00,CE-001CN-YP
EVT-faad44aa3081ef3b,,"Stockbridge Munsee Community, Wisconsin",New York,2011-02-18,secretarial_disapproval,Stockbridge-Munsee Band of Mohicans Tribal State Gaming Compact Disapproval Letter,,,508 Compliant 2011.02.18 Stockbridge Munsee DISAPPROVED Gaming Compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202011.02.18%20Stockbridge%20Munsee%20DISAPPROVED%20Gaming%20Compact.pdf,"BIA Office of Indian Gaming index, Decision=""Disapproved""",TRBF-SBRMNS-00,Stockbridge,alias,A,resolver_alias,2026-08-06,TRBF-SBRMNS-00,CE-0019K-3M
EVT-b752e124736667ca,,"Comanche Nation, Oklahoma",Oklahoma,1999-04-02,secretarial_disapproval,Comanche Nation Tribal State Gaming Compact Disapproval Letter,,,508 Compliant 1999.04.02 Comanche Disapproval Letter.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%201999.04.02%20Comanche%20Disapproval%20Letter.pdf,"BIA Office of Indian Gaming index, Decision=""Disapproved""",TRBF-CMNCHE-00,Comanche Nation,alias,A,resolver_alias,2026-08-06,TRBF-CMNCHE-00,CE-0013G-K9
EVT-f2aa2d31793a10cd,CMP-SD-yankton-sioux-tribe-of-south-dakot-19910619,Yankton Sioux Tribe of South Dakota,South Dakota,1999-06-11,secretarial_disapproval,Yankton Sioux Tribe Tribal State Gaming Compact Disapproval Letter,,,508 Compliant 1999.06.11 Yankton Sioux Tribe Disapproval Letter.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%201999.06.11%20Yankton%20Sioux%20Tribe%20Disapproval%20Letter.pdf,"BIA Office of Indian Gaming index, Decision=""Disapproved""",TRBF-YANKTN-00,Yankton,inherited_from_compact_id,A,structural inheritance from CMP-SD-yankton-sioux-tribe-of-south-dakot-19910619 (resolver_alias),2026-08-06,TRBF-YANKTN-00,CE-001CD-EE
EVT-4105dda523a6f472,CMP-WA-stillaguamish-tribe-of-indians-of-20010321,Stillaguamish Tribe of Indians of Washington,Washington,2024-07-24,secretarial_disapproval,Stillaguamish Tribe of Indians Tribal State Gaming Compact Disapproval Letter,,,508_compliant_2024.07.24_stillaguamish_indian_tribe_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2024.07.24_stillaguamish_indian_tribe_tribal_state_gaming_compact.pdf,"BIA Office of Indian Gaming index, Decision=""Disapproved""",TRBF-STLMSH-00,Stillaguamish,inherited_from_compact_id,A,structural inheritance from CMP-WA-stillaguamish-tribe-of-indians-of-20010321 (resolver_alias),2026-08-06,TRBF-STLMSH-00,CE-001AY-AQ
