bridge_id,report_id,compact_id,tribe_canonical_name,state,obligation_frequency,compact_recipient_text,compact_recipient_is_boilerplate,obligation_effective_from,named_tribal_gaming_agency,agency_source_ordinance_id,agency_ordinance_approval_date,agency_ordinance_in_force_status,match_basis,n_agency_instruments_for_tribe,confidence_tier,source,built_date,cedar_uid
CORTA-CRR-CMP-AZ-fort-mcdowell-yavapai-nation-arizo-19921230-V01-0001,CRR-CMP-AZ-fort-mcdowell-yavapai-nation-arizo-19921230-V01-0001,CMP-AZ-fort-mcdowell-yavapai-nation-arizo-19921230,"Fort McDowell Yavapai Nation, Arizona",Arizona,within_30_days,Tribal Gaming Agency,YES,1992-12-30,Fort McDowell Tribal Gaming Regulatory Agency,NIGC-ORD-20200511-02,2020-05-11,LATEST_INSTRUMENT_ON_NIGC_INDEX,AGENCY_NAME_NO_INSTRUMENT_COVERS_DATE,4,B,compact_required_reports.csv + gaming_ordinances.csv,2026-08-12,CE-0014F-J0
CORTA-CRR-CMP-AZ-pascua-yaqui-tribe-of-arizona-19930818-V01-0007,CRR-CMP-AZ-pascua-yaqui-tribe-of-arizona-19930818-V01-0007,CMP-AZ-pascua-yaqui-tribe-of-arizona-19930818,Pascua Yaqui Tribe of Arizona,Arizona,annual,Tribal Gaming Agency,YES,1993-08-18,Tribal Gaming Office,NIGC-ORD-20130415-01,2013-04-15,SUPERSEDED_BY_LATER_INSTRUMENT,AGENCY_NAME_NO_INSTRUMENT_COVERS_DATE,1,B,compact_required_reports.csv + gaming_ordinances.csv,2026-08-12,CE-0018S-2T
CORTA-CRR-CMP-AZ-pascua-yaqui-tribe-of-arizona-19930818-V01-0012,CRR-CMP-AZ-pascua-yaqui-tribe-of-arizona-19930818-V01-0012,CMP-AZ-pascua-yaqui-tribe-of-arizona-19930818,Pascua Yaqui Tribe of Arizona,Arizona,annual,Tribal Gaming Agency,YES,1993-08-18,Tribal Gaming Office,NIGC-ORD-20130415-01,2013-04-15,SUPERSEDED_BY_LATER_INSTRUMENT,AGENCY_NAME_NO_INSTRUMENT_COVERS_DATE,1,B,compact_required_reports.csv + gaming_ordinances.csv,2026-08-12,CE-0018S-2T
CORTA-CRR-CMP-CA-agua-caliente-band-of-cahuilla-ind-20161031-V01-0005,CRR-CMP-CA-agua-caliente-band-of-cahuilla-ind-20161031-V01-0005,CMP-CA-agua-caliente-band-of-cahuilla-ind-20161031,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",California,on_request,Tribal Gaming Agency,YES,2016-10-31,Gaming Commission,NIGC-ORD-19931115-01,1993-11-15,SUPERSEDED_BY_LATER_INSTRUMENT,AGENCY_NAME_IN_FORCE_AT_OBLIGATION_DATE,4,A,compact_required_reports.csv + gaming_ordinances.csv,2026-08-12,CE-0011V-BW
CORTA-CRR-CMP-CA-alturas-indian-rancheria-californi-20250708-V01-0001,CRR-CMP-CA-alturas-indian-rancheria-californi-20250708-V01-0001,CMP-CA-alturas-indian-rancheria-californi-20250708,"Alturas Indian Rancheria, California",California,within_30_days,Tribal Gaming Agency,YES,2025-07-08,Tribal Gaming Commission,NIGC-ORD-20080604-01,2008-06-04,SUPERSEDED_BY_LATER_INSTRUMENT,AGENCY_NAME_MOST_RECENT_PRIOR_INSTRUMENT,3,B,compact_required_reports.csv + gaming_ordinances.csv,2026-08-12,CE-00121-M2
CORTA-CRR-CMP-CA-fort-mojave-indian-tribe-of-arizon-20041220-V01-0001,CRR-CMP-CA-fort-mojave-indian-tribe-of-arizon-20041220-V01-0001,CMP-CA-fort-mojave-indian-tribe-of-arizon-20041220,"Fort Mojave Indian Tribe of Arizona, California & Nevada",California,within_10_days,Tribal Gaming Agency,YES,2004-12-20,Tribal Gaming Commission,NIGC-ORD-19980319-01,1998-03-19,SUPERSEDED_BY_LATER_INSTRUMENT,AGENCY_NAME_MOST_RECENT_PRIOR_INSTRUMENT,3,B,compact_required_reports.csv + gaming_ordinances.csv,2026-08-12,CE-00176-BF
CORTA-CRR-CMP-CA-quechan-tribe-of-the-fort-yuma-ind-20000516-V01-0003,CRR-CMP-CA-quechan-tribe-of-the-fort-yuma-ind-20000516-V01-0003,CMP-CA-quechan-tribe-of-the-fort-yuma-ind-20000516,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",California,on_request,Tribal Gaming Agency,YES,2000-05-16,Fort Yuma Indian Reservation. The Tribal Gaming Commission,NIGC-ORD-19950412-01,1995-04-12,SUPERSEDED_BY_LATER_INSTRUMENT,AGENCY_NAME_IN_FORCE_AT_OBLIGATION_DATE,3,A,compact_required_reports.csv + gaming_ordinances.csv,2026-08-12,CE-00191-QJ
CORTA-CRR-CMP-CA-quechan-tribe-of-the-fort-yuma-ind-20180122-V01-0009,CRR-CMP-CA-quechan-tribe-of-the-fort-yuma-ind-20180122-V01-0009,CMP-CA-quechan-tribe-of-the-fort-yuma-ind-20180122,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",California,unspecified,The Tribal Gaming Agency,YES,2018-01-22,Quechan Resolution No. R-209-02 the Tribal Gaming Commission,NIGC-ORD-20030127-01,2003-01-27,SUPERSEDED_BY_LATER_INSTRUMENT,AGENCY_NAME_MOST_RECENT_PRIOR_INSTRUMENT,3,B,compact_required_reports.csv + gaming_ordinances.csv,2026-08-12,CE-00191-QJ
CORTA-CRR-CMP-CA-united-auburn-indian-community-of-20000516-V01-0003,CRR-CMP-CA-united-auburn-indian-community-of-20000516-V01-0003,CMP-CA-united-auburn-indian-community-of-20000516,United Auburn Indian Community of the Auburn Rancheria of California,California,on_request,Tribal Gaming Agency,YES,2000-05-16,Tribal Gaming Agency,NIGC-ORD-20000224-01,2000-02-24,SUPERSEDED_BY_LATER_INSTRUMENT,AGENCY_NAME_IN_FORCE_AT_OBLIGATION_DATE,1,A,compact_required_reports.csv + gaming_ordinances.csv,2026-08-12,CE-00125-C6
CORTA-CRR-CMP-CA-united-auburn-indian-community-of-20180122-V01-0004,CRR-CMP-CA-united-auburn-indian-community-of-20180122-V01-0004,CMP-CA-united-auburn-indian-community-of-20180122,United Auburn Indian Community of the Auburn Rancheria of California,California,on_request,Tribal Gaming Agency,YES,2018-01-22,Tribal Gaming Agency,NIGC-ORD-20000224-01,2000-02-24,SUPERSEDED_BY_LATER_INSTRUMENT,AGENCY_NAME_MOST_RECENT_PRIOR_INSTRUMENT,1,B,compact_required_reports.csv + gaming_ordinances.csv,2026-08-12,CE-00125-C6
