report_id,compact_id,version_id,amendment_number,version_role,tribe_id,tribe_canonical_name,entity_id,tribe,state,obligation_type,frequency,recipient_agency,recipient_side,other_agencies_named,fields_required,report_subject_level,public_availability,version_has_confidentiality_provision,confidence_tier,is_instrument_language,effective_from,effective_from_basis,effective_to,effective_to_basis,doc_zone,source_page,source_pdf,source_url,source_quote,fetched_date,extraction_method,built_by_script,cedar_uid
CRR-CMP-AZ-yavapai-apache-nation-of-the-camp-20030205-V01-0005,CMP-AZ-yavapai-apache-nation-of-the-camp-20030205,CMP-AZ-yavapai-apache-nation-of-the-camp-20030205-V01,0,original-instrument,TRBF-CVERDE-00,Yavapai-Apache,TRBF-CVERDE-00,"Yavapai-Apache Nation of the Camp Verde Indian Reservation, Arizona",Arizona,REQUIRED_REPORT_EXISTS,within_30_days,State Gaming Agency,state,State Gaming Agency|State Gaming Agency,license,unspecified,NOT_STATED_IN_COMPACT,yes,B,yes,2003-02-05,compact original_effective_date,2009-03-25,superseded by CMP-AZ-yavapai-apache-nation-of-the-camp-20030205-V02,instrument_text,35,508_compliant_2003.02.05_yavapai-apache_nation_tribal_state_gaming_compact_0.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2003.02.05_yavapai-apache_nation_tribal_state_gaming_compact_0.pdf,"iness and financial  arrangements incidental thereto.  (e)  Notification of Change of Principals. After an entity is licensed by the Tribal Gaming  Office, or certified by the State Gaming Agency, it shall file a report of each change of its Principals  with the Tribal Gaming Office and the State Gaming Agency. Each new Principal shall file a  complete Application within (30) days after appointment or election. The Tribal Gaming Office shall  forward a copy of the Application to the State Gaming Agency. The entity's License shall remain  valid unless the Tribal Gaming Office disapproves the change or denies the Application. The  en",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,95_parse_compact_terms.py,CE-0013Z-D0
CRR-CMP-AZ-white-mountain-apache-tribe-of-the-20030205-V01-0005,CMP-AZ-white-mountain-apache-tribe-of-the-20030205,CMP-AZ-white-mountain-apache-tribe-of-the-20030205-V01,0,original-instrument,TRBF-WMTNAZ-00,White Mountain,TRBF-WMTNAZ-00,"White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",Arizona,REQUIRED_REPORT_EXISTS,within_30_days,State Gaming Agency,state,State Gaming Agency|State Gaming Agency,license,unspecified,NOT_STATED_IN_COMPACT,yes,B,yes,2003-02-05,compact original_effective_date,2009-03-25,superseded by CMP-AZ-white-mountain-apache-tribe-of-the-20030205-V02,instrument_text,39,508 Compliant 2003  White Mountain Apache Compact and Approval ltr.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202003%20%20White%20Mountain%20Apache%20Compact%20and%20Approval%20ltr.pdf,"iness and financial  arrangements incidental thereto.  (e)  Notification of Change of Principals. After an entity is licensed by the Tribal Gaming  Office, or certified by the State Gaming Agency, it shall file a report of each change of its Principals  with the Tribal Gaming Office and the State Gaming Agency. Each new Principal shall file a  complete Application within (30) days after appointment or election. The Tribal Gaming Office shall  forward a copy of the Application to the State Gaming Agency. The entity's License shall remain  valid unless the Tribal Gaming Office disapproves the change or denies the Application. The ent",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,95_parse_compact_terms.py,CE-001C7-AR
CRR-CMP-AZ-white-mountain-apache-tribe-of-the-20030205-V01-0015,CMP-AZ-white-mountain-apache-tribe-of-the-20030205,CMP-AZ-white-mountain-apache-tribe-of-the-20030205-V01,0,original-instrument,TRBF-WMTNAZ-00,White Mountain,TRBF-WMTNAZ-00,"White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",Arizona,REQUIRED_REPORT_EXISTS,unspecified,State Gaming Agency,state,The State Gaming Agency,handle|hold,unspecified,NOT_STATED_IN_COMPACT,yes,B,yes,2003-02-05,compact original_effective_date,2009-03-25,superseded by CMP-AZ-white-mountain-apache-tribe-of-the-20030205-V02,instrument_text,55,508 Compliant 2003  White Mountain Apache Compact and Approval ltr.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202003%20%20White%20Mountain%20Apache%20Compact%20and%20Approval%20ltr.pdf,"Tribe and the State shall investigate violations of State  gambling statutes and other criminal activities at the Gaming Facilities. To accommodate  investigations and intelligence sharing, the Tribe will provide that a police officer holding current  Arizona police officer standards and training certification is employed by the Gaming Facility  Operator, the Tribal Gaming Office, or the Tribal Police Department, and assigned to handle  gaming-related matters when they arise. Intelligence liaisons will be established at the Tribal  Police Department or Tribal Gaming Office and also at the State Gaming Agency. There will be  federal, Tribal, and State cooperation in task force investigations. The State Gaming Agency's  int",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,95_parse_compact_terms.py,CE-001C7-AR
CRR-CMP-AZ-havasupai-tribe-of-the-havasupai-r-20030205-V01-0012,CMP-AZ-havasupai-tribe-of-the-havasupai-r-20030205,CMP-AZ-havasupai-tribe-of-the-havasupai-r-20030205-V01,0,original-instrument,TRBF-HAVASP-00,Havasupai,TRBF-HAVASP-00,"Havasupai Tribe of the Havasupai Reservation, Arizona",Arizona,REQUIRED_REPORT_EXISTS,quarterly,State Gaming Agency,state,State Gaming  Agency,contribution|net win,unspecified,NOT_STATED_IN_COMPACT,yes,B,yes,2003-02-05,compact original_effective_date,2009-03-25,superseded by CMP-AZ-havasupai-tribe-of-the-havasupai-r-20030205-V02,instrument_text,48,508_compliant_2003.02.05_havasupai_indian_tribal_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2003.02.05_havasupai_indian_tribal_gaming_compact.pdf,"quarterly contribution will be calculated based on the Tribe's  Class Ill Net Win for the first full fiscal quarter after the Effective Date.  (4)  Following the State Gaming Agency's receipt of the annual audit pursuant to  Section 11 (f), any overpayment of monies by the Tribe pursuant to this Section  shall be credited to the Tribe's next quarterly contribution. Any underpayment  of monies shall be paid by the Tribe within thirty (30) days of the State Gaming  Agency's receipt of the annual audit.  (f)  Reduction of Tribal Contributions. In the event that Tribal contributions are reduced  pursuant to Sections 3(g) or (h), the Tribe shall make the reduced contributions under the terms of  this Section 12, and these monies shall be used in the manner set forth in A.RS. § 5­",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,95_parse_compact_terms.py,CE-0014X-6Y
CRR-CMP-AZ-hualapai-indian-tribe-of-the-huala-20030205-V01-0011,CMP-AZ-hualapai-indian-tribe-of-the-huala-20030205,CMP-AZ-hualapai-indian-tribe-of-the-huala-20030205-V01,0,original-instrument,TRBF-HUALAP-00,Hualapai,TRBF-HUALAP-00,"Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona",Arizona,REQUIRED_REPORT_EXISTS,quarterly,State Gaming Agency,state,State Gaming Agency,contribution|net win,unspecified,NOT_STATED_IN_COMPACT,yes,B,yes,2003-02-05,compact original_effective_date,2009-03-25,superseded by CMP-AZ-hualapai-indian-tribe-of-the-huala-20030205-V02,instrument_text,48,508_compliant_2003.02.05_hualapai_indian_tribe_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2003.02.05_hualapai_indian_tribe_tribal_state_gaming_compact.pdf,"ty Operator's fiscal year. Contributions shall be made no later  than twenty-five (25) days after the last day of each fiscal quarter.  (2)  At the time each quarterly contribution is made, the Tribe shall submit to the  State Gaming Agency a report indicating the Class 111 Net Win by Gaming  Activity for the quarter, and the amounts paid under Sections 12(c) and (d).  (3)  The Tribe's first quarterly contribution will be calculated based on the Tribe's  Class Ill Net Win for the first full fiscal quarter after the Effective Date.  (4)  Following the State Gaming Agency's receipt of the annual audit pursuant to  Section 11 (f), any overpayment of monies by the",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,95_parse_compact_terms.py,CE-00155-VP
CRR-CMP-AZ-salt-river-pima-maricopa-indian-co-20030205-V01-0006,CMP-AZ-salt-river-pima-maricopa-indian-co-20030205,CMP-AZ-salt-river-pima-maricopa-indian-co-20030205-V01,0,original-instrument,TRBF-SRPMCP-00,Salt River,TRBF-SRPMCP-00,"Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona",Arizona,REQUIRED_REPORT_EXISTS,unspecified,State Gaming Agency,state,State Gaming Agency|State Gaming Agency,license,unspecified,NOT_STATED_IN_COMPACT,yes,B,yes,2003-02-05,compact original_effective_date,2013-06-04,superseded by CMP-AZ-salt-river-pima-maricopa-indian-co-20030205-V02,instrument_text,41,508_compliant_2003.02.05_salt_river_pima-maricopa_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2003.02.05_salt_river_pima-maricopa_tribal_state_gaming_compact.pdf,"eported, the Tribal Gaming Office shall notify the State Gaming Agency. Upon  completion of any investigation of an unusual occurrence or a violation or suspected violation, the  Tribal Gaming Office shall provide copies of its investigative report to the State Gaming Agency, if  such disclosure will not compromise on-going law enforcement investigations or activities. In order  to efficiently and effectively regulate and monitor Gaming Activity, the Tribal Gaming Office and the  State Gaming Agency will enter into a memorandum of understanding calling for the sharing of  investigatory files, including at a minimum files for Persons licensed and/or certified p",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,95_parse_compact_terms.py,CE-001AT-JK
CRR-CMP-AZ-navajo-nation-arizona-new-mexico-u-20030205-V01-0005,CMP-AZ-navajo-nation-arizona-new-mexico-u-20030205,CMP-AZ-navajo-nation-arizona-new-mexico-u-20030205-V01,0,original-instrument,TRBF-NAVAJO-00,Navajo,TRBF-NAVAJO-00,"Navajo Nation, Arizona, New Mexico, & Utah",Arizona,REQUIRED_REPORT_EXISTS,within_30_days,State Gaming Agency,state,State Gaming Agency|State Gaming Agency,license,unspecified,NOT_STATED_IN_COMPACT,no,B,yes,2003-02-05,compact original_effective_date,2009-03-25,superseded by CMP-AZ-navajo-nation-arizona-new-mexico-u-20030205-V02,instrument_text,34,508_complaint_2003.02.05_navajo_nation_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_complaint_2003.02.05_navajo_nation_gaming_compact.pdf,"usiness and financial arrangements incidental thereto.  (e)  Notification of Change of Principals. After an entity is licensed by the Tribal Gaming Office, or certified by the State Gaming Agency, it shall file a report of each change of its Principals  with the Tribal Gaming Office and the State Gaming Agency. Each new Principal shall file a  complete Application within (30) days after appointment or election.! The Tribal Gaming Office shall  forward a copy of the Application to the State Gaming Agency. The entity's License shall remain  valid unless the Tribal Gaming Office disapproves the change or denies the Application. The en",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,95_parse_compact_terms.py,CE-0017F-1G
CRR-CMP-AZ-ak-chin-indian-community-20030205-V01-0004,CMP-AZ-ak-chin-indian-community-20030205,CMP-AZ-ak-chin-indian-community-20030205-V01,0,original-instrument,TRBF-AKCHIN-00,Ak Chin,TRBF-AKCHIN-00,Ak-Chin Indian Community,Arizona,REQUIRED_REPORT_EXISTS,within_30_days,State Gaming Agency,state,State Gaming Agency|State Gaming Agency,license,unspecified,NOT_STATED_IN_COMPACT,yes,B,yes,2003-02-05,compact original_effective_date,2009-03-25,superseded by CMP-AZ-ak-chin-indian-community-20030205-V02,instrument_text,34,508_compliant_2003.02.05_ak_chin_indian_community_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2003.02.05_ak_chin_indian_community_tribal_state_gaming_compact.pdf,"business and financial arrangements incidental thereto. (e) Notification of Change of Principals. After an entity is licensed by the Tribal Gaming Office, or certified by the State Gaming Agency, it shall file a report of each change of its Principals  with the Tribal Gaming Office and the State Gaming Agency. Each new Principal shall file a  complete Application within (30) days after appointment or election. The Tribal Gaming Office shall  forward a copy of the Application to the State Gaming Agency. The entity's License shall remain  valid unless the Tribal Gaming Office disapproves the change or denies the Application. The ent",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,95_parse_compact_terms.py,CE-0011Y-X7
CRR-CMP-AZ-zuni-tribe-of-the-zuni-reservation-20030703-V01-0006,CMP-AZ-zuni-tribe-of-the-zuni-reservation-20030703,CMP-AZ-zuni-tribe-of-the-zuni-reservation-20030703-V01,0,original-instrument,TRBF-ZUNINM-00,Zuni,TRBF-ZUNINM-00,"Zuni Tribe of the Zuni Reservation, New Mexico",Arizona,REQUIRED_REPORT_EXISTS,unspecified,State Gaming Agency,state,State Gaming Agency|State Gaming Agency,license,unspecified,NOT_STATED_IN_COMPACT,yes,B,yes,2003-07-03,compact original_effective_date,2009-03-25,superseded by CMP-AZ-zuni-tribe-of-the-zuni-reservation-20030703-V02,instrument_text,41,508_compliant_2003.07.03_zuni_tribe_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2003.07.03_zuni_tribe_tribal_state_gaming_compact.pdf,"eported, the Tribal Gaming Office shall notify the State Gaming Agency. Upon  completion of any investigation of an unusual occurrence or a violation or suspected violation, the  Tribal Gaming Office shall provide copies of its investigative report to the State Gaming Agency, if  such disclosure will not compromise on-going law enforcement investigations or activities. In order  to efficiently and effectively regulate and monitor Gaming Activity, the Tribal Gaming Office and the  State Gaming Agency will enter into a memorandum of understanding calling for the sharing of  investigatory files, including at a minimum files for Persons licensed and/or certified p",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,95_parse_compact_terms.py,CE-001CN-YP
CRR-CMP-CA-agua-caliente-band-of-cahuilla-ind-20000516-V01-0002,CMP-CA-agua-caliente-band-of-cahuilla-ind-20000516,CMP-CA-agua-caliente-band-of-cahuilla-ind-20000516-V01,0,original-instrument,TRBF-ACLNTE-00,Agua Caliente,TRBF-ACLNTE-00,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",California,REQUIRED_REPORT_EXISTS,within_10_days,Tribal Gaming Agency,tribal,Tribal  Gaming Agency,license,unspecified,NOT_STATED_IN_COMPACT,yes,B,yes,2000-05-16,compact original_effective_date,2020-12-31,compact term_end,instrument_text,19,508_compliant_2000.05.16_agua_caliente_band_of_cahuilla_indians_tribal_state_gaming_compact_0.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2000.05.16_agua_caliente_band_of_cahuilla_indians_tribal_state_gaming_compact_0.pdf,"taneously forwarded by  both agencies to the Tribal Chairperson. Upon certification by the Tribal Gaming  Agency's experts that a Gaming Facility meets applicable standards, the Tribal  Gaming Agency shall forward the experts' certification to the State within 10 days of  issuance. If the State's agent objects to that certification, the Tribe shall make a good  faith effort to address the State's concerns, but if the State does not withdraw its  objection, the matter will be resolved in accordance with the dispute resolution  provisions of Section 9.0.  Sec. 6.4.3. Suitability Standard Regarding Gaming Licenses.(a) In reviewing an  application for a ga",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,95_parse_compact_terms.py,CE-0011V-BW
