term_id,compact_id,version_id,amendment_number,version_seq,version_role,doc_kind,tribe_id,tribe_canonical_name,entity_id,tribe,state,term_field,value,value_numeric,unit,applies_to,measurement_type,revenue_concept,base_scope,formula_invertibility,bound_basis,revenue_evidence_class,effective_from,effective_from_basis,effective_to,effective_to_basis,confidence_tier,is_instrument_language,doc_zone,source_page,source_pdf,source_url,source_quote,fetched_date,extraction_method,entity_match_method,entity_tier,built_by_script,cedar_uid
CTM-CMP-CA-fort-mojave-indian-tribe-of-arizon-20041220-V01-0004,CMP-CA-fort-mojave-indian-tribe-of-arizon-20041220,CMP-CA-fort-mojave-indian-tribe-of-arizon-20041220-V01,0,1,original-instrument,instrument_text,TRBF-MOJAVE-00,Fort Mojave,TRBF-MOJAVE-00,"Fort Mojave Indian Tribe of Arizona, California & Nevada",California,revenue_sharing_rate,10,10,percent,,,Net Win,tribe,NOT_INVERTIBLE,per_device_payment_component_present,TRIBE_LEVEL_REVENUE,2004-12-20,compact original_effective_date,2025-12-31,compact term_end,B,yes,instrument_text,10,508_compliant_2004.12.20_fort_mojave_indian_tribe_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2004.12.20_fort_mojave_indian_tribe_tribal_state_gaming_compact.pdf,"nd Wood Reserve Project, if applicable, the  Fort Mojave Tribe shall pay to the State the following percentages of its Net Win  from the operation of Gaming Devices:  (i) As long as the Tribe has over 1,000 members, its payment of the  Net Win shall be based on the following schedule:  Annual Net Win  Percentage  $0-$50 million  10%  Over $50 million to $100 million  14%  . Over $100 million to $150 million  18%  Over $150 million to $200 million  22%  Over $200 million  25%  (ii) If the Tribe's membership falls between 500 and 1000 members, its  payment of the Net Win shall be based on the following schedule: Annual  Net Win",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,alias,A,95_parse_compact_terms.py,CE-00176-BF
CTM-CMP-CA-capitan-grande-band-of-diegueno-mi-20161031-V01-0007,CMP-CA-capitan-grande-band-of-diegueno-mi-20161031,CMP-CA-capitan-grande-band-of-diegueno-mi-20161031-V01,0,1,original-instrument,instrument_text,CNSF-CPTNGR-VJ,Viejas,CNSF-CPTNGR-VJ,"Capitan Grande Band of Diegueno Mission Indians of California: Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California",California,revenue_sharing_rate,6,6,percent,,,Gross Gaming Revenue,tribe,NOT_INVERTIBLE,3_distinct_rates_in_instrument,TRIBE_LEVEL_REVENUE,2016-10-31,compact original_effective_date,2041-12-31,compact term_end,B,yes,instrument_text,30,508_compliant_2016.10.31_viejas_band_of_kumeyaay_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2016.10.31_viejas_band_of_kumeyaay_tribal_state_gaming_compact.pdf,"enerated per Gaming  Device. If the Tribe operates two thousand five hundred and one  (2,501) to t hree thousand (3,000) Gaming D  evices during a ny quarter,  the Tribe shall pay to the State Gaming Agency six percent (6%) of  the Gross Gaming Revenue generated by such additional Gaming  Devices (Gross Gaming Revenue Per Device × [No. of Gaming  18",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,alias,A,95_parse_compact_terms.py,CE-000Q9-9H
CTM-CMP-CA-twenty-nine-palms-band-of-mission-20181227-V01-0001,CMP-CA-twenty-nine-palms-band-of-mission-20181227,CMP-CA-twenty-nine-palms-band-of-mission-20181227-V01,0,1,original-instrument,instrument_text,TRBF-TWNPLM-00,Twenty-Nine Palms,TRBF-TWNPLM-00,Twenty-Nine Palms Band of Mission Indians of California,California,revenue_sharing_rate,6,6,percent,,,Net Win,tribe,NOT_INVERTIBLE,2_distinct_rates_in_instrument,TRIBE_LEVEL_REVENUE,2018-12-27,compact original_effective_date,2043-12-27,compact term_end,B,yes,instrument_text,28,508 Compliant 2018.12.27 Twenty Nine palms deemed approved compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202018.12.27%20Twenty%20Nine%20palms%20deemed%20approved%20compact.pdf,"(b)  Effective July 1, 2022, if the Tribe operates no more than two  thousand five hundred (2,500) Gaming Devices at any time in a given  calendar year, it shall thereafter, including that calendar year, pay to  the State Gaming Agency, for deposit into the Revenue Sharing Trust  Fund or the Tribal Nation Grant Fund, six percent (6.0 %) of its Net  Win from the operation of Gaming Devices in excess of three hundred  fifty (350).  (c)  Effective July 1, 2022, if the Tribe operates two thousand five  hundred and one (2,501) Gaming Devices or more at any time in a  given calendar year, it shall thereafter, including that calendar ye",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,alias,A,95_parse_compact_terms.py,CE-001BR-BH
CTM-CMP-CA-shingle-springs-band-of-miwok-indi-20201211-V01-0002,CMP-CA-shingle-springs-band-of-miwok-indi-20201211,CMP-CA-shingle-springs-band-of-miwok-indi-20201211-V01,0,1,original-instrument,instrument_text,TRBF-SHSMWK-00,Shingle Springs,TRBF-SHSMWK-00,"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California",California,revenue_sharing_rate,15,15,percent,,,Net Win,tribe,NOT_INVERTIBLE,2_distinct_rates_in_instrument,TRIBE_LEVEL_REVENUE,2020-12-11,compact original_effective_date,2045-12-11,compact term_end,B,yes,instrument_text,26,508_compliant_2020.12.11_shingle_spring_band_of_miwok_indians_tribal_state_gaming_compact_0.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2020.12.11_shingle_spring_band_of_miwok_indians_tribal_state_gaming_compact_0.pdf,"ompact that may accrue, or accrued, as a result of the  operation of the Tribe’s Gaming Devices before July 1, 2020. Section 4.4 of the  2012 Amended Compact provides that the Tribe shall pay the State fifteen percent  (15%) of Net Win generated from the operation of the Tribe’s Gaming Devices  (the “Section 4.4 Payment”). Section 4.5 of the 2012 Amended Compact provides,  among other things, that the Section 4.4 Payment was reduced to zero from July 1,  2012, through June 30, 2015, and was, and is, subject to a Repositioning Cre",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,alias,A,95_parse_compact_terms.py,CE-001A1-W2
CTM-CMP-INDI-pokagon-band-of-potawatomi-indians-20210702-V01-0004,CMP-INDI-pokagon-band-of-potawatomi-indians-20210702,CMP-INDI-pokagon-band-of-potawatomi-indians-20210702-V01,0,1,original-instrument,instrument_text,TRBF-POKAGN-00,Pokagon,TRBF-POKAGN-00,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",Indiana,revenue_sharing_rate,8,8,percent,,,Net Win,tribe,NOT_INVERTIBLE,2_distinct_rates_in_instrument,TRIBE_LEVEL_REVENUE,2021-07-02,compact original_effective_date,2041-07-02,compact term_end,B,yes,instrument_text,36,508 Compliant 2020.07.02 Pokagon Band of Potawatomi Tribal State Gaming Compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202020.07.02%20Pokagon%20Band%20of%20Potawatomi%20Tribal%20State%20Gaming%20Compact.pdf,"or the meaningful concessions from the State  described in subsection 17(A) and provided that the State is not in breach of its  obligations regarding Expanded Gaming in the Exclusivity Area, the Band shall  make annual payments to the State of eight percent (8%) of the Net Win at its South  Bend Site Class III Gaming Facility. In the event that the State breaches its  obligations regarding Expanded Gaming in the Exclusivity Area, the Band’s  obligation to make the annual payment to the State described in this subsection 17(B)  shall immediately cease as o",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,alias,A,95_parse_compact_terms.py,CE-0018K-Y4
CTM-CMP-MI-little-traverse-bay-bands-of-odawa-20031210-V01-0002,CMP-MI-little-traverse-bay-bands-of-odawa-20031210,CMP-MI-little-traverse-bay-bands-of-odawa-20031210-V01,0,1,original-instrument,instrument_text,TRBF-LTRVRS-00,Little Traverse,TRBF-LTRVRS-00,"Little Traverse Bay Bands of Odawa Indians, Michigan",Michigan,revenue_sharing_rate,8,8,percent,,,net win,tribe,NOT_INVERTIBLE,2_distinct_rates_in_instrument,TRIBE_LEVEL_REVENUE,2003-12-10,compact original_effective_date,2028-12-10,compact term_end,B,yes,instrument_text,3,508_compliant_2003.12.10_little_traverse_bay_bands_of_odawa_indians_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2003.12.10_little_traverse_bay_bands_of_odawa_indians_tribal_state_gaming_compact.pdf,"n (C).  Section 17 (C) is amended to read as follows:  (C)  From and after the effective date of this Compact, and so long as the conditions  set forth in subsection (B) remain in effect, the Tribe will make semi-annual payments to  the State as follows:  (i)  Payment to the State, as directed by the Governor or designee, in an  amount equal to eight percent (8%) of the net win at the casino derived from all  Class III electronic games of chance operated at the Petoskey Site, as those games  are defined in this Compact. Payment to the State, as directed by the Governor or  designee, in an amount equal to ten percent (10%) of the first 50 million dollars  i",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,alias,A,95_parse_compact_terms.py,CE-0016D-GE
CTM-CMP-MI-nottawaseppi-huron-band-of-the-pot-19990218-V01-0005,CMP-MI-nottawaseppi-huron-band-of-the-pot-19990218,CMP-MI-nottawaseppi-huron-band-of-the-pot-19990218-V01,0,1,original-instrument,instrument_text,TRBF-NTWSPH-00,Nottawaseppi Potawatomi,TRBF-NTWSPH-00,"Nottawaseppi Huron Band of the Potawatomi, Michigan",Michigan,revenue_sharing_rate,2,2,percent,tribe_wide,,net win,facility,INVERTIBLE_FLAT_RATE,,EXACT_DERIVED_PROPERTY_REVENUE,1999-02-18,compact original_effective_date,2019-02-18,compact term_end,B,yes,instrument_text,22,508_compliant_1999.02.18_nottawaseppi_huron_band_of_potawatomi_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1999.02.18_nottawaseppi_huron_band_of_potawatomi_tribal_state_gaming_compact.pdf,"in paragraph (2) (a) of this subsection 18 (A) to be held by said treasurer for  and on behalf of the Local Revenue Sharing Board described below, as follows:  (I)  Payment in the aggregate amount equal to two percent (2%) of the net win at  each casino derived from all Class III electronic games of chance, as  those games are defined in this Compact. The county treasurer shall  disburse the payments received as specified by lawful vote of the Local  Revenue Sharing Board.  (2)  It is the State's intent, in this and its other Compa",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,alias,A,95_parse_compact_terms.py,CE-0017R-QH
CTM-CMP-MI-match-e-be-nash-she-wish-band-of-p-20090422-V01-0005,CMP-MI-match-e-be-nash-she-wish-band-of-p-20090422,CMP-MI-match-e-be-nash-she-wish-band-of-p-20090422-V01,0,1,original-instrument,instrument_text,TRBF-MEBNSW-00,Match-e-be-nash-she-wish Band,,Match-E-Be-Nash-She-Wish Band of Pottawatomi (previously listed as Match-E-Be-Nash-She-Wish Band of Pottawatomi Indians of Michigan),Michigan,revenue_sharing_rate,2,2,percent,facility,,Net Win,tribe,NOT_INVERTIBLE,2_distinct_rates_in_instrument,TRIBE_LEVEL_REVENUE,2009-04-22,compact original_effective_date,2029-04-22,compact term_end,B,yes,instrument_text,22,508_compliant_2009.04.22_match-e-be-nash-she-wish_band_of_pottawatomi_indians_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2009.04.22_match-e-be-nash-she-wish_band_of_pottawatomi_indians_tribal_state_gaming_compact.pdf,"Tribal Payments to Local Units of Government  (A)  In addition to the payments to the State in Section 15, the Tribe shall also  make payments in the manner described in this section in an amount equal to two percent  (2%) of the annual Net Win to the local units of government that are located in the  immediate vicinity of the casino or that are otherwise directly affected by the operation of  the casino. It is the intent of the State and the Tribe that the payments to local units of  government provided for in this section will be used p",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,containment,B,95_parse_compact_terms.py,CE-0016T-YK
CTM-CMP-NM-pueblo-of-santa-ana-new-mexico-19971105-V01-0009,CMP-NM-pueblo-of-santa-ana-new-mexico-19971105,CMP-NM-pueblo-of-santa-ana-new-mexico-19971105-V01,0,1,original-instrument,instrument_text,TRBF-STAANA-00,Pueblo of Santa Ana,TRBF-STAANA-00,"Pueblo of Santa Ana, New Mexico",New Mexico,revenue_sharing_rate,16,16,percent,,,net win,tribe,NOT_INVERTIBLE,per_device_payment_component_present,TRIBE_LEVEL_REVENUE,1997-11-05,compact original_effective_date,2006-11-05,compact term_end,B,yes,instrument_text,61,508_compliant_1997.11.05_pueblo_of_santa_ana_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1997.11.05_pueblo_of_santa_ana_tribal_state_gaming_compact.pdf,"l regulatory fees, with these amounts increasing  by five percent (5%) each year beginning on the first day of January occurring after  the Compact has been in effect for at least twelve months.      B.  The Tribe shall pay the state sixteen percent  (16%) of the net win.  C.  For purposes of these payments, all calculations  of amounts due shall be based upon the quarterly activity of the gaming facility.  Quarterly payments due to the State pursuant to these terms shall be paid no later  than twenty-five (25) days after the last day of each calend",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,alias,A,95_parse_compact_terms.py,CE-001AV-RC
CTM-CMP-NM-mescalero-apache-tribe-of-the-mesc-19970829-V01-0009,CMP-NM-mescalero-apache-tribe-of-the-mesc-19970829,CMP-NM-mescalero-apache-tribe-of-the-mesc-19970829-V01,0,1,original-instrument,instrument_text,TRBF-MSCLRO-00,Mescalero Apache,TRBF-MSCLRO-00,"Mescalero Apache Tribe of the Mescalero Reservation, New Mexico",New Mexico,revenue_sharing_rate,16,16,percent,,,net win,tribe,NOT_INVERTIBLE,per_device_payment_component_present,TRIBE_LEVEL_REVENUE,1997-08-29,compact original_effective_date,2006-08-29,compact term_end,B,yes,instrument_text,61,508_compliant_1997.08.23_mescalero_apache_tribe_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1997.08.23_mescalero_apache_tribe_tribal_state_gaming_compact.pdf,"ibal  regulatory fees, with these amounts increasing by five percent  (5%) each year beginning on the first day of January occurring  after the Compact has been in effect for at least twelve  months.  B. The Tribe shall pay the state sixteen percent (16%) of the net win. C.  For purposes of these payments, all calculations  of amounts due shall be based upon the quarterly activity of  the gaming facility.  Quarterly payments due to the State  pursuant to these terms shall be paid no later tban twenty­ five (25) days after the last day of each calen",2026-08-05,regex v5 (95_parse_compact_terms.py); page-wise PyMuPDF re-extraction; TOC and approval-letter zoning guards; verbatim quote and PDF page retained on every row,alias,A,95_parse_compact_terms.py,CE-0017A-3K
