version_id,compact_id,amendment_number,approval_date,FR_citation,what_changed,has_text,version_seq,version_role,bia_decision,approval_type,bia_title,bia_decision_date,approval_date_basis,FR_notice_url,bia_tribes_column,bia_tribes_column_conflict,doc_kind,text_chars,text_alpha_ratio,text_path,source_pdf,source_url,pre_2000_flag,floor_basis_field
CMP-AZ-quechan-tribe-of-the-fort-yuma-ind-19940114-V01,CMP-AZ-quechan-tribe-of-the-fort-yuma-ind-19940114,0,1994-01-14,FR Doc. 94-976,original-instrument,1,1,original-instrument,Approve,secretarial,Quechan Tribe Tribal State Gaming Compact,1994-01-14,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1994/01/14/94-976/indian-gaming-notice-department-of-the-interior,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",0,instrument_text,125768,0.904,508_compliant_1994.01.14_quechan_tribe_tribal_state_gaming_compact_0.txt,508_compliant_1994.01.14_quechan_tribe_tribal_state_gaming_compact_0.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1994.01.14_quechan_tribe_tribal_state_gaming_compact_0.pdf,1,approval_date
CMP-CA-capitan-grande-band-of-diegueno-mi-19981106-V01,CMP-CA-capitan-grande-band-of-diegueno-mi-19981106,0,1998-11-06,FR Doc. 98-29743,original-instrument,1,1,original-instrument,Approve,secretarial,Viejas (Baron Long)Group of Capitan Grande Band of Mission Indians of the Viejas Reservation Tribal State Gaming Compact,1998-11-06,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1998/11/06/98-29743/indian-gaming,"Capitan Grande Band of Diegueno Mission Indians of California: Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California",0,instrument_text,234672,0.9473,508_compliant_1998.11.06_viejas_group_of_capitan_grand_band_tribal_state_gaming_compact_0.txt,508_compliant_1998.11.06_viejas_group_of_capitan_grand_band_tribal_state_gaming_compact_0.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1998.11.06_viejas_group_of_capitan_grand_band_tribal_state_gaming_compact_0.pdf,1,approval_date
CMP-CA-jackson-band-of-miwuk-indians-19981022-V01,CMP-CA-jackson-band-of-miwuk-indians-19981022,0,1998-10-22,FR Doc. 98-28308,original-instrument,1,1,original-instrument,Approve,secretarial,Jackson Band of Miwuk Indians Tribal State Gaming Compact,1998-10-22,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1998/10/22/98-28308/indian-gaming,Jackson Band of Miwuk Indians,0,instrument_text,222732,0.9519,508_compliant_1998.10.22_jackson_rancheria_of_miwuk_indians_tribal_state_gaming_compact_0.txt,508_compliant_1998.10.22_jackson_rancheria_of_miwuk_indians_tribal_state_gaming_compact_0.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1998.10.22_jackson_rancheria_of_miwuk_indians_tribal_state_gaming_compact_0.pdf,1,approval_date
CMP-CO-southern-ute-indian-tribe-of-the-s-19950821-V01,CMP-CO-southern-ute-indian-tribe-of-the-s-19950821,0,1995-08-21,FR Doc. 95-20651,original-instrument,1,1,original-instrument,Approve,secretarial,Southern Ute Indian Tribe Tribal State Gaming Compact,1995-08-21,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1995/08/21/95-20651/indian-gaming,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado",0,instrument_text,58955,0.9667,508_compliant_1995.08.21_southern_ute_tribal_state_gaming_compact.txt,508_compliant_1995.08.21_southern_ute_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1995.08.21_southern_ute_tribal_state_gaming_compact.pdf,1,approval_date
CMP-IA-sac-fox-tribe-of-the-mississippi-i-19950623-V01,CMP-IA-sac-fox-tribe-of-the-mississippi-i-19950623,0,1995-06-23,FR Doc. 95-15405,original-instrument,1,1,original-instrument,Approve,secretarial,Sac & Fox Tribe of the Mississippi Tribal State Gaming Compact,1995-06-23,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1995/06/23/95-15405/indian-gaming,Sac & Fox Tribe of the Mississippi in Iowa,0,instrument_text,65285,0.9284,508_compliant_1995.06.23_sac_and_fox_tribe_of_the_mississippi_tribal_state_gaming_compact.txt,508_compliant_1995.06.23_sac_and_fox_tribe_of_the_mississippi_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1995.06.23_sac_and_fox_tribe_of_the_mississippi_tribal_state_gaming_compact.pdf,1,approval_date
CMP-KS-sac-fox-nation-of-missouri-in-kans-19951114-V01,CMP-KS-sac-fox-nation-of-missouri-in-kans-19951114,0,1995-11-14,FR Doc. 95-28035,original-instrument,1,1,original-instrument,Approve,secretarial,Sac and Fox Nation of Missouri in Kansas and Nebraska Tribal State Gaming Compact,1995-11-14,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1995/11/14/95-28035/indian-gaming,Sac & Fox Nation of Missouri in Kansas and Nebraska,0,instrument_text,88748,0.9475,508_compliant_1995.11.14_sac_fox_nation_tribal_state_gaming_compact.txt,508_compliant_1995.11.14_sac_fox_nation_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1995.11.14_sac_fox_nation_tribal_state_gaming_compact.pdf,1,approval_date
CMP-LA-tunica-biloxi-indian-tribe-19991126-V01,CMP-LA-tunica-biloxi-indian-tribe-19991126,0,1999-11-26,FR Doc. 99-30725,original-instrument,1,1,original-instrument,Approve,secretarial,Tunica-Biloxi Indian Tribe Tribal State Gaming Compact,1999-11-26,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1999/11/26/99-30725/indian-gaming,Tunica-Biloxi Indian Tribe,0,instrument_text,4488,0.9363,508_compliant_1999.11.26_tunica_biloxi_tribe_tribal_state_gaming_compact.txt,508_compliant_1999.11.26_tunica_biloxi_tribe_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1999.11.26_tunica_biloxi_tribe_tribal_state_gaming_compact.pdf,1,approval_date
CMP-MI-pokagon-band-of-potawatomi-indians-19990218-V01,CMP-MI-pokagon-band-of-potawatomi-indians-19990218,0,1999-02-18,FR Doc. 99-4005,original-instrument,1,1,original-instrument,Approve,secretarial,Pokagon Band of Potawatomi Indians Tribal State Gaming Compact,1999-02-18,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1999/02/18/99-4005/indian-gaming,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",0,instrument_text,50089,0.9561,508_compliant_1999.02.18_pokagon_band_of_potawatomi_tribal_state_gaming_compact.txt,508_compliant_1999.02.18_pokagon_band_of_potawatomi_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1999.02.18_pokagon_band_of_potawatomi_tribal_state_gaming_compact.pdf,1,approval_date
CMP-MT-assiniboine-and-sioux-tribes-of-th-19981019-V01,CMP-MT-assiniboine-and-sioux-tribes-of-th-19981019,0,1998-10-19,FR Doc. 98-27933,original-instrument,1,1,original-instrument,Approve,secretarial,Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation Tribal State Gaming Compact,1998-10-19,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1998/10/19/98-27933/indian-gaming,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",0,instrument_text,3454,0.9233,508_compliant_1998.10.19_assiniboine_and_sioux_tribes_tribal_state_gaming_compact_0.txt,508_compliant_1998.10.19_assiniboine_and_sioux_tribes_tribal_state_gaming_compact_0.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1998.10.19_assiniboine_and_sioux_tribes_tribal_state_gaming_compact_0.pdf,1,approval_date
CMP-MT-confederated-salish-and-kootenai-t-19970516-V01,CMP-MT-confederated-salish-and-kootenai-t-19970516,0,1997-05-16,FR Doc. 97-12821,original-instrument,1,1,original-instrument,Approve,secretarial,Kootenai Tribes Tribal State Gaming Compact,1997-05-16,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1997/05/16/97-12821/indian-gaming-notice-of-approved-tribal-state-compact,Confederated Salish and Kootenai Tribes of the Flathead Reservation,0,instrument_text,24157,0.9568,508_compliant_1997.05.16_kootenai_tribe_tribal_state_gaming_compact.txt,508_compliant_1997.05.16_kootenai_tribe_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1997.05.16_kootenai_tribe_tribal_state_gaming_compact.pdf,1,approval_date
