compact_id,entity_id,tribe,state,original_effective_date,approval_type,FR_citation,term_end,renewal_provisions,status,successor_compact_id,instrument_type,tribe_name_basis,bia_tribes_column,bia_tribes_column_conflict,bia_title,bia_decision,bia_decision_date,original_effective_date_basis,FR_notice_url,n_versions,term_end_basis,status_basis,source_pdf,source_url,pre_2000_flag,floor_basis_field,tribe_canonical_name,entity_match_method,entity_tier,entity_match_basis,entity_keyed_date,cedar_uid
CMP-CA-agua-caliente-band-of-cahuilla-ind-20000516,CE-0011V-BW,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",California,2000-05-16,secretarial,FR Doc. 00-12322,2020-12-31,,renegotiated,CMP-CA-agua-caliente-band-of-cahuilla-ind-20071219,compact,bia_tribes_column (agrees with BIA title),"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",0,Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation Tribal State Gaming Compact,Approve,2000-05-16,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/2000/05/16/00-12322/indian-gaming,1,"explicit termination date in instrument text, 508_compliant_2000.05.16_agua_caliente_band_of_cahuilla_indians_tribal_state_gaming_compact_0.pdf p.41",a later base instrument for the same state+tribe appears in the BIA index,508_compliant_2000.05.16_agua_caliente_band_of_cahuilla_indians_tribal_state_gaming_compact_0.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2000.05.16_agua_caliente_band_of_cahuilla_indians_tribal_state_gaming_compact_0.pdf,,original_effective_date,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",alias,A,resolver_alias,2026-08-06,CE-0011V-BW
CMP-CA-capitan-grande-band-of-diegueno-mi-19981022,CE-0013S-9A,Capitan Grande Band of Diegueno Mission Indians of California,California,1998-10-22,secretarial,FR Doc. 98-28313,2009-01-01,,renegotiated,CMP-CA-capitan-grande-band-of-diegueno-mi-20000516-2,compact,bia_tribes_column (agrees with BIA title),Capitan Grande Band of Diegueno Mission Indians of California,0,Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation Tribal State Gaming Compact,Approve,1998-10-22,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1998/10/22/98-28313/indian-gaming,1,"explicit termination date in instrument text, 508_compliant_1998.10.22_barona_band_tribal_state_gaming_compact.pdf p.13",a later base instrument for the same state+tribe appears in the BIA index,508_compliant_1998.10.22_barona_band_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1998.10.22_barona_band_tribal_state_gaming_compact.pdf,1,original_effective_date,"Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California; Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California)",alias,A,resolver_alias,2026-08-06,CE-0013S-9A
CMP-CA-tule-river-indian-tribe-of-the-tul-20180122,CE-001BM-KD,"Tule River Indian Tribe of the Tule River Reservation, California",California,2018-01-22,deemed-approved,FR Doc. 2018-01058,2043-01-22,automatically extend for an additional two (2) years,renegotiated,CMP-CA-tule-river-indian-tribe-of-the-tul-20201211,compact,bia_tribes_column (agrees with BIA title),"Tule River Indian Tribe of the Tule River Reservation, California",0,Tule River Indian Tribe of the Tule River Reservation Tribal State Gaming Compact,Deemed Approved,2018-01-22,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/2018/01/22/2018-01058/indian-gaming-tribal-state-class-iii-gaming-compacts-taking-effect-in-the-state-of-california,1,"computed: stated term of 25 years running from the effective date (2018-01-22, fr_publication_date_from_notice_url); quote at 508_compliant_2018.01.22_tule_river_indian_tribe_tribl_state_gaming_compact.pdf p.119",a later base instrument for the same state+tribe appears in the BIA index,508_compliant_2018.01.22_tule_river_indian_tribe_tribl_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2018.01.22_tule_river_indian_tribe_tribl_state_gaming_compact.pdf,,original_effective_date,"Tule River Indian Tribe of the Tule River Reservation, California",alias,A,resolver_alias,2026-08-06,CE-001BM-KD
CMP-CA-table-mountain-rancheria-19981222,CE-001B5-SP,Table Mountain Rancheria,California,1998-12-22,secretarial,FR Doc. 98-33798,2009-01-01,,renegotiated,CMP-CA-table-mountain-rancheria-20000516,compact,bia_tribes_column (agrees with BIA title),Table Mountain Rancheria,0,Table Mountain Rancheria Tribal State Gaming Compact,Approve,1998-12-22,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1998/12/22/98-33798/indian-gaming,1,"explicit termination date in instrument text, 508_compliant_1998.12.22_table_mountain_rancheria_tribal_state_gaming_compact.pdf p.13",a later base instrument for the same state+tribe appears in the BIA index,508_compliant_1998.12.22_table_mountain_rancheria_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1998.12.22_table_mountain_rancheria_tribal_state_gaming_compact.pdf,1,original_effective_date,Table Mountain Rancheria,alias,A,resolver_alias,2026-08-06,CE-001B5-SP
CMP-MI-little-river-band-of-ottawa-indian-19990218,CE-0016A-Y3,"Little River Band of Ottawa Indians, Michigan",Michigan,1999-02-18,secretarial,FR Doc. 99-4005,2019-02-18,,renegotiated,CMP-MI-little-river-band-of-ottawa-indian-20080421,compact,bia_tribes_column (agrees with BIA title),"Little River Band of Ottawa Indians, Michigan",0,Little River Band of Ottawa Indians Tribal State Gaming Compact,Approve,1999-02-18,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1999/02/18/99-4005/indian-gaming,1,"computed: stated term of 20 years running from the effective date (1999-02-18, fr_publication_date_from_notice_url); quote at 508_compliant_1999.02.18_little_river_band_of_ottawa_indians_tribal_state_gaming_compact.pdf p.17",a later base instrument for the same state+tribe appears in the BIA index,508_compliant_1999.02.18_little_river_band_of_ottawa_indians_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1999.02.18_little_river_band_of_ottawa_indians_tribal_state_gaming_compact.pdf,1,original_effective_date,"Little River Band of Ottawa Indians, Michigan",alias,A,resolver_alias,2026-08-06,CE-0016A-Y3
CMP-NM-jicarilla-apache-nation-new-mexico-19971105,CE-0015E-HQ,"Jicarilla Apache Nation, New Mexico",New Mexico,1997-11-05,deemed-approved,FR Doc. 97-29300,2006-11-05,,renegotiated,CMP-NM-jicarilla-apache-nation-new-mexico-20020115,compact,bia_tribes_column (agrees with BIA title),"Jicarilla Apache Nation, New Mexico",0,Jicarilla Apache Nation Tribal State Gaming Compact,Deemed Approved,1997-11-05,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1997/11/05/97-29300/notice-of-tribal-state-gaming-compact-taking-effect,1,"computed: stated term of 9 years running from the effective date (1997-11-05, fr_publication_date_from_notice_url); quote at 508_compliant_1997.11.05_jicarilla_apache_nation_tribal_state_gaming_compact.pdf p.56",a later base instrument for the same state+tribe appears in the BIA index,508_compliant_1997.11.05_jicarilla_apache_nation_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1997.11.05_jicarilla_apache_nation_tribal_state_gaming_compact.pdf,1,original_effective_date,"Jicarilla Apache Nation, New Mexico",alias,A,resolver_alias;contains_trap_token:apache;state corroborates (NM),2026-08-06,CE-0015E-HQ
CMP-NM-pueblo-of-san-felipe-new-mexico-19970829,CE-0019V-KW,"Pueblo of San Felipe, New Mexico",New Mexico,1997-08-29,deemed-approved,FR Doc. 97-22989,2006-08-29,,renegotiated,CMP-NM-pueblo-of-san-felipe-new-mexico-20011214,compact,bia_tribes_column (agrees with BIA title),"Pueblo of San Felipe, New Mexico",0,Pueblo of San Felipe Tribal State Gaming Compact,Deemed Approved,1997-08-29,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1997/08/29/97-22989/indian-gaming,1,"computed: stated term of 9 years running from the effective date (1997-08-29, fr_publication_date_from_notice_url); quote at 508_compliant_1997.08.29_pueblo_of_san_felipe_tribal_state_gaming_compact.pdf p.56",a later base instrument for the same state+tribe appears in the BIA index,508_compliant_1997.08.29_pueblo_of_san_felipe_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1997.08.29_pueblo_of_san_felipe_tribal_state_gaming_compact.pdf,1,original_effective_date,"Pueblo of San Felipe, New Mexico",alias,A,resolver_alias,2026-08-06,CE-0019V-KW
CMP-NM-pueblo-of-laguna-new-mexico-19970829,CE-00161-82,"Pueblo of Laguna, New Mexico",New Mexico,1997-08-29,deemed-approved,FR Doc. 97-22989,2006-08-29,,renegotiated,CMP-NM-pueblo-of-laguna-new-mexico-20011214,compact,bia_tribes_column (agrees with BIA title),"Pueblo of Laguna, New Mexico",0,Pueblo of Laguna Tribal State Gaming Compact,Deemed Approved,1997-08-29,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1997/08/29/97-22989/indian-gaming,1,"computed: stated term of 9 years running from the effective date (1997-08-29, fr_publication_date_from_notice_url); quote at 508_compliant_1997.08.29_pueblo_of_laguna_tribal_state_gaming_compact.pdf p.56",a later base instrument for the same state+tribe appears in the BIA index,508_compliant_1997.08.29_pueblo_of_laguna_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1997.08.29_pueblo_of_laguna_tribal_state_gaming_compact.pdf,1,original_effective_date,"Pueblo of Laguna, New Mexico",alias,A,resolver_alias,2026-08-06,CE-00161-82
CMP-NM-pueblo-of-pojoaque-new-mexico-19970829,CE-0018J-RB,"Pueblo of Pojoaque, New Mexico",New Mexico,1997-08-29,deemed-approved,FR Doc. 97-22989,2006-08-29,,renegotiated,CMP-NM-pueblo-of-pojoaque-new-mexico-20050825,compact,bia_tribes_column (agrees with BIA title),"Pueblo of Pojoaque, New Mexico",0,Pueblo of Pojoaque Tribal State Gaming Compact,Deemed Approved,1997-08-29,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1997/08/29/97-22989/indian-gaming,1,"computed: stated term of 9 years running from the effective date (1997-08-29, fr_publication_date_from_notice_url); quote at 508_compliant_1997.08.29_pueblo_of_pojoaque_tribal_state_gaming_compact.pdf p.56",a later base instrument for the same state+tribe appears in the BIA index,508_compliant_1997.08.29_pueblo_of_pojoaque_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1997.08.29_pueblo_of_pojoaque_tribal_state_gaming_compact.pdf,1,original_effective_date,"Pueblo of Pojoaque, New Mexico",alias,A,resolver_alias,2026-08-06,CE-0018J-RB
CMP-NC-eastern-band-of-cherokee-indians-19941003,CE-0014B-TW,Eastern Band of Cherokee Indians,North Carolina,1994-10-03,secretarial,FR Doc. 94-24337,2001-10-03,extended for periods of five years,renegotiated,CMP-NC-eastern-band-of-cherokee-indians-19960709,compact,bia_tribes_column (agrees with BIA title),Eastern Band of Cherokee Indians,0,Eastern Band of Cherokee Indians Tribal State Gaming Compact,Approve,1994-10-03,fr_publication_date_from_notice_url,https://www.federalregister.gov/documents/1994/10/03/94-24337/indian-gaming-notice-department-of-the-interior,1,"computed: stated term of 7 years running from the effective date (1994-10-03, fr_publication_date_from_notice_url); quote at 508_compliant_1994.10.03_eastern_band_of_cherokee_tribal_state_gaming_compact.pdf p.20",a later base instrument for the same state+tribe appears in the BIA index,508_compliant_1994.10.03_eastern_band_of_cherokee_tribal_state_gaming_compact.pdf,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1994.10.03_eastern_band_of_cherokee_tribal_state_gaming_compact.pdf,1,original_effective_date,Eastern Band of Cherokee Indians,alias,A,resolver_alias;contains_trap_token:cherokee;state corroborates (NC),2026-08-06,CE-0014B-TW
