digital_gaming_id,tribe_canonical_name,facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,state,product_type,license_type,brand,operator_entity_id,designee_entity_id,technology_provider,retail_available,mobile_on_premises,mobile_statewide,launch_date,launch_date_basis,cessation_date,current_status,compact_authority_cite,compact_authority_url,compact_authority_quote,authorisation_observed,operation_observed,source_url,source_quote,fetched_date,tier,confidence,entity_match_method,note,built_date,entity_id,entity_level,entity_tier,entity_tier_basis,entity_link_rung,entity_link_date,cedar_uid
DGR-MI-0001,"Bay Mills Indian Community, Michigan",,no facility_id on this row,,,MI,ONLINE_CASINO,internet gaming operator (Michigan Lawful Internet Gaming Act 2019 PA 152) / internet sports betting operator (2019 PA 149),DraftKings,CE-0012N-CP,,DraftKings,,,yes,2021-01-22,MGCB column 'Initial date of Operation',,operating,,,,no,yes,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Gaming---2026.xlsx?rev=ce2ca758c0814feda44a368f4ef853d1,"MGCB ""Internet Gaming 2026"": Operator ""Bay Mills Indian Community"" | Casino Name ""Bay Mills Resort & Casino/ Kings Club Casino"" | Platform Provider ""DraftKings"" | Initial date of Operation ""2021-01-22"". MGCB ""Authorized Online Gaming and Sports Betting Platform Providers in Michigan"": ""Bay Mills Indian Community"" | ""DraftKings"" | https://casino.draftkings.com/ https://casino.draftkings.com https://sportsbook.draftkings.com/ https://sportsbook.draftkings.com",2026-08-07,B,B,core,facility_id deliberately blank: Michigan internet gaming is statewide and has no property. The bricks-and-mortar casino MGCB names alongside this operator is Bay Mills Resort & Casino/ Kings Club Casino (Cedar VP-0306). Provider observed on MGCB workbook sheets 2022-2026.,2026-08-07,CE-0012N-CP,tribe,B,mirrored from this row's own tier,row_tribe_id_mirror,2026-08-26,CE-0012N-CP
DGR-MI-0005,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",,no facility_id on this row,,,MI,ONLINE_SPORTSBOOK,internet gaming operator (Michigan Lawful Internet Gaming Act 2019 PA 152) / internet sports betting operator (2019 PA 149),Caesars / World Series of Poker (WSOP),CE-0014T-MK,,Caesars/WSOP,,,yes,,"blank by rule: MGCB's initial date of operation belongs to the operator's FIRST platform era, not to this one",,operating,,,,no,yes,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Sports-Betting---2026.xlsx?rev=acf63aff5c034a44a79f6a934b2155a8,"MGCB ""Internet Sports Betting 2026"": Operator ""Grand Traverse Band of Ottawa and Chippewa Indians"" | Casino Name ""Leelenau Sands Casino/ Turtle Creek Casino"" | Platform Provider ""Caesars/WSOP"" | Initial date of Operation ""2021-01-22"". MGCB ""Authorized Online Gaming and Sports Betting Platform Providers in Michigan"": ""Grand Traverse Band of Ottawa and Chippewa Indians"" | ""Caesars / World Series of Poker (WSOP)"" | https://sportsbook.caesars.com/us/mi/bet/casino https://sportsbook.caesars.com/us/mi/bet/casino https://caesarspalaceonline.com/us/mi/casino https://caesarspalaceonline.com/us/mi/casino https://www.wsoponline.com/mi https://www.wsoponline.com/mi",2026-08-07,B,B,containment,facility_id deliberately blank: Michigan internet gaming is statewide and has no property. The bricks-and-mortar casino MGCB names alongside this operator is Leelenau Sands Casino/ Turtle Creek Casino (Cedar unkeyed). Provider observed on MGCB workbook sheets 2026.,2026-08-07,CE-0014T-MK,tribe,B,mirrored from this row's own tier,row_tribe_id_mirror,2026-08-26,CE-0014T-MK
DGR-MI-0009,"Hannahville Indian Community, Michigan",,no facility_id on this row,,,MI,ONLINE_SPORTSBOOK,internet gaming operator (Michigan Lawful Internet Gaming Act 2019 PA 152) / internet sports betting operator (2019 PA 149),Hard Rock Bet,CE-0014W-05,,Hard Rock Bet,,,yes,,"blank by rule: MGCB's initial date of operation belongs to the operator's FIRST platform era, not to this one",,operating,,,,no,yes,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Sports-Betting---2026.xlsx?rev=acf63aff5c034a44a79f6a934b2155a8,"MGCB ""Internet Sports Betting 2026"": Operator ""Hannahville Indian Community"" | Casino Name ""Island Resort & Casino"" | Platform Provider ""Hard Rock Bet"" | Initial date of Operation ""2021-01-22"". MGCB ""Authorized Online Gaming and Sports Betting Platform Providers in Michigan"": ""Hannahville Indian Community"" | ""Hard Rock Bet"" | https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.hardrock.bet%2Fcasino%2Fmichigan%2F&data=05%7C02%7CSchaenzerM%40michigan.gov%7Cb5799843ab7148c7285a08de327d51fe%7Cd5fb7087377742ad966a892ef47225d1%7C0%7C0%7C639003710976863234%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=jeQLAOdd4UjxldaZX8yjos%2FYuSpilCGYTdLO4hg8%2FpY%3D&reserved=0 https://www.hardrock.bet/casino/michigan/ https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.hardrock.bet%2Fsportsbook%2Fmichigan%2F&data=05%7C02%7CSchaenzerM%40michigan.gov%7Cb5799843ab7148c7285a08de327d51fe%7Cd5fb7087377742ad966a892ef47225d1%7C0%7C0%7C639003710976841763%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=3czBL6FSlraZ1mm41DHxI9YNG%2FwryKUN3U9GVuNwwDk%3D&reserved=0 https://www.hardrock.bet/sportsbook/michigan/",2026-08-07,B,B,core,"facility_id deliberately blank: Michigan internet gaming is statewide and has no property. The bricks-and-mortar casino MGCB names alongside this operator is Island Resort & Casino (Cedar CCP-5400). Provider observed on MGCB workbook sheets 2025-2026. MGCB spells this provider ""Hard Rock"" / ""Hard Rock Bet"" across its own sheets.",2026-08-07,CE-0014W-05,tribe,B,mirrored from this row's own tier,row_tribe_id_mirror,2026-08-26,CE-0014W-05
DGR-MI-0013,"Little River Band of Ottawa Indians, Michigan",,no facility_id on this row,,,MI,ONLINE_CASINO,internet gaming operator (Michigan Lawful Internet Gaming Act 2019 PA 152) / internet sports betting operator (2019 PA 149),BetRivers,CE-0016A-Y3,,BetRivers,,,yes,,"blank by rule: MGCB's initial date of operation belongs to the operator's FIRST platform era, not to this one",,operating,,,,no,yes,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Gaming---2026.xlsx?rev=ce2ca758c0814feda44a368f4ef853d1,"MGCB ""Internet Gaming 2026"": Operator ""Little River Band of Ottawa Indians"" | Casino Name ""Little River Casino Resort"" | Platform Provider ""BetRivers"" | Initial date of Operation ""2021-01-22"". MGCB ""Authorized Online Gaming and Sports Betting Platform Providers in Michigan"": ""Little River Band of Ottawa Indians"" | ""BetRivers"" | https://mi.betrivers.com/?page=all-games https://mi.betrivers.com/?page=all-games https://mi.betrivers.com/?page=sportsbook https://mi.betrivers.com/?page=sportsbook",2026-08-07,B,B,containment,facility_id deliberately blank: Michigan internet gaming is statewide and has no property. The bricks-and-mortar casino MGCB names alongside this operator is Little River Casino Resort (Cedar CCP-335600). Provider observed on MGCB workbook sheets 2026.,2026-08-07,CE-0016A-Y3,tribe,B,mirrored from this row's own tier,row_tribe_id_mirror,2026-08-26,CE-0016A-Y3
DGR-MI-0017,"Little Traverse Bay Bands of Odawa Indians, Michigan",,no facility_id on this row,,,MI,ONLINE_CASINO,internet gaming operator (Michigan Lawful Internet Gaming Act 2019 PA 152) / internet sports betting operator (2019 PA 149),bet365,CE-0016D-GE,,Bet365,,,yes,,"blank by rule: MGCB's initial date of operation belongs to the operator's FIRST platform era, not to this one",,operating,,,,no,yes,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Gaming---2026.xlsx?rev=ce2ca758c0814feda44a368f4ef853d1,"MGCB ""Internet Gaming 2026"": Operator ""Little Traverse Bay Bands of Odawa Indians"" | Casino Name ""Odawa Casino Resort Petoskey/ Odawa Casino Mackinaw City"" | Platform Provider ""Bet365"" | Initial date of Operation ""2021-01-29"". MGCB ""Authorized Online Gaming and Sports Betting Platform Providers in Michigan"": ""Little Traverse Bay Bands of Odawa Indians"" | ""bet365"" | https://casino.mi.bet365.com/ https://casino.mi.bet365.com/ https://www.mi.bet365.com/ https://www.mi.bet365.com/",2026-08-07,B,B,containment,facility_id deliberately blank: Michigan internet gaming is statewide and has no property. The bricks-and-mortar casino MGCB names alongside this operator is Odawa Casino Resort Petoskey/ Odawa Casino Mackinaw City (Cedar CCP-1034300). Provider observed on MGCB workbook sheets 2026.,2026-08-07,CE-0016D-GE,tribe,B,mirrored from this row's own tier,row_tribe_id_mirror,2026-08-26,CE-0016D-GE
DGR-MI-0021,Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan,,no facility_id on this row,,,MI,ONLINE_CASINO,internet gaming operator (Michigan Lawful Internet Gaming Act 2019 PA 152) / internet sports betting operator (2019 PA 149),Fanatics Sportsbook and Casino,CE-0016G-2S,,Fanatics,,,yes,,"blank by rule: MGCB's initial date of operation belongs to the operator's FIRST platform era, not to this one",,operating,,,,no,yes,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Gaming---2026.xlsx?rev=ce2ca758c0814feda44a368f4ef853d1,"MGCB ""Internet Gaming 2026"": Operator ""Lac Vieux Desert Band of Lake Superior Chippewa Indians"" | Casino Name ""Lac Vieux Desert Resort Casino"" | Platform Provider ""Fanatics"" | Initial date of Operation ""2021-05-04"". MGCB ""Authorized Online Gaming and Sports Betting Platform Providers in Michigan"": ""Lac Vieux Desert Band of Lake Superior Chippewa Indians"" | ""Fanatics Sportsbook and Casino"" | https://sportsbook.fanatics.com/ https://sportsbook.fanatics.com/",2026-08-07,B,B,containment,facility_id deliberately blank: Michigan internet gaming is statewide and has no property. The bricks-and-mortar casino MGCB names alongside this operator is Lac Vieux Desert Resort Casino (Cedar VP-0312). Provider observed on MGCB workbook sheets 2026.,2026-08-07,CE-0016G-2S,tribe,B,mirrored from this row's own tier,row_tribe_id_mirror,2026-08-26,CE-0016G-2S
DGR-MI-0025,Match-E-Be-Nash-She-Wish Band of Pottawatomi (previously listed as Match-E-Be-Nash-She-Wish Band of Pottawatomi Indians of Michigan),,no facility_id on this row,,,MI,ONLINE_CASINO,internet gaming operator (Michigan Lawful Internet Gaming Act 2019 PA 152) / internet sports betting operator (2019 PA 149),BetPARX,CE-0016T-YK,,BetPARX,,,yes,,"blank by rule: MGCB's initial date of operation belongs to the operator's FIRST platform era, not to this one",,operating,,,,no,yes,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Gaming---2026.xlsx?rev=ce2ca758c0814feda44a368f4ef853d1,"MGCB ""Internet Gaming 2026"": Operator ""Gun Lake Band of Pottawatomi Indians"" | Casino Name ""Gun Lake Casino"" | Platform Provider ""BetPARX"" | Initial date of Operation ""2021-04-23"". MGCB ""Authorized Online Gaming and Sports Betting Platform Providers in Michigan"": ""Gun Lake Tribe"" | ""BetPARX Casino"" | https://www.playgunlake.com/casino https://www.playgunlake.com/casino https://www.playgunlake.com/kambi https://www.playgunlake.com/kambi",2026-08-07,B,B,documented_alias(alias),facility_id deliberately blank: Michigan internet gaming is statewide and has no property. The bricks-and-mortar casino MGCB names alongside this operator is Gun Lake Casino (Cedar CCP-637500). Provider observed on MGCB workbook sheets 2026.,2026-08-07,CE-0016T-YK,tribe,B,mirrored from this row's own tier,row_tribe_id_mirror,2026-08-26,CE-0016T-YK
DGR-MI-0029,"Nottawaseppi Huron Band of the Potawatomi, Michigan",,no facility_id on this row,,,MI,ONLINE_CASINO,internet gaming operator (Michigan Lawful Internet Gaming Act 2019 PA 152) / internet sports betting operator (2019 PA 149),NeoGames,CE-0017R-QH,,NeoGames,,,yes,,"blank by rule: MGCB's initial date of operation belongs to the operator's FIRST platform era, not to this one",,operating,,,,no,yes,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Gaming---2026.xlsx?rev=ce2ca758c0814feda44a368f4ef853d1,"MGCB ""Internet Gaming 2026"": Operator ""Nottawaseppi Huron Band of Pottawatomi Indians (FireKeepers Casino)"" | Casino Name ""FireKeepers Casino"" | Platform Provider ""NeoGames"" | Initial date of Operation ""2021-07-12"". MGCB ""Authorized Online Gaming and Sports Betting Platform Providers in Michigan"": ""Nottawaseppi Huron Band of the Potawatomi"" | ""NeoGames"" | https://www.igaming.firekeeperscasino.com/ https://www.igaming.firekeeperscasino.com/",2026-08-07,B,B,documented_alias(containment),facility_id deliberately blank: Michigan internet gaming is statewide and has no property. The bricks-and-mortar casino MGCB names alongside this operator is FireKeepers Casino (Cedar CCP-658400). Provider observed on MGCB workbook sheets 2026.,2026-08-07,CE-0017R-QH,tribe,B,mirrored from this row's own tier,row_tribe_id_mirror,2026-08-26,CE-0017R-QH
DGR-MI-0033,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",,no facility_id on this row,,,MI,ONLINE_CASINO,internet gaming operator (Michigan Lawful Internet Gaming Act 2019 PA 152) / internet sports betting operator (2019 PA 149),Pala Interactive,CE-0018K-Y4,,Pala Interactive,,,yes,2021-02-15,MGCB column 'Initial date of Operation',,ceased_as_platform_provider,,,,no,yes,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Gaming---2024.xlsx?rev=fcc0b988a4614fcd80deb876435f79a2,"MGCB ""Internet Gaming 2024"": Operator ""Pokagon Band of Potawatomi Indians"" | Casino Name ""Four Winds Casino"" | Platform Provider ""Pala Interactive"" | Initial date of Operation ""2021-02-15""",2026-08-07,B,B,containment,"facility_id deliberately blank: Michigan internet gaming is statewide and has no property. The bricks-and-mortar casino MGCB names alongside this operator is Four Winds Casino (Cedar VP-0298). Provider observed on MGCB workbook sheets 2022-2024. NOT present on the 2026 sheet: this is a FORMER platform provider. cessation_date is blank because MGCB publishes no end date - only an absence, which dates the change no finer than a year.",2026-08-07,CE-0018K-Y4,tribe,B,mirrored from this row's own tier,row_tribe_id_mirror,2026-08-26,CE-0018K-Y4
DGR-MI-0038,Saginaw Chippewa Indian Tribe of Michigan,,no facility_id on this row,,,MI,ONLINE_SPORTSBOOK,internet gaming operator (Michigan Lawful Internet Gaming Act 2019 PA 152) / internet sports betting operator (2019 PA 149),GAN,CE-0019W-SN,,GAN,,,yes,2022-04-14,MGCB column 'Initial date of Operation',,operating,,,,no,yes,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Sports-Betting---2026.xlsx?rev=acf63aff5c034a44a79f6a934b2155a8,"MGCB ""Internet Sports Betting 2026"": Operator ""Soaring Eagle Gaming"" | Casino Name ""Soaring Eagle Casino"" | Platform Provider ""GAN"" | Initial date of Operation ""2022-04-14"". MGCB ""Authorized Online Gaming and Sports Betting Platform Providers in Michigan"": ""Saginaw Chippewa Indian Tribe of Michigan"" | ""GAN"" | https://playeagle.com/ https://playeagle.com https://playeagle.com/sports.shtml https://playeagle.com/sports.shtml",2026-08-07,B,B,documented_alias(alias),facility_id deliberately blank: Michigan internet gaming is statewide and has no property. The bricks-and-mortar casino MGCB names alongside this operator is Soaring Eagle Casino (Cedar CCP-25600). Provider observed on MGCB workbook sheets 2022-2026.,2026-08-07,CE-0019W-SN,tribe,B,mirrored from this row's own tier,row_tribe_id_mirror,2026-08-26,CE-0019W-SN
