report_id,audit_year,auditee_name,auditee_state,entity_id,entity_name,entity_match_method,entity_tier,source_authority,source_document_type,source_url,source_page,retrieved_at,term,terms_all,verbatim_quote,figures_in_quote,disclosure_class,measurement_type,measurement_type_basis,parse_quality,confidence_tier,scope_caution,built_date,cedar_uid
2022-09-CENSUS-0000186306,2022,ROSEBUD SIOUX TRIBE,SD,TRBF-ROSEBD-00,Rosebud,containment,B,"Federal Audit Clearinghouse (GSA), reporting package as submitted by the auditee",single_audit_reporting_package_pdf,https://app.fac.gov/dissemination/report/pdf/2022-09-CENSUS-0000186306,29,2026-08-12,casino,casino,"Transfers To
Transfers From
General
Fund
Department of
Health &
Human Services
Nonmajor
Governmental
Funds
Nonmajor
Enterprise
Funds
Total
General Fund
$
75,459
$
167,396
$
15,271
$
258,126
Department of Health & Human Services
986
986
Rosebud Casino
$ 1,400,000
1,400,000
Nonmajor Enterprise Funds
90,970
90,970
$ 1,490,970
$
75,459
$
167,396
$
16,257
$
1,750,082
Interfund transfers relate to match funds, loan payments, and administrative fees.","$
75,459|$
167,396|$
15,271|$
258,126|$ 1,400,000|$ 1,490,970|$
75,459|$
167,396|$
16,257|$
1,750,082",,,"REFUSED: 10 currency figures in one extracted block -- this is a flattened table, not a sentence, and its figures are not attributable to the matched term",SUSPECT_TABLE_FRAGMENT,B,"A gaming enterprise's figure is the ENTERPRISE's. An enterprise routinely operates several properties, so this is never property-level GGR and is never summed with a property series.",2026-08-12,CE-0019E-5Q
2021-09-CENSUS-0000186306,2021,ROSEBUD SIOUX TRIBE,SD,TRBF-ROSEBD-00,Rosebud,containment,B,"Federal Audit Clearinghouse (GSA), reporting package as submitted by the auditee",single_audit_reporting_package_pdf,https://app.fac.gov/dissemination/report/pdf/2021-09-CENSUS-0000186306,29,2026-08-12,casino,casino|component_unit|related_party,"ROSEBUD SIOUX TRIBE
General and Grant Funds Department
Notes to the Financial Statements
Year Ended September 30, 2021
Note 8 - External Transactions With Component Units and Other Related Party Transactions - Continued
The Department has advanced Rosebud Economic Development Corporation (REDCO) $723,004 in relation to
the planned casino project.","$723,004",,,"NO TYPE ASSIGNED: the sentence is a disclosure, not a measure -- either it carries no figure or its scope is not established by its own words",SENTENCE,B,"A gaming enterprise's figure is the ENTERPRISE's. An enterprise routinely operates several properties, so this is never property-level GGR and is never summed with a property series.",2026-08-12,CE-0019E-5Q
2019-09-CENSUS-0000165989,2019,MUSCOGEE CREEK NATION,OK,TRBF-MSENAT-00,The Muscogee (Creek) Nation,core,A,"Federal Audit Clearinghouse (GSA), reporting package as submitted by the auditee",single_audit_reporting_package_pdf,https://app.fac.gov/dissemination/report/pdf/2019-09-CENSUS-0000165989,15,2026-08-12,casino,casino,"ECONOMIC FACTORS AND NEXT YEAR’S BUDGET
Due largely to flooding in the spring of 2019 at the River Spirit Casino along the Arkansas River in Tulsa, 
Oklahoma, profit distributions to the Nation decreased by approximately $11 million in 2019 compared to 
2018.",$11 million,,,"NO TYPE ASSIGNED: the sentence is a disclosure, not a measure -- either it carries no figure or its scope is not established by its own words",SENTENCE,B,"A gaming enterprise's figure is the ENTERPRISE's. An enterprise routinely operates several properties, so this is never property-level GGR and is never summed with a property series.",2026-08-12,CE-0017B-9C
2024-12-GSAFAC-0000383970,2024,SAULT STE. MARIE TRIBE OF CHIPPEWA INDIANS,MI,TRBF-SMARIE-00,Sault Ste. Marie,containment,B,"Federal Audit Clearinghouse (GSA), reporting package as submitted by the auditee",single_audit_reporting_package_pdf,https://app.fac.gov/dissemination/report/pdf/2024-12-GSAFAC-0000383970,34,2026-08-12,machine_participation,machine_participation|net_win|gaming_authority,"Gaming Participation and Third-Party License Arrangements
The Gaming Authority leases some of its slot machines from gaming equipment manufacturers under
participation arrangements, whereby the gaming manufacturer receives a percentage of the handle or net
win associated with the leased machine.",,MACHINE_PARTICIPATION_ARRANGEMENT,,"NO TYPE ASSIGNED: the sentence is a disclosure, not a measure -- either it carries no figure or its scope is not established by its own words",SENTENCE,B,"A gaming enterprise's figure is the ENTERPRISE's. An enterprise routinely operates several properties, so this is never property-level GGR and is never summed with a property series.",2026-08-12,CE-001A7-0R
2024-12-GSAFAC-0000383970,2024,SAULT STE. MARIE TRIBE OF CHIPPEWA INDIANS,MI,TRBF-SMARIE-00,Sault Ste. Marie,containment,B,"Federal Audit Clearinghouse (GSA), reporting package as submitted by the auditee",single_audit_reporting_package_pdf,https://app.fac.gov/dissemination/report/pdf/2024-12-GSAFAC-0000383970,52,2026-08-12,gaming_authority,gaming_authority,"Year Ending
Internal Service Funds
December 31,
Principal
Interest
2025
$
873,655
$
175,460
2026
887,655
150,818
2027
826,655
125,530
2028
445,356
104,853
2029
337,000
89,310
2030 - 2034
1,368,000
208,975
2035 - 2039
287,001
13,150
$
5,025,322
$
868,096
Business-Type Activities - Gaming Authority
The changes in the Gaming Authority's long-term debt for the year ended December 31, 2024, are as
follows:","$
873,655|$
175,460|$
5,025,322|$
868,096",,,"REFUSED: 4 currency figures in one extracted block -- this is a flattened table, not a sentence, and its figures are not attributable to the matched term",SUSPECT_TABLE_FRAGMENT,B,"A gaming enterprise's figure is the ENTERPRISE's. An enterprise routinely operates several properties, so this is never property-level GGR and is never summed with a property series.",2026-08-12,CE-001A7-0R
2024-12-GSAFAC-0000383970,2024,SAULT STE. MARIE TRIBE OF CHIPPEWA INDIANS,MI,TRBF-SMARIE-00,Sault Ste. Marie,containment,B,"Federal Audit Clearinghouse (GSA), reporting package as submitted by the auditee",single_audit_reporting_package_pdf,https://app.fac.gov/dissemination/report/pdf/2024-12-GSAFAC-0000383970,63,2026-08-12,gaming_authority,gaming_authority,"The Gaming Authority amended the Settlement Agreement on May 14, 2025 and recorded a $5 million
settlement loss in 2025 due to the default.",$5 million,,,"NO TYPE ASSIGNED: the sentence is a disclosure, not a measure -- either it carries no figure or its scope is not established by its own words",SENTENCE,B,"A gaming enterprise's figure is the ENTERPRISE's. An enterprise routinely operates several properties, so this is never property-level GGR and is never summed with a property series.",2026-08-12,CE-001A7-0R
2016-09-CENSUS-0000152717,2016,MISSISSIPPI BAND OF CHOCTAW INDIANS,MS,TRBF-MSBCTW-00,Mississippi Choctaw,core,A,"Federal Audit Clearinghouse (GSA), reporting package as submitted by the auditee",single_audit_reporting_package_pdf,https://app.fac.gov/dissemination/report/pdf/2016-09-CENSUS-0000152717,13,2026-08-12,component_unit,component_unit,"While the Primary Government’s transfers from non-gaming component units remained at $300,000, 
transfers from the Choctaw Resort Development Enterprise – a wholly owned component of the 
Primary Government – increased $3 million to $68.3 million during fiscal year 2016.","$300,000,|$3 million|$68.3 million",,,"NO TYPE ASSIGNED: the sentence is a disclosure, not a measure -- either it carries no figure or its scope is not established by its own words",SENTENCE,B,"A gaming enterprise's figure is the ENTERPRISE's. An enterprise routinely operates several properties, so this is never property-level GGR and is never summed with a property series.",2026-08-12,CE-00179-XT
2021-09-CENSUS-0000192887,2021,TURTLE MOUNTAIN BAND OF CHIPPEWA INDIANS,ND,TRBF-TURTLM-00,Turtle Mountain,containment,B,"Federal Audit Clearinghouse (GSA), reporting package as submitted by the auditee",single_audit_reporting_package_pdf,https://app.fac.gov/dissemination/report/pdf/2021-09-CENSUS-0000192887,26,2026-08-12,casino,casino,"During the year ended September 30, 2021, the Department sent CARES Act funds of $2,489,552 to the Sky 
Dancer Casino and Resort that were used to cover operating expenses due to the closure of the casino as 
required by the pandemic.","$2,489,552",,,"NO TYPE ASSIGNED: the sentence is a disclosure, not a measure -- either it carries no figure or its scope is not established by its own words",SENTENCE,B,"A gaming enterprise's figure is the ENTERPRISE's. An enterprise routinely operates several properties, so this is never property-level GGR and is never summed with a property series.",2026-08-12,CE-001BQ-5R
2022-12-CENSUS-0000150622,2022,SAULT STE. MARIE TRIBE OF CHIPPEWA INDIANS,MI,TRBF-SMARIE-00,Sault Ste. Marie,containment,B,"Federal Audit Clearinghouse (GSA), reporting package as submitted by the auditee",single_audit_reporting_package_pdf,https://app.fac.gov/dissemination/report/pdf/2022-12-CENSUS-0000150622,35,2026-08-12,gaming_authority,gaming_authority,"Governmental
Activities
General Fund
Statement of
Net Position
Balance Sheet
Lease receivable at January 1, 2022
$
796,826
$
796,826
Deferred inflow of resources at January 1,
2022
(796,826)
(796,826)
Impact on net position and fund balance
$
-
$
-
The Gaming Authority recognized leased assets of $162,900 offset by leases payable of $158,656 and a
net position increase of $4,244 at the adoption of the standard on January 1, 2022.","$
796,826|$
796,826|$162,900|$158,656|$4,244",,,"REFUSED: 5 currency figures in one extracted block -- this is a flattened table, not a sentence, and its figures are not attributable to the matched term",SUSPECT_TABLE_FRAGMENT,B,"A gaming enterprise's figure is the ENTERPRISE's. An enterprise routinely operates several properties, so this is never property-level GGR and is never summed with a property series.",2026-08-12,CE-001A7-0R
2020-12-CENSUS-0000196210,2020,ROBINSON RANCHERIA OF POMO INDIANS OF CALIFORNIA,CA,TRBF-ROBNSN-00,Robinson,containment,B,"Federal Audit Clearinghouse (GSA), reporting package as submitted by the auditee",single_audit_reporting_package_pdf,https://app.fac.gov/dissemination/report/pdf/2020-12-CENSUS-0000196210,37,2026-08-12,machine_participation,machine_participation,"FY 2020
Gaming machines
$
8,963,507
Table games
524,777
Bingo
295,086
Total gaming revenues
$
9,783,370
Participation Agreements:","$
8,963,507|$
9,783,370",MACHINE_PARTICIPATION_ARRANGEMENT,,REFUSED: the sentence carries a gaming REVENUE total; its figures are not participation expense,SENTENCE,B,"A gaming enterprise's figure is the ENTERPRISE's. An enterprise routinely operates several properties, so this is never property-level GGR and is never summed with a property series.",2026-08-12,CE-0019C-S5
