payment_id,state,fund,direction,recipient_type,tribe_id,tribe_canonical_name,party_name_as_published,facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,metric,value,unit,value_as_published,published_unit,period_start,period_end,period_basis,period_label,conference_date,measurement_type,is_forecast,revenue_evidence_class,governing_compact_id,compact_rate_schedule,compact_rate_min_pct,compact_rate_max_pct,compact_revenue_concept,compact_base_scope,compact_guaranteed_minimum,payment_invertible,derived_revenue_bound_value,derived_bound_direction,derived_revenue_scope,bound_basis,compact_term_source_url,compact_term_source_quote,confidence_tier,entity_match_method,entity_tier,exclusion_flag,exclusion_reason,source_authority,source_document_type,source_url,source_page,source_quote,source_link_text,zone_header,foot_status,foot_detail,document_status,fetched_date,built_date,built_by_script,cedar_uid
FLGP-000303,FL,Florida Indian Gaming revenue share,paid_in,state_of_florida,TRBF-SMNLFL-00,Seminole,Seminole Tribe of Florida,,no facility_id on this row,,,forecast_net_win_all_covered_games,903300000.0,USD,903.3,USD millions,2025-07-01,2026-06-30,revenue_sharing_cycle_as_labelled_by_edr,2025-26 cycle,2026-01-09,PROJECTED,yes,NO_REVENUE_OBSERVATION,CMP-FL-seminole-tribe-of-florida-20210811,"Slot Machines 12%-25%; Table Games 15%-25%; Sports Betting 13.75%; Sports Betting via a Qualified Pari-mutuel Permitholder brand 10% - all of Net Win, by band",10.0,25.0,Net Win,tribe,"$1.5bn by the end of the 3rd cycle, $2.5bn by the end of the 5th cycle, and not less than $400m for any cycle in the first five years",not_a_payment_a_state_forecast,,,,A Revenue Estimating Conference forecast. EDR estimates Net Win in order to forecast the payment; for a period that had not closed there is no reported figure behind it.,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202021.08.11%20Seminole%20Tribe%20Gaming%20Compact.pdf,"Ten percent (10%) of Net Win received by the Tribe from the operation and play of Sports Betting, during each Revenue Sharing Cycle, on such wagering by Patrons who access the Tribe's wagering platform via software that uses a brand of a Qualified Pari-mutuel Permitholder pursuant to Part III, Section CC.3. 2. Monthly Payment of Revenue Share Payments (a) On or before the fifte",B,alias,B,state_forecast_not_an_observation,Adopted forecast of the Revenue Estimating Conference. EDR estimates Net Win in order to forecast the payment; the Tribe does not publish Net Win and the compact marks what it gives the State confidential. Never read as a reported revenue.,"Florida Legislature, Office of Economic and Demographic Research",edr_revenue_estimating_conference,http://edr.state.fl.us/Content/conferences/Indian-gaming/IndianGamingSummary.pdf,1,"2025-26 903.3 1,032.6 129.3 14.3%",Executive Summary,"August 2025, total revenue share ran $22.6 million higher than expected (2.6 percent); however, since the",foots,rev_share/net_win==printed_effective_rate,latest_statement_for_period,2026-08-07,2026-08-07,code/105_build_florida_gaming.py,CE-001A9-CA
FLGP-000307,FL,Florida Indian Gaming revenue share,paid_in,state_of_florida,TRBF-SMNLFL-00,Seminole,Seminole Tribe of Florida,,no facility_id on this row,,,forecast_revenue_share_all_covered_games,163800000.0,USD,163.8,USD millions,2026-07-01,2027-06-30,revenue_sharing_cycle_as_labelled_by_edr,2026-27 cycle,2026-01-09,PROJECTED,yes,NO_REVENUE_OBSERVATION,CMP-FL-seminole-tribe-of-florida-20210811,"Slot Machines 12%-25%; Table Games 15%-25%; Sports Betting 13.75%; Sports Betting via a Qualified Pari-mutuel Permitholder brand 10% - all of Net Win, by band",10.0,25.0,Net Win,tribe,"$1.5bn by the end of the 3rd cycle, $2.5bn by the end of the 5th cycle, and not less than $400m for any cycle in the first five years",not_a_payment_a_state_forecast,,,,A Revenue Estimating Conference forecast. EDR estimates Net Win in order to forecast the payment; for a period that had not closed there is no reported figure behind it.,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202021.08.11%20Seminole%20Tribe%20Gaming%20Compact.pdf,"Ten percent (10%) of Net Win received by the Tribe from the operation and play of Sports Betting, during each Revenue Sharing Cycle, on such wagering by Patrons who access the Tribe's wagering platform via software that uses a brand of a Qualified Pari-mutuel Permitholder pursuant to Part III, Section CC.3. 2. Monthly Payment of Revenue Share Payments (a) On or before the fifte",B,alias,B,state_forecast_not_an_observation,Adopted forecast of the Revenue Estimating Conference. EDR estimates Net Win in order to forecast the payment; the Tribe does not publish Net Win and the compact marks what it gives the State confidential. Never read as a reported revenue.,"Florida Legislature, Office of Economic and Demographic Research",edr_revenue_estimating_conference,http://edr.state.fl.us/Content/conferences/Indian-gaming/IndianGamingSummary.pdf,1,"2026-27 941.1 1,104.9 163.8 17.4%",Executive Summary,"August 2025, total revenue share ran $22.6 million higher than expected (2.6 percent); however, since the",foots,rev_share/net_win==printed_effective_rate,latest_statement_for_period,2026-08-07,2026-08-07,code/105_build_florida_gaming.py,CE-001A9-CA
FLGP-000311,FL,Florida Indian Gaming revenue share,paid_in,state_of_florida,TRBF-SMNLFL-00,Seminole,Seminole Tribe of Florida,,no facility_id on this row,,,forecast_effective_share_rate_all_covered_games,16.6,percent,16.6,percent,2027-07-01,2028-06-30,revenue_sharing_cycle_as_labelled_by_edr,2027-28 cycle,2026-01-09,PROJECTED,yes,NO_REVENUE_OBSERVATION,CMP-FL-seminole-tribe-of-florida-20210811,"Slot Machines 12%-25%; Table Games 15%-25%; Sports Betting 13.75%; Sports Betting via a Qualified Pari-mutuel Permitholder brand 10% - all of Net Win, by band",10.0,25.0,Net Win,tribe,"$1.5bn by the end of the 3rd cycle, $2.5bn by the end of the 5th cycle, and not less than $400m for any cycle in the first five years",not_a_payment_a_state_forecast,,,,A Revenue Estimating Conference forecast. EDR estimates Net Win in order to forecast the payment; for a period that had not closed there is no reported figure behind it.,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202021.08.11%20Seminole%20Tribe%20Gaming%20Compact.pdf,"Ten percent (10%) of Net Win received by the Tribe from the operation and play of Sports Betting, during each Revenue Sharing Cycle, on such wagering by Patrons who access the Tribe's wagering platform via software that uses a brand of a Qualified Pari-mutuel Permitholder pursuant to Part III, Section CC.3. 2. Monthly Payment of Revenue Share Payments (a) On or before the fifte",B,alias,B,state_forecast_not_an_observation,Adopted forecast of the Revenue Estimating Conference. EDR estimates Net Win in order to forecast the payment; the Tribe does not publish Net Win and the compact marks what it gives the State confidential. Never read as a reported revenue.,"Florida Legislature, Office of Economic and Demographic Research",edr_revenue_estimating_conference,http://edr.state.fl.us/Content/conferences/Indian-gaming/IndianGamingSummary.pdf,1,"2027-28 989.7 1,154.4 164.7 16.6%",Executive Summary,"August 2025, total revenue share ran $22.6 million higher than expected (2.6 percent); however, since the",foots,rev_share/net_win==printed_effective_rate,latest_statement_for_period,2026-08-07,2026-08-07,code/105_build_florida_gaming.py,CE-001A9-CA
FLGP-000315,FL,Florida Indian Gaming revenue share,paid_in,state_of_florida,TRBF-SMNLFL-00,Seminole,Seminole Tribe of Florida,,no facility_id on this row,,,forecast_net_win_all_covered_games,1093200000.0,USD,1093.2,USD millions,2029-07-01,2030-06-30,revenue_sharing_cycle_as_labelled_by_edr,2029-30 cycle,2026-01-09,PROJECTED,yes,NO_REVENUE_OBSERVATION,CMP-FL-seminole-tribe-of-florida-20210811,"Slot Machines 12%-25%; Table Games 15%-25%; Sports Betting 13.75%; Sports Betting via a Qualified Pari-mutuel Permitholder brand 10% - all of Net Win, by band",10.0,25.0,Net Win,tribe,"$1.5bn by the end of the 3rd cycle, $2.5bn by the end of the 5th cycle, and not less than $400m for any cycle in the first five years",not_a_payment_a_state_forecast,,,,A Revenue Estimating Conference forecast. EDR estimates Net Win in order to forecast the payment; for a period that had not closed there is no reported figure behind it.,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202021.08.11%20Seminole%20Tribe%20Gaming%20Compact.pdf,"Ten percent (10%) of Net Win received by the Tribe from the operation and play of Sports Betting, during each Revenue Sharing Cycle, on such wagering by Patrons who access the Tribe's wagering platform via software that uses a brand of a Qualified Pari-mutuel Permitholder pursuant to Part III, Section CC.3. 2. Monthly Payment of Revenue Share Payments (a) On or before the fifte",B,alias,B,state_forecast_not_an_observation,Adopted forecast of the Revenue Estimating Conference. EDR estimates Net Win in order to forecast the payment; the Tribe does not publish Net Win and the compact marks what it gives the State confidential. Never read as a reported revenue.,"Florida Legislature, Office of Economic and Demographic Research",edr_revenue_estimating_conference,http://edr.state.fl.us/Content/conferences/Indian-gaming/IndianGamingSummary.pdf,1,"2029-30 1,093.2 1,263.9 170.7 15.6%",Executive Summary,"August 2025, total revenue share ran $22.6 million higher than expected (2.6 percent); however, since the",foots,rev_share/net_win==printed_effective_rate,latest_statement_for_period,2026-08-07,2026-08-07,code/105_build_florida_gaming.py,CE-001A9-CA
FLGP-000319,FL,Florida Indian Gaming revenue share,paid_in,state_of_florida,TRBF-SMNLFL-00,Seminole,Seminole Tribe of Florida,,no facility_id on this row,,,forecast_revenue_share_all_covered_games,174300000.0,USD,174.3,USD millions,2030-07-01,2031-06-30,revenue_sharing_cycle_as_labelled_by_edr,2030-31 cycle,2026-01-09,PROJECTED,yes,NO_REVENUE_OBSERVATION,CMP-FL-seminole-tribe-of-florida-20210811,"Slot Machines 12%-25%; Table Games 15%-25%; Sports Betting 13.75%; Sports Betting via a Qualified Pari-mutuel Permitholder brand 10% - all of Net Win, by band",10.0,25.0,Net Win,tribe,"$1.5bn by the end of the 3rd cycle, $2.5bn by the end of the 5th cycle, and not less than $400m for any cycle in the first five years",not_a_payment_a_state_forecast,,,,A Revenue Estimating Conference forecast. EDR estimates Net Win in order to forecast the payment; for a period that had not closed there is no reported figure behind it.,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202021.08.11%20Seminole%20Tribe%20Gaming%20Compact.pdf,"Ten percent (10%) of Net Win received by the Tribe from the operation and play of Sports Betting, during each Revenue Sharing Cycle, on such wagering by Patrons who access the Tribe's wagering platform via software that uses a brand of a Qualified Pari-mutuel Permitholder pursuant to Part III, Section CC.3. 2. Monthly Payment of Revenue Share Payments (a) On or before the fifte",B,alias,B,state_forecast_not_an_observation,Adopted forecast of the Revenue Estimating Conference. EDR estimates Net Win in order to forecast the payment; the Tribe does not publish Net Win and the compact marks what it gives the State confidential. Never read as a reported revenue.,"Florida Legislature, Office of Economic and Demographic Research",edr_revenue_estimating_conference,http://edr.state.fl.us/Content/conferences/Indian-gaming/IndianGamingSummary.pdf,1,"2030-31 1,147.8 1,322.1 174.3 15.2%",Executive Summary,"August 2025, total revenue share ran $22.6 million higher than expected (2.6 percent); however, since the",foots,rev_share/net_win==printed_effective_rate,latest_statement_for_period,2026-08-07,2026-08-07,code/105_build_florida_gaming.py,CE-001A9-CA
FLGP-008852,FL,Florida Indian Gaming revenue share,paid_in,state_of_florida,TRBF-SMNLFL-00,Seminole,Seminole Tribe of Florida,,no facility_id on this row,,,monthly_collections_total,0.0,USD,0.0,USD millions,2021-05-01,2021-05-31,month,May-21,2021-02-25,PROJECTED,yes,NO_REVENUE_OBSERVATION,CMP-FL-seminole-tribe-of-florida-20100706,"12% / 15% / 17.5% / 20% / 22.5% / 25% of Net Win from Covered Games, by band",12.0,25.0,Net Win from Covered Games,tribe,Guaranteed Minimum Revenue Sharing Cycle Payment for the first three Revenue Sharing Cycles,not_a_payment_a_state_forecast,,,,A Revenue Estimating Conference forecast. EDR estimates Net Win in order to forecast the payment; for a period that had not closed there is no reported figure behind it.,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2010.07.06_seminole_tribe_tribal_state_gaming_compact.pdf,"Twelve percent (12%) of all amounts up to Two Billion Dollars ($2,000,000,000) of Net Win received by the Tribe from the operation and play of Covered Games during each Revenue Sharing Cycle; (ii) Fifteen percent (15%) of all amounts greater than Two Billion Dollars ($2,000,000,000) up to and including Three Billion Dollars ($3,00,000,000) of Net Win received by the Tribe from",B,alias,B,state_forecast_not_an_observation,"The month falls after this conference's own date, so the figure is the conference's forecast of a payment not yet made.","Florida Legislature, Office of Economic and Demographic Research",edr_revenue_estimating_conference,http://edr.state.fl.us/Content/conferences/Indian-gaming/archives/210225IndianGaming.pdf,4,May-21 0.00 0.00 May-22 0.00 0.00,February 2021,"Monthly Receipts / Local Distribution, fiscal year 2020-21",foots,sum=0.00==printed 0.00,latest_statement_for_period,2026-08-07,2026-08-07,code/105_build_florida_gaming.py,CE-001A9-CA
FLGP-008864,FL,Florida Indian Gaming revenue share,paid_in,state_of_florida,TRBF-SMNLFL-00,Seminole,Seminole Tribe of Florida,,no facility_id on this row,,,monthly_collections_total,0.0,USD,0.0,USD millions,2021-05-01,2021-05-31,month,May-21,2021-02-25,PROJECTED,yes,NO_REVENUE_OBSERVATION,CMP-FL-seminole-tribe-of-florida-20100706,"12% / 15% / 17.5% / 20% / 22.5% / 25% of Net Win from Covered Games, by band",12.0,25.0,Net Win from Covered Games,tribe,Guaranteed Minimum Revenue Sharing Cycle Payment for the first three Revenue Sharing Cycles,not_a_payment_a_state_forecast,,,,A Revenue Estimating Conference forecast. EDR estimates Net Win in order to forecast the payment; for a period that had not closed there is no reported figure behind it.,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2010.07.06_seminole_tribe_tribal_state_gaming_compact.pdf,"Twelve percent (12%) of all amounts up to Two Billion Dollars ($2,000,000,000) of Net Win received by the Tribe from the operation and play of Covered Games during each Revenue Sharing Cycle; (ii) Fifteen percent (15%) of all amounts greater than Two Billion Dollars ($2,000,000,000) up to and including Three Billion Dollars ($3,00,000,000) of Net Win received by the Tribe from",B,alias,B,state_forecast_not_an_observation,"The month falls after this conference's own date, so the figure is the conference's forecast of a payment not yet made.","Florida Legislature, Office of Economic and Demographic Research",edr_revenue_estimating_conference,http://edr.state.fl.us/Content/conferences/Indian-gaming/archives/210225IndianGaming.pdf,4,May-21 0.00 0.00 May-22 0.00 0.00,February 2021,"Monthly Receipts / Local Distribution, fiscal year 2020-21",foots,sum=0.00==printed 0.00,latest_statement_for_period,2026-08-07,2026-08-07,code/105_build_florida_gaming.py,CE-001A9-CA
FLGP-008868,FL,Florida Indian Gaming revenue share,paid_in,state_of_florida,TRBF-SMNLFL-00,Seminole,Seminole Tribe of Florida,,no facility_id on this row,,,monthly_collections_total,0.0,USD,0.0,USD millions,2021-09-01,2021-09-30,month,Sep-21,2021-02-25,PROJECTED,yes,NO_REVENUE_OBSERVATION,CMP-FL-seminole-tribe-of-florida-20210811,"Slot Machines 12%-25%; Table Games 15%-25%; Sports Betting 13.75%; Sports Betting via a Qualified Pari-mutuel Permitholder brand 10% - all of Net Win, by band",10.0,25.0,Net Win,tribe,"$1.5bn by the end of the 3rd cycle, $2.5bn by the end of the 5th cycle, and not less than $400m for any cycle in the first five years",not_a_payment_a_state_forecast,,,,A Revenue Estimating Conference forecast. EDR estimates Net Win in order to forecast the payment; for a period that had not closed there is no reported figure behind it.,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202021.08.11%20Seminole%20Tribe%20Gaming%20Compact.pdf,"Ten percent (10%) of Net Win received by the Tribe from the operation and play of Sports Betting, during each Revenue Sharing Cycle, on such wagering by Patrons who access the Tribe's wagering platform via software that uses a brand of a Qualified Pari-mutuel Permitholder pursuant to Part III, Section CC.3. 2. Monthly Payment of Revenue Share Payments (a) On or before the fifte",B,alias,B,state_forecast_not_an_observation,"The month falls after this conference's own date, so the figure is the conference's forecast of a payment not yet made.","Florida Legislature, Office of Economic and Demographic Research",edr_revenue_estimating_conference,http://edr.state.fl.us/Content/conferences/Indian-gaming/archives/210225IndianGaming.pdf,4,Sep-20 0.00 0.00 Sep-21 0.00 0.00,February 2021,"Monthly Receipts / Local Distribution, fiscal year 2021-22",foots,sum=0.00==printed 0.00,latest_statement_for_period,2026-08-07,2026-08-07,code/105_build_florida_gaming.py,CE-001A9-CA
FLGP-008872,FL,Florida Indian Gaming revenue share,paid_in,state_of_florida,TRBF-SMNLFL-00,Seminole,Seminole Tribe of Florida,,no facility_id on this row,,,monthly_collections_total,0.0,USD,0.0,USD millions,2022-01-01,2022-01-31,month,Jan-22,2021-02-25,PROJECTED,yes,NO_REVENUE_OBSERVATION,CMP-FL-seminole-tribe-of-florida-20210811,"Slot Machines 12%-25%; Table Games 15%-25%; Sports Betting 13.75%; Sports Betting via a Qualified Pari-mutuel Permitholder brand 10% - all of Net Win, by band",10.0,25.0,Net Win,tribe,"$1.5bn by the end of the 3rd cycle, $2.5bn by the end of the 5th cycle, and not less than $400m for any cycle in the first five years",not_a_payment_a_state_forecast,,,,A Revenue Estimating Conference forecast. EDR estimates Net Win in order to forecast the payment; for a period that had not closed there is no reported figure behind it.,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202021.08.11%20Seminole%20Tribe%20Gaming%20Compact.pdf,"Ten percent (10%) of Net Win received by the Tribe from the operation and play of Sports Betting, during each Revenue Sharing Cycle, on such wagering by Patrons who access the Tribe's wagering platform via software that uses a brand of a Qualified Pari-mutuel Permitholder pursuant to Part III, Section CC.3. 2. Monthly Payment of Revenue Share Payments (a) On or before the fifte",B,alias,B,state_forecast_not_an_observation,"The month falls after this conference's own date, so the figure is the conference's forecast of a payment not yet made.","Florida Legislature, Office of Economic and Demographic Research",edr_revenue_estimating_conference,http://edr.state.fl.us/Content/conferences/Indian-gaming/archives/210225IndianGaming.pdf,4,Jan-21 0.00 0.00 Jan-22 0.00 0.00,February 2021,"Monthly Receipts / Local Distribution, fiscal year 2021-22",foots,sum=0.00==printed 0.00,latest_statement_for_period,2026-08-07,2026-08-07,code/105_build_florida_gaming.py,CE-001A9-CA
FLGP-008876,FL,Florida Indian Gaming revenue share,paid_in,state_of_florida,TRBF-SMNLFL-00,Seminole,Seminole Tribe of Florida,,no facility_id on this row,,,monthly_collections_total,0.0,USD,0.0,USD millions,2022-05-01,2022-05-31,month,May-22,2021-02-25,PROJECTED,yes,NO_REVENUE_OBSERVATION,CMP-FL-seminole-tribe-of-florida-20210811,"Slot Machines 12%-25%; Table Games 15%-25%; Sports Betting 13.75%; Sports Betting via a Qualified Pari-mutuel Permitholder brand 10% - all of Net Win, by band",10.0,25.0,Net Win,tribe,"$1.5bn by the end of the 3rd cycle, $2.5bn by the end of the 5th cycle, and not less than $400m for any cycle in the first five years",not_a_payment_a_state_forecast,,,,A Revenue Estimating Conference forecast. EDR estimates Net Win in order to forecast the payment; for a period that had not closed there is no reported figure behind it.,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202021.08.11%20Seminole%20Tribe%20Gaming%20Compact.pdf,"Ten percent (10%) of Net Win received by the Tribe from the operation and play of Sports Betting, during each Revenue Sharing Cycle, on such wagering by Patrons who access the Tribe's wagering platform via software that uses a brand of a Qualified Pari-mutuel Permitholder pursuant to Part III, Section CC.3. 2. Monthly Payment of Revenue Share Payments (a) On or before the fifte",B,alias,B,state_forecast_not_an_observation,"The month falls after this conference's own date, so the figure is the conference's forecast of a payment not yet made.","Florida Legislature, Office of Economic and Demographic Research",edr_revenue_estimating_conference,http://edr.state.fl.us/Content/conferences/Indian-gaming/archives/210225IndianGaming.pdf,4,May-21 0.00 0.00 May-22 0.00 0.00,February 2021,"Monthly Receipts / Local Distribution, fiscal year 2021-22",foots,sum=0.00==printed 0.00,latest_statement_for_period,2026-08-07,2026-08-07,code/105_build_florida_gaming.py,CE-001A9-CA
