decision_id,tribe,state,decision_status,legal_theory,decision_date,match_level,n_compacts_matched,bia_tribes_column_conflict,tribe_from_title,compact_ids,compact_tribe_strings,earliest_compact_date,latest_compact_date,compacts_with_bia_tribes_column_conflict,match_basis
GLD-AZ-tohono-o-odham-nation-of-arizona-20140703,Tohono O'odham Nation of Arizona,Arizona,Approved,Settlement of a Land Claim,2014-07-03,L1_exact_tribe_and_state,5,0,,CMP-AZ-tohono-o-odham-nation-of-arizona-19930818|CMP-AZ-tohono-o-odham-nation-of-arizona-20030205|CMP-AZ-tohono-o-odham-nation-of-arizona-20090325|CMP-AZ-tohono-o-odham-nation-of-arizona-20210524|CMP-AZ-tohono-o-odham-nation-of-arizona-20220614,Tohono O'odham Nation of Arizona,1993-08-18,2022-06-14,0,compacts.csv joined at strictness level L1_exact_tribe_and_state
GLD-AZ-navajo-nation-arizona-new-mexico-utah-20101110,"Navajo Nation, Arizona, New Mexico, & Utah",Arizona,Approved,Within or Contiguous to Reservation Boundaries,2010-11-10,L1_exact_tribe_and_state,3,0,,CMP-AZ-navajo-nation-arizona-new-mexico-u-20030205|CMP-AZ-navajo-nation-arizona-new-mexico-u-20210524|CMP-AZ-navajo-nation-arizona-new-mexico-u-20220614,"Navajo Nation, Arizona, New Mexico, & Utah",2003-02-05,2022-06-14,0,compacts.csv joined at strictness level L1_exact_tribe_and_state
GLD-CA-united-auburn-indian-community-of-the-au-20020205,United Auburn Indian Community of the Auburn Rancheria of California,California,Approved,Restored Lands,2002-02-05,L1_exact_tribe_and_state,4,0,,CMP-CA-united-auburn-indian-community-of-20000516|CMP-CA-united-auburn-indian-community-of-20040902|CMP-CA-united-auburn-indian-community-of-20151223|CMP-CA-united-auburn-indian-community-of-20180122,United Auburn Indian Community of the Auburn Rancheria of California,2000-05-16,2018-01-22,0,compacts.csv joined at strictness level L1_exact_tribe_and_state
GLD-CA-soboba-band-of-luiseno-indians-californi-20150519,"Soboba Band of Luiseno Indians, California",California,Approved,Within or Contiguous to Reservation Boundaries,2015-05-19,L1_exact_tribe_and_state,2,0,,CMP-CA-soboba-band-of-luiseno-indians-cal-20000516|CMP-CA-soboba-band-of-luiseno-indians-cal-20240510,"Soboba Band of Luiseno Indians, California",2000-05-16,2024-05-10,0,compacts.csv joined at strictness level L1_exact_tribe_and_state
GLD-CA-northfork-rancheria-of-mono-indians-of-c-20110901,Northfork Rancheria of Mono Indians of California,California,Approved,Two-Part Secretarial Determination,2011-09-01,L1_exact_tribe_and_state,2,0,,CMP-CA-northfork-rancheria-of-mono-indian-20131022|CMP-CA-northfork-rancheria-of-mono-indian-20160729,Northfork Rancheria of Mono Indians of California,2013-10-22,2016-07-29,0,compacts.csv joined at strictness level L1_exact_tribe_and_state
GLD-CA-fort-mojave-indian-tribe-of-arizona-cali-20080229,"Fort Mojave Indian Tribe of Arizona, California & Nevada",California,Approved,Two-Part Secretarial Determination,2008-02-29,L1_exact_tribe_and_state,1,0,,CMP-CA-fort-mojave-indian-tribe-of-arizon-20041220,"Fort Mojave Indian Tribe of Arizona, California & Nevada",2004-12-20,2004-12-20,0,compacts.csv joined at strictness level L1_exact_tribe_and_state
GLD-CA-chemehuevi-indian-tribe-of-the-chemehuev-20080104,"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California",California,Disapproved,Two-Part Secretarial Determination,2008-01-04,L1_exact_tribe_and_state,2,0,,CMP-CA-chemehuevi-indian-tribe-of-the-che-20000516|CMP-CA-chemehuevi-indian-tribe-of-the-che-20240131,"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California",2000-05-16,2024-01-31,0,compacts.csv joined at strictness level L1_exact_tribe_and_state
GLD-IN-pokagon-band-of-potawatomi-indians-michi-20161117,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",Indiana,Approved,Restored Lands,2016-11-17,L1_exact_tribe_and_state,1,0,,CMP-INDI-pokagon-band-of-potawatomi-indians-20210702,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",2021-07-02,2021-07-02,0,compacts.csv joined at strictness level L1_exact_tribe_and_state
GLD-MA-mashpee-wampanoag-tribe-20211222,Mashpee Wampanoag Tribe,Massachusetts,Approved,Initial Reservation,2021-12-22,L1_exact_tribe_and_state,1,0,,CMP-MA-mashpee-wampanoag-tribe-20140203,Mashpee Wampanoag Tribe,2014-02-03,2014-02-03,1,compacts.csv joined at strictness level L1_exact_tribe_and_state
GLD-MI-pokagon-band-of-potawatomi-indians-michi-20010119,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",Michigan,Approved,Restored Lands,2001-01-19,L1_exact_tribe_and_state,2,0,,CMP-MI-pokagon-band-of-potawatomi-indians-19990218|CMP-MI-pokagon-band-of-potawatomi-indians-20081023,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",1999-02-18,2008-10-23,0,compacts.csv joined at strictness level L1_exact_tribe_and_state
