event_id,decision_id,tribe,state,event_date,event_type,description,evidence_text,derivation_rule,event_date_basis,document_url,source_url,fetched_date
GLD-AZ-tohono-o-odham-nation-of-arizona-20140703-E02,GLD-AZ-tohono-o-odham-nation-of-arizona-20140703,Tohono O'odham Nation of Arizona,Arizona,2010-08-26,federal_register_land_acquisition_notice,land acquisitions tohono oodham nation arizona,Federal Register link on the BIA index row: https://www.federalregister.gov/documents/2010/08/26/2010-21130/land-acquisitions-tohono-oodham-nation-arizona,E2,publication date in the Federal Register URL path,https://www.federalregister.gov/documents/2010/08/26/2010-21130/land-acquisitions-tohono-oodham-nation-arizona,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05
GLD-AZ-navajo-nation-arizona-new-mexico-utah-20101110-E02,GLD-AZ-navajo-nation-arizona-new-mexico-utah-20101110,"Navajo Nation, Arizona, New Mexico, & Utah",Arizona,2010-11-22,federal_register_land_acquisition_notice,land acquisitions navajo nation arizona,Federal Register link on the BIA index row: https://www.federalregister.gov/documents/2010/11/22/2010-29389/land-acquisitions-navajo-nation-arizona,E2,publication date in the Federal Register URL path,https://www.federalregister.gov/documents/2010/11/22/2010-29389/land-acquisitions-navajo-nation-arizona,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05
GLD-CA-united-auburn-indian-community-of-the-au-20020205-E02,GLD-CA-united-auburn-indian-community-of-the-au-20020205,United Auburn Indian Community of the Auburn Rancheria of California,California,2002-03-15,federal_register_land_acquisition_notice,land acquisitions united auburn indian community of california,Federal Register link on the BIA index row: https://www.federalregister.gov/documents/2002/03/15/02-6315/land-acquisitions-united-auburn-indian-community-of-california,E2,publication date in the Federal Register URL path,https://www.federalregister.gov/documents/2002/03/15/02-6315/land-acquisitions-united-auburn-indian-community-of-california,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05
GLD-CA-scotts-valley-band-of-pomo-indians-of-ca-20250110-E02,GLD-CA-scotts-valley-band-of-pomo-indians-of-ca-20250110,Scotts Valley Band of Pomo Indians of California,California,2025-01-15,federal_register_land_acquisition_notice,land acquisitions scotts valley band of pomo indians vallejo site solano county california,Federal Register link on the BIA index row: https://www.federalregister.gov/documents/2025/01/15/2025-00744/land-acquisitions-scotts-valley-band-of-pomo-indians-vallejo-site-solano-county-california,E2,publication date in the Federal Register URL path,https://www.federalregister.gov/documents/2025/01/15/2025-00744/land-acquisitions-scotts-valley-band-of-pomo-indians-vallejo-site-solano-county-california,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05
GLD-CA-redding-rancheria-california-20240701-E02,GLD-CA-redding-rancheria-california-20240701,"Redding Rancheria, California",California,2024-07-08,federal_register_land_acquisition_notice,land acquisitions redding rancheria california strawberry fields site shasta county california,Federal Register link on the BIA index row: https://www.federalregister.gov/documents/2024/07/08/2024-14781/land-acquisitions-redding-rancheria-california-strawberry-fields-site-shasta-county-california,E2,publication date in the Federal Register URL path,https://www.federalregister.gov/documents/2024/07/08/2024-14781/land-acquisitions-redding-rancheria-california-strawberry-fields-site-shasta-county-california,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05
GLD-CA-mechoopda-indian-tribe-of-chico-rancheri-20140124-E02,GLD-CA-mechoopda-indian-tribe-of-chico-rancheri-20140124,"Mechoopda Indian Tribe of Chico Rancheria, California",California,2014-02-05,federal_register_land_acquisition_notice,land acquisitions mechoopda indian tribe of chico rancheria of california,Federal Register link on the BIA index row: https://www.federalregister.gov/documents/2014/02/05/2014-02439/land-acquisitions-mechoopda-indian-tribe-of-chico-rancheria-of-california,E2,publication date in the Federal Register URL path,https://www.federalregister.gov/documents/2014/02/05/2014-02439/land-acquisitions-mechoopda-indian-tribe-of-chico-rancheria-of-california,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05
GLD-CA-ewiiaapaayp-band-of-kumeyaay-indians-cal-20080418-E02,GLD-CA-ewiiaapaayp-band-of-kumeyaay-indians-cal-20080418,"Ewiiaapaayp Band of Kumeyaay Indians, California",California,2008-05-07,federal_register_land_acquisition_notice,land acquisitions federated indians of graton rancheria california,Federal Register link on the BIA index row: https://www.federalregister.gov/documents/2008/05/07/E8-10064/land-acquisitions-federated-indians-of-graton-rancheria-california,E2,publication date in the Federal Register URL path,https://www.federalregister.gov/documents/2008/05/07/E8-10064/land-acquisitions-federated-indians-of-graton-rancheria-california,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05
GLD-CA-agua-caliente-band-of-cahuilla-indians-o-20191007-E02,GLD-CA-agua-caliente-band-of-cahuilla-indians-o-20191007,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",California,2019-11-08,federal_register_land_acquisition_notice,land acquisitions agua caliente band of cahuilla indians of the agua caliente indian reservation,Federal Register link on the BIA index row: https://www.federalregister.gov/documents/2019/11/08/2019-24361/land-acquisitions-agua-caliente-band-of-cahuilla-indians-of-the-agua-caliente-indian-reservation,E2,publication date in the Federal Register URL path,https://www.federalregister.gov/documents/2019/11/08/2019-24361/land-acquisitions-agua-caliente-band-of-cahuilla-indians-of-the-agua-caliente-indian-reservation,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05
GLD-MI-little-traverse-bay-bands-of-odawa-india-20030807-E02,GLD-MI-little-traverse-bay-bands-of-odawa-india-20030807,"Little Traverse Bay Bands of Odawa Indians, Michigan",Michigan,2003-08-15,federal_register_land_acquisition_notice,land acquisitions little traverse bay bands of odawa indians of michigan,Federal Register link on the BIA index row: https://www.federalregister.gov/documents/2003/08/15/03-20935/land-acquisitions-little-traverse-bay-bands-of-odawa-indians-of-michigan,E2,publication date in the Federal Register URL path,https://www.federalregister.gov/documents/2003/08/15/03-20935/land-acquisitions-little-traverse-bay-bands-of-odawa-indians-of-michigan,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05
GLD-MI-little-river-band-of-ottawa-indians-mich-19980924-E02,GLD-MI-little-river-band-of-ottawa-indians-mich-19980924,"Little River Band of Ottawa Indians, Michigan",Michigan,1998-11-24,federal_register_land_acquisition_notice,land acquisitions little river band of ottawa indians of michigan,Federal Register link on the BIA index row: https://www.federalregister.gov/documents/1998/11/24/98-31406/land-acquisitions-little-river-band-of-ottawa-indians-of-michigan,E2,publication date in the Federal Register URL path,https://www.federalregister.gov/documents/1998/11/24/98-31406/land-acquisitions-little-river-band-of-ottawa-indians-of-michigan,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05
