observation_id,facility_id,cedar_place_id_absent_reason,cedar_place_id,year,employment,measurement_type,geographic_level,source_url,source_quote,fetched_date,confidence,built_date,source_name,source_record,measurement_note,match_rule,name_in_source,state,flags,entity_id,entity_level,entity_tier,entity_tier_basis,entity_link_rung,entity_link_date,cedar_entity_name,entity_class,ein,sponsor_name,plan_name,naics,naics_specificity,naics_specificity_note,sponsor_city,sponsor_state,plans_collapsed,plan_participants_all_plans_DO_NOT_SUM,ack_id,resolution,state_mismatch_flag,source_provenance,measurement_type_status,total_hours_worked,fte_2080,fte_divisor,fte_is_derived_not_filed,hours_per_employee,hours_per_employee_plausible,establishment_name,company_name,establishment_id,street_address,city,matched_on_field,commercial_name_present,already_facility_attached,attribution_repaired_by,attribution_repair_date,attribution_repair_basis,tribe_id_as_staged,observation_id_as_staged,cedar_uid
EMP-OSHATRIBE-A4604F11B23,,no facility_id on this row,,2025,147,OSHA_TRIBE_LEVEL_REPORTED,establishment_rolled_to_tribe,https://www.osha.gov/itadata,"company_name=""Cherokee Nation Entertainment, LLC""; establishment_name=""Will Rogers Downs, LLC""; city=""Claremore""; state=""OK""; naics_code=""713210""; annual_average_employees=""147""; year_filing_for=""2025""",2026-08-07,medium,2026-09-01,"OSHA Injury Tracking Application, Form 300A establishment summary",ita_300a_2025.csv,"The ESTABLISHMENT'S OWN FILED annual average employees, rolled to the tribe that owns it. It is a headcount, not an FTE and not a payroll. OSHA ITA coverage is NOT a census: electronic submission is required only of establishments above size thresholds in covered industries, and compliance is uneven. AN ESTABLISHMENT ABSENT FROM ITA IS NOT AN ESTABLISHMENT WITH ZERO EMPLOYEES - it is an establishment that did not file. The set of establishments filing under one tribe CHANGES YEAR TO YEAR, so a tribe-year SUM of these rows is not a consistent panel and must never be differenced as if it were.",O1_filing_names_the_government,"Will Rogers Downs, LLC",OK,TRIBE_LEVEL_ROLLUP_NOT_A_FACILITY_FIGURE;ITA_COVERAGE_IS_NOT_A_CENSUS;DO_NOT_SUM_ACROSS_YEARS_WITHOUT_A_BALANCED_PANEL;ADJUDICATED_FROM_REVIEW_HOLD_2026-09-01,CE-00134-BX,tribe,,,,,Cherokee Nation,Federally recognized tribe,710984267,,,713210,,,,,,,,,0,,ACTIVE in cedar_domain.MeasurementType,223463,107.4,2080,1,1520,1,"Will Rogers Downs, LLC","Cherokee Nation Entertainment, LLC",1521513,20900 S 4200 Rd,Claremore,O1_filing_names_the_government,,,583_labor_surface_factcheck.py,2026-09-01,"every distinctive token of spine name ""cherokee nation"" is present in the filing, the filing carries a governmental word, state OK agrees, and no other spine entity in OK matches",,,CE-00134-BX
EMP-OSHATRIBE-A3DF9DE3F6B,,no facility_id on this row,,2023,1417,OSHA_TRIBE_LEVEL_REPORTED,establishment_rolled_to_tribe,https://www.osha.gov/itadata,"company_name=""Viejas Casino and Resort""; establishment_name=""Viejas Casino and Resort""; city=""Alpine""; state=""CA""; naics_code=""713210""; annual_average_employees=""1417""; year_filing_for=""2023""",2026-08-07,medium,2026-09-01,"OSHA Injury Tracking Application, Form 300A establishment summary",ita_300a_2023.zip::ITA 300A Summary Data 2023 through 12-31-2024_v2.csv,"The ESTABLISHMENT'S OWN FILED annual average employees, rolled to the tribe that owns it. It is a headcount, not an FTE and not a payroll. OSHA ITA coverage is NOT a census: electronic submission is required only of establishments above size thresholds in covered industries, and compliance is uneven. AN ESTABLISHMENT ABSENT FROM ITA IS NOT AN ESTABLISHMENT WITH ZERO EMPLOYEES - it is an establishment that did not file. The set of establishments filing under one tribe CHANGES YEAR TO YEAR, so a tribe-year SUM of these rows is not a consistent panel and must never be differenced as if it were.",O2_cedar_facility_brand_exact,Viejas Casino and Resort,CA,TRIBE_LEVEL_ROLLUP_NOT_A_FACILITY_FIGURE;ITA_COVERAGE_IS_NOT_A_CENSUS;DO_NOT_SUM_ACROSS_YEARS_WITHOUT_A_BALANCED_PANEL;ADJUDICATED_FROM_REVIEW_HOLD_2026-09-01,CE-000Q9-9H,tribe,,,,,Viejas,Federal-level constituency entity,330821753,,,713210,,,,,,,,,0,,ACTIVE in cedar_domain.MeasurementType,2583558,1242.1,2080,1,1823,1,Viejas Casino and Resort,Viejas Casino and Resort,929187,5000 Willows Road,Alpine,O2_cedar_facility_brand_exact,,,583_labor_surface_factcheck.py,2026-09-01,"establishment_name=""Viejas Casino and Resort"" carries the same distinctive name tokens as a gaming_facilities.facility_name belonging to exactly one tribe in CA",,,CE-000Q9-9H
EMP-OSHATRIBE-A5C201B7D93,,no facility_id on this row,,2020,330,OSHA_TRIBE_LEVEL_REPORTED,establishment_rolled_to_tribe,https://www.osha.gov/itadata,"company_name=""Kiowa Indian Tribe of Oklahoma""; establishment_name=""Kiowa Casino""; city=""Devol""; state=""OK""; naics_code=""713210""; annual_average_employees=""330""; year_filing_for=""2020""",2026-08-07,medium,2026-09-01,"OSHA Injury Tracking Application, Form 300A establishment summary",ita_300a_2020.zip::ITA Data CY 2020.csv,"The ESTABLISHMENT'S OWN FILED annual average employees, rolled to the tribe that owns it. It is a headcount, not an FTE and not a payroll. OSHA ITA coverage is NOT a census: electronic submission is required only of establishments above size thresholds in covered industries, and compliance is uneven. AN ESTABLISHMENT ABSENT FROM ITA IS NOT AN ESTABLISHMENT WITH ZERO EMPLOYEES - it is an establishment that did not file. The set of establishments filing under one tribe CHANGES YEAR TO YEAR, so a tribe-year SUM of these rows is not a consistent panel and must never be differenced as if it were.",O2_cedar_facility_brand_exact,Kiowa Casino,OK,TRIBE_LEVEL_ROLLUP_NOT_A_FACILITY_FIGURE;ITA_COVERAGE_IS_NOT_A_CENSUS;DO_NOT_SUM_ACROSS_YEARS_WITHOUT_A_BALANCED_PANEL;ADJUDICATED_FROM_REVIEW_HOLD_2026-09-01,CE-0015V-ZW,tribe,,,,,Kiowa Tribe,Federally recognized tribe,450543746,,,713210,,,,,,,,,0,,ACTIVE in cedar_domain.MeasurementType,452441,217.5,2080,1,1371,1,Kiowa Casino,Kiowa Indian Tribe of Oklahoma,121188,198131 HW 36,Devol,O2_cedar_facility_brand_exact,,,583_labor_surface_factcheck.py,2026-09-01,"establishment_name=""Kiowa Casino"" carries the same distinctive name tokens as a gaming_facilities.facility_name belonging to exactly one tribe in OK",,,CE-0015V-ZW
EMP-OSHATRIBE-AA9E47ABF47,,no facility_id on this row,,2020,43,OSHA_TRIBE_LEVEL_REPORTED,establishment_rolled_to_tribe,https://www.osha.gov/itadata,"company_name=""Kiowa Indian Tribe of Oklahoma""; establishment_name=""Kiowa Casino Carnegie""; city=""Carnegie""; state=""OK""; naics_code=""713210""; annual_average_employees=""43""; year_filing_for=""2020""",2026-08-07,medium,2026-09-01,"OSHA Injury Tracking Application, Form 300A establishment summary",ita_300a_2020.zip::ITA Data CY 2020.csv,"The ESTABLISHMENT'S OWN FILED annual average employees, rolled to the tribe that owns it. It is a headcount, not an FTE and not a payroll. OSHA ITA coverage is NOT a census: electronic submission is required only of establishments above size thresholds in covered industries, and compliance is uneven. AN ESTABLISHMENT ABSENT FROM ITA IS NOT AN ESTABLISHMENT WITH ZERO EMPLOYEES - it is an establishment that did not file. The set of establishments filing under one tribe CHANGES YEAR TO YEAR, so a tribe-year SUM of these rows is not a consistent panel and must never be differenced as if it were.",O1_filing_names_the_government,Kiowa Casino Carnegie,OK,TRIBE_LEVEL_ROLLUP_NOT_A_FACILITY_FIGURE;ITA_COVERAGE_IS_NOT_A_CENSUS;DO_NOT_SUM_ACROSS_YEARS_WITHOUT_A_BALANCED_PANEL;ADJUDICATED_FROM_REVIEW_HOLD_2026-09-01,CE-0015V-ZW,tribe,,,,,Kiowa Tribe,Federally recognized tribe,823604171,,,713210,,,,,,,,,0,,ACTIVE in cedar_domain.MeasurementType,63349,30.5,2080,1,1473,1,Kiowa Casino Carnegie,Kiowa Indian Tribe of Oklahoma,566231,514 OK-9,Carnegie,O1_filing_names_the_government,,,583_labor_surface_factcheck.py,2026-09-01,"every distinctive token of spine name ""kiowa indian tribe of oklahoma"" is present in the filing, the filing carries a governmental word, state OK agrees, and no other spine entity in OK matches",,,CE-0015V-ZW
EMP-OSHATRIBE-A7DAD42C274,,no facility_id on this row,,2025,204,OSHA_TRIBE_LEVEL_REPORTED,establishment_rolled_to_tribe,https://www.osha.gov/itadata,"company_name=""The Oneida Hotel""; establishment_name=""The Oneida Hotel""; city=""Green Bay""; state=""WI""; naics_code=""721120""; annual_average_employees=""204""; year_filing_for=""2025""",2026-08-07,medium,2026-09-01,"OSHA Injury Tracking Application, Form 300A establishment summary",ita_300a_2025.csv,"The ESTABLISHMENT'S OWN FILED annual average employees, rolled to the tribe that owns it. It is a headcount, not an FTE and not a payroll. OSHA ITA coverage is NOT a census: electronic submission is required only of establishments above size thresholds in covered industries, and compliance is uneven. AN ESTABLISHMENT ABSENT FROM ITA IS NOT AN ESTABLISHMENT WITH ZERO EMPLOYEES - it is an establishment that did not file. The set of establishments filing under one tribe CHANGES YEAR TO YEAR, so a tribe-year SUM of these rows is not a consistent panel and must never be differenced as if it were.",O2_cedar_facility_brand_exact,The Oneida Hotel,WI,TRIBE_LEVEL_ROLLUP_NOT_A_FACILITY_FIGURE;ITA_COVERAGE_IS_NOT_A_CENSUS;DO_NOT_SUM_ACROSS_YEARS_WITHOUT_A_BALANCED_PANEL;ADJUDICATED_FROM_REVIEW_HOLD_2026-09-01,CE-0017Y-V7,tribe,,,,,Oneida Nation (Wisconsin),Federally recognized tribe,391515130,,,721120,,,,,,,,,0,,ACTIVE in cedar_domain.MeasurementType,211806,101.8,2080,1,1038,1,The Oneida Hotel,The Oneida Hotel,1326070,2040 Airport Drive,Green Bay,O2_cedar_facility_brand_exact,,,583_labor_surface_factcheck.py,2026-09-01,"establishment_name=""The Oneida Hotel"" carries the same distinctive name tokens as a gaming_facilities.facility_name belonging to exactly one tribe in WI",,,CE-0017Y-V7
EMP-OSHATRIBE-B19D0EEF45D,CCP-638300,,CEDAR-PLACE-000670-RE,2019.00,2239.00,OSHA_TRIBE_LEVEL_REPORTED,establishment,https://www.osha.gov/itadata,"company_name=""Emerald Queen Hotel & Casinos""; establishment_name=""Emerald Queen Hotel & Casinos""; street_address=""2024 E. 29th St""; city=""Tacoma""; state=""WA""; zip_code=""98404""; ein=""911734931""; naics_code=""713210.00""; annual_average_employees=""2239.00""; year_filing_for=""2019.00""",2026-08-07,high,2026-09-01,"OSHA Injury Tracking Application, Form 300A establishment summary",ita_300a_2019.zip::ITA Data CY 2019.csv,"The ESTABLISHMENT'S OWN FILED annual average employees, rolled to the tribe that owns it. It is a headcount, not an FTE and not a payroll. OSHA ITA coverage is NOT a census: electronic submission is required only of establishments above size thresholds in covered industries, and compliance is uneven. AN ESTABLISHMENT ABSENT FROM ITA IS NOT AN ESTABLISHMENT WITH ZERO EMPLOYEES - it is an establishment that did not file. The set of establishments filing under one tribe CHANGES YEAR TO YEAR, so a tribe-year SUM of these rows is not a consistent panel and must never be differenced as if it were.",A2_street_address_and_zip,Emerald Queen Hotel & Casinos,WA,TRIBE_LEVEL_ROLLUP_NOT_A_FACILITY_FIGURE;ITA_COVERAGE_IS_NOT_A_CENSUS;DO_NOT_SUM_ACROSS_YEARS_WITHOUT_A_BALANCED_PANEL;ADJUDICATED_FROM_711_HOLD_2026-09-01,CE-0018W-M5,facility,,,,,Puyallup,Federally recognized tribe,911734931,,,713210.00,,,,,,,,,0,,ACTIVE in cedar_domain.MeasurementType,3984455.00,1915.6,2080,1,1780,1,Emerald Queen Hotel & Casinos,Emerald Queen Hotel & Casinos,230898.00,2024 E. 29th St,Tacoma,A2_street_address_and_zip,,,589_adjudicate_osha_711.py,2026-09-01,"street ""2024 E. 29th St"" and ZIP 98404 both match gaming_facilities row CCP-638300; two independent geographic signals agreeing on one property",,,CE-0018W-M5
EMP-OSHATRIBE-B0502ECC1E2,CCP-638300,,CEDAR-PLACE-000670-RE,2020,2238,OSHA_TRIBE_LEVEL_REPORTED,establishment,https://www.osha.gov/itadata,"company_name=""Emerald Queen Hotel & Casinos""; establishment_name=""Emerald Queen Hotel & Casinos""; street_address=""2024 E. 29th St""; city=""Tacoma""; state=""WA""; zip_code=""98404""; ein=""911734931""; naics_code=""713210""; annual_average_employees=""2238""; year_filing_for=""2020""",2026-08-07,high,2026-09-01,"OSHA Injury Tracking Application, Form 300A establishment summary",ita_300a_2020.zip::ITA Data CY 2020.csv,"The ESTABLISHMENT'S OWN FILED annual average employees, rolled to the tribe that owns it. It is a headcount, not an FTE and not a payroll. OSHA ITA coverage is NOT a census: electronic submission is required only of establishments above size thresholds in covered industries, and compliance is uneven. AN ESTABLISHMENT ABSENT FROM ITA IS NOT AN ESTABLISHMENT WITH ZERO EMPLOYEES - it is an establishment that did not file. The set of establishments filing under one tribe CHANGES YEAR TO YEAR, so a tribe-year SUM of these rows is not a consistent panel and must never be differenced as if it were.",A2_street_address_and_zip,Emerald Queen Hotel & Casinos,WA,TRIBE_LEVEL_ROLLUP_NOT_A_FACILITY_FIGURE;ITA_COVERAGE_IS_NOT_A_CENSUS;DO_NOT_SUM_ACROSS_YEARS_WITHOUT_A_BALANCED_PANEL;ADJUDICATED_FROM_711_HOLD_2026-09-01,CE-0018W-M5,facility,,,,,Puyallup,Federally recognized tribe,911734931,,,713210,,,,,,,,,0,,ACTIVE in cedar_domain.MeasurementType,3389423,1629.5,2080,1,1514,1,Emerald Queen Hotel & Casinos,Emerald Queen Hotel & Casinos,230898,2024 E. 29th St,Tacoma,A2_street_address_and_zip,,,589_adjudicate_osha_711.py,2026-09-01,"street ""2024 E. 29th St"" and ZIP 98404 both match gaming_facilities row CCP-638300; two independent geographic signals agreeing on one property",,,CE-0018W-M5
EMP-OSHATRIBE-BBDB107E976,VP-0135,,CEDAR-PLACE-000388-M4,2022,123,OSHA_TRIBE_LEVEL_REPORTED,establishment,https://www.osha.gov/itadata,"company_name=""Will Rogers Downs""; establishment_name=""Will Rogers Downs""; street_address=""20900 S. 4200 Rd.""; city=""Claremore""; state=""OK""; zip_code=""74019""; ein=""710984267""; naics_code=""713210""; annual_average_employees=""123""; year_filing_for=""2022""",2026-08-07,high,2026-09-01,"OSHA Injury Tracking Application, Form 300A establishment summary",ita_300a_2022.zip::CY 2022.csv,"The ESTABLISHMENT'S OWN FILED annual average employees, rolled to the tribe that owns it. It is a headcount, not an FTE and not a payroll. OSHA ITA coverage is NOT a census: electronic submission is required only of establishments above size thresholds in covered industries, and compliance is uneven. AN ESTABLISHMENT ABSENT FROM ITA IS NOT AN ESTABLISHMENT WITH ZERO EMPLOYEES - it is an establishment that did not file. The set of establishments filing under one tribe CHANGES YEAR TO YEAR, so a tribe-year SUM of these rows is not a consistent panel and must never be differenced as if it were.",A2_street_address_and_zip,Will Rogers Downs,OK,TRIBE_LEVEL_ROLLUP_NOT_A_FACILITY_FIGURE;ITA_COVERAGE_IS_NOT_A_CENSUS;DO_NOT_SUM_ACROSS_YEARS_WITHOUT_A_BALANCED_PANEL;ADJUDICATED_FROM_711_HOLD_2026-09-01,CE-00134-BX,facility,,,,,Cherokee Nation,Federally recognized tribe,710984267,,,713210,,,,,,,,,0,,ACTIVE in cedar_domain.MeasurementType,246254,118.4,2080,1,2002,1,Will Rogers Downs,Will Rogers Downs,247004,20900 S. 4200 Rd.,Claremore,A2_street_address_and_zip,,,589_adjudicate_osha_711.py,2026-09-01,"street ""20900 S. 4200 Rd."" and ZIP 74019 both match gaming_facilities row VP-0135; two independent geographic signals agreeing on one property",,,CE-00134-BX
EMP-OSHATRIBE-B4F50B9C58D,CCP-245000,,CEDAR-PLACE-000072-T8,2023,414,OSHA_TRIBE_LEVEL_REPORTED,establishment,https://www.osha.gov/itadata,"company_name=""Gold country Casino Resort""; establishment_name=""Gold country Casino Resort""; street_address=""4020 Olive Hwy""; city=""Oroville""; state=""CA""; zip_code=""95966""; ein=""680387789""; naics_code=""721120""; annual_average_employees=""414""; year_filing_for=""2023""",2026-08-07,high,2026-09-01,"OSHA Injury Tracking Application, Form 300A establishment summary",ita_300a_2023.zip::ITA 300A Summary Data 2023 through 12-31-2024_v2.csv,"The ESTABLISHMENT'S OWN FILED annual average employees, rolled to the tribe that owns it. It is a headcount, not an FTE and not a payroll. OSHA ITA coverage is NOT a census: electronic submission is required only of establishments above size thresholds in covered industries, and compliance is uneven. AN ESTABLISHMENT ABSENT FROM ITA IS NOT AN ESTABLISHMENT WITH ZERO EMPLOYEES - it is an establishment that did not file. The set of establishments filing under one tribe CHANGES YEAR TO YEAR, so a tribe-year SUM of these rows is not a consistent panel and must never be differenced as if it were.",A2_street_address_and_zip,Gold country Casino Resort,CA,TRIBE_LEVEL_ROLLUP_NOT_A_FACILITY_FIGURE;ITA_COVERAGE_IS_NOT_A_CENSUS;DO_NOT_SUM_ACROSS_YEARS_WITHOUT_A_BALANCED_PANEL;ADJUDICATED_FROM_711_HOLD_2026-09-01,CE-00129-4A,facility,,,,,Berry Creek,Federally recognized tribe,680387789,,,721120,,,,,,,,,0,,ACTIVE in cedar_domain.MeasurementType,861120,414.0,2080,1,2080,1,Gold country Casino Resort,Gold country Casino Resort,1177995,4020 Olive Hwy,Oroville,A2_street_address_and_zip,,,589_adjudicate_osha_711.py,2026-09-01,"street ""4020 Olive Hwy"" and ZIP 95966 both match gaming_facilities row CCP-245000; two independent geographic signals agreeing on one property",,,CE-00129-4A
EMP-OSHATRIBE-BA9BDE89B70,CCP-124300,,CEDAR-PLACE-000194-AJ,2025,665,OSHA_TRIBE_LEVEL_REPORTED,establishment,https://www.osha.gov/itadata,"company_name=""Turtle Creek Casino and Hotel""; establishment_name=""Grand Traverse Band Ottawa and Chippewa Indians/EDC East""; street_address=""7741 M-72 E.""; city=""Williamsburg""; state=""MI""; zip_code=""49690""; ein=""382512699""; naics_code=""721120""; annual_average_employees=""665""; year_filing_for=""2025""",2026-08-07,high,2026-09-01,"OSHA Injury Tracking Application, Form 300A establishment summary",ita_300a_2025.csv,"The ESTABLISHMENT'S OWN FILED annual average employees, rolled to the tribe that owns it. It is a headcount, not an FTE and not a payroll. OSHA ITA coverage is NOT a census: electronic submission is required only of establishments above size thresholds in covered industries, and compliance is uneven. AN ESTABLISHMENT ABSENT FROM ITA IS NOT AN ESTABLISHMENT WITH ZERO EMPLOYEES - it is an establishment that did not file. The set of establishments filing under one tribe CHANGES YEAR TO YEAR, so a tribe-year SUM of these rows is not a consistent panel and must never be differenced as if it were.",A2_street_address_and_zip,Grand Traverse Band Ottawa and Chippewa Indians/EDC East,MI,TRIBE_LEVEL_ROLLUP_NOT_A_FACILITY_FIGURE;ITA_COVERAGE_IS_NOT_A_CENSUS;DO_NOT_SUM_ACROSS_YEARS_WITHOUT_A_BALANCED_PANEL;ADJUDICATED_FROM_711_HOLD_2026-09-01,CE-0014T-MK,facility,,,,,Grand Traverse,Federally recognized tribe,382512699,,,721120,,,,,,,,,0,,ACTIVE in cedar_domain.MeasurementType,1161077,558.2,2080,1,1746,1,Grand Traverse Band Ottawa and Chippewa Indians/EDC East,Turtle Creek Casino and Hotel,1071659,7741 M-72 E.,Williamsburg,A2_street_address_and_zip,,,589_adjudicate_osha_711.py,2026-09-01,"street ""7741 M-72 E."" and ZIP 49690 both match gaming_facilities row CCP-124300; two independent geographic signals agreeing on one property",,,CE-0014T-MK
