financing_event_id,cedar_opinion_id,opinion_date,tribe_entity_id,tribe_canonical_name,index_tribe_string,index_company_string,re_line,agreement_type,borrower,lender,administrative_agent,collateral_agent,trustee,guarantor,developer,collateral_properties,collateral_properties_basis,amendment_number,amendment_quote,prior_financing_reference,lineage_relation,lineage_relations_in_text,lineage_related_opinion_ids,lineage_basis,principal_amount_usd,principal_amount_basis,execution_status,execution_status_basis,source_url,pdf_path,fetched_date,built_date,evidentiary_stage,evidentiary_ladder,evidentiary_stage_basis,property_attachment_caution,text_basis,cedar_uid
NIGCDL-FIN-NIGC-DL-20260414-01,NIGC-DL-20260414-01,2026-04-14,TRBF-TWNPLM-00,Twenty-Nine Palms,Twenty-Nine Palms Band,PNC,Review of a Revised Financing Document for the Twenty-Nine Palms Band of Mission Indians of California,loan_or_credit_agreement|amendment_or_restatement,Twenty-Nine Palms Enterprises Corporation,Lenders Referred to Herein,"PNC Bank, National Association",,,,,,"No property in this letter met the exact-name-plus-tribe test. Absence here is a matching outcome, not a statement about collateral.",,,"An earlier draft version of the submitted finance document was previously reviewed by this office (including the accompanying schedules and exhibits) and was the subject of a declination letter issued on January 12, 2026.",RESTATES,RESTATES,NIGC-DL-20200520-01|NIGC-DL-20231018-01|NIGC-DL-20260112-01,POSSIBLE_SAME_TRANSACTION: 4 letters share this tribe and the counterparty string 'PNC' (2020-05-20 .. 2026-04-14). Treat as ONE financing relationship unless ruled otherwise; counting them as separate deals double-counts.,,"NOT EXTRACTED. Loan amounts appear in the reviewed drafts, not reliably in the opinion letter, and the drafts are unexecuted. No dollar figure is claimed from this source.",UNEXECUTED_DRAFTS_REVIEWED,NIGC index page: 'Documents should be submitted prior to their execution (unsigned) as the General Counsel will not provide a declination letter for executed documents.',https://www.nigc.gov?wpdmdl=14329&ind=14330,data/raw/external/nigc_declinations/pdf/2026.04.14-Twenty-Nine-Palms-Band-PNC.pdf,2026-08-06,2026-08-06,EXECUTION_UNCONFIRMED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,A financing event here is a financing whose DRAFTS NIGC reviewed. The event is evidenced; its execution is not.,"Never attach this financing to a property because the enterprise owns that property. Financings routinely cover several properties, the whole enterprise, unrestricted assets, or a future project. The letter-to-property relation is many-to-many and a matched property means only that the property was NAMED.",,CE-001BR-BH
NIGCDL-FIN-NIGC-DL-20250522-01,NIGC-DL-20250522-01,2025-05-22,TRBF-NORFRK-00,North Fork,North Fork Rancheria of Mono Indians of California,Wells Fargo,Review of the 2025 Loan Documents for the North Fork Rancheria of Mono Indians of California,loan_or_credit_agreement|security_or_collateral_agreement|amendment_or_restatement,North Fork Rancheria Economic Development Authority,,"Wells Fargo Bank, National Association",,,,,,"No property in this letter met the exact-name-plus-tribe test. Absence here is a matching outcome, not a statement about collateral.",,,The 2025 Loan Documents contain terms similar to other agreements that OGC has previously reviewed and analyzed.,,AMENDS,,single letter for this tribe-counterparty pair in this archive,,"NOT EXTRACTED. Loan amounts appear in the reviewed drafts, not reliably in the opinion letter, and the drafts are unexecuted. No dollar figure is claimed from this source.",UNEXECUTED_DRAFTS_REVIEWED,"It is my understanding that the 2025 Loan Documents are represented to be in substantially final form, and any further changes will not be material to OGC's analysis.",https://www.nigc.gov?wpdmdl=13408&ind=13409,data/raw/external/nigc_declinations/pdf/2025.05.22-NorthFork-WellsFargo.pdf,2026-08-06,2026-08-06,EXECUTION_UNCONFIRMED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,A financing event here is a financing whose DRAFTS NIGC reviewed. The event is evidenced; its execution is not.,"Never attach this financing to a property because the enterprise owns that property. Financings routinely cover several properties, the whole enterprise, unrestricted assets, or a future project. The letter-to-property relation is many-to-many and a matched property means only that the property was NAMED.",,CE-0017P-BZ
NIGCDL-FIN-NIGC-DL-20240911-01,NIGC-DL-20240911-01,2024-09-11,TRBF-BISHOP-00,Bishop Paiute,Bishop Paiute Tribe,Umpqua Bank,Review of the 2024 Loan Documents for the Bishop Paiute Tribe,loan_or_credit_agreement|security_or_collateral_agreement|development_or_construction_agreement,Bishop Paiute Tribe,Umpqua Bank,,,,,,,"No property in this letter met the exact-name-plus-tribe test. Absence here is a matching outcome, not a statement about collateral.",,,The 2024 Loan Documents contain terms similar to other agreements that OGC has previously reviewed and analyzed.,,,,single letter for this tribe-counterparty pair in this archive,,"NOT EXTRACTED. Loan amounts appear in the reviewed drafts, not reliably in the opinion letter, and the drafts are unexecuted. No dollar figure is claimed from this source.",UNEXECUTED_DRAFTS_REVIEWED,"It is my understanding that the 2024 Loan Documents are represented to be in substantially final form, and any further changes will not be material to OGC's analysis.",https://www.nigc.gov?wpdmdl=3046&ind=3047,data/raw/external/nigc_declinations/pdf/20240911_Bishop_Paiute_Tribe.pdf,2026-08-06,2026-08-06,EXECUTION_UNCONFIRMED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,A financing event here is a financing whose DRAFTS NIGC reviewed. The event is evidenced; its execution is not.,"Never attach this financing to a property because the enterprise owns that property. Financings routinely cover several properties, the whole enterprise, unrestricted assets, or a future project. The letter-to-property relation is many-to-many and a matched property means only that the property was NAMED.",,CE-0012F-80
NIGCDL-FIN-NIGC-DL-20240402-01,NIGC-DL-20240402-01,2024-04-02,TRBF-CVERDE-00,Yavapai-Apache,Yavapai Apache,"BOKF, NA d/b/a BOK Financial",Review of Amendments to Loan Agreement for the Yavapai Apache Nation and BOKF,loan_or_credit_agreement|security_or_collateral_agreement|amendment_or_restatement,,,,,,,,,"No property in this letter met the exact-name-plus-tribe test. Absence here is a matching outcome, not a statement about collateral.",,,"4861-4988-4813] The Loan Documents contain terms similar to other agreements the Office of General Counsel has already reviewed and analyzed, which are available on the NIGC's website.",AMENDS,AMENDS,NIGC-DL-20210412-01,"POSSIBLE_SAME_TRANSACTION: 2 letters share this tribe and the counterparty string 'BOKF, NA d/b/a BOK Financial' (2021-04-12 .. 2024-04-02). Treat as ONE financing relationship unless ruled otherwise; counting them as separate deals double-counts.",,"NOT EXTRACTED. Loan amounts appear in the reviewed drafts, not reliably in the opinion letter, and the drafts are unexecuted. No dollar figure is claimed from this source.",UNEXECUTED_DRAFTS_REVIEWED,"In my review, I considered the following submissions (Loan Documents) which are unexecuted, but represented to be in substantially final form: 1.",https://www.nigc.gov?wpdmdl=3053&ind=3054,data/raw/external/nigc_declinations/pdf/20240402Review_of_Amendments_Yavapai_Apache.pdf,2026-08-06,2026-08-06,EXECUTION_UNCONFIRMED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,A financing event here is a financing whose DRAFTS NIGC reviewed. The event is evidenced; its execution is not.,"Never attach this financing to a property because the enterprise owns that property. Financings routinely cover several properties, the whole enterprise, unrestricted assets, or a future project. The letter-to-property relation is many-to-many and a matched property means only that the property was NAMED.",,CE-0013Z-D0
NIGCDL-FIN-NIGC-DL-20231018-01,NIGC-DL-20231018-01,2023-10-18,TRBF-TWNPLM-00,Twenty-Nine Palms,Twenty-Nine Palms Band of Mission,PNC Bank,Review of the Loan Documents for the Twenty-Nine Palms Band of Mission Indians,loan_or_credit_agreement|security_or_collateral_agreement|amendment_or_restatement,,,,,,,,,"No property in this letter met the exact-name-plus-tribe test. Absence here is a matching outcome, not a statement about collateral.",,,The Loan Documents contain terms similar to other agreements that OGC has previously reviewed and analyzed.,RESTATES,RESTATES,NIGC-DL-20200520-01|NIGC-DL-20260112-01|NIGC-DL-20260414-01,POSSIBLE_SAME_TRANSACTION: 4 letters share this tribe and the counterparty string 'PNC Bank' (2020-05-20 .. 2026-04-14). Treat as ONE financing relationship unless ruled otherwise; counting them as separate deals double-counts.,,"NOT EXTRACTED. Loan amounts appear in the reviewed drafts, not reliably in the opinion letter, and the drafts are unexecuted. No dollar figure is claimed from this source.",UNEXECUTED_DRAFTS_REVIEWED,"It is my understanding that the Loan Documents are represented to be in substantially final form, and any further changes will not be material to OGC's analysis.",https://www.nigc.gov?wpdmdl=3069&ind=3071,data/raw/external/nigc_declinations/pdf/20231018_TwentyNinePalms-PNC.pdf,2026-08-06,2026-08-06,EXECUTION_UNCONFIRMED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,A financing event here is a financing whose DRAFTS NIGC reviewed. The event is evidenced; its execution is not.,"Never attach this financing to a property because the enterprise owns that property. Financings routinely cover several properties, the whole enterprise, unrestricted assets, or a future project. The letter-to-property relation is many-to-many and a matched property means only that the property was NAMED.",,CE-001BR-BH
NIGCDL-FIN-NIGC-DL-20220622-01,NIGC-DL-20220622-01,2022-06-22,TRBF-PALABD-00,Pala,Pala Band of Mission Indians,US Bank N.A.,Review of the 2022 First Amendment Documents for Pala Band of Mission Indians,loan_or_credit_agreement|amendment_or_restatement,,,U.S. Bank National Association,,,,,,"No property in this letter met the exact-name-plus-tribe test. Absence here is a matching outcome, not a statement about collateral.",1,First Amendment,The 2022 First Amendment Documents contain terms similar to other agreements that OGC has previously reviewed and analyzed.,,AMENDS,,single letter for this tribe-counterparty pair in this archive,,"NOT EXTRACTED. Loan amounts appear in the reviewed drafts, not reliably in the opinion letter, and the drafts are unexecuted. No dollar figure is claimed from this source.",UNEXECUTED_DRAFTS_REVIEWED,"It is my understanding that the 2022 First Amendment Documents are represented to be in substantially final form, and any further changes will not be material to OGC's analysis.",https://www.nigc.gov?wpdmdl=3098&ind=3099,data/raw/external/nigc_declinations/pdf/20220622PalaBandofMissionIndDecltr-USBankNA.pdf,2026-08-06,2026-08-06,EXECUTION_UNCONFIRMED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,A financing event here is a financing whose DRAFTS NIGC reviewed. The event is evidenced; its execution is not.,"Never attach this financing to a property because the enterprise owns that property. Financings routinely cover several properties, the whole enterprise, unrestricted assets, or a future project. The letter-to-property relation is many-to-many and a matched property means only that the property was NAMED.",,CE-00183-YM
NIGCDL-FIN-NIGC-DL-20211129-01,NIGC-DL-20211129-01,2021-11-29,TRBF-ESTCHK-00,Eastern Cherokee,Eastern Band of Cherokee Indians,"Wells Fargo, N.A.",Review of the Loan Documents for the Eastern Band of Cherokee Indians,loan_or_credit_agreement|security_or_collateral_agreement|amendment_or_restatement,,,,,,,,,"No property in this letter met the exact-name-plus-tribe test. Absence here is a matching outcome, not a statement about collateral.",,,The Loan Documents contain terms similar to other agreements that OGC has previously reviewed and analyzed.,RESTATES,RESTATES,NIGC-DL-20170727-01|NIGC-DL-20210219-02,"POSSIBLE_SAME_TRANSACTION: 3 letters share this tribe and the counterparty string 'Wells Fargo, N.A.' (2017-07-27 .. 2021-11-29). Treat as ONE financing relationship unless ruled otherwise; counting them as separate deals double-counts.",,"NOT EXTRACTED. Loan amounts appear in the reviewed drafts, not reliably in the opinion letter, and the drafts are unexecuted. No dollar figure is claimed from this source.",UNEXECUTED_DRAFTS_REVIEWED,"It is my understanding that the Loan Documents are represented to be in substantially final form, and any further changes will not be material to OGC's analysis.",https://www.nigc.gov?wpdmdl=3127&ind=3128,data/raw/external/nigc_declinations/pdf/20211129EasternBandofCherokeeIndiansofNC.pdf,2026-08-06,2026-08-06,EXECUTION_UNCONFIRMED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,A financing event here is a financing whose DRAFTS NIGC reviewed. The event is evidenced; its execution is not.,"Never attach this financing to a property because the enterprise owns that property. Financings routinely cover several properties, the whole enterprise, unrestricted assets, or a future project. The letter-to-property relation is many-to-many and a matched property means only that the property was NAMED.",,CE-0014B-TW
NIGCDL-FIN-NIGC-DL-20210525-01,NIGC-DL-20210525-01,2021-05-25,TRBF-PUYLLP-00,Puyallup,Puyallup Tribe of Indians,Wells Fargo Bank N.A.,Review of loan documents for the Puyallup Tribe of Indians,loan_or_credit_agreement|amendment_or_restatement,,,,,,,,,"No property in this letter met the exact-name-plus-tribe test. Absence here is a matching outcome, not a statement about collateral.",4,Amendment No. 4,"The Loan Documents contain terms similar to other agreements the Office of General Counsel has already reviewed and analyzed, which are available on the NIGC's website.",,AMENDS,,single letter for this tribe-counterparty pair in this archive,,"NOT EXTRACTED. Loan amounts appear in the reviewed drafts, not reliably in the opinion letter, and the drafts are unexecuted. No dollar figure is claimed from this source.",UNEXECUTED_DRAFTS_REVIEWED,"In my review, I considered the following submissions (collectively, ""the Loan Documents"") all of which are unexecuted, but were represented to be in substantially final form: o Amendment No.",https://www.nigc.gov?wpdmdl=3167&ind=3168,data/raw/external/nigc_declinations/pdf/20210525PuyallupTribeofIndiansWellsFargo.pdf,2026-08-06,2026-08-06,EXECUTION_UNCONFIRMED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,A financing event here is a financing whose DRAFTS NIGC reviewed. The event is evidenced; its execution is not.,"Never attach this financing to a property because the enterprise owns that property. Financings routinely cover several properties, the whole enterprise, unrestricted assets, or a future project. The letter-to-property relation is many-to-many and a matched property means only that the property was NAMED.",,CE-0018W-M5
NIGCDL-FIN-NIGC-DL-20201026-01,NIGC-DL-20201026-01,2020-10-26,TRBF-PSQYQI-00,Pascua Yaqui,Pascua Yaqui Tribe,"Bank of America, N.A.",Review of Financing Documents on behalf of the Pascua Yaqui Tribe,loan_or_credit_agreement|amendment_or_restatement,,,,,,,,,"No property in this letter met the exact-name-plus-tribe test. Absence here is a matching outcome, not a statement about collateral.",7,Seventh Amendment,,AMENDS,AMENDS,NIGC-DL-20240830-01,"POSSIBLE_SAME_TRANSACTION: 2 letters share this tribe and the counterparty string 'Bank of America, N.A.' (2020-10-26 .. 2024-08-30). Treat as ONE financing relationship unless ruled otherwise; counting them as separate deals double-counts.",,"NOT EXTRACTED. Loan amounts appear in the reviewed drafts, not reliably in the opinion letter, and the drafts are unexecuted. No dollar figure is claimed from this source.",UNEXECUTED_DRAFTS_REVIEWED,"It is my understanding the Financing Documents are represented to be in substantially final form with respect to terms affecting this opinion, and if such terms change in any material way prior to closing or are inconsistent with the assumptions made herein, this opinion shall not apply.",https://www.nigc.gov?wpdmdl=3213&ind=3214,data/raw/external/nigc_declinations/pdf/20201026PascuaYaquiTribe-Company-BankofAmericaNA.pdf,2026-08-06,2026-08-06,EXECUTION_UNCONFIRMED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,A financing event here is a financing whose DRAFTS NIGC reviewed. The event is evidenced; its execution is not.,"Never attach this financing to a property because the enterprise owns that property. Financings routinely cover several properties, the whole enterprise, unrestricted assets, or a future project. The letter-to-property relation is many-to-many and a matched property means only that the property was NAMED.",,CE-0018S-2T
NIGCDL-FIN-NIGC-DL-20170727-01,NIGC-DL-20170727-01,2017-07-27,TRBF-ESTCHK-00,Eastern Cherokee,Eastern Band of Cherokee Indians,Wells Fargo N.A.,Review of th~ 2017 Loan Documents for the•Eastern Band of Cherokee'Iridians,loan_or_credit_agreement|security_or_collateral_agreement|development_or_construction_agreement|amendment_or_restatement,,,,,,,,,"No property in this letter met the exact-name-plus-tribe test. Absence here is a matching outcome, not a statement about collateral.",,,The 2017 Loan Documents contain terms similar to other agreements that OGC has previously reviewed and analyzed.,AMENDS,AMENDS|RESTATES,NIGC-DL-20210219-02|NIGC-DL-20211129-01,POSSIBLE_SAME_TRANSACTION: 3 letters share this tribe and the counterparty string 'Wells Fargo N.A.' (2017-07-27 .. 2021-11-29). Treat as ONE financing relationship unless ruled otherwise; counting them as separate deals double-counts.,,"NOT EXTRACTED. Loan amounts appear in the reviewed drafts, not reliably in the opinion letter, and the drafts are unexecuted. No dollar figure is claimed from this source.",UNEXECUTED_DRAFTS_REVIEWED,"It is my understanding that the 2017 Loan Documents are represented to be in substantially final form, and any further changes will not be material to OGC's analysis.",https://www.nigc.gov?wpdmdl=7131&ind=7142,data/raw/external/nigc_declinations/pdf/20170727LettertoJonesWalkeLLPreDeclinationltr-EasternBandofCherokeeIndians.pdf,2026-08-06,2026-08-06,EXECUTION_UNCONFIRMED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,A financing event here is a financing whose DRAFTS NIGC reviewed. The event is evidenced; its execution is not.,"Never attach this financing to a property because the enterprise owns that property. Financings routinely cover several properties, the whole enterprise, unrestricted assets, or a future project. The letter-to-property relation is many-to-many and a matched property means only that the property was NAMED.",,CE-0014B-TW
