decision_id,entity_id,tribe,state,state_abbr,legal_theory,decision_status,decision_date,document_urls,federal_register_url,source_url,fetched_date,decision_date_displayed,decision_title,document_labels,document_types,n_documents,document_urls_basis,federal_register_date,federal_register_doc_number,federal_register_slug,project_page_url,bia_note_text,index_row_position,tribe_basis,bia_tribes_column_conflict,tribe_from_title,legal_theory_basis,decision_status_basis,decision_date_basis,tribe_id,tribe_canonical_name,entity_match_method,entity_tier,entity_match_basis,entity_keyed_date,cedar_uid
GLD-AZ-tohono-o-odham-nation-of-arizona-20140703,TRBF-THNODM-00,Tohono O'odham Nation of Arizona,Arizona,AZ,Settlement of a Land Claim,Approved,2014-07-03,https://www.bia.gov/sites/default/files/media_document/508_compliant_2014_07.03_tohono_o%27odham_nation_letter_re_remand.pdf,https://www.federalregister.gov/documents/2010/08/26/2010-21130/land-acquisitions-tohono-oodham-nation-arizona,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05,07/03/14,Tohono O'odham Nation Decision,"Tohono O'odham Nation, Glendale Trust Acquisition Letter",trust_acquisition_document+remand,1,bia_gaming_land_decisions_index_row,2010-08-26,2010-21130,land-acquisitions-tohono-oodham-nation-arizona,,"July 23, 2014, Final decision on remand from Gila River Indian Cmty. v. United States , 729 F.3d 1139 (9th Cir. 2013).",1,"bia_index_Tribe(s)_column, verbatim (agrees with the BIA title)",0,,"bia_index_Legal_Theory_column, verbatim","bia_index_Decision_Status_column, verbatim (current state only; see gaming_decision_events.csv)",bia_index_Date_column <time datetime> attribute,TRBF-THNODM-00,Tohono O'odham,alias,A,resolver_alias,2026-08-06,CE-001B9-HT
GLD-AZ-navajo-nation-arizona-new-mexico-utah-20101110,TRBF-NAVAJO-00,"Navajo Nation, Arizona, New Mexico, & Utah",Arizona,AZ,Within or Contiguous to Reservation Boundaries,Approved,2010-11-10,https://www.bia.gov/sites/default/files/media_document/508_compliant_2010.11.10.navajo_tribal_leaders_letter.pdf,https://www.federalregister.gov/documents/2010/11/22/2010-29389/land-acquisitions-navajo-nation-arizona,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05,11/10/10,Navajo Nation Decision,"Navajo Nation, Cococino County Trust Acquisition Letter",trust_acquisition_document,1,bia_gaming_land_decisions_index_row,2010-11-22,2010-29389,land-acquisitions-navajo-nation-arizona,,,5,"bia_index_Tribe(s)_column, verbatim (agrees with the BIA title)",0,,"bia_index_Legal_Theory_column, verbatim","bia_index_Decision_Status_column, verbatim (current state only; see gaming_decision_events.csv)",bia_index_Date_column <time datetime> attribute,TRBF-NAVAJO-00,Navajo,alias,A,resolver_alias,2026-08-06,CE-0017F-1G
GLD-CA-united-auburn-indian-community-of-the-au-20020205,TRBF-AUBURN-00,United Auburn Indian Community of the Auburn Rancheria of California,California,CA,Restored Lands,Approved,2002-02-05,https://www.bia.gov/sites/default/files/media_document/508_compliant_2002.02.05_united_auburn_indian_community_findings_of_fact.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_2001.01.19_united_auburn_indian_community_fonsi.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_2002.02.05_united_auburn_indian_community_pacific_regional_director_memorandum.pdf,https://www.federalregister.gov/documents/2002/03/15/02-6315/land-acquisitions-united-auburn-indian-community-of-california,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05,02/05/02,United Auburn Indian Community of the Auburn Rancheria Decision,"United Auburn Indian Community, Placer County Trust Acquisition Findings of Fact|United Auburn Indian Community, Placer County Trust Acquisition Finding of No Significant Impact (FONSI)|United Auburn Indian Community, Placer County Trust Acquisition Memorandum to Regional Director",trust_acquisition_document+findings_of_fact|fonsi+trust_acquisition_document|trust_acquisition_document+memorandum,3,bia_gaming_land_decisions_index_row,2002-03-15,02-6315,land-acquisitions-united-auburn-indian-community-of-california,,,9,"bia_index_Tribe(s)_column, verbatim (agrees with the BIA title)",0,,"bia_index_Legal_Theory_column, verbatim","bia_index_Decision_Status_column, verbatim (current state only; see gaming_decision_events.csv)",bia_index_Date_column <time datetime> attribute,TRBF-AUBURN-00,United Auburn,alias,A,resolver_alias,2026-08-06,CE-00125-C6
GLD-CA-scotts-valley-band-of-pomo-indians-of-ca-20250110,TRBF-SCTTSV-00,Scotts Valley Band of Pomo Indians of California,California,CA,Restored Lands,Approved,2025-01-10,https://www.bia.gov/sites/default/files/media_document/scotts_valley_band_of_pomo_indians%2C_january_10%2C_2025%2C_trust_acquisition_decision_letter.pdf|https://www.bia.gov/sites/default/files/media_document/2025.03.28_correction_scotts_valley_band_of_pomo_indians_partial_reconsideration_of_01.10.25_deci.pdf|https://www.bia.gov/sites/default/files/media_document/05.20.25_scotts_valley_reconsideration_deadline_extension_508_compliant.pdf,https://www.federalregister.gov/documents/2025/01/15/2025-00744/land-acquisitions-scotts-valley-band-of-pomo-indians-vallejo-site-solano-county-california,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05,01/10/25,Scotts Valley Band of Pomo Indians Decision,"January 10, 2025 - Trust Acquisition Decision Letter|March 28, 2025 - Partial Reconsideration of January 10, 2025 Decision (Corrected)|May 20, 2025 - Reconsideration Deadline Extension",decision_letter+trust_acquisition_document|reconsideration|reconsideration+extension,3,bia_gaming_land_decisions_index_row,2025-01-15,2025-00744,land-acquisitions-scotts-valley-band-of-pomo-indians-vallejo-site-solano-county-california,,"Restored lands trust acquisition approved January 10, 2025, on remand from Scotts Valley Band of Pomo Indians v. US. Dep't of the Interior , 633 F. Supp. 3d 132, 171 (D.D.C. 2022). Gaming eligibility decision temporarily rescinded effective March 27, 2025.",14,"bia_index_Tribe(s)_column, verbatim (agrees with the BIA title)",0,,"bia_index_Legal_Theory_column, verbatim","bia_index_Decision_Status_column, verbatim (current state only; see gaming_decision_events.csv)",bia_index_Date_column <time datetime> attribute,TRBF-SCTTSV-00,Scotts Valley,alias,A,resolver_alias,2026-08-06,CE-0019S-7A
GLD-CA-northfork-rancheria-of-mono-indians-of-c-20110901,TRBF-NORFRK-00,Northfork Rancheria of Mono Indians of California,California,CA,Two-Part Secretarial Determination,Approved,2011-09-01,https://www.bia.gov/sites/default/files/media_document/508_compliant-redacted_2011.09.01_north_fork_rancheria_governor%27s_letter_0.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_2012.08.30_northfork_rancheria_governor%27s_concurrence_letter.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_2011.09.01_north_fork_292.record_of_decision_0.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_2012.11.26_north_fork_rancheria_151.record_of_decision_rod%29.pdf,https://www.federalregister.gov/documents/2012/12/03/2012-29044/land-acquisitions-north-fork-rancheria-of-mono-indians-of-california,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05,09/01/11,North Fork Rancheria of Mono Indians of California Decision,"North Fork Rancheria, Letter to Governor and Two-Part Determination|North Fork Rancheria of Mono Indians, Madera County Trust Acquisition Governor's Concurrence|North Fork Rancheria of Mono Indians, Madera Site Trust Acquisition, Record of Decision|North Fork Rancheria, ROD and Trust Acquisition Determination",two_part_determination+governor_correspondence|trust_acquisition_document+governor_correspondence|record_of_decision+trust_acquisition_document|record_of_decision+trust_acquisition_document,4,bia_gaming_land_decisions_index_row,2012-12-03,2012-29044,land-acquisitions-north-fork-rancheria-of-mono-indians-of-california,,,18,"bia_index_Tribe(s)_column, verbatim (agrees with the BIA title)",0,,"bia_index_Legal_Theory_column, verbatim","bia_index_Decision_Status_column, verbatim (current state only; see gaming_decision_events.csv)",bia_index_Date_column <time datetime> attribute,TRBF-NORFRK-00,North Fork,alias,A,resolver_alias,2026-08-06,CE-0017P-BZ
GLD-CA-habematolel-pomo-of-upper-lake-californi-20080908,TRBF-HBMTLL-00,"Habematolel Pomo of Upper Lake, California",California,CA,Restored Lands,Approved,2008-09-08,https://www.bia.gov/sites/default/files/media_document/508_compliant_2008.09.08_upper_lake_tribe_trust_decision_letter.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_2008.07.08_upper_lake_fonsi.pdf,https://www.federalregister.gov/documents/2008/10/07/E8-23706/land-acquisitions-habematolel-pomo-of-upper-lake-ca,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05,09/08/08,Habematolel Pomo of Upper Lake Decision,"Habematolel Pomo of Upper Lake Trust Acquisition Letter|Habematolel Pomo of Upper Lake, Upper Lake, Finding of No Significant Impact (FONSI)",decision_letter+trust_acquisition_document|fonsi,2,bia_gaming_land_decisions_index_row,2008-10-07,E8-23706,land-acquisitions-habematolel-pomo-of-upper-lake-ca,,,24,"bia_index_Tribe(s)_column, verbatim (agrees with the BIA title)",0,,"bia_index_Legal_Theory_column, verbatim","bia_index_Decision_Status_column, verbatim (current state only; see gaming_decision_events.csv)",bia_index_Date_column <time datetime> attribute,TRBF-HBMTLL-00,Habematolel,alias,A,resolver_alias,2026-08-06,CE-0014Y-CQ
GLD-CA-cloverdale-rancheria-of-pomo-indians-of-20160429,TRBF-CLVRDL-00,Cloverdale Rancheria of Pomo Indians of California,California,CA,Restored Lands,Approved,2016-04-29,https://www.bia.gov/sites/default/files/media_document/508_compliant_2016.04.29.trust_acquisition_decision_letter_to_tribe.cloverdale_rancheria.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_cloverdale_rancheria_of_california%2C_april_29%2C_2016%2C_record_of_decision_rod%29.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_2016.04.29_cloverdale_rod_attachment_i_notices.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_2016.04.29_cloverdale_rod_attachment_ii_comments.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_2016.04.29_cloverdale_rod_attachment_iii_legal_description.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_2016.04.29_cloverdale_rancheria_rod_attachment_iv_mmep.pdf,https://www.federalregister.gov/documents/2016/05/19/2016-11756/land-acquisitions-cloverdale-rancheria-of-pomo-indians-of-california,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05,04/29/16,Cloverdale Rancheria of Pomo Indians Decision,"Cloverdale Rancheria of Pomo Indians, Trust Acquisition Letter|Cloverdale Rancheria of Pomo Indians, Record of Decision (ROD)|Cloverdale Rancheria of Pomo Indians, ROD Attachment I, Notices|Cloverdale Rancheria of Pomo Indians, ROD Attachment II, Comments|Cloverdale Rancheria of Pomo Indians, ROD Attachment III, Legal Description|Cloverdale Rancheria of Pomo Indians, ROD Attachment IV, Mitigation Monitoring and Enforcement Plan (MMEP)",decision_letter+trust_acquisition_document|record_of_decision|record_of_decision+appendix|record_of_decision+appendix|record_of_decision+map_or_exhibit+appendix|record_of_decision+appendix,6,bia_gaming_land_decisions_index_row,2016-05-19,2016-11756,land-acquisitions-cloverdale-rancheria-of-pomo-indians-of-california,,,30,"bia_index_Tribe(s)_column, verbatim (agrees with the BIA title)",0,,"bia_index_Legal_Theory_column, verbatim","bia_index_Decision_Status_column, verbatim (current state only; see gaming_decision_events.csv)",bia_index_Date_column <time datetime> attribute,TRBF-CLVRDL-00,Cloverdale,alias,A,resolver_alias,2026-08-06,CE-0013F-DG
GLD-MI-little-traverse-bay-bands-of-odawa-india-20030807,TRBF-LTRVRS-00,"Little Traverse Bay Bands of Odawa Indians, Michigan",Michigan,MI,Restored Lands,Approved,2003-08-07,https://www.bia.gov/sites/default/files/media_document/508_compliant_2003.07.03_little_traverse_bay_bands_of_odawa_indians_findings_of_fact.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_2003.08.07_little_traverse_bay_bands_of_odawa_indians_midwest_regional_director_memorandum.pdf,https://www.federalregister.gov/documents/2003/08/15/03-20935/land-acquisitions-little-traverse-bay-bands-of-odawa-indians-of-michigan,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05,08/07/03,Little Traverse Bay Bands of Odawa Indians Decision,"Little Traverse Band of Odawa Indians, Emmett County Trust Acquisition Findings of Fact|Little Traverse Band of Odawa Indians, Emmett County Trust Acquisition Memorandum to Regional Director",trust_acquisition_document+findings_of_fact|trust_acquisition_document+memorandum,2,bia_gaming_land_decisions_index_row,2003-08-15,03-20935,land-acquisitions-little-traverse-bay-bands-of-odawa-indians-of-michigan,,,46,"bia_index_Tribe(s)_column, verbatim (agrees with the BIA title)",0,,"bia_index_Legal_Theory_column, verbatim","bia_index_Decision_Status_column, verbatim (current state only; see gaming_decision_events.csv)",bia_index_Date_column <time datetime> attribute,TRBF-LTRVRS-00,Little Traverse,alias,A,resolver_alias,2026-08-06,CE-0016D-GE
GLD-MN-prairie-island-indian-community-in-the-s-20241210,TRBF-PRAIRI-00,Prairie Island Indian Community in the State of Minnesota,Minnesota,MN,Two-Part Secretarial Determination,Approved,2024-12-10,https://www.bia.gov/sites/default/files/media_document/508_compliant_corrected_prairie_island_indian_community_december%2C10%2C2024%2C_trust_acquisition_decision_letter_1.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_governor_walz_concurrence_in_prairie_island_two-part_determination.pdf,https://www.federalregister.gov/documents/2024/12/13/2024-29440/land-acquisitions-prairie-island-indian-community-elk-run-site-city-of-pine-island-olmstead-county,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05,12/10/24,Prairie Island Indian Community Decision,Prairie Island Indian Community Decision|Governor Concurrence,decision_letter+trust_acquisition_document|two_part_determination+governor_correspondence,2,bia_gaming_land_decisions_index_row,2024-12-13,2024-29440,land-acquisitions-prairie-island-indian-community-elk-run-site-city-of-pine-island-olmstead-county,,"Positive Two-Part Secretarial Determination issued Nov. 8, 2024 (Enclosure 2); Governor's Concurrence issued Nov. 18, 2024 (Enclosure 3).",59,"bia_index_Tribe(s)_column, verbatim (agrees with the BIA title)",0,,"bia_index_Legal_Theory_column, verbatim","bia_index_Decision_Status_column, verbatim (current state only; see gaming_decision_events.csv)",bia_index_Date_column <time datetime> attribute,TRBF-PRAIRI-00,Prairie Island,alias,A,resolver_alias,2026-08-06,CE-0018N-AP
GLD-NY-cayuga-nation-20230329,TRBF-CAYUGA-00,Cayuga Nation,New York,NY,Within or Contiguous to Reservation Boundaries,Approved,2023-03-29,https://www.bia.gov/sites/default/files/media_document/508_compliant_2023.03.29_cayuga_nation_trust_aquisition_decision.pdf|https://www.bia.gov/sites/default/files/media_document/508_compliant_2023.03.15_cayuga_draft_fact_sheet_q_a.pdf,https://www.federalregister.gov/documents/2023/04/04/2023-06979/land-acquisitions-cayuga-nation-cayuga-county-parcels-cayuga-county-new-york,https://www.bia.gov/as-ia/oig/gaming-land-decisions,2026-08-05,03/29/23,Cayuga Indian Nation of New York Decision,"Cayuga Nation Trust Acquisition Decision|Cayuga Indian Nation of New York, Key Fact Sheet Q&A",trust_acquisition_document|fact_sheet,2,bia_gaming_land_decisions_index_row,2023-04-04,2023-06979,land-acquisitions-cayuga-nation-cayuga-county-parcels-cayuga-county-new-york,,,74,"bia_index_Tribe(s)_column, verbatim (agrees with the BIA title)",0,,"bia_index_Legal_Theory_column, verbatim","bia_index_Decision_Status_column, verbatim (current state only; see gaming_decision_events.csv)",bia_index_Date_column <time datetime> attribute,TRBF-CAYUGA-00,Cayuga Nation of New York,alias,A,resolver_alias,2026-08-06,CE-0012X-WY
