project_id,counterparty_government,service,amount,term,effective_date,source_document,page,tribe,counterparty_type,agreement_name,section_ref,amount_basis,amount_value,amount_unit,agreement_status,page_label,source_url,notes
OSAGE-LAKEOZARK,"Miller County Sheriff's Department, Missouri","Emergency response services, incident control and other law enforcement services on request from the 911 system or from the Nation","$50,000 per year","three years, commencing with the opening of a casino",2023-09,"Osage Nation Lake Ozark Casino Resort Project Environmental Assessment, July 2025",46,The Osage Nation,county law enforcement,Mutual Aid and Assistance Agreement,EA Section 3.2.6; Appendix D (NOT posted),fixed_annual,50000,USD per year,executed,42,https://www.bia.gov/sites/default/files/media_document/ea-report.pdf,"The agreement text itself (Appendix D) is referenced in the EA but is not among the three documents BIA posted for this project, so the terms here are the EA's summary of it. The EA also notes this agreement 'only becomes effective upon the opening of a casino' and therefore does not apply to Alternative B (p.70)."
OSAGE-LAKEOZARK,"Lake Ozark Fire Protection District, Missouri",Fire protection and emergency medical services,,,,"Osage Nation Lake Ozark Casino Resort Project Environmental Assessment, July 2025",46,The Osage Nation,special district,(fire and EMS agreement),EA Section 3.2.6,not_yet_agreed,,,under_negotiation,42,https://www.bia.gov/sites/default/files/media_document/ea-report.pdf,"District responded to over 1,700 calls for service in calendar year 2021. No amount disclosed."
OSAGE-LAKEOZARK,"City of Lake Ozark, Missouri",Install or fund a designated westbound right turn lane at Access P1 and Bagnell Dam Boulevard,,,,"Osage Nation Lake Ozark Casino Resort Project Environmental Assessment, July 2025",75,The Osage Nation,municipality,"(mitigation measure, Section 4)",EA Table 32: Mitigation Measures,in_kind_capital_works,,,mitigation_measure,71,https://www.bia.gov/sites/default/files/media_document/ea-report.pdf,Cost not disclosed. Recommended for Alternative A only.
MENOM-KENOSHA,"City of Kenosha, Wisconsin",Payments to support local government operations (general),3 percent of Net Win,from establishment of the Federal Trust Land; parties must meet in Calendar Year 20 and every 10 years thereafter to discuss increases,2024-01-03,"Menominee Kenosha EA Appendix IGA -- Intergovernmental Agreements (City, County, Tourism)",8,Menominee Indian Tribe of Wisconsin,municipality,Intergovernmental Agreement -- City of Kenosha (Appendix IGA-1),Section 2(A)(1),percent_of_net_win,3,percent of Net Win,executed,3,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-iga.pdf,"Net Win = total amount wagered less amounts paid out as prizes. Paid quarterly, within 30 days of quarter end. Late payments accrue 1.5 percent per month. Annual CPA audit of Net Win required, delivered to the City."
MENOM-KENOSHA,"City of Kenosha, Wisconsin",Advanced life support vehicles,"$500,000 by close of Calendar Year 3 and $500,000 by close of Calendar Year 4",Calendar Years 3 and 4,2024-01-03,"Menominee Kenosha EA Appendix IGA -- Intergovernmental Agreements (City, County, Tourism)",13,Menominee Indian Tribe of Wisconsin,municipality,Intergovernmental Agreement -- City of Kenosha (Appendix IGA-1),Section 2(A)(6),one_time,1000000,USD total,executed,8,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-iga.pdf,
MENOM-KENOSHA,"City of Kenosha, Wisconsin",Public museums trust fund and City homeownership program (charitable contribution),"$500,000 annually",Calendar Year 3 through Calendar Year 12 (ten payments),2024-01-03,"Menominee Kenosha EA Appendix IGA -- Intergovernmental Agreements (City, County, Tourism)",14-15,Menominee Indian Tribe of Wisconsin,municipality,Intergovernmental Agreement -- City of Kenosha (Appendix IGA-1),Section 2(B)(1),fixed_annual,500000,USD per year,executed,9-10,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-iga.pdf,"Museum trust principal preserved, interest used to remove museum costs from the property tax levy."
MENOM-KENOSHA,"City of Kenosha, Wisconsin","Sewer, water and stormwater service charges and infrastructure upgrade costs",customary commercial charges plus project-related upgrade costs,ongoing,2024-01-03,"Menominee Indian Tribe of Wisconsin Kenosha Casino Project Environmental Assessment, March 2026 (NEPA-ID-58312)",10,Menominee Indian Tribe of Wisconsin,municipality,Intergovernmental Agreement -- City of Kenosha (Appendix IGA-1),"City IGA Section 2(K), as summarised in EA Section 1.6.2",service_charges_and_capital_costs,,,executed,5,https://www.bia.gov/sites/default/files/media_document/menominee-kenosha_casino_published_ea.pdf,"Amount not quantified anywhere in the retrieved documents. Recorded from the EA's summary of the IGA rather than from the agreement text, because the summary is where the commitment is stated in quantifiable terms."
MENOM-KENOSHA,"City of Kenosha, Wisconsin",Exclusivity: City will not endorse or license any other Class III or casino-style gaming,,for so long as the Tribe and the Authority conduct Class III gaming at the facility,2024-01-03,"Menominee Kenosha EA Appendix IGA -- Intergovernmental Agreements (City, County, Tourism)",7,Menominee Indian Tribe of Wisconsin,municipality,Intergovernmental Agreement -- City of Kenosha (Appendix IGA-1),Section 1(D),non_monetary_commitment,,,executed,2,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-iga.pdf,A commitment BY the City TO the Tribe -- the reciprocal direction of this table's usual flow. Exclusivity is consideration for the payment stream above.
MENOM-KENOSHA,"Kenosha County, Wisconsin",Minimum annual payment floor under the Net Win share,"$50,000 (CY1-CY2); $500,000 (CY3-CY8); $1,000,000 CPI-adjusted (CY9 onward)",Calendar Year 1 onward; CY1 prorated,2024-02,"Menominee Kenosha EA Appendix IGA -- Intergovernmental Agreements (City, County, Tourism)",110-112,Menominee Indian Tribe of Wisconsin,county,Intergovernmental Agreement -- Kenosha County (Appendix IGA-2),Section 2.A.2-3,minimum_annual,1000000,"USD per year from Calendar Year 9, CPI-U adjusted",executed_per_EA_appendix_copy_undated,6-8,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-iga.pdf,
MENOM-KENOSHA,"Kenosha County, Wisconsin",Problem gambling assessment and treatment (match to county appropriation),"$75,000 total (see note)",any Calendar Year in which the County appropriates funds for problem gambling; paid within 90 days of appropriation or of commencement of gaming,2024-02,"Menominee Kenosha EA Appendix IGA -- Intergovernmental Agreements (City, County, Tourism)",113-114,Menominee Indian Tribe of Wisconsin,county,Intergovernmental Agreement -- Kenosha County (Appendix IGA-2),Section 2.A.7,matching_capped,75000,"USD, total cap per the agreement text",executed_per_EA_appendix_copy_undated,9-10,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-iga.pdf,"CONFLICT: the agreement text reads 'the Authority's commitment under this subsection (7) is limited to a total payment to the County of Seventy-Five Thousand Dollars ($75,000)'; the EA's summary (p.10) reads 'match Kenosha County expenditures up to $75,000 per year'. The agreement text is recorded here; the EA's per-year reading is preserved in this note. Misuse of the funds triggers treble repayment to the Authority."
