facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,tribe_id,tribe_canonical_name,cedar_city,cedar_state,nigc_location_name,nigc_address,nigc_region_name,nigc_city,nigc_state,match_basis,link_tier,cedar_row_has_close_evidence,nigc_listed_as_of,igra_coverage_status,source_url,cedar_uid
CCP-975900,,CEDAR-PLACE-000516-84,Thunderbird Casino - Shawnee,TRBF-ASHAWN-00,Absentee-Shawnee,Shawnee,OK,Thunderbird Casino - Shawnee,"2051 S Gordon Cooper, Shawnee OK 74801",Oklahoma,Shawnee,OK,exact_name_state,A,0,2026-08-26,VERIFIED_NIGC_OPERATION,https://www.nigc.gov/map/,CE-00124-6D
CCP-665400,,CEDAR-PLACE-000286-WE,Tribal Express Casino,TRBF-ABSXFP-00,Assiniboine and Sioux,Poplar,MT,Tribal Express Casino,"Highway 2, East Poplar MT 59255",Rapid City,East Poplar,MT,exact_name_state,A,0,2026-08-26,VERIFIED_NIGC_OPERATION,https://www.nigc.gov/map/,CE-0011T-53
CCP-406800,,CEDAR-PLACE-000675-VV,Glacier Peaks Casino,TRBF-BLCKFT-00,Blackfeet,Browning,MT,Glacier Peaks Casino,"209 N. Piegan St., Browning MT 59417",Rapid City,Browning,MT,exact_name_state,A,0,2026-08-26,VERIFIED_NIGC_OPERATION,https://www.nigc.gov/map/,CE-0012G-ES
VP-0118,,CEDAR-PLACE-000662-86,Choctaw Casino Grant,TRBF-CTWNAT-00,The Choctaw Nation of Oklahoma,Grant,OK,Choctaw Casino - Grant,"1516 U.S. Highway 271, Grant OK 74738",Tulsa,Grant,OK,exact_name_state,A,0,2026-08-26,VERIFIED_NIGC_OPERATION,https://www.nigc.gov/map/,CE-0013Y-77
CCP-409200,,CEDAR-PLACE-000422-56,Comanche Red River Casino,TRBF-CMNCHE-00,Comanche Nation,Devol,OK,Comanche Red River Casino,"Rt.1 Box 42 K, Devol OK 73531",Oklahoma,Devol,OK,exact_name_state,A,0,2026-08-26,VERIFIED_NIGC_OPERATION,https://www.nigc.gov/map/,CE-0013G-K9
CCP-1189900,,CEDAR-PLACE-000255-XQ,Big Horn Casino,TRBF-CROWMT-00,Crow,Fort Smith,MT,Big Horn Casino,"P.O. Box 609 - 71 Heritage Road, Crow Agency MT 59022",Rapid City,Crow Agency,MT,exact_name_state,A,1,2026-08-26,VERIFIED_NIGC_OPERATION,https://www.nigc.gov/map/,CE-0013W-VN
CCP-666600,,CEDAR-PLACE-000288-DG,Cherokee Tribal Bingo,TRBF-ESTCHK-00,Eastern Cherokee,Cherokee,NC,Cherokee Tribal Bingo,"91 Bingo Loop Road, Cherokee NC 28719","Washington, DC",Cherokee,NC,exact_name_state,A,0,2026-08-26,VERIFIED_NIGC_OPERATION,https://www.nigc.gov/map/,CE-0014B-TW
CCP-40500,,CEDAR-PLACE-000030-ME,Lone Butte Casino,TRBF-GILARV-00,Gila River,Chandler,AZ,Lone Butte Casino,"1200 S. 56th Street, Chandler AZ 85226",Phoenix,Chandler,AZ,exact_name_state,A,0,2026-08-26,VERIFIED_NIGC_OPERATION,https://www.nigc.gov/map/,CE-0014N-PP
CCP-72200,,CEDAR-PLACE-000166-X6,Golden Eagle Casino,TRBF-KCKPKS-00,Kickapoo Tribe in Kansas,Horton,KS,Golden Eagle Casino,"888 Highway K20, Horton KS 66439",Tulsa,Horton,KS,exact_name_state,A,0,2026-08-26,VERIFIED_NIGC_OPERATION,https://www.nigc.gov/map/,CE-0015Q-7R
CCP-87000,,CEDAR-PLACE-000680-SR,Inn of the Mountain Gods Resort & Casino,TRBF-MSCLRO-00,Mescalero Apache,Mescalero,NM,Inn of the Mountain Gods Resort and Casino,"287 Carrizo Canyon Rd., Mescalero NM 88340",Phoenix,Mescalero,NM,exact_name_state,A,0,2026-08-26,VERIFIED_NIGC_OPERATION,https://www.nigc.gov/map/,CE-0017A-3K
