ordinance_id,tribe_name,ocr_txt_path,ocr_chars,ocr_pages,ocr_pages_blank,ocr_mean_confidence,ocr_engine,ocr_dpi,text_layer_status_after,source_url,pdf_md5,ocr_date,ocr_metadata_basis,ocr_shard,ocr_chars_on_disk,ocr_chars_agreement,cedar_uid
NIGC-ORD-19931012-01,Pascua Yaqui,data/raw/external/nigc_ordinances/ocr/NIGC-ORD-19931012-01.txt,119370,69,0,0.8452,rapidocr-onnxruntime,220,OCR_RECOVERED,https://www.nigc.gov/office-of-general-counsel/gaming-ordinances/,a95b8547c8ab26b2605dae4f51709c92,2026-08-12,shard_csv,6,119370,AGREE,CE-0018S-2T
NIGC-ORD-19940103-02,Table Mountain,data/raw/external/nigc_ordinances/ocr/NIGC-ORD-19940103-02.txt,15818,10,0,0.8223,rapidocr-onnxruntime,220,OCR_RECOVERED,https://www.nigc.gov/office-of-general-counsel/gaming-ordinances/,49268ab8a395e17762cd21d5a5a73fe7,2026-08-12,shard_csv,5,15818,AGREE,CE-001B5-SP
NIGC-ORD-19940511-04,Oneida,data/raw/external/nigc_ordinances/ocr/NIGC-ORD-19940511-04.txt,42388,24,0,0.8131,rapidocr-onnxruntime,220,OCR_RECOVERED,https://www.nigc.gov/office-of-general-counsel/gaming-ordinances/,d003b6e40f85bc378d3f03db82ada6b8,2026-08-12,shard_csv,2,42388,AGREE,CE-0017X-NE
NIGC-ORD-19940613-05,Pascua Yaqui,data/raw/external/nigc_ordinances/ocr/NIGC-ORD-19940613-05.txt,105656,69,0,0.8291,rapidocr-onnxruntime,220,OCR_RECOVERED,https://www.nigc.gov/office-of-general-counsel/gaming-ordinances/,1c3f5e9563b3975478e4710ff774d1c2,2026-08-12,shard_csv,7,105656,AGREE,CE-0018S-2T
NIGC-ORD-19950215-02,Pueblo of Sandia,data/raw/external/nigc_ordinances/ocr/NIGC-ORD-19950215-02.txt,22007,13,0,0.8642,rapidocr-onnxruntime,220,OCR_RECOVERED,https://www.nigc.gov/office-of-general-counsel/gaming-ordinances/,a3d3b13a78df16cca17bf5bbdc641a1a,2026-08-12,shard_csv,5,22007,AGREE,CE-0019H-Q2
NIGC-ORD-19950621-08,Yankton,data/raw/external/nigc_ordinances/ocr/NIGC-ORD-19950621-08.txt,53353,40,0,0.8424,rapidocr-onnxruntime,220,OCR_RECOVERED,https://www.nigc.gov/office-of-general-counsel/gaming-ordinances/,491997bf8908801b417013acf6fade4f,2026-08-12,shard_csv,3,53353,AGREE,CE-001CD-EE
NIGC-ORD-19951024-02,Tulalip,data/raw/external/nigc_ordinances/ocr/NIGC-ORD-19951024-02.txt,12745,9,0,0.8539,rapidocr-onnxruntime,220,OCR_RECOVERED,https://www.nigc.gov/office-of-general-counsel/gaming-ordinances/,fec890e9705daab0c5db946be337a2e3,2026-08-12,shard_csv,4,12745,AGREE,CE-001BK-DM
NIGC-ORD-19960627-01,Picayune,data/raw/external/nigc_ordinances/ocr/NIGC-ORD-19960627-01.txt,23617,13,0,0.8594,rapidocr-onnxruntime,220,OCR_RECOVERED,https://www.nigc.gov/office-of-general-counsel/gaming-ordinances/,eb6141300a06ffe63234d54ae36649b5,2026-08-12,shard_csv,2,23617,AGREE,CE-0018X-TY
NIGC-ORD-19961118-01,Yavapai-Prescott,data/raw/external/nigc_ordinances/ocr/NIGC-ORD-19961118-01.txt,8949,8,0,0.8437,rapidocr-onnxruntime,220,OCR_RECOVERED,https://www.nigc.gov/office-of-general-counsel/gaming-ordinances/,648e8696d78b3672a9bafa2805dfbc96,2026-08-12,shard_csv,7,8949,AGREE,CE-0018P-GF
NIGC-ORD-19980123-01,Pueblo of Pojoaque,data/raw/external/nigc_ordinances/ocr/NIGC-ORD-19980123-01.txt,5021,3,0,0.8784,rapidocr-onnxruntime,220,OCR_RECOVERED,https://www.nigc.gov/office-of-general-counsel/gaming-ordinances/,92f87002b1c386941e7ca268e658f05a,2026-08-12,shard_csv,2,5021,AGREE,CE-0018J-RB
