facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,operating_company,tribe_id,entity,ultimate_parent_entity,entity_class,address,city,state,postal_code,latitude,longitude,coords_basis,property_status,open_date,open_date_basis,open_date_event,interim_open_date,close_date,duplicate_of_facility_id,open_date_absent_reason,earliest_land_decision_date,opening_bounded_below_by_land_decision,latest_bingo_seats,latest_convention_square_feet,latest_employees,latest_gaming_machines,latest_gaming_square_feet,latest_hotel_rooms,latest_parking_spaces,latest_poker_tables,latest_restaurants,latest_table_games,latest_bingo_seats_as_of,latest_convention_square_feet_as_of,latest_employees_as_of,latest_gaming_machines_as_of,latest_gaming_square_feet_as_of,latest_hotel_rooms_as_of,latest_parking_spaces_as_of,latest_poker_tables_as_of,latest_restaurants_as_of,latest_table_games_as_of,n_capacity_observations,n_land_decisions,land_decision_urls,land_decision_theory,n_compacts,n_deals_for_entity,revenue_note,source_url,fetched_date,built_date,cedar_uid
CCP-544900,,CEDAR-PLACE-000668-CW,Casino Del Sol,Casino Del Sol,TRBF-PSQYQI-00,Pascua Yaqui,Pascua Yaqui,Federally recognized tribe,5655 West Valencia,Tucson,AZ,85757-9714,32.132652282714844,-111.08147430419922,Casino City Press coordinates; locationprecision=Building,current,2001-10,"Casino City Tribal Property List, 'Open Date'; DAY PRECISION WITHDRAWN 2026-08-26: the value was a source placeholder (YYYY-12-31 = year, YYYY-MM-15 = mid-month) carrying a day no source states. Re-typed to the month-precision the source supports; verbatim source string retained in open_date_source_value_verbatim; parse open_date_not_before/open_date_not_after for the interval.",unspecified,,,,,2023-12-29,1,600.0,65000.0,900.0,997.0,160000.0,366.0,1800.0,20.0,16.0,18.0,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,373,1,https://www.federalregister.gov/documents/2024/01/25/2024-01467/land-acquisitions-pascua-yaqui-tribe-eleven-parcels-pima-county-arizona,Initial Reservation,4,2,NOT REPORTED. Tribal gaming revenue is not published per facility. Cedar Press states measured capacity and does not estimate revenue.,,2026-08-05,2026-08-06,CE-0018S-2T
CCP-595800,,CEDAR-PLACE-000057-V1,Chukchansi Gold Resort & Casino,Chukchansi Gold Resort & Casino,TRBF-PYCKCH-00,Picayune,Picayune,Federally recognized tribe,711 Lucky Lane,Coarsegold,CA,93614-8206,37.21123504638672,-119.69898986816406,Casino City Press coordinates; locationprecision=Building,current,2003-06-25,"Casino City Tribal Property List, 'Open Date'",unspecified,,2014-10-10,,,2004-06-30,1,,,1380.0,1800.0,56000.0,400.0,2500.0,8.0,9.0,36.0,,,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2016-07-01,2023-01-01,2023-01-01,284,1,https://www.federalregister.gov/documents/2004/09/15/04-20731/land-acquisitions-picayune-rancheria-of-california,Within or Contiguous to Reservation Boundaries,2,1,NOT REPORTED. Tribal gaming revenue is not published per facility. Cedar Press states measured capacity and does not estimate revenue.,,2026-08-05,2026-08-06,CE-0018X-TY
CCP-248000,,CEDAR-PLACE-000689-FS,Lucky 7 Casino & Hotel,Lucky 7 Casino & Hotel,TRBF-TLWDNI-00,Tolowa Dee-ni',Tolowa Dee-ni',Federally recognized tribe,350 North Indian Road,Smith River,CA,95567-9474,41.95649337768555,-124.20307159423828,Casino City Press coordinates; locationprecision=Building,current,2000-08,"Casino City Tribal Property List, 'Open Date'; DAY PRECISION WITHDRAWN 2026-08-26: the value was a source placeholder (YYYY-12-31 = year, YYYY-MM-15 = mid-month) carrying a day no source states. Re-typed to the month-precision the source supports; verbatim source string retained in open_date_source_value_verbatim; parse open_date_not_before/open_date_not_after for the interval.",unspecified,,,,,,0,130.0,6400.0,159.0,330.0,45000.0,71.0,400.0,4.0,2.0,3.0,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,353,0,,,2,5,NOT REPORTED. Tribal gaming revenue is not published per facility. Cedar Press states measured capacity and does not estimate revenue.,,2026-08-05,2026-08-06,CE-001BC-35
CCP-293400,,CEDAR-PLACE-000168-9R,Prairie Band Casino & Resort,Prairie Band Casino & Resort,TRBF-PRAIRB-00,Prairie Band,Prairie Band,Federally recognized tribe,12305 150th Road,Mayetta,KS,66509-8815,39.31527328491211,-95.7509994506836,Casino City Press coordinates; locationprecision=Building,current,1998-01,"Casino City Tribal Property List, 'Open Date'; DAY PRECISION WITHDRAWN 2026-08-26: the value was a source placeholder (YYYY-12-31 = year, YYYY-MM-15 = mid-month) carrying a day no source states. Re-typed to the month-precision the source supports; verbatim source string retained in open_date_source_value_verbatim; parse open_date_not_before/open_date_not_after for the interval.",unspecified,,,,,,0,400.0,12000.0,721.0,1194.0,35000.0,371.0,1092.0,5.0,6.0,25.0,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2016-01-01,2023-01-01,2023-01-01,379,0,,,2,1,NOT REPORTED. Tribal gaming revenue is not published per facility. Cedar Press states measured capacity and does not estimate revenue.,,2026-08-05,2026-08-06,CE-0018M-4X
CCP-770100,,CEDAR-PLACE-000188-1C,Odawa Casino Resort,Odawa Casino Resort,TRBF-LTRVRS-00,Little Traverse,Little Traverse,Federally recognized tribe,1760 Lears Road,Petoskey,MI,49770-8376,45.352989196777344,-84.9792709350586,Casino City Press coordinates; locationprecision=Building,current,2007-06-20,"Casino City Tribal Property List, 'Open Date'",unspecified,,,,,1999-08-27,1,,2700.0,1000.0,1100.0,33000.0,137.0,800.0,4.0,6.0,23.0,,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,314,2,https://www.federalregister.gov/documents/1999/09/02/99-22852/land-acquisitions-little-traverse-bay-bands-of-odawa-indians-of-michigan | https://www.federalregister.gov/documents/2003/08/15/03-20935/land-acquisitions-little-traverse-bay-bands-of-odawa-indians-of-michigan,Restored Lands,3,1,NOT REPORTED. Tribal gaming revenue is not published per facility. Cedar Press states measured capacity and does not estimate revenue.,,2026-08-05,2026-08-06,CE-0016D-GE
CCP-616300,,CEDAR-PLACE-000333-05,Route 66 Casino Hotel,Route 66 Casino Hotel,TRBF-LAGUNA-00,Pueblo of Laguna,Pueblo of Laguna,Federally recognized tribe,14500 Central Avenue,Laguna Pueblo,NM,87121-1450,35.02814865112305,-106.95303344726562,Casino City Press coordinates; locationprecision=Building,current,2002-04,"Casino City Tribal Property List, 'Open Date'; DAY PRECISION WITHDRAWN 2026-08-26: the value was a source placeholder (YYYY-12-31 = year, YYYY-MM-15 = mid-month) carrying a day no source states. Re-typed to the month-precision the source supports; verbatim source string retained in open_date_source_value_verbatim; parse open_date_not_before/open_date_not_after for the interval.",unspecified,,,,,,0,600.0,8000.0,800.0,1124.0,50000.0,154.0,2900.0,8.0,8.0,24.0,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,381,0,,,4,2,NOT REPORTED. Tribal gaming revenue is not published per facility. Cedar Press states measured capacity and does not estimate revenue.,,2026-08-05,2026-08-06,CE-00161-82
CCP-521100,,CEDAR-PLACE-000370-3J,Apache Casino Hotel,Apache Casino Hotel,TRBF-FSCWSA-00,Fort Sill-Chiricahua-Warm Springs-Apache Tribe,Fort Sill-Chiricahua-Warm Springs-Apache Tribe,Federally recognized tribe,2315 East Gore Boulevard,Lawton,OK,73502-0809,34.60703659057617,-98.36138153076172,Casino City Press coordinates; locationprecision=Building,current,2012,"Indian Gaming Dataset, hand-coded opening event with a per-event source URL",gaming_commenced,,,,,1999-03-11,1,600.0,,150.0,890.0,23500.0,132.0,450.0,4.0,4.0,9.0,2005-01-25,,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,277,1,https://www.bia.gov/as-ia/oig/gaming-land-decisions,Oklahoma - Within Former Reservation Boundaries,1,3,NOT REPORTED. Tribal gaming revenue is not published per facility. Cedar Press states measured capacity and does not estimate revenue.,,2026-08-05,2026-08-06,CE-0014G-RS
CCP-408400,,CEDAR-PLACE-000444-9C,Hard Rock Hotel & Casino - Tulsa,Hard Rock Hotel & Casino - Tulsa,TRBF-CHKNAT-00,Cherokee Nation,Cherokee Nation,Federally recognized tribe,777 West Cherokee Street,Catoosa,OK,74015-3235,36.16448974609375,-95.76517486572266,Casino City Press coordinates; locationprecision=Building,current,,,,,,,,1993-09-24,1,600.0,42000.0,1545.0,2500.0,125000.0,454.0,2415.0,14.0,12.0,40.0,2004-01-27,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,355,5,https://www.federalregister.gov/documents/2017/07/18/2017-15007/land-acquisitions-the-cherokee-nation | https://www.federalregister.gov/documents/2010/12/08/2010-30867/land-acquisitions-cherokee-nation-of-oklahoma | https://www.bia.gov/as-ia/oig/gaming-land-decisions | https://www.bia.gov/as-ia/oig/gaming-land-decisions | https://www.federalregister.gov/documents/2025/05/06/2025-07851/land-acquisi,Oklahoma - Within Former Reservation Boundaries | Within Last Recognized Reservation | Within or Contiguous to Reservation Boundaries,2,10,NOT REPORTED. Tribal gaming revenue is not published per facility. Cedar Press states measured capacity and does not estimate revenue.,,2026-08-05,2026-08-06,CE-00134-BX
CCP-411600,,CEDAR-PLACE-000529-P9,WinStar World Casino and Resort,WinStar World Casino and Resort,TRBF-CHKSWN-00,The Chickasaw Nation,The Chickasaw Nation,Federally recognized tribe,"Interstate 35, Exit 1",Thackerville,OK,73459-9774,33.759151458740234,-97.13092803955078,Casino City Press coordinates; locationprecision=Building,current,2003,"Indian Gaming Dataset, hand-coded opening event with a per-event source URL",gaming_commenced,,,,,2017-01-19,1,800.0,65000.0,3500.0,8500.0,390000.0,1500.0,7433.0,55.0,21.0,100.0,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,390,4,https://www.federalregister.gov/documents/2020/10/14/2020-22666/land-acquisitions-chickasaw-nation | https://www.federalregister.gov/documents/2020/10/14/2020-22666/land-acquisitions-chickasaw-nation | https://www.federalregister.gov/documents/2017/07/18/2017-15009/land-acquisitions-the-chickasaw-nation | https://www.federalregister.gov/documents/2017/07/18/2017-15011/land-acquisitions-the-chickas,Oklahoma - Within Former Reservation Boundaries,4,22,NOT REPORTED. Tribal gaming revenue is not published per facility. Cedar Press states measured capacity and does not estimate revenue.,,2026-08-05,2026-08-06,CE-00135-HP
CCP-513400,,CEDAR-PLACE-000585-G1,Northern Quest Resort & Casino,Northern Quest Resort & Casino,TRBF-KALSPL-00,Kalispel,Kalispel,Federally recognized tribe,100 North Hayford Road,Airway Heights,WA,99001-9402,47.65901565551758,-117.56309509277344,Casino City Press coordinates; locationprecision=Building,current,2000,"Indian Gaming Dataset, hand-coded opening event with a per-event source URL",gaming_commenced,,,,,1997-08-19,1,250.0,22000.0,2000.0,1651.0,85000.0,250.0,3800.0,7.0,12.0,37.0,2017-07-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,393,1,https://www.bia.gov/as-ia/oig/gaming-land-decisions,Two-Part Secretarial Determination,2,1,NOT REPORTED. Tribal gaming revenue is not published per facility. Cedar Press states measured capacity and does not estimate revenue.,,2026-08-05,2026-08-06,CE-0015K-FM
