facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,tribe,tribe_canonical_name,city,state,property_status,close_date,duplicate_of_facility_id,trace_nigc_gaming_location_map,nigc_marker_id,nigc_location_name,nigc_marker_address,nigc_region_name,nigc_match_basis,nigc_match_distance_m,nigc_listed_as_of,nigc_map_url,trace_fr_class_iii_compact_approval,fr_document_number,fr_publication_date,fr_document_title,fr_tribe_string_in_document,fr_resolve_how,fr_document_url,fr_n_documents,fr_all_document_numbers,trace_bia_gaming_land_decision,bia_decision_id,bia_decision_title,bia_decision_status,land_decision_date,igra_section20_exception,igra_section20_citation,bia_decision_url,bia_n_decisions,trace_tribal_state_compact,compact_id,compact_in_force_as_of,compact_status,compact_url,compact_n,compact_n_events,trace_nigc_management_contract,nigc_management_contract_status,federal_trace_count,federal_trace_level,tribe_level_trace_count,tribe_level_traces,reports_gaming_capacity_non_federal,gaming_capacity_reported,gaming_equipment_metrics_observed,gaming_equipment_n_observations,gaming_equipment_observed_first,gaming_equipment_observed_last,gaming_equipment_source,nigc_unmatched_marker_in_same_city_state,nigc_unmatched_marker_names,nigc_match_ceiling_note,property_likelihood,property_likelihood_basis,excluded_from_gaming_property_count,gaming_class_recorded,gaming_class_note,igra_coverage_status,built_date,cedar_uid
CCP-116700,,CEDAR-PLACE-000020-RM,Desert Diamond Casinos & Entertainment - Sahuarita,Tohono O'odham Nation,Tohono O'odham Nation of Arizona,Sahurita,AZ,current,,,1,340,Desert Diamond Sahuarita,"1100 W. Pima Mine Rd., Tuscon AZ 85734",Phoenix,coords_1200m,41,2026-08-06,https://www.nigc.gov/map/,1,2017-14881,2017-07-17,Indian Gaming; Approval of an Amendment to a Tribal-State Class III Gaming Compact in the State of Arizona,Tohono O'odham Nation,core,https://www.federalregister.gov/documents/2017/07/17/2017-14881/indian-gaming-approval-of-an-amendment-to-a-tribal-state-class-iii-gaming-compact-in-the-state-of,1,2017-14881,1,GLD-AZ-tohono-o-odham-nation-of-arizona-20100723,Tohono O'odham Nation Decision,Approved,2010-07-23,25 USC 2719(b)(1)(B)(i),25 USC 2719(b)(1)(B)(i),https://www.federalregister.gov/documents/2010/08/26/2010-21130/land-acquisitions-tohono-oodham-nation-arizona,3,1,CMP-AZ-tohono-o-odham-nation-of-arizona-19930818,1993-08-18,renegotiated,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1993.08.18_tohono_oodham_tribal_state_gaming_compact_2.pdf,5,0,0,not_held_by_cedar_press_this_session,1,property,3,FR_CLASS_III_COMPACT_APPROVAL|BIA_GAMING_LAND_DECISION_IGRA_S20|TRIBAL_STATE_COMPACT_INDEX,1,gaming_machines=563; table_games=6; poker_tables=2,gaming_machines|poker_tables|table_games,115,2002-09-13,2023-01-01,"Casino City capacity panel via gaming_facility_metrics.csv — VENDOR observation, not a federal record",0,,"The NIGC roster match is deterministic and ONE-TO-ONE. A zero in trace_nigc_gaming_location_map means this row won no marker, not that the property is unlisted: a second Cedar row for the same property cannot claim a marker already taken, and a name variant beyond exact normalised equality plus a coordinate gap over 1.2 km misses outright (measured cases: Barona Resort & Casino, Apache Gold Casino Resort).",CONFIRMED_GAMING,"On NIGC's published gaming location map, matched coords_1200m. NIGC's universe covers Class II AND Class III, so this confirms a gaming operation without asserting any class.",0,NOT_RECORDED_BY_DESIGN,"Gaming class is a time-varying operational state, not a property attribute: a tribe changes class by swapping machines and no federal record is generated. Cedar Press records dated authorisations and dated listings, never a class.",VERIFIED_NIGC_OPERATION,2026-08-06,CE-001B9-HT
CCP-958000,,CEDAR-PLACE-000243-NB,Bok Homa Casino,Mississippi Band of Choctaw Indians,Mississippi Band of Choctaw Indians,Heidelberg,MS,current,,,1,447,Bok Homa Casino,"One Choctaw Road, Heidelberg MS 39439",Washington DC,coords_1200m,15,2026-08-06,https://www.nigc.gov/map/,1,94-27729,1994-11-09,Indian Gaming; Notice DEPARTMENT OF THE INTERIOR,Mississippi Band of Choctaw Indians,core,https://www.federalregister.gov/documents/1994/11/09/94-27729/indian-gaming-notice-department-of-the-interior,2,94-27729|96-17944,1,GLD-MS-mississippi-band-of-choctaw-indians-20080104,Mississippi Band of Choctaw Indians Decision,Disapproved,2008-01-04,25 USC 2719(b)(1)(A),25 USC 2719(b)(1)(A),https://www.bia.gov/as-ia/oig/gaming-land-decisions,1,1,CMP-MS-mississippi-band-of-choctaw-indian-19930129,1993-01-29,renegotiated,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1993.01.29_mississippi_choctaw_band_of_indians_tribal_state_gaming_compact.pdf,3,0,0,not_held_by_cedar_press_this_session,1,property,3,FR_CLASS_III_COMPACT_APPROVAL|BIA_GAMING_LAND_DECISION_IGRA_S20|TRIBAL_STATE_COMPACT_INDEX,1,gaming_machines=719; table_games=12,gaming_machines|table_games,39,2010-11-03,2023-01-01,"Casino City capacity panel via gaming_facility_metrics.csv — VENDOR observation, not a federal record",0,,"The NIGC roster match is deterministic and ONE-TO-ONE. A zero in trace_nigc_gaming_location_map means this row won no marker, not that the property is unlisted: a second Cedar row for the same property cannot claim a marker already taken, and a name variant beyond exact normalised equality plus a coordinate gap over 1.2 km misses outright (measured cases: Barona Resort & Casino, Apache Gold Casino Resort).",CONFIRMED_GAMING,"On NIGC's published gaming location map, matched coords_1200m. NIGC's universe covers Class II AND Class III, so this confirms a gaming operation without asserting any class.",0,NOT_RECORDED_BY_DESIGN,"Gaming class is a time-varying operational state, not a property attribute: a tribe changes class by swapping machines and no federal record is generated. Cedar Press records dated authorisations and dated listings, never a class.",VERIFIED_NIGC_OPERATION,2026-08-06,CE-00179-XT
CCP-635600,,CEDAR-PLACE-000704-E0,Seneca Allegany Casino & Hotel,Seneca Nation of Indians,Seneca Nation of Indians,Salamanca,NY,current,,,1,362,Seneca Allegany Casino,"777 Seneca Allegany Blvd., Salamanca NY 14779",Washington DC,coords_1200m,98,2026-08-06,https://www.nigc.gov/map/,1,02-30967,2002-12-09,Indian Gaming,Seneca Nation of Indians,core,https://www.federalregister.gov/documents/2002/12/09/02-30967/indian-gaming,2,02-30967|2023-28295,1,GLD-NY-seneca-nation-of-indians-20021129,Seneca Nation of Indians of New York Decision,Approved,2002-11-29,25 USC 2719(b)(1)(B)(i),25 USC 2719(b)(1)(B)(i),https://www.bia.gov/as-ia/oig/gaming-land-decisions,1,1,CMP-NY-seneca-nation-of-indians-20021209,2002-12-09,renegotiated,https://www.federalregister.gov/documents/2002/12/09/02-30967/indian-gaming,2,0,0,not_held_by_cedar_press_this_session,1,property,3,FR_CLASS_III_COMPACT_APPROVAL|BIA_GAMING_LAND_DECISION_IGRA_S20|TRIBAL_STATE_COMPACT_INDEX,1,gaming_machines=1334; table_games=27; poker_tables=16,gaming_machines|poker_tables|table_games,91,2004-01-27,2023-01-01,"Casino City capacity panel via gaming_facility_metrics.csv — VENDOR observation, not a federal record",0,,"The NIGC roster match is deterministic and ONE-TO-ONE. A zero in trace_nigc_gaming_location_map means this row won no marker, not that the property is unlisted: a second Cedar row for the same property cannot claim a marker already taken, and a name variant beyond exact normalised equality plus a coordinate gap over 1.2 km misses outright (measured cases: Barona Resort & Casino, Apache Gold Casino Resort).",CONFIRMED_GAMING,"On NIGC's published gaming location map, matched coords_1200m. NIGC's universe covers Class II AND Class III, so this confirms a gaming operation without asserting any class.",0,NOT_RECORDED_BY_DESIGN,"Gaming class is a time-varying operational state, not a property attribute: a tribe changes class by swapping machines and no federal record is generated. Cedar Press records dated authorisations and dated listings, never a class.",VERIFIED_NIGC_OPERATION,2026-08-06,CE-001AC-YN
CCP-408000,,CEDAR-PLACE-000392-C8,Chickasaw Travel Stop - Ada Gaming West,Chickasaw Nation,The Chickasaw Nation,Ada,OK,current,,,1,284,Chickasaw Travel Stop-Ada Gaming West,"2020 Lonnie Abbott Blvd., Ada OK 74820",Oklahoma City,name_state,4576,2026-08-06,https://www.nigc.gov/map/,1,00-25124,2000-10-02,Indian Gaming,Chickasaw Nation,core,https://www.federalregister.gov/documents/2000/10/02/00-25124/indian-gaming,2,00-25124|05-14966,1,GLD-OK-the-chickasaw-nation-20170119,The Chickasaw Nation Willis Site Decision,Approved,2017-01-19,25 USC 2719(a)(2)(A)(i),25 USC 2719(a)(2)(A)(i),https://www.federalregister.gov/documents/2017/07/18/2017-15009/land-acquisitions-the-chickasaw-nation,4,1,CMP-OK-the-chickasaw-nation-20001002,2000-10-02,renegotiated,https://www.federalregister.gov/documents/2000/10/02/00-25124/indian-gaming,4,0,0,not_held_by_cedar_press_this_session,1,property,3,FR_CLASS_III_COMPACT_APPROVAL|BIA_GAMING_LAND_DECISION_IGRA_S20|TRIBAL_STATE_COMPACT_INDEX,1,gaming_machines=132; bingo_seats=14,bingo_seats|gaming_machines,70,2002-09-13,2023-01-01,"Casino City capacity panel via gaming_facility_metrics.csv — VENDOR observation, not a federal record",0,,"The NIGC roster match is deterministic and ONE-TO-ONE. A zero in trace_nigc_gaming_location_map means this row won no marker, not that the property is unlisted: a second Cedar row for the same property cannot claim a marker already taken, and a name variant beyond exact normalised equality plus a coordinate gap over 1.2 km misses outright (measured cases: Barona Resort & Casino, Apache Gold Casino Resort).",CONFIRMED_GAMING,"On NIGC's published gaming location map, matched name_state. NIGC's universe covers Class II AND Class III, so this confirms a gaming operation without asserting any class.",0,NOT_RECORDED_BY_DESIGN,"Gaming class is a time-varying operational state, not a property attribute: a tribe changes class by swapping machines and no federal record is generated. Cedar Press records dated authorisations and dated listings, never a class.",VERIFIED_NIGC_OPERATION,2026-08-06,CE-00135-HP
CCP-1129200,,CEDAR-PLACE-000449-CS,Jet Stream Casino,Chickasaw Nation,The Chickasaw Nation,Pauls Valley,OK,current,,,1,279,Jet Stream Casino,"2001 West Airline Road, Pauls Valley OK 73075",Oklahoma City,coords_1200m,4,2026-08-06,https://www.nigc.gov/map/,1,00-25124,2000-10-02,Indian Gaming,Chickasaw Nation,core,https://www.federalregister.gov/documents/2000/10/02/00-25124/indian-gaming,2,00-25124|05-14966,1,GLD-OK-the-chickasaw-nation-20170119,The Chickasaw Nation Willis Site Decision,Approved,2017-01-19,25 USC 2719(a)(2)(A)(i),25 USC 2719(a)(2)(A)(i),https://www.federalregister.gov/documents/2017/07/18/2017-15009/land-acquisitions-the-chickasaw-nation,4,1,CMP-OK-the-chickasaw-nation-20001002,2000-10-02,renegotiated,https://www.federalregister.gov/documents/2000/10/02/00-25124/indian-gaming,4,0,0,not_held_by_cedar_press_this_session,1,property,3,FR_CLASS_III_COMPACT_APPROVAL|BIA_GAMING_LAND_DECISION_IGRA_S20|TRIBAL_STATE_COMPACT_INDEX,1,gaming_machines=90,gaming_machines,16,2015-07-01,2023-01-01,"Casino City capacity panel via gaming_facility_metrics.csv — VENDOR observation, not a federal record",0,,"The NIGC roster match is deterministic and ONE-TO-ONE. A zero in trace_nigc_gaming_location_map means this row won no marker, not that the property is unlisted: a second Cedar row for the same property cannot claim a marker already taken, and a name variant beyond exact normalised equality plus a coordinate gap over 1.2 km misses outright (measured cases: Barona Resort & Casino, Apache Gold Casino Resort).",CONFIRMED_GAMING,"On NIGC's published gaming location map, matched coords_1200m. NIGC's universe covers Class II AND Class III, so this confirms a gaming operation without asserting any class.",0,NOT_RECORDED_BY_DESIGN,"Gaming class is a time-varying operational state, not a property attribute: a tribe changes class by swapping machines and no federal record is generated. Cedar Press records dated authorisations and dated listings, never a class.",VERIFIED_NIGC_OPERATION,2026-08-06,CE-00135-HP
CCP-410600,,CEDAR-PLACE-000489-1H,Prairie Moon Casino,Miami Tribe of Oklahoma,Miami Tribe of Oklahoma,Miami,OK,current,,,1,449,Prairie Moon Casino,"202 S. 8 Tribes Trail, Miami OK 74355",Tulsa,coords_1200m,17,2026-08-06,https://www.nigc.gov/map/,1,95-9821,1995-04-20,Indian Gaming,Miami Tribe of Oklahoma,exact,https://www.federalregister.gov/documents/1995/04/20/95-9821/indian-gaming,1,95-9821,1,GLD-IN-miami-tribe-of-oklahoma-20081031,Miami Tribe of Oklahoma Decision,Disapproved,2008-10-31,25 USC 2719(b)(1)(A),25 USC 2719(b)(1)(A),https://www.bia.gov/as-ia/oig/gaming-land-decisions,1,1,CMP-OK-miami-tribe-19950420,1995-04-20,renegotiated,https://www.federalregister.gov/documents/1995/04/20/95-9821/indian-gaming,2,0,0,not_held_by_cedar_press_this_session,1,property,3,FR_CLASS_III_COMPACT_APPROVAL|BIA_GAMING_LAND_DECISION_IGRA_S20|TRIBAL_STATE_COMPACT_INDEX,1,gaming_machines=200; bingo_seats=30,bingo_seats|gaming_machines,48,2001-09-01,2023-01-01,"Casino City capacity panel via gaming_facility_metrics.csv — VENDOR observation, not a federal record",0,,"The NIGC roster match is deterministic and ONE-TO-ONE. A zero in trace_nigc_gaming_location_map means this row won no marker, not that the property is unlisted: a second Cedar row for the same property cannot claim a marker already taken, and a name variant beyond exact normalised equality plus a coordinate gap over 1.2 km misses outright (measured cases: Barona Resort & Casino, Apache Gold Casino Resort).",CONFIRMED_GAMING,"On NIGC's published gaming location map, matched coords_1200m. NIGC's universe covers Class II AND Class III, so this confirms a gaming operation without asserting any class.",0,NOT_RECORDED_BY_DESIGN,"Gaming class is a time-varying operational state, not a property attribute: a tribe changes class by swapping machines and no federal record is generated. Cedar Press records dated authorisations and dated listings, never a class.",VERIFIED_NIGC_OPERATION,2026-08-06,CE-0016Y-PQ
CCP-1127700,,CEDAR-PLACE-000510-ZY,Teepee Casino,Pawnee Nation of Oklahoma,Pawnee Nation of Oklahoma,Yale,OK,current,,,1,407,TeePee Casino,"28314 E. 6th Street, Yale OK 74085",Tulsa,coords_1200m,0,2026-08-06,https://www.nigc.gov/map/,1,05-5482,2005-03-21,Indian Gaming,Pawnee Tribe of Oklahoma,core,https://www.federalregister.gov/documents/2005/03/21/05-5482/indian-gaming,1,05-5482,1,GLD-OK-pawnee-nation-of-oklahoma-20191007,Pawnee Nation of Oklahoma Decision,Approved,2019-10-07,25 USC 2719(a)(2)(A)(i),25 USC 2719(a)(2)(A)(i),https://www.federalregister.gov/documents/2019/11/01/2019-23834/land-acquisitions-the-pawnee-nation-of-oklahoma,1,1,CMP-OK-pawnee-nation-of-oklahoma-20050321,2005-03-21,unknown,https://www.federalregister.gov/documents/2005/03/21/05-5482/indian-gaming,1,0,0,not_held_by_cedar_press_this_session,1,property,3,FR_CLASS_III_COMPACT_APPROVAL|BIA_GAMING_LAND_DECISION_IGRA_S20|TRIBAL_STATE_COMPACT_INDEX,1,gaming_machines=34,gaming_machines,16,2015-07-01,2023-01-01,"Casino City capacity panel via gaming_facility_metrics.csv — VENDOR observation, not a federal record",0,,"The NIGC roster match is deterministic and ONE-TO-ONE. A zero in trace_nigc_gaming_location_map means this row won no marker, not that the property is unlisted: a second Cedar row for the same property cannot claim a marker already taken, and a name variant beyond exact normalised equality plus a coordinate gap over 1.2 km misses outright (measured cases: Barona Resort & Casino, Apache Gold Casino Resort).",CONFIRMED_GAMING,"On NIGC's published gaming location map, matched coords_1200m. NIGC's universe covers Class II AND Class III, so this confirms a gaming operation without asserting any class.",0,NOT_RECORDED_BY_DESIGN,"Gaming class is a time-varying operational state, not a property attribute: a tribe changes class by swapping machines and no federal record is generated. Cedar Press records dated authorisations and dated listings, never a class.",VERIFIED_NIGC_OPERATION,2026-08-06,CE-00186-GZ
CCP-1125400,,CEDAR-PLACE-000713-41,Tonkawa Hotel & Casino,Tonkawa Tribe of Oklahoma,Tonkawa Tribe of Indians of Oklahoma,Tonkawa,OK,current,,,1,338,Tonkawa Indian Casino West,"16601 W South Avenue, Tonkawa OK 74653",Oklahoma City,coords_1200m,155,2026-08-06,https://www.nigc.gov/map/,1,94-27728,1994-11-09,Indian Gaming; Notice,Tonkawa Tribe of Oklahoma,containment,https://www.federalregister.gov/documents/1994/11/09/94-27728/indian-gaming-notice,1,94-27728,1,GLD-OK-tonkawa-tribe-of-indians-of-oklahoma-20121206,Tonkawa Tribe of Oklahoma Decision,Approved,2012-12-06,25 USC 2719(a)(2)(A)(i),25 USC 2719(a)(2)(A)(i),https://www.federalregister.gov/documents/2012/12/17/2012-29972/land-acquisitions-tonkawa-tribe-of-oklahoma,1,1,CMP-OK-tonkawa-tribe-of-indians-of-oklaho-19941109,1994-11-09,renegotiated,https://www.federalregister.gov/documents/1994/11/09/94-27728/indian-gaming-notice,2,0,0,not_held_by_cedar_press_this_session,1,property,3,FR_CLASS_III_COMPACT_APPROVAL|BIA_GAMING_LAND_DECISION_IGRA_S20|TRIBAL_STATE_COMPACT_INDEX,1,gaming_machines=608; table_games=7,gaming_machines|table_games,25,2015-01-01,2023-01-01,"Casino City capacity panel via gaming_facility_metrics.csv — VENDOR observation, not a federal record",0,,"The NIGC roster match is deterministic and ONE-TO-ONE. A zero in trace_nigc_gaming_location_map means this row won no marker, not that the property is unlisted: a second Cedar row for the same property cannot claim a marker already taken, and a name variant beyond exact normalised equality plus a coordinate gap over 1.2 km misses outright (measured cases: Barona Resort & Casino, Apache Gold Casino Resort).",CONFIRMED_GAMING,"On NIGC's published gaming location map, matched coords_1200m. NIGC's universe covers Class II AND Class III, so this confirms a gaming operation without asserting any class.",0,NOT_RECORDED_BY_DESIGN,"Gaming class is a time-varying operational state, not a property attribute: a tribe changes class by swapping machines and no federal record is generated. Cedar Press records dated authorisations and dated listings, never a class.",VERIFIED_NIGC_OPERATION,2026-08-06,CE-001BD-9Y
CCP-250300,,CEDAR-PLACE-000533-ED,Kla-Mo-Ya Casino,Klamath Tribes,Klamath Tribes,Chiloquin,OR,current,,,1,84,Kla-Mo-Ya Casino,"34333 Hwy 97 N, Chiloquin OR 97624",Portland,coords_1200m,11,2026-08-06,https://www.nigc.gov/map/,1,95-4587,1995-02-24,Indian Gaming,Klamath Tribes,core,https://www.federalregister.gov/documents/1995/02/24/95-4587/indian-gaming,10,95-4587|96-15295|97-245|97-13201|98-5070|98-14384|99-13729|00-13496|02-3861|02-23596,1,GLD-OR-klamath-tribes-19970514,Klamath Tribes of Oregon Decision,Approved,1997-05-14,25 USC 2719(a)(2)(A)(ii),25 USC 2719(a)(2)(A)(ii),https://www.federalregister.gov/documents/1997/05/20/97-13202/land-acquisitions-klamath-tribes-of-oregon,1,1,CMP-OR-klamath-tribes-19950224,1995-02-24,unknown,https://www.federalregister.gov/documents/1995/02/24/95-4587/indian-gaming,1,0,0,not_held_by_cedar_press_this_session,1,property,3,FR_CLASS_III_COMPACT_APPROVAL|BIA_GAMING_LAND_DECISION_IGRA_S20|TRIBAL_STATE_COMPACT_INDEX,1,gaming_machines=346; table_games=3; poker_tables=2,gaming_machines|poker_tables|table_games,87,2001-09-01,2023-01-01,"Casino City capacity panel via gaming_facility_metrics.csv — VENDOR observation, not a federal record",0,,"The NIGC roster match is deterministic and ONE-TO-ONE. A zero in trace_nigc_gaming_location_map means this row won no marker, not that the property is unlisted: a second Cedar row for the same property cannot claim a marker already taken, and a name variant beyond exact normalised equality plus a coordinate gap over 1.2 km misses outright (measured cases: Barona Resort & Casino, Apache Gold Casino Resort).",CONFIRMED_GAMING,"On NIGC's published gaming location map, matched coords_1200m. NIGC's universe covers Class II AND Class III, so this confirms a gaming operation without asserting any class.",0,NOT_RECORDED_BY_DESIGN,"Gaming class is a time-varying operational state, not a property attribute: a tribe changes class by swapping machines and no federal record is generated. Cedar Press records dated authorisations and dated listings, never a class.",VERIFIED_NIGC_OPERATION,2026-08-06,CE-0015W-5N
CCP-693900,,CEDAR-PLACE-000570-HT,Emerald Queen Hotel & Casino,Puyallup Tribe of Indians,Puyallup Tribe of the Puyallup Reservation,Fife,WA,current,,,1,136,Emerald Queen Casino at Fife,"5700 Pacific Hwy East, Fife WA 98424",Portland,coords_1200m,22,2026-08-06,https://www.nigc.gov/map/,1,96-18620,1996-07-23,Indian Gaming,Puyallup Tribe of Indians,core,https://www.federalregister.gov/documents/1996/07/23/96-18620/indian-gaming,8,96-18620|99-1924|02-17642|04-23092|04-28506|2018-00637|2021-18816|2026-01394,1,GLD-WA-puyallup-tribe-of-the-puyallup-reservati-20080304,Puyallup Tribe of the Puyallup Reservation Decision,Approved,2008-03-04,25 USC 2719(a)(1),25 USC 2719(a)(1),https://www.federalregister.gov/documents/2008/03/25/E8-5923/land-acquisitions-puyallup-tribe-washington,3,1,CMP-WA-puyallup-tribe-of-the-puyallup-res-19960723,1996-07-23,renegotiated,https://www.federalregister.gov/documents/1996/07/23/96-18620/indian-gaming,4,0,0,not_held_by_cedar_press_this_session,1,property,3,FR_CLASS_III_COMPACT_APPROVAL|BIA_GAMING_LAND_DECISION_IGRA_S20|TRIBAL_STATE_COMPACT_INDEX,1,gaming_machines=2367,gaming_machines,38,2005-09-02,2023-01-01,"Casino City capacity panel via gaming_facility_metrics.csv — VENDOR observation, not a federal record",0,,"The NIGC roster match is deterministic and ONE-TO-ONE. A zero in trace_nigc_gaming_location_map means this row won no marker, not that the property is unlisted: a second Cedar row for the same property cannot claim a marker already taken, and a name variant beyond exact normalised equality plus a coordinate gap over 1.2 km misses outright (measured cases: Barona Resort & Casino, Apache Gold Casino Resort).",CONFIRMED_GAMING,"On NIGC's published gaming location map, matched coords_1200m. NIGC's universe covers Class II AND Class III, so this confirms a gaming operation without asserting any class.",0,NOT_RECORDED_BY_DESIGN,"Gaming class is a time-varying operational state, not a property attribute: a tribe changes class by swapping machines and no federal record is generated. Cedar Press records dated authorisations and dated listings, never a class.",VERIFIED_NIGC_OPERATION,2026-08-06,CE-0018W-M5
