location_observation_id,property_id,property_name,property_name_as_published,address,address_type,city,state,postal_code,county,county_fips,latitude,longitude,census_tract,census_block,geocode_method,match_quality,source_system,address_source_system,source_url,retrieved_at,verbatim_quote,confidence_tier,publishable,publishable_reason,match_to_property_basis,coordinate_withheld_reason,nigc_markers_sharing_this_point,coordinate_scope_note,distance_to_incumbent_coordinate_m,built_date
GLOC-CCP-692800-01,CCP-692800,Wind Creek Atmore,Wind Creek Casino,303 Poarch Road,STREET,Atmore,AL,36502,Escambia County,01053,31.102534,-87.482562,01053970500,010539705001044,NIGC_PUBLISHED_POINT+CENSUS_COORDINATE_TO_2020_BLOCK,SOURCE_PUBLISHED_COORDINATE,nigc_gaming_location_map,nigc_gaming_location_map,https://www.nigc.gov/map/,2026-08-06,"Wind Creek Casino | 303 Poarch Road, Atmore AL 36502",A,Y,"Address and coordinate both published by the National Indian Gaming Commission, a federal regulator, on its free public gaming location map. No licensed vendor content.","existing deterministic NIGC roster match, basis=coords_1200m, distance=49m; NOTE: this match was established against Cedar's incumbent coordinate, which is Casino City derived. The linkage used a vendor coordinate as a matching key; the published address and coordinate on this row are NIGC's.",,,"The coordinate locates the gaming PROPERTY, not the enterprise. Tribal gaming properties commonly sit on a mixed-use campus (hotel, travel plaza, convenience store, clinic, tribal administration), so a census block containing this point may contain several establishments and several employers. LODES block workplace jobs are jobs located in the block, never casino payroll.",49,2026-08-12
GLOC-CCP-544900-01,CCP-544900,Casino Del Sol,Casino Del Sol,5655 W. Valencia Road,STREET,Tuscon,AZ,85746,Pima County,04019,32.131010,-111.086869,04019941000,040199410002002,NIGC_PUBLISHED_POINT+CENSUS_COORDINATE_TO_2020_BLOCK,SOURCE_PUBLISHED_COORDINATE,nigc_gaming_location_map,nigc_gaming_location_map,https://www.nigc.gov/map/,2026-08-06,"Casino Del Sol | 5655 W. Valencia Road, Tuscon AZ 85746",A,Y,"Address and coordinate both published by the National Indian Gaming Commission, a federal regulator, on its free public gaming location map. No licensed vendor content.","existing deterministic NIGC roster match, basis=coords_1200m, distance=540m; NOTE: this match was established against Cedar's incumbent coordinate, which is Casino City derived. The linkage used a vendor coordinate as a matching key; the published address and coordinate on this row are NIGC's.",,,"The coordinate locates the gaming PROPERTY, not the enterprise. Tribal gaming properties commonly sit on a mixed-use campus (hotel, travel plaza, convenience store, clinic, tribal administration), so a census block containing this point may contain several establishments and several employers. LODES block workplace jobs are jobs located in the block, never casino payroll.",540,2026-08-12
GLOC-CCP-40500-01,CCP-40500,Lone Butte Casino,Lone Butte Casino,1200 S. 56th Street,STREET,Chandler,AZ,85226,Maricopa County,04013,33.292820,-111.963081,04013980400,040139804001030,NIGC_PUBLISHED_POINT+CENSUS_COORDINATE_TO_2020_BLOCK,SOURCE_PUBLISHED_COORDINATE,nigc_gaming_location_map,nigc_gaming_location_map,https://www.nigc.gov/map/,2026-08-06,"Lone Butte Casino | 1200 S. 56th Street, Chandler AZ 85226",A,Y,"Address and coordinate both published by the National Indian Gaming Commission, a federal regulator, on its free public gaming location map. No licensed vendor content.","existing deterministic NIGC roster match, basis=name_state, distance=2073m",,,"The coordinate locates the gaming PROPERTY, not the enterprise. Tribal gaming properties commonly sit on a mixed-use campus (hotel, travel plaza, convenience store, clinic, tribal administration), so a census block containing this point may contain several establishments and several employers. LODES block workplace jobs are jobs located in the block, never casino payroll.",2073,2026-08-12
GLOC-CCP-252600-01,CCP-252600,Talking Stick Resort,Talking Stick Resort,9800 E. Indian Bend Road,STREET,Scottsdale,AZ,85256,Maricopa County,04013,33.540825,-111.868989,04013941300,040139413001000,NIGC_PUBLISHED_POINT+CENSUS_COORDINATE_TO_2020_BLOCK,SOURCE_PUBLISHED_COORDINATE,nigc_gaming_location_map,nigc_gaming_location_map,https://www.nigc.gov/map/,2026-08-06,"Talking Stick Resort | 9800 E. Indian Bend Road, Scottsdale AZ 85256",A,Y,"Address and coordinate both published by the National Indian Gaming Commission, a federal regulator, on its free public gaming location map. No licensed vendor content.","existing deterministic NIGC roster match, basis=coords_1200m, distance=62m; NOTE: this match was established against Cedar's incumbent coordinate, which is Casino City derived. The linkage used a vendor coordinate as a matching key; the published address and coordinate on this row are NIGC's.",,,"The coordinate locates the gaming PROPERTY, not the enterprise. Tribal gaming properties commonly sit on a mixed-use campus (hotel, travel plaza, convenience store, clinic, tribal administration), so a census block containing this point may contain several establishments and several employers. LODES block workplace jobs are jobs located in the block, never casino payroll.",62,2026-08-12
GLOC-CCP-555700-01,CCP-555700,Augustine Casino,Augustine Casino,84-001 Avenue 54,NON_STANDARD,Coachella,CA,92236,Riverside County,06065,33.655792,-116.197253,06065045615,060650456151000,NIGC_PUBLISHED_POINT+CENSUS_COORDINATE_TO_2020_BLOCK,SOURCE_PUBLISHED_COORDINATE,nigc_gaming_location_map,nigc_gaming_location_map,https://www.nigc.gov/map/,2026-08-06,"Augustine Casino | 84-001 Avenue 54, Coachella CA 92236",A,Y,"Address and coordinate both published by the National Indian Gaming Commission, a federal regulator, on its free public gaming location map. No licensed vendor content.","existing deterministic NIGC roster match, basis=coords_1200m, distance=8m; NOTE: this match was established against Cedar's incumbent coordinate, which is Casino City derived. The linkage used a vendor coordinate as a matching key; the published address and coordinate on this row are NIGC's.",,,"The coordinate locates the gaming PROPERTY, not the enterprise. Tribal gaming properties commonly sit on a mixed-use campus (hotel, travel plaza, convenience store, clinic, tribal administration), so a census block containing this point may contain several establishments and several employers. LODES block workplace jobs are jobs located in the block, never casino payroll.",8,2026-08-12
GLOC-CCP-249800-01,CCP-249800,Cahuilla Casino,Cahuilla Creek Casino,52702 Highway 371,NON_STANDARD_ROUTE_OR_LANDMARK,Anza,CA,92539,Riverside County,06065,33.541326,-116.739933,06065044403,060650444032004,NIGC_PUBLISHED_POINT+CENSUS_COORDINATE_TO_2020_BLOCK,SOURCE_PUBLISHED_COORDINATE,nigc_gaming_location_map,nigc_gaming_location_map,https://www.nigc.gov/map/,2026-08-06,"Cahuilla Creek Casino | 52702 Highway 371, Anza CA 92539",A,Y,"Address and coordinate both published by the National Indian Gaming Commission, a federal regulator, on its free public gaming location map. No licensed vendor content.","existing deterministic NIGC roster match, basis=coords_1200m, distance=62m; NOTE: this match was established against Cedar's incumbent coordinate, which is Casino City derived. The linkage used a vendor coordinate as a matching key; the published address and coordinate on this row are NIGC's.",,,"The coordinate locates the gaming PROPERTY, not the enterprise. Tribal gaming properties commonly sit on a mixed-use campus (hotel, travel plaza, convenience store, clinic, tribal administration), so a census block containing this point may contain several establishments and several employers. LODES block workplace jobs are jobs located in the block, never casino payroll.",62,2026-08-12
GLOC-CCP-595800-01,CCP-595800,Chukchansi Gold Resort & Casino,Chukchansi Gold Resort and Casino,711 Lucky Lane,STREET,Coarsegold,CA,93614,Madera County,06039,37.211987,-119.699466,06039000110,060390001102022,NIGC_PUBLISHED_POINT+CENSUS_COORDINATE_TO_2020_BLOCK,SOURCE_PUBLISHED_COORDINATE,nigc_gaming_location_map,nigc_gaming_location_map,https://www.nigc.gov/map/,2026-08-06,"Chukchansi Gold Resort and Casino | 711 Lucky Lane, Coarsegold CA 93614",A,Y,"Address and coordinate both published by the National Indian Gaming Commission, a federal regulator, on its free public gaming location map. No licensed vendor content.","existing deterministic NIGC roster match, basis=coords_1200m, distance=94m; NOTE: this match was established against Cedar's incumbent coordinate, which is Casino City derived. The linkage used a vendor coordinate as a matching key; the published address and coordinate on this row are NIGC's.",,,"The coordinate locates the gaming PROPERTY, not the enterprise. Tribal gaming properties commonly sit on a mixed-use campus (hotel, travel plaza, convenience store, clinic, tribal administration), so a census block containing this point may contain several establishments and several employers. LODES block workplace jobs are jobs located in the block, never casino payroll.",94,2026-08-12
GLOC-CCP-246500-01,CCP-246500,Diamond Mountain Casino Hotel Brewery,Diamond Mountain Casino,900 Skyline,STREET,Susanville,CA,96130,Lassen County,06035,40.431088,-120.657199,06035040305,060350403053000,NIGC_PUBLISHED_POINT+CENSUS_COORDINATE_TO_2020_BLOCK,SOURCE_PUBLISHED_COORDINATE,nigc_gaming_location_map,nigc_gaming_location_map,https://www.nigc.gov/map/,2026-08-06,"Diamond Mountain Casino | 900 Skyline, Susanville CA 96130",A,Y,"Address and coordinate both published by the National Indian Gaming Commission, a federal regulator, on its free public gaming location map. No licensed vendor content.","existing deterministic NIGC roster match, basis=coords_1200m, distance=73m; NOTE: this match was established against Cedar's incumbent coordinate, which is Casino City derived. The linkage used a vendor coordinate as a matching key; the published address and coordinate on this row are NIGC's.",,,"The coordinate locates the gaming PROPERTY, not the enterprise. Tribal gaming properties commonly sit on a mixed-use campus (hotel, travel plaza, convenience store, clinic, tribal administration), so a census block containing this point may contain several establishments and several employers. LODES block workplace jobs are jobs located in the block, never casino payroll.",73,2026-08-12
GLOC-CCP-250000-01,CCP-250000,Feather Falls Casino,Feather Falls Casino,#3 Alverda Drive,NON_STANDARD,Oroville,CA,95966,Butte County,06007,39.466768,-121.516297,06007003300,060070033001025,NIGC_PUBLISHED_POINT+CENSUS_COORDINATE_TO_2020_BLOCK,SOURCE_PUBLISHED_COORDINATE,nigc_gaming_location_map,nigc_gaming_location_map,https://www.nigc.gov/map/,2026-08-06,"Feather Falls Casino | #3 Alverda Drive, Oroville CA 95966",A,Y,"Address and coordinate both published by the National Indian Gaming Commission, a federal regulator, on its free public gaming location map. No licensed vendor content.","existing deterministic NIGC roster match, basis=coords_1200m, distance=44m; NOTE: this match was established against Cedar's incumbent coordinate, which is Casino City derived. The linkage used a vendor coordinate as a matching key; the published address and coordinate on this row are NIGC's.",,,"The coordinate locates the gaming PROPERTY, not the enterprise. Tribal gaming properties commonly sit on a mixed-use campus (hotel, travel plaza, convenience store, clinic, tribal administration), so a census block containing this point may contain several establishments and several employers. LODES block workplace jobs are jobs located in the block, never casino payroll.",44,2026-08-12
GLOC-CCP-638700-01,CCP-638700,Graton Resort & Casino,Graton Resort & Casino,630 Park Court,STREET,Rohnert Park,CA,94928,Sonoma County,06097,38.357315,-122.723717,06097151206,060971512061010,NIGC_PUBLISHED_POINT+CENSUS_COORDINATE_TO_2020_BLOCK,SOURCE_PUBLISHED_COORDINATE,nigc_gaming_location_map,nigc_gaming_location_map,https://www.nigc.gov/map/,2026-08-06,"Graton Resort & Casino | 630 Park Court, Rohnert Park CA 94928",A,Y,"Address and coordinate both published by the National Indian Gaming Commission, a federal regulator, on its free public gaming location map. No licensed vendor content.","existing deterministic NIGC roster match, basis=coords_1200m, distance=382m; NOTE: this match was established against Cedar's incumbent coordinate, which is Casino City derived. The linkage used a vendor coordinate as a matching key; the published address and coordinate on this row are NIGC's.",,,"The coordinate locates the gaming PROPERTY, not the enterprise. Tribal gaming properties commonly sit on a mixed-use campus (hotel, travel plaza, convenience store, clinic, tribal administration), so a census block containing this point may contain several establishments and several employers. LODES block workplace jobs are jobs located in the block, never casino payroll.",382,2026-08-12
