event_id,event_type,marker_title,prior_marker_title,marker_address,latitude,longitude,prior_latitude,prior_longitude,prior_address,from_snapshot_timestamp,from_snapshot_date,from_snapshot_url,to_snapshot_timestamp,to_snapshot_date,to_snapshot_url,from_marker_count,to_marker_count,extract_route_from,extract_route_to,extract_route_changed,event_note,source_url,built_date,facility_id,cedar_place_id_absent_reason,cedar_place_id,entity_id,entity_level,entity_tier,entity_tier_basis,entity_link_rung,link_anachronism_note,entity_link_date,cedar_uid
NIGCMAP-20260806000000-64243c3a,renamed,Kiowa Casino Devol,Kiowa Casino Verden,"P.O. Box 100, Devol OK 73531",34.1959244,-98.5900596,,,"P.O. Box 100, Devol, OK 73531",20151002001333,2015-10-02,https://web.archive.org/web/20151002001333/https://www.nigc.gov/map/,20260806000000,2026-08-06,"https://www.nigc.gov/map/  (admin-ajax.php map_id=6, pulled 2026-08-06, held at data/raw/external/nigc/locations/)",485,490,hidden_locations_table_td_classes,admin_ajax_map6_json_live_pull,1,"Marker name changed while its address stayed identical after normalisation. Recorded as ONE rename, not as a disappearance plus an appearance. The address is the field a rename does not touch, so it is the key used; the pairing is one-to-one and nothing is paired on a name.",https://www.nigc.gov/map/,2026-08-06,,no facility_id on this row,,,,,,,,,
NIGCMAP-20260806000000-b6f6dc39,renamed,Yaamava’ Resort & Casino at San Manuel,San Manuel Indian Bingo & Casino,"777 San Manuel Blvd, Highland CA 92346",34.1503353,-117.229094,,,"777 San Manuel Blvd, Highland, CA 92346",20151002001333,2015-10-02,https://web.archive.org/web/20151002001333/https://www.nigc.gov/map/,20260806000000,2026-08-06,"https://www.nigc.gov/map/  (admin-ajax.php map_id=6, pulled 2026-08-06, held at data/raw/external/nigc/locations/)",485,490,hidden_locations_table_td_classes,admin_ajax_map6_json_live_pull,1,"Marker name changed while its address stayed identical after normalisation. Recorded as ONE rename, not as a disappearance plus an appearance. The address is the field a rename does not touch, so it is the key used; the pairing is one-to-one and nothing is paired on a name.",https://www.nigc.gov/map/,2026-08-06,VP-0013,,CEDAR-PLACE-000133-JX,,facility,A,inherited from gaming_nigc_roster_link.link_tier (match_basis=exact_name_state) via marker_title,ruled_nigc_name_exact,,2026-08-26,
NIGCMAP-20260806000000-81c62924,present_in_snapshot,ilani Casino Hotel Resort,,"1 Cowlitz WY Ridgefield, WA 98642",45.8533857,-122.7072372,,,,20151002001333,2015-10-02,https://web.archive.org/web/20151002001333/https://www.nigc.gov/map/,20260806000000,2026-08-06,"https://www.nigc.gov/map/  (admin-ajax.php map_id=6, pulled 2026-08-06, held at data/raw/external/nigc/locations/)",485,490,hidden_locations_table_td_classes,admin_ajax_map6_json_live_pull,1,"Marker present in the later snapshot and not the earlier one. This is a LISTING event, not an opening: NIGC's map is a published roster and a marker can appear because the location was newly listed, renamed, or re-submitted.",https://www.nigc.gov/map/,2026-08-06,CCP-656400,,CEDAR-PLACE-000572-XC,TRBF-COWLTZ-00,facility,A,inherited from gaming_nigc_roster_link.link_tier (match_basis=core_name_state) via marker_title,ruled_nigc_name_exact,,2026-08-26,CE-0013R-3H
NIGCMAP-20260806000000-eeec869d,present_in_snapshot,Lakeside Entertainment III,,"126 East Bayard Street, Seneca Fall NY 13148",42.9112,-76.78209,,,,20151002001333,2015-10-02,https://web.archive.org/web/20151002001333/https://www.nigc.gov/map/,20260806000000,2026-08-06,"https://www.nigc.gov/map/  (admin-ajax.php map_id=6, pulled 2026-08-06, held at data/raw/external/nigc/locations/)",485,490,hidden_locations_table_td_classes,admin_ajax_map6_json_live_pull,1,"Marker present in the later snapshot and not the earlier one. This is a LISTING event, not an opening: NIGC's map is a published roster and a marker can appear because the location was newly listed, renamed, or re-submitted.",https://www.nigc.gov/map/,2026-08-06,,no facility_id on this row,,,,,,,,,
NIGCMAP-20260806000000-30ecbd4b,present_in_snapshot,Chukchansi Gold Resort and Casino,,"711 Lucky Lane, Coarsegold CA 93614",37.211987,-119.699466,,,,20151002001333,2015-10-02,https://web.archive.org/web/20151002001333/https://www.nigc.gov/map/,20260806000000,2026-08-06,"https://www.nigc.gov/map/  (admin-ajax.php map_id=6, pulled 2026-08-06, held at data/raw/external/nigc/locations/)",485,490,hidden_locations_table_td_classes,admin_ajax_map6_json_live_pull,1,"Marker present in the later snapshot and not the earlier one. This is a LISTING event, not an opening: NIGC's map is a published roster and a marker can appear because the location was newly listed, renamed, or re-submitted.",https://www.nigc.gov/map/,2026-08-06,CCP-595800,,CEDAR-PLACE-000057-V1,TRBF-PYCKCH-00,facility,A,inherited from gaming_nigc_roster_link.link_tier (match_basis=exact_name_state) via marker_title,ruled_nigc_name_exact,,2026-08-26,CE-0018X-TY
NIGCMAP-20260806000000-05d0c9f2,present_in_snapshot,Lakeside Entertainment II,,"2552 State Route 89, Seneca Falls NY 13148",42.90116,-76.75569,,,,20151002001333,2015-10-02,https://web.archive.org/web/20151002001333/https://www.nigc.gov/map/,20260806000000,2026-08-06,"https://www.nigc.gov/map/  (admin-ajax.php map_id=6, pulled 2026-08-06, held at data/raw/external/nigc/locations/)",485,490,hidden_locations_table_td_classes,admin_ajax_map6_json_live_pull,1,"Marker present in the later snapshot and not the earlier one. This is a LISTING event, not an opening: NIGC's map is a published roster and a marker can appear because the location was newly listed, renamed, or re-submitted.",https://www.nigc.gov/map/,2026-08-06,CCP-688000,,CEDAR-PLACE-000353-X9,,facility,A,inherited from gaming_nigc_roster_link.link_tier (match_basis=street_state) via marker_title,ruled_nigc_name_exact,,2026-08-26,
NIGCMAP-20260806000000-b88a14c3,present_in_snapshot,Fort McDowell Casino,,"Hwy 87 & Fort McDowell Rd., Fort McDowell AZ 85264",33.580111,-111.678071,,,,20151002001333,2015-10-02,https://web.archive.org/web/20151002001333/https://www.nigc.gov/map/,20260806000000,2026-08-06,"https://www.nigc.gov/map/  (admin-ajax.php map_id=6, pulled 2026-08-06, held at data/raw/external/nigc/locations/)",485,490,hidden_locations_table_td_classes,admin_ajax_map6_json_live_pull,1,"Marker present in the later snapshot and not the earlier one. This is a LISTING event, not an opening: NIGC's map is a published roster and a marker can appear because the location was newly listed, renamed, or re-submitted.",https://www.nigc.gov/map/,2026-08-06,CCP-44900,,CEDAR-PLACE-000024-GR,TRBF-FMCDWL-00,facility,A,inherited from gaming_nigc_roster_link.link_tier (match_basis=exact_name_state) via marker_title,ruled_nigc_name_exact,,2026-08-26,CE-0014F-J0
NIGCMAP-20260806000000-370d91ae,present_in_snapshot,Lakeside Entertainment IV (4),,"271 Cayuga Street, Union Springs NY 13160",42.85372,-76.69138,,,,20151002001333,2015-10-02,https://web.archive.org/web/20151002001333/https://www.nigc.gov/map/,20260806000000,2026-08-06,"https://www.nigc.gov/map/  (admin-ajax.php map_id=6, pulled 2026-08-06, held at data/raw/external/nigc/locations/)",485,490,hidden_locations_table_td_classes,admin_ajax_map6_json_live_pull,1,"Marker present in the later snapshot and not the earlier one. This is a LISTING event, not an opening: NIGC's map is a published roster and a marker can appear because the location was newly listed, renamed, or re-submitted.",https://www.nigc.gov/map/,2026-08-06,,no facility_id on this row,,,,,,,,,
NIGCMAP-20260806000000-25bc66aa,absent_from_snapshot,Fort McDowell Gaming Center,,"Hwy 87 & Fort McDowell Rd., Fountain Hills, AZ 85269",33.580111,-111.678071,,,,20151002001333,2015-10-02,https://web.archive.org/web/20151002001333/https://www.nigc.gov/map/,20260806000000,2026-08-06,"https://www.nigc.gov/map/  (admin-ajax.php map_id=6, pulled 2026-08-06, held at data/raw/external/nigc/locations/)",485,490,hidden_locations_table_td_classes,admin_ajax_map6_json_live_pull,1,"Marker present in the earlier snapshot and absent from the later one. THIS IS NOT A CLOSURE. It can be a delisting, a rename, a data refresh or a submission gap. No closure is claimed anywhere in this dataset without a document that says closed.",https://www.nigc.gov/map/,2026-08-06,,no facility_id on this row,,,,,,,,,
NIGCMAP-20260806000000-71649288,coordinates_changed,Apache Gold Casino,,"US Highway 70, San Carlos AZ 85501",33.345335,-110.453155,34.250377,-93.641935,,20151002001333,2015-10-02,https://web.archive.org/web/20151002001333/https://www.nigc.gov/map/,20260806000000,2026-08-06,"https://www.nigc.gov/map/  (admin-ajax.php map_id=6, pulled 2026-08-06, held at data/raw/external/nigc/locations/)",485,490,hidden_locations_table_td_classes,admin_ajax_map6_json_live_pull,1,Marker coordinates moved between snapshots. A coordinate change can be a relocation OR a geocoding correction; the map does not distinguish them and neither does this row.,https://www.nigc.gov/map/,2026-08-06,CCP-86600,,CEDAR-PLACE-000007-AF,TRBF-SNCRLS-00,facility,A,inherited from gaming_nigc_roster_link.link_tier (match_basis=core_name_state) via marker_title,ruled_nigc_name_exact,,2026-08-26,CE-001AD-4E
