bound_id,facility_id,cedar_place_id_absent_reason,cedar_place_id,tribe_id,fiscal_year,revenue_lower_bound,revenue_upper_bound,point_value,measurement_status,bound_basis,n_properties_tribe_operated,n_operations_in_region,regional_total_usd,known_property_sum_usd,assumption_note,source_url,source_quote,confidence,tier,built_date,cedar_uid,not_summable_with,bound_is_a_repeated_regional_ceiling,n_facilities_sharing_this_ceiling,aggregation_level,summability_basis
RVB-CEILNET-000031,CCP-692800,,CEDAR-PLACE-000004-R4,TRBF-POARCH-00,2001,,2238247539,,REGIONAL_GGR_CEILING,REGIONAL_GGR_CEILING_NET_OF_KNOWN,2,21,3591206000,1352958461,"Regional total less the revenue Cedar already holds for 2 other properties in NIGC region Eastern Region FY2001. The subtracted figures are Connecticut DCP SLOT win, which excludes table games, so the amount removed is smaller than those properties' true GGR and this ceiling is therefore loose in the safe direction -- it can only be too high, never too low. NIGC gross gaming revenue for the whole region is an upper bound on any one operation inside it, because a part cannot exceed its total. It is NOT a figure for this property and must never be divided by n_operations_in_region: NIGC's own FY2025 distribution has about 9% of operations making 56% of GGR while over 54% make about 5%, so an equal allocation would be wrong by an order of magnitude for most properties. NIGC GGR is gaming win only and excludes hotel, food, entertainment and retail.",https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,"Eastern Region 22 3,819,897 21 3,591,206 1 228,691",medium,B,2026-08-07,CE-0018H-JJ,"other_rows_of_gaming_revenue_bounds (THIS IS THE TRAP: one NIGC regional total is written onto every property in the region-year, so SUM() adds it to itself);nigc_regional_ggr (the same dollars at their true grain);gaming_property_self_published_claims (an operator assertion);gaming_capacity_official (a regulator count, not money);ca_gaming_payments;fl_gaming_payments (state payment series, a different measure)",Y,26,regional_aggregate,"NIGC publishes gross gaming revenue by REGION, never per operation. This row states the region-year total as a ceiling on this one property; 26 properties in this region-year carry the same figure. It is NEVER divided by the operation count - NIGC's own FY2025 distribution has 8.6% of operations holding 55.8% of GGR - and it must never be summed."
RVB-CEILNET-000039,CCP-692800,,CEDAR-PLACE-000004-R4,TRBF-POARCH-00,2005,,3836040042,,REGIONAL_GGR_CEILING,REGIONAL_GGR_CEILING_NET_OF_KNOWN,3,28,5514136000,1678095958,"Regional total less the revenue Cedar already holds for 2 other properties in NIGC region Region VI FY2005. The subtracted figures are Connecticut DCP SLOT win, which excludes table games, so the amount removed is smaller than those properties' true GGR and this ceiling is therefore loose in the safe direction -- it can only be too high, never too low. NIGC gross gaming revenue for the whole region is an upper bound on any one operation inside it, because a part cannot exceed its total. It is NOT a figure for this property and must never be divided by n_operations_in_region: NIGC's own FY2025 distribution has about 9% of operations making 56% of GGR while over 54% make about 5%, so an equal allocation would be wrong by an order of magnitude for most properties. NIGC GGR is gaming win only and excludes hotel, food, entertainment and retail.",https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,"Region VI 28 5,514,136 27 4,820,864 1 693,272 14.4%",medium,B,2026-08-07,CE-0018H-JJ,"other_rows_of_gaming_revenue_bounds (THIS IS THE TRAP: one NIGC regional total is written onto every property in the region-year, so SUM() adds it to itself);nigc_regional_ggr (the same dollars at their true grain);gaming_property_self_published_claims (an operator assertion);gaming_capacity_official (a regulator count, not money);ca_gaming_payments;fl_gaming_payments (state payment series, a different measure)",Y,36,regional_aggregate,"NIGC publishes gross gaming revenue by REGION, never per operation. This row states the region-year total as a ceiling on this one property; 36 properties in this region-year carry the same figure. It is NEVER divided by the operation count - NIGC's own FY2025 distribution has 8.6% of operations holding 55.8% of GGR - and it must never be summed."
RVB-CEILNET-000047,CCP-692800,,CEDAR-PLACE-000004-R4,TRBF-POARCH-00,2009,,5315277826,,REGIONAL_GGR_CEILING,REGIONAL_GGR_CEILING_NET_OF_KNOWN,3,28,6782735000,1467457174,"Regional total less the revenue Cedar already holds for 2 other properties in NIGC region Washington DC FY2009. The subtracted figures are Connecticut DCP SLOT win, which excludes table games, so the amount removed is smaller than those properties' true GGR and this ceiling is therefore loose in the safe direction -- it can only be too high, never too low. NIGC gross gaming revenue for the whole region is an upper bound on any one operation inside it, because a part cannot exceed its total. It is NOT a figure for this property and must never be divided by n_operations_in_region: NIGC's own FY2025 distribution has about 9% of operations making 56% of GGR while over 54% make about 5%, so an equal allocation would be wrong by an order of magnitude for most properties. NIGC GGR is gaming win only and excludes hotel, food, entertainment and retail.",https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,"Washington (fka Region VI) 28 $6,782,735 28 $6,776,100 0 $6,635 0.1%",medium,B,2026-08-07,CE-0018H-JJ,"other_rows_of_gaming_revenue_bounds (THIS IS THE TRAP: one NIGC regional total is written onto every property in the region-year, so SUM() adds it to itself);nigc_regional_ggr (the same dollars at their true grain);gaming_property_self_published_claims (an operator assertion);gaming_capacity_official (a regulator count, not money);ca_gaming_payments;fl_gaming_payments (state payment series, a different measure)",Y,36,regional_aggregate,"NIGC publishes gross gaming revenue by REGION, never per operation. This row states the region-year total as a ceiling on this one property; 36 properties in this region-year carry the same figure. It is NEVER divided by the operation count - NIGC's own FY2025 distribution has 8.6% of operations holding 55.8% of GGR - and it must never be summed."
RVB-CEILNET-000071,CCP-692800,,CEDAR-PLACE-000004-R4,TRBF-POARCH-00,2021,,7283424246,,REGIONAL_GGR_CEILING,REGIONAL_GGR_CEILING_NET_OF_KNOWN,3,42,8098283597,814859351,"Regional total less the revenue Cedar already holds for 2 other properties in NIGC region Washington DC FY2021. The subtracted figures are Connecticut DCP SLOT win, which excludes table games, so the amount removed is smaller than those properties' true GGR and this ceiling is therefore loose in the safe direction -- it can only be too high, never too low. NIGC gross gaming revenue for the whole region is an upper bound on any one operation inside it, because a part cannot exceed its total. It is NOT a figure for this property and must never be divided by n_operations_in_region: NIGC's own FY2025 distribution has about 9% of operations making 56% of GGR while over 54% make about 5%, so an equal allocation would be wrong by an order of magnitude for most properties. NIGC GGR is gaming win only and excludes hotel, food, entertainment and retail.",https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,"D.C. 8,976,860,441 8,098,283,597 878,576,844",medium,B,2026-08-07,CE-0018H-JJ,"other_rows_of_gaming_revenue_bounds (THIS IS THE TRAP: one NIGC regional total is written onto every property in the region-year, so SUM() adds it to itself);nigc_regional_ggr (the same dollars at their true grain);gaming_property_self_published_claims (an operator assertion);gaming_capacity_official (a regulator count, not money);ca_gaming_payments;fl_gaming_payments (state payment series, a different measure)",Y,42,regional_aggregate,"NIGC publishes gross gaming revenue by REGION, never per operation. This row states the region-year total as a ceiling on this one property; 42 properties in this region-year carry the same figure. It is NEVER divided by the operation count - NIGC's own FY2025 distribution has 8.6% of operations holding 55.8% of GGR - and it must never be summed."
RVB-CEILNET-000079,CCP-692800,,CEDAR-PLACE-000004-R4,TRBF-POARCH-00,2025,,10350749972,,REGIONAL_GGR_CEILING,REGIONAL_GGR_CEILING_NET_OF_KNOWN,3,46,11218298614,867548642,"Regional total less the revenue Cedar already holds for 2 other properties in NIGC region Washington DC FY2025. The subtracted figures are Connecticut DCP SLOT win, which excludes table games, so the amount removed is smaller than those properties' true GGR and this ceiling is therefore loose in the safe direction -- it can only be too high, never too low. NIGC gross gaming revenue for the whole region is an upper bound on any one operation inside it, because a part cannot exceed its total. It is NOT a figure for this property and must never be divided by n_operations_in_region: NIGC's own FY2025 distribution has about 9% of operations making 56% of GGR while over 54% make about 5%, so an equal allocation would be wrong by an order of magnitude for most properties. NIGC GGR is gaming win only and excludes hotel, food, entertainment and retail.",https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,"D.C. $11,218,298,614 $10,218,407,815 $999,890,799",medium,B,2026-08-07,CE-0018H-JJ,"other_rows_of_gaming_revenue_bounds (THIS IS THE TRAP: one NIGC regional total is written onto every property in the region-year, so SUM() adds it to itself);nigc_regional_ggr (the same dollars at their true grain);gaming_property_self_published_claims (an operator assertion);gaming_capacity_official (a regulator count, not money);ca_gaming_payments;fl_gaming_payments (state payment series, a different measure)",Y,42,regional_aggregate,"NIGC publishes gross gaming revenue by REGION, never per operation. This row states the region-year total as a ceiling on this one property; 42 properties in this region-year carry the same figure. It is NEVER divided by the operation count - NIGC's own FY2025 distribution has 8.6% of operations holding 55.8% of GGR - and it must never be summed."
RVB-CEILNET-000087,CCP-570000,,CEDAR-PLACE-000005-YX,TRBF-POARCH-00,2005,,3836040042,,REGIONAL_GGR_CEILING,REGIONAL_GGR_CEILING_NET_OF_KNOWN,3,28,5514136000,1678095958,"Regional total less the revenue Cedar already holds for 2 other properties in NIGC region Region VI FY2005. The subtracted figures are Connecticut DCP SLOT win, which excludes table games, so the amount removed is smaller than those properties' true GGR and this ceiling is therefore loose in the safe direction -- it can only be too high, never too low. NIGC gross gaming revenue for the whole region is an upper bound on any one operation inside it, because a part cannot exceed its total. It is NOT a figure for this property and must never be divided by n_operations_in_region: NIGC's own FY2025 distribution has about 9% of operations making 56% of GGR while over 54% make about 5%, so an equal allocation would be wrong by an order of magnitude for most properties. NIGC GGR is gaming win only and excludes hotel, food, entertainment and retail.",https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,"Region VI 28 5,514,136 27 4,820,864 1 693,272 14.4%",medium,B,2026-08-07,CE-0018H-JJ,"other_rows_of_gaming_revenue_bounds (THIS IS THE TRAP: one NIGC regional total is written onto every property in the region-year, so SUM() adds it to itself);nigc_regional_ggr (the same dollars at their true grain);gaming_property_self_published_claims (an operator assertion);gaming_capacity_official (a regulator count, not money);ca_gaming_payments;fl_gaming_payments (state payment series, a different measure)",Y,36,regional_aggregate,"NIGC publishes gross gaming revenue by REGION, never per operation. This row states the region-year total as a ceiling on this one property; 36 properties in this region-year carry the same figure. It is NEVER divided by the operation count - NIGC's own FY2025 distribution has 8.6% of operations holding 55.8% of GGR - and it must never be summed."
RVB-CEILNET-000095,CCP-570000,,CEDAR-PLACE-000005-YX,TRBF-POARCH-00,2009,,5315277826,,REGIONAL_GGR_CEILING,REGIONAL_GGR_CEILING_NET_OF_KNOWN,3,28,6782735000,1467457174,"Regional total less the revenue Cedar already holds for 2 other properties in NIGC region Washington DC FY2009. The subtracted figures are Connecticut DCP SLOT win, which excludes table games, so the amount removed is smaller than those properties' true GGR and this ceiling is therefore loose in the safe direction -- it can only be too high, never too low. NIGC gross gaming revenue for the whole region is an upper bound on any one operation inside it, because a part cannot exceed its total. It is NOT a figure for this property and must never be divided by n_operations_in_region: NIGC's own FY2025 distribution has about 9% of operations making 56% of GGR while over 54% make about 5%, so an equal allocation would be wrong by an order of magnitude for most properties. NIGC GGR is gaming win only and excludes hotel, food, entertainment and retail.",https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,"Washington (fka Region VI) 28 $6,782,735 28 $6,776,100 0 $6,635 0.1%",medium,B,2026-08-07,CE-0018H-JJ,"other_rows_of_gaming_revenue_bounds (THIS IS THE TRAP: one NIGC regional total is written onto every property in the region-year, so SUM() adds it to itself);nigc_regional_ggr (the same dollars at their true grain);gaming_property_self_published_claims (an operator assertion);gaming_capacity_official (a regulator count, not money);ca_gaming_payments;fl_gaming_payments (state payment series, a different measure)",Y,36,regional_aggregate,"NIGC publishes gross gaming revenue by REGION, never per operation. This row states the region-year total as a ceiling on this one property; 36 properties in this region-year carry the same figure. It is NEVER divided by the operation count - NIGC's own FY2025 distribution has 8.6% of operations holding 55.8% of GGR - and it must never be summed."
RVB-CEILNET-000119,CCP-570000,,CEDAR-PLACE-000005-YX,TRBF-POARCH-00,2021,,7283424246,,REGIONAL_GGR_CEILING,REGIONAL_GGR_CEILING_NET_OF_KNOWN,3,42,8098283597,814859351,"Regional total less the revenue Cedar already holds for 2 other properties in NIGC region Washington DC FY2021. The subtracted figures are Connecticut DCP SLOT win, which excludes table games, so the amount removed is smaller than those properties' true GGR and this ceiling is therefore loose in the safe direction -- it can only be too high, never too low. NIGC gross gaming revenue for the whole region is an upper bound on any one operation inside it, because a part cannot exceed its total. It is NOT a figure for this property and must never be divided by n_operations_in_region: NIGC's own FY2025 distribution has about 9% of operations making 56% of GGR while over 54% make about 5%, so an equal allocation would be wrong by an order of magnitude for most properties. NIGC GGR is gaming win only and excludes hotel, food, entertainment and retail.",https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,"D.C. 8,976,860,441 8,098,283,597 878,576,844",medium,B,2026-08-07,CE-0018H-JJ,"other_rows_of_gaming_revenue_bounds (THIS IS THE TRAP: one NIGC regional total is written onto every property in the region-year, so SUM() adds it to itself);nigc_regional_ggr (the same dollars at their true grain);gaming_property_self_published_claims (an operator assertion);gaming_capacity_official (a regulator count, not money);ca_gaming_payments;fl_gaming_payments (state payment series, a different measure)",Y,42,regional_aggregate,"NIGC publishes gross gaming revenue by REGION, never per operation. This row states the region-year total as a ceiling on this one property; 42 properties in this region-year carry the same figure. It is NEVER divided by the operation count - NIGC's own FY2025 distribution has 8.6% of operations holding 55.8% of GGR - and it must never be summed."
RVB-CEILNET-000127,CCP-570000,,CEDAR-PLACE-000005-YX,TRBF-POARCH-00,2025,,10350749972,,REGIONAL_GGR_CEILING,REGIONAL_GGR_CEILING_NET_OF_KNOWN,3,46,11218298614,867548642,"Regional total less the revenue Cedar already holds for 2 other properties in NIGC region Washington DC FY2025. The subtracted figures are Connecticut DCP SLOT win, which excludes table games, so the amount removed is smaller than those properties' true GGR and this ceiling is therefore loose in the safe direction -- it can only be too high, never too low. NIGC gross gaming revenue for the whole region is an upper bound on any one operation inside it, because a part cannot exceed its total. It is NOT a figure for this property and must never be divided by n_operations_in_region: NIGC's own FY2025 distribution has about 9% of operations making 56% of GGR while over 54% make about 5%, so an equal allocation would be wrong by an order of magnitude for most properties. NIGC GGR is gaming win only and excludes hotel, food, entertainment and retail.",https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,"D.C. $11,218,298,614 $10,218,407,815 $999,890,799",medium,B,2026-08-07,CE-0018H-JJ,"other_rows_of_gaming_revenue_bounds (THIS IS THE TRAP: one NIGC regional total is written onto every property in the region-year, so SUM() adds it to itself);nigc_regional_ggr (the same dollars at their true grain);gaming_property_self_published_claims (an operator assertion);gaming_capacity_official (a regulator count, not money);ca_gaming_payments;fl_gaming_payments (state payment series, a different measure)",Y,42,regional_aggregate,"NIGC publishes gross gaming revenue by REGION, never per operation. This row states the region-year total as a ceiling on this one property; 42 properties in this region-year carry the same figure. It is NEVER divided by the operation count - NIGC's own FY2025 distribution has 8.6% of operations holding 55.8% of GGR - and it must never be summed."
RVB-CEILNET-000135,CCP-544800,,CEDAR-PLACE-000006-4P,TRBF-POARCH-00,2004,,3189310586,,REGIONAL_GGR_CEILING,REGIONAL_GGR_CEILING_NET_OF_KNOWN,3,27,4820864000,1631553414,"Regional total less the revenue Cedar already holds for 2 other properties in NIGC region Region VI FY2004. The subtracted figures are Connecticut DCP SLOT win, which excludes table games, so the amount removed is smaller than those properties' true GGR and this ceiling is therefore loose in the safe direction -- it can only be too high, never too low. NIGC gross gaming revenue for the whole region is an upper bound on any one operation inside it, because a part cannot exceed its total. It is NOT a figure for this property and must never be divided by n_operations_in_region: NIGC's own FY2025 distribution has about 9% of operations making 56% of GGR while over 54% make about 5%, so an equal allocation would be wrong by an order of magnitude for most properties. NIGC GGR is gaming win only and excludes hotel, food, entertainment and retail.",https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,"Region VI 27 4,820,864 24 4,322,134 3 498,730 11.5%",medium,B,2026-08-07,CE-0018H-JJ,"other_rows_of_gaming_revenue_bounds (THIS IS THE TRAP: one NIGC regional total is written onto every property in the region-year, so SUM() adds it to itself);nigc_regional_ggr (the same dollars at their true grain);gaming_property_self_published_claims (an operator assertion);gaming_capacity_official (a regulator count, not money);ca_gaming_payments;fl_gaming_payments (state payment series, a different measure)",Y,35,regional_aggregate,"NIGC publishes gross gaming revenue by REGION, never per operation. This row states the region-year total as a ceiling on this one property; 35 properties in this region-year carry the same figure. It is NEVER divided by the operation count - NIGC's own FY2025 distribution has 8.6% of operations holding 55.8% of GGR - and it must never be summed."
