cedar_uid,tribe_name,n_facilities,facility_ids,states,site_host,surface,url_type,seed_url,harvest_status,home_http_status,page_verdict,robots_note,wp_rest_available,wp_custom_post_types,n_wp_pdf_documents,n_sitemap_urls,n_wp_pages,n_feed_items,jsonld_present,jsonld_types,app_state_markers,arcgis_endpoints,google_sheets,n_html_comment_blocks,n_data_attr_keys,ajax_endpoints_observed_not_fetched,n_pages_fetched,n_vendor_tero_pages_fetched,n_custom_post_type_items,custom_post_types_harvested,n_capacity_observations,n_identity_observations,vendor_tero_urls_found,checked_and_absent,terms_restricted,population_basis,checked_date
CE-00127-RR,Bear River,2,CCP-698300;CCP-915700,CA,bearrivercasino.com,gaming,casino,https://bearrivercasino.com/,HARVESTED,200,OK,robots.txt parsed,Y,elementor_library;elementor_snippet;events-and-shows;jet-engine;promotions;recent-winners;slot-machines;wp_font_face;wp_font_family,74,5,47,0,Y,BreadcrumbList;ImageObject;Organization;WebPage;WebSite,,,,4,15,https://bearrivercasino.com/wp-admin/admin-ajax.php;https:\/\/bearrivercasino.com\/wp-admin\/admin-ajax.php,6,0,14,promotions,2,2,,arcgis_feature_service;embedded_app_state;embedded_google_sheet;rss_feed;vendor_procurement_tero_pages,N,cedar_gaming_facilities_and_web_map,2026-09-02
CE-0013Z-D0,Yavapai-Apache,1,CCP-65900,AZ,cliffcastlecasino.com,gaming,casino,https://cliffcastlecasino.com/about/,HARVESTED,200,OK,robots.txt parsed,Y,casino_posts;coblocks_pattern;dining_posts;entertainment_posts;family_posts;packages;popup;popup_theme;promotions_posts;pum_cta;rooms_posts;sportsbook_posts;wedding_posts;wp_font_face;wp_font_family,5,12,22,1,Y,BreadcrumbList;ImageObject;Organization;WebPage;WebSite,,,,2,32,https://cliffcastlecasino.com/wp-admin/admin-ajax.php,6,0,35,casino_posts;dining_posts;entertainment_posts;promotions_posts;rooms_posts,2,3,,arcgis_feature_service;embedded_app_state;embedded_google_sheet;vendor_procurement_tero_pages,N,cedar_gaming_facilities_and_web_map,2026-09-02
CE-00142-4V,Delaware Tribe of Indians,1,VP-0192,OK,delawaretribe.org,tribe,government,https://delawaretribe.org/,HARVESTED,200,NAME_TOKEN_ABSENT,robots.txt parsed,Y,career;coblocks_pattern;events;give_forms;project;service;tribalbusiness;veteranservice;wp_font_face;wp_font_family,100,0,63,0,Y,BreadcrumbList;Organization;WebPage;WebSite,,,,6,11,https://delawaretribe.org/wp-admin/admin-ajax.php,2,1,17,service;tribalbusiness,0,3,https://delawaretribe.org/procurement-notices/;https://delawaretribe.org/wp-content/uploads/2026/05/RFP-LELC-Chelsea-Parking-Lot-1.pdf;https://delawaretribe.org/wp-content/uploads/2026/05/RFP-LELC-Chelsea-Parking-Lot.pdf;https://delawaretribe.org/wp-content/uploads/2026/05/RFP-LELC-Chelsea-Playground.pdf;https://delawaretribe.org/wp-content/uploads/2026/07/RFP-Lodges.pdf,arcgis_feature_service;embedded_app_state;embedded_google_sheet;rss_feed;sitemap,N,cedar_gaming_facilities_and_web_map,2026-09-02
CE-001AZ-GG,Standing Rock,3,CCP-22700;CCP-685800;CCP-85700,ND;SD,grandrivercasino.com,gaming,casino,https://grandrivercasino.com/,HARVESTED,200,OK,robots.txt parsed,Y,calendar;e-floating-buttons;elementor_library;elementor_snippet;jet-engine;jet-page-template;jet-theme-core;promotions;wp_font_face;wp_font_family,19,0,27,0,Y,BreadcrumbList;Organization;WebPage;WebSite,,,,2,19,https://grandrivercasino.com/wp-admin/admin-ajax.php;https:\/\/grandrivercasino.com\/wp-admin\/admin-ajax.php,6,0,6,promotions,0,4,,arcgis_feature_service;embedded_app_state;embedded_google_sheet;rss_feed;sitemap;vendor_procurement_tero_pages,N,cedar_gaming_facilities_and_web_map,2026-09-02
CE-0006Y-JE,Kake,1,CCP-686900,AK,kake-nsn.gov,tribe,government,https://kake-nsn.gov/,HARVESTED,200,NAME_TOKEN_ABSENT,robots.txt parsed,Y,council-member;job-posting;news-or-update;staff-member;tec_calendar_embed;tribe_events;tribe_organizer;tribe_venue;wp_font_face;wp_font_family,30,60,13,0,Y,Organization;WebPage;WebSite,,,,0,11,https://kake-nsn.gov/wp-admin/admin-ajax.php,0,0,0,,0,2,https://kake-nsn.gov/wp-content/uploads/2024/09/2-6-24_republished_rfp_tribal_house_project_design_services.pdf,arcgis_feature_service;embedded_app_state;embedded_google_sheet;rss_feed;substantive_html_comments,N,cedar_gaming_facilities_and_web_map,2026-09-02
CE-0012D-WE,Big Valley Rancheria,2,VP-0075;CCP-306200,CA,konocti-vista-casino.com,gaming,casino,https://konocti-vista-casino.com/,HARVESTED,200,OK,robots.txt parsed,Y,event;games;jp_pay_order;jp_pay_product;popup;product;promotion;tec_calendar_embed;tribe_events;tribe_organizer;tribe_venue;wp_font_face;wp_font_family;wpb_gutenberg_param,7,0,41,0,Y,BreadcrumbList;Organization;WebPage;WebSite,,,,6,39,/wp-admin/admin-ajax.php;https://konocti-vista-casino.com/wp-admin/admin-ajax.php,6,1,12,promotion,1,3,https://konocti-vista-casino.com/events/event-vendor-applications/;https://konocti-vista-casino.com/wp-content/uploads/2026/02/2026-Craft-Merch-Vendor-Participation-Application.pdf;https://konocti-vista-casino.com/wp-content/uploads/2026/02/2026-Food-Vendor-Participation-Application.pdf;https://konocti-vista-casino.com/wp-content/uploads/2026/02/2026-Snack-Vendor-Participation-Application.pdf,arcgis_feature_service;embedded_app_state;embedded_google_sheet;rss_feed;sitemap,N,cedar_gaming_facilities_and_web_map,2026-09-02
CE-0016D-GE,Little Traverse,3,CCP-1034300;CCP-770100;CCP-335700,MI,ltbbodawa-nsn.gov,gaming,gaming_authority,https://ltbbodawa-nsn.gov/business-and-community/gaming-authority/,TOUCHED_NOTHING_FOUND,200,OK,robots.txt parsed,Y,audioplayer;fbdl_library;foogallery;portfolio_page;qr;radioplayer;tec_calendar_embed;tribe_events;tribe_organizer;tribe_venue;wp_font_face;wp_font_family;wpb_gutenberg_param,100,12,100,10,Y,BreadcrumbList;Event;WebPage;WebSite,,,,2,15,https://ltbbodawa-nsn.gov/wp-admin/admin-ajax.php;https:\/\/ltbbodawa-nsn.gov\/wp-admin\/admin-ajax.php,3,3,0,,0,0,https://ltbbodawa-nsn.gov/2026-ltbb-pow-wow-vendor-application/;https://ltbbodawa-nsn.gov/2026-ltbb-pow-wow-vendor-payment-form/;https://ltbbodawa-nsn.gov/craft-vendor-application/;https://ltbbodawa-nsn.gov/departments/department-of-commerce/doc-tribal-citizen-vendor-request-to-be-added/;https://ltbbodawa-nsn.gov/vendor-payment-confirmation/;https://ltbbodawa-nsn.gov/wp-content/uploads/2024/10/Invitation-to-Bid-Assist-with-Carbon-Pollution-Reduction-Plan.pdf;https://ltbbodawa-nsn.gov/wp-content/uploads/2024/10/Invitation-to-Bid-Provide-and-Install-New-Manufactered-Commercial-Building-for-Youth-Center-w-addendum-for-BABA.pdf;https://ltbbodawa-nsn.gov/wp-content/uploads/2026/07/INVITATION-TO-BID-Demolition-620-Second-St-Extended.pdf;https://ltbbodawa-nsn.gov/wp-content/uploads/2026/07/Invitation-to-Bid-Remodel-Clinic-waiting-room-to-add-two-New-Office-Spaces-at-Health.pdf;https://ltbbodawa-nsn.gov/wp-content/uploads/2026/07/Invitation-to-Bid-Remodel-Clinic-waiting-room-to-add-two-patient-exam-rooms-at-Health.pdf;https://ltbbodawa-nsn.gov/wp-content/uploads/2026/07/LTBB-Health-Park-Water-Roof-Replacement-RFP.pdf;https://ltbbodawa-nsn.gov/wp-content/uploads/2026/08/20260824-Bidding-Project-Manual-Youth-Center.pdf;https://ltbbodawa-nsn.gov/wp-content/uploads/2026/08/20260824-Youth-Center-Bidding-Plan-Set.pdf;https://ltbbodawa-nsn.gov/wp-content/uploads/2026/08/INVITATION-TO-BID-Demolition-620-Second-St-Extension-to-9-1-26.pdf;https://ltbbodawa-nsn.gov/wp-content/uploads/2026/08/In,arcgis_feature_service;embedded_app_state;embedded_google_sheet,N,cedar_gaming_facilities_and_web_map,2026-09-02
CE-0016W-A5,Three Affiliated,12,CCP-2200;CCP-842800;CCP-947100;CCP-843100;CCP-800000;CCP-800100;CCP-750900;CCP-750200;CCP-750800;CCP-802200;CCP-749900;CEDAR-FAC-000019,ND,mhatero.com,tribe,tero,https://mhatero.com/,HARVESTED,200,NAME_TOKEN_ABSENT,robots.txt parsed,Y,meeting-minute;wp_font_face;wp_font_family,100,2,13,0,Y,BreadcrumbList;CollectionPage;Organization;WebSite,,,,3,8,https://mhatero.com/wp-admin/admin-ajax.php,3,3,0,,0,5,https://mhatero.com/;https://mhatero.com/about/;https://mhatero.com/bricks_template-sitemap1.xml;https://mhatero.com/commission/;https://mhatero.com/contact-us/;https://mhatero.com/contractor-lists/;https://mhatero.com/employment/;https://mhatero.com/indian-contracting/;https://mhatero.com/ordinances-regulation/;https://mhatero.com/page-sitemap1.xml;https://mhatero.com/sample-page/;https://mhatero.com/search-contractors/;https://mhatero.com/staff/;https://mhatero.com/tero-license-information/;https://mhatero.com/what-is-tero/;https://mhatero.com/wp-content/uploads/2025/12/Subcontractors-with-MHA-DOT-Exemption-12.30.2025.pdf;https://mhatero.com/wp-content/uploads/2026/01/10-J-application-effective-01.01.2026.pdf;https://mhatero.com/wp-content/uploads/2026/01/Preference-Level-1-Self-Performers-01.03.2026.pdf;https://mhatero.com/wp-content/uploads/2026/01/Preference-Level-1-Self-Performers-01.09.2026-2.pdf;https://mhatero.com/wp-content/uploads/2026/01/Preference-Level-1-Self-Performers-01.09.2026.pdf;https://mhatero.com/wp-content/uploads/2026/01/Preference-Level-1-Self-Performers-01.17.2026.pdf;https://mhatero.com/wp-content/uploads/2026/01/Preference-Level-1-Self-Performers-01.21.2026.pdf;https://mhatero.com/wp-content/uploads/2026/01/Preference-Level-1-Self-Performers-01.28.2026.pdf;https://mhatero.com/wp-content/uploads/2026/01/Preference-Level-2-PPAs-01.05.2026.pdf;https://mhatero.com/wp-content/uploads/2026/01/Preference-Level-2-PPAs-01.15.2026.pdf;https://mhatero.com/wp-,arcgis_feature_service;embedded_app_state;embedded_google_sheet;rss_feed,N,cedar_gaming_facilities_and_web_map,2026-09-02
CE-0018A-83,Port Gamble,2,CCP-545300;VP-0220,WA,pgst.nsn.us,gaming,gaming_authority,https://pgst.nsn.us/tribal-gaming-authority/,HARVESTED,200,NAME_TOKEN_ABSENT,robots.txt parsed,Y,cc_restriction;project;wp_font_face;wp_font_family,99,6,100,10,Y,BreadcrumbList;ImageObject;Organization;WebPage;WebSite,,,,1,20,https://pgst.nsn.us/wp-admin/admin-ajax.php,2,1,0,,0,3,https://pgst.nsn.us/bid-results/;https://pgst.nsn.us/wp-content/uploads/2026/04/PGST-Cemetery-bid-advert-April162026.pdf;https://pgst.nsn.us/wp-content/uploads/2026/04/RFP-Acupuncture.pdf;https://pgst.nsn.us/wp-content/uploads/2026/04/RFP-Chiro.pdf;https://pgst.nsn.us/wp-content/uploads/2026/04/RFP_Cemetery_041426.pdf;https://pgst.nsn.us/wp-content/uploads/2026/07/Insurance-Broker-RFP-July-2026-Final-Draft.pdf,arcgis_feature_service;embedded_app_state;embedded_google_sheet,N,cedar_gaming_facilities_and_web_map,2026-09-02
CE-0012H-MJ,Blue Lake,2,CCP-548800;CCP-1004900,CA,www.bluelakecasino.com,gaming,casino,https://www.bluelakecasino.com/,HARVESTED,200,NAME_TOKEN_ABSENT,robots.txt parsed,Y,event;fuel-price;home-slide;location;offer;place;promotion;rank_math_schema;restaurant;venue;wp_font_face;wp_font_family,1,11,73,57,Y,Article;Casino;Person;Place;WebPage;WebSite,,,,2,20,https://www.bluelakecasino.com/wp-admin/admin-ajax.php,6,1,21,offer;promotion;restaurant;venue,6,7,https://www.bluelakecasino.com/vendors/,arcgis_feature_service;embedded_app_state;embedded_google_sheet,N,cedar_gaming_facilities_and_web_map,2026-09-02
