membership_id,nigc_category,document_slug,document_title,document_url,index_post_date,listing_page,listing_page_number,cedar_holds_this_family,cedar_local_corpus,source_authority,source_host,record_scope,record_scope_basis,inclusion_basis,derivation_basis,fetched_date,retrieved_by,built_by,built_date
NIGCDS-F6C603B04ABF,gross-gaming-revenue-reports,ggr25_071526,NIGC FY25 GGR,https://www.nigc.gov/download/ggr25_071526/,2026-07-17,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,1,Y,data/raw/external/nigc/ggr_reports/ (code/84),National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"an index-membership record for a document published by the federal regulator of Indian gaming. Most categories name no party, so ADR-010 scope is `indian_country`.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per (NIGC document category, document) MEMBERSHIP -- NOT one row per document. A document that appears in three categories has three rows and each membership is a separate published fact. 7,930 memberships over 4,071 distinct documents in 73 categories. **Never sum this table against `nigc_ordinances.csv` or `nigc_declination_letters.csv`**: those are instrument tables at one-row-per-instrument and this is the index that measures them.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCDS-BCB9325C45B1,gross-gaming-revenue-reports,gross-gaming-revenues-by-region-2011-and-2012table,Gross Gaming Revenues By Region 2011 and 2012	Table,https://www.nigc.gov/download/gross-gaming-revenues-by-region-2011-and-2012table/,2025-02-06,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,1,Y,data/raw/external/nigc/ggr_reports/ (code/84),National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"an index-membership record for a document published by the federal regulator of Indian gaming. Most categories name no party, so ADR-010 scope is `indian_country`.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per (NIGC document category, document) MEMBERSHIP -- NOT one row per document. A document that appears in three categories has three rows and each membership is a separate published fact. 7,930 memberships over 4,071 distinct documents in 73 categories. **Never sum this table against `nigc_ordinances.csv` or `nigc_declination_letters.csv`**: those are instrument tables at one-row-per-instrument and this is the index that measures them.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCDS-05AACF47D27F,gross-gaming-revenue-reports,gross-gaming-revenues-by-region-2015-and-2016graph,Gross Gaming Revenues By Region 2015 and 2016	Graph,https://www.nigc.gov/download/gross-gaming-revenues-by-region-2015-and-2016graph/,2025-02-06,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,1,Y,data/raw/external/nigc/ggr_reports/ (code/84),National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"an index-membership record for a document published by the federal regulator of Indian gaming. Most categories name no party, so ADR-010 scope is `indian_country`.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per (NIGC document category, document) MEMBERSHIP -- NOT one row per document. A document that appears in three categories has three rows and each membership is a separate published fact. 7,930 memberships over 4,071 distinct documents in 73 categories. **Never sum this table against `nigc_ordinances.csv` or `nigc_declination_letters.csv`**: those are instrument tables at one-row-per-instrument and this is the index that measures them.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCDS-2B8C83C4AB4F,gross-gaming-revenue-reports,gross-gaming-revenues-by-region-2019-and-2020graph,Gross Gaming Revenues By Region 2019 and 2020	Graph,https://www.nigc.gov/download/gross-gaming-revenues-by-region-2019-and-2020graph/,2025-02-06,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,1,Y,data/raw/external/nigc/ggr_reports/ (code/84),National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"an index-membership record for a document published by the federal regulator of Indian gaming. Most categories name no party, so ADR-010 scope is `indian_country`.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per (NIGC document category, document) MEMBERSHIP -- NOT one row per document. A document that appears in three categories has three rows and each membership is a separate published fact. 7,930 memberships over 4,071 distinct documents in 73 categories. **Never sum this table against `nigc_ordinances.csv` or `nigc_declination_letters.csv`**: those are instrument tables at one-row-per-instrument and this is the index that measures them.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCDS-30CB063B3A88,gross-gaming-revenue-reports,gross-gaming-revenues-by-region-2002-and-2003,Gross Gaming Revenues By Region 2002 and 2003,https://www.nigc.gov/download/gross-gaming-revenues-by-region-2002-and-2003/,2025-02-06,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,1,Y,data/raw/external/nigc/ggr_reports/ (code/84),National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"an index-membership record for a document published by the federal regulator of Indian gaming. Most categories name no party, so ADR-010 scope is `indian_country`.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per (NIGC document category, document) MEMBERSHIP -- NOT one row per document. A document that appears in three categories has three rows and each membership is a separate published fact. 7,930 memberships over 4,071 distinct documents in 73 categories. **Never sum this table against `nigc_ordinances.csv` or `nigc_declination_letters.csv`**: those are instrument tables at one-row-per-instrument and this is the index that measures them.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCDS-351FE36F6664,gross-gaming-revenue-reports,gross-gaming-revenues-by-region-2006-and-2007,Gross Gaming Revenues By Region 2006 and 2007,https://www.nigc.gov/download/gross-gaming-revenues-by-region-2006-and-2007/,2025-02-06,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,1,Y,data/raw/external/nigc/ggr_reports/ (code/84),National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"an index-membership record for a document published by the federal regulator of Indian gaming. Most categories name no party, so ADR-010 scope is `indian_country`.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per (NIGC document category, document) MEMBERSHIP -- NOT one row per document. A document that appears in three categories has three rows and each membership is a separate published fact. 7,930 memberships over 4,071 distinct documents in 73 categories. **Never sum this table against `nigc_ordinances.csv` or `nigc_declination_letters.csv`**: those are instrument tables at one-row-per-instrument and this is the index that measures them.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCDS-5B165932B20F,gross-gaming-revenue-reports,gross-gaming-revenues-by-region-2010-and-2011,Gross Gaming Revenues By Region 2010 and 2011,https://www.nigc.gov/download/gross-gaming-revenues-by-region-2010-and-2011/,2025-02-06,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/page/2/,2,Y,data/raw/external/nigc/ggr_reports/ (code/84),National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"an index-membership record for a document published by the federal regulator of Indian gaming. Most categories name no party, so ADR-010 scope is `indian_country`.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per (NIGC document category, document) MEMBERSHIP -- NOT one row per document. A document that appears in three categories has three rows and each membership is a separate published fact. 7,930 memberships over 4,071 distinct documents in 73 categories. **Never sum this table against `nigc_ordinances.csv` or `nigc_declination_letters.csv`**: those are instrument tables at one-row-per-instrument and this is the index that measures them.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCDS-84FF407E2B2D,gross-gaming-revenue-reports,gross-gaming-revenues-by-region-2014-and-2015,Gross Gaming Revenues By Region 2014 and 2015,https://www.nigc.gov/download/gross-gaming-revenues-by-region-2014-and-2015/,2025-02-06,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/page/2/,2,Y,data/raw/external/nigc/ggr_reports/ (code/84),National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"an index-membership record for a document published by the federal regulator of Indian gaming. Most categories name no party, so ADR-010 scope is `indian_country`.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per (NIGC document category, document) MEMBERSHIP -- NOT one row per document. A document that appears in three categories has three rows and each membership is a separate published fact. 7,930 memberships over 4,071 distinct documents in 73 categories. **Never sum this table against `nigc_ordinances.csv` or `nigc_declination_letters.csv`**: those are instrument tables at one-row-per-instrument and this is the index that measures them.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCDS-E5300FF3179F,gross-gaming-revenue-reports,gross-gaming-revenues-by-region-2018-and-2019,Gross Gaming Revenues By Region 2018 and 2019,https://www.nigc.gov/download/gross-gaming-revenues-by-region-2018-and-2019/,2025-02-06,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/page/2/,2,Y,data/raw/external/nigc/ggr_reports/ (code/84),National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"an index-membership record for a document published by the federal regulator of Indian gaming. Most categories name no party, so ADR-010 scope is `indian_country`.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per (NIGC document category, document) MEMBERSHIP -- NOT one row per document. A document that appears in three categories has three rows and each membership is a separate published fact. 7,930 memberships over 4,071 distinct documents in 73 categories. **Never sum this table against `nigc_ordinances.csv` or `nigc_declination_letters.csv`**: those are instrument tables at one-row-per-instrument and this is the index that measures them.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCDS-47C33EF8E12E,gross-gaming-revenue-reports,gross-gaming-revenues-2008-2012-table,Gross Gaming Revenues 2008-2012 Table,https://www.nigc.gov/download/gross-gaming-revenues-2008-2012-table/,2025-02-05,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/page/2/,2,Y,data/raw/external/nigc/ggr_reports/ (code/84),National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"an index-membership record for a document published by the federal regulator of Indian gaming. Most categories name no party, so ADR-010 scope is `indian_country`.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per (NIGC document category, document) MEMBERSHIP -- NOT one row per document. A document that appears in three categories has three rows and each membership is a separate published fact. 7,930 memberships over 4,071 distinct documents in 73 categories. **Never sum this table against `nigc_ordinances.csv` or `nigc_declination_letters.csv`**: those are instrument tables at one-row-per-instrument and this is the index that measures them.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
