opinion_id,source_index_row,tribe_entity_id,tribe_canonical_name,cedar_uid,tribe_name_as_published,tribe_match_method,tribe_key_verified_by,tribe_key_verdict,record_scope_basis,additional_entity_ids,inclusion_basis,parcel,legal_theory,theory_accepted,theory_accepted_meaning,opinion_date,opinion_date_basis,document_url,source_index_url,source_authority,source_host,derivation_basis,fetched_date,retrieved_by,built_date
NIGCIL-1558624F598B,2,CE-0018B-EW,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",CE-0018B-EW,Pit River Tribe,resolver:core,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:core), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","XL Ranch, Modoc County, CA",Jurisdiction,Yes,"Yes = the NIGC Office of General Counsel ACCEPTED the stated legal theory for the parcel; No = it did not. This is the outcome of the opinion, not the status of any gaming operation, and an accepted theory is not by itself a licence.",2026-05-18,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=14297&ind=14298,https://www.nigc.gov/office-of-general-counsel/legal-opinions/indian-lands-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published Indian lands opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 10) cell for cell. Tribe, parcel, legal theory, outcome and date are the source's own columns; nothing is derived.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCIL-6F1870862A07,6,CE-0018E-07,Ponca Tribe of Nebraska,CE-0018E-07,Ponca Tribe of Nebraska,resolver:core,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:core), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","Carter Lake, Pottawattamie County, Iowa",Restored Lands,Yes,"Yes = the NIGC Office of General Counsel ACCEPTED the stated legal theory for the parcel; No = it did not. This is the outcome of the opinion, not the status of any gaming operation, and an accepted theory is not by itself a licence.",2019-04-30,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=2680&ind=2681,https://www.nigc.gov/office-of-general-counsel/legal-opinions/indian-lands-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published Indian lands opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 10) cell for cell. Tribe, parcel, legal theory, outcome and date are the source's own columns; nothing is derived.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCIL-F3E6E0FAF0D4,10,CE-0015T-S3,Kialegee Tribal Town,CE-0015T-S3,Kialegee Tribal Town,resolver:exact,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:exact), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","Broken Arrow, Oklahoma",Jurisdiction,No,"Yes = the NIGC Office of General Counsel ACCEPTED the stated legal theory for the parcel; No = it did not. This is the outcome of the opinion, not the status of any gaming operation, and an accepted theory is not by itself a licence.",2017-06-21,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=2671&ind=2672,https://www.nigc.gov/office-of-general-counsel/legal-opinions/indian-lands-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published Indian lands opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 10) cell for cell. Tribe, parcel, legal theory, outcome and date are the source's own columns; nothing is derived.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCIL-43B2A0F25E8D,14,CE-0016N-0P,"Mechoopda Indian Tribe of Chico Rancheria, California",CE-0016N-0P,Mechoopda Indian Tribe of the Chico Rancheria,resolver:containment,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:containment), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","Chico Parcels, Butte County, CA",Restored Lands,Yes,"Yes = the NIGC Office of General Counsel ACCEPTED the stated legal theory for the parcel; No = it did not. This is the outcome of the opinion, not the status of any gaming operation, and an accepted theory is not by itself a licence.",2014-01-24,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=2663&ind=2664,https://www.nigc.gov/office-of-general-counsel/legal-opinions/indian-lands-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published Indian lands opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 10) cell for cell. Tribe, parcel, legal theory, outcome and date are the source's own columns; nothing is derived.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCIL-7B0B29C60A7B,18,CE-0015T-S3,Kialegee Tribal Town,CE-0015T-S3,Kialegee Tribal Town,resolver:exact,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:exact), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.",Neal Freeman parcel,Jurisdiction,No,"Yes = the NIGC Office of General Counsel ACCEPTED the stated legal theory for the parcel; No = it did not. This is the outcome of the opinion, not the status of any gaming operation, and an accepted theory is not by itself a licence.",2013-07-18,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=2655&ind=2656,https://www.nigc.gov/office-of-general-counsel/legal-opinions/indian-lands-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published Indian lands opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 10) cell for cell. Tribe, parcel, legal theory, outcome and date are the source's own columns; nothing is derived.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCIL-CB3B4B72CD8C,22,CE-0015M-ND,Karuk Tribe,CE-0015M-ND,Karuk Tribe of California,resolver:containment,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:containment), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","Yreka Parcel, Siskiyou County, CA",Restored lands,Yes,"Yes = the NIGC Office of General Counsel ACCEPTED the stated legal theory for the parcel; No = it did not. This is the outcome of the opinion, not the status of any gaming operation, and an accepted theory is not by itself a licence.",2012-04-09,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=2647&ind=2648,https://www.nigc.gov/office-of-general-counsel/legal-opinions/indian-lands-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published Indian lands opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 10) cell for cell. Tribe, parcel, legal theory, outcome and date are the source's own columns; nothing is derived.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCIL-0A6DA89E228F,26,CE-0012N-CP,"Bay Mills Indian Community, Michigan",CE-0012N-CP,Bay Mills Indian Community,resolver:core,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:core), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","Vanderbilt Site, Otsego, MI",Indian Lands,No,"Yes = the NIGC Office of General Counsel ACCEPTED the stated legal theory for the parcel; No = it did not. This is the outcome of the opinion, not the status of any gaming operation, and an accepted theory is not by itself a licence.",2010-12-21,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=2639&ind=2640,https://www.nigc.gov/office-of-general-counsel/legal-opinions/indian-lands-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published Indian lands opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 10) cell for cell. Tribe, parcel, legal theory, outcome and date are the source's own columns; nothing is derived.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCIL-998E8CCF0E7E,30,CE-001AC-YN,Seneca Nation of Indians,CE-001AC-YN,Seneca Nation of Indians,resolver:core,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:core), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","Buffalo parcels, Erie County, NY",After Aquired Land,Yes,"Yes = the NIGC Office of General Counsel ACCEPTED the stated legal theory for the parcel; No = it did not. This is the outcome of the opinion, not the status of any gaming operation, and an accepted theory is not by itself a licence.",2009-01-20,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=2631&ind=2632,https://www.nigc.gov/office-of-general-counsel/legal-opinions/indian-lands-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published Indian lands opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 10) cell for cell. Tribe, parcel, legal theory, outcome and date are the source's own columns; nothing is derived.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCIL-042D62F3913F,34,CE-0015Y-H7,Koi Nation of Northern California,CE-0015Y-H7,Lower Lake Rancheria Koi Nation,resolver:containment,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:containment), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","Purvis Tract, Lake County, CA",Restored Lands,No,"Yes = the NIGC Office of General Counsel ACCEPTED the stated legal theory for the parcel; No = it did not. This is the outcome of the opinion, not the status of any gaming operation, and an accepted theory is not by itself a licence.",2008-10-07,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=2622&ind=2623,https://www.nigc.gov/office-of-general-counsel/legal-opinions/indian-lands-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published Indian lands opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 10) cell for cell. Tribe, parcel, legal theory, outcome and date are the source's own columns; nothing is derived.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
NIGCIL-CF60F9CCD555,38,TRBF-FSCWSA-00,Fort Sill—Chiricahua—Warm Springs—Apache Tribe (previously listed as Fort Sill Apache Tribe of Oklahoma),CE-0014G-RS,Fort Sill Apache Tribe of Oklahoma,resolver:alias,code/585_factcheck_nigc_keys.py,UNCHANGED,"resolved to one Native entity by the project resolver (resolver:alias), re-derived and checked against data/spine/cedar_identity_register.csv",,"NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","Akela Flats, Luna County, NM",Restored Lands,No,"Yes = the NIGC Office of General Counsel ACCEPTED the stated legal theory for the parcel; No = it did not. This is the outcome of the opinion, not the status of any gaming operation, and an accepted theory is not by itself a licence.",2008-05-19,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=2614&ind=2613,https://www.nigc.gov/office-of-general-counsel/legal-opinions/indian-lands-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,"one row per published Indian lands opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 10) cell for cell. Tribe, parcel, legal theory, outcome and date are the source's own columns; nothing is derived.",2026-09-01,code/344_pull_nigc_document_surface.py,2026-09-01
