facility_id,cedar_place_id_absent_reason,cedar_place_id,administrative_region_id,region_system_code,region_name,region_system_version,effective_start_year,effective_end_year,assignment_method,assignment_geography_basis,igra_coverage_status,nigc_operation_match_status,is_primary,confidence,facility_state,facility_city,tribe_id,nigc_marker_id,source_url,fetched_date,built_date,cedar_uid
CCP-692800,,CEDAR-PLACE-000004-R4,CEDAR-ADMREG-900006,NIGC_REGION,Eastern Region,NIGC_R1_FY2001_FY2002,2001,2002,nigc_published_state_to_region_legend,property_location_not_tribal_headquarters,VERIFIED_NIGC_OPERATION,MATCHED_NIGC_GAMING_LOCATION,0,high,AL,Atmore,TRBF-POARCH-00,404,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,2026-08-06,2026-08-06,CE-0018H-JJ
CCP-570000,,CEDAR-PLACE-000005-YX,CEDAR-ADMREG-900012,NIGC_REGION,Region VI,NIGC_R2_FY2003_FY2007,2003,2007,nigc_published_state_to_region_legend,property_location_not_tribal_headquarters,VERIFIED_NIGC_OPERATION,MATCHED_NIGC_GAMING_LOCATION,0,high,AL,Montgomery,TRBF-POARCH-00,405,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,2026-08-06,2026-08-06,CE-0018H-JJ
CCP-544800,,CEDAR-PLACE-000006-4P,CEDAR-ADMREG-900019,NIGC_REGION,Washington DC,NIGC_R3_FY2008_FY2016,2008,2016,nigc_published_state_to_region_legend,property_location_not_tribal_headquarters,VERIFIED_NIGC_OPERATION,MATCHED_NIGC_GAMING_LOCATION,0,high,AL,Wetumpka,TRBF-POARCH-00,403,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,2026-08-06,2026-08-06,CE-0018H-JJ
CCP-247600,,CEDAR-PLACE-000011-2K,CEDAR-ADMREG-900003,NIGC_REGION,Region III,NIGC_R1_FY2001_FY2002,2001,2002,nigc_published_state_to_region_legend,property_location_not_tribal_headquarters,VERIFIED_NIGC_OPERATION,MATCHED_NIGC_GAMING_LOCATION,0,high,AZ,Scottsdale,TRBF-SRPMCP-00,375,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,2026-08-06,2026-08-06,CE-001AT-JK
CCP-544900,,CEDAR-PLACE-000668-CW,CEDAR-ADMREG-900009,NIGC_REGION,Region III,NIGC_R2_FY2003_FY2007,2003,2007,nigc_published_state_to_region_legend,property_location_not_tribal_headquarters,VERIFIED_NIGC_OPERATION,MATCHED_NIGC_GAMING_LOCATION,0,high,AZ,Tucson,TRBF-PSQYQI-00,411,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,2026-08-06,2026-08-06,CE-0018S-2T
CCP-40600,,CEDAR-PLACE-000012-8C,CEDAR-ADMREG-900015,NIGC_REGION,Phoenix,NIGC_R3_FY2008_FY2016,2008,2016,nigc_published_state_to_region_legend,property_location_not_tribal_headquarters,VERIFIED_NIGC_OPERATION,MATCHED_NIGC_GAMING_LOCATION,0,high,AZ,Tucson,TRBF-PSQYQI-00,410,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,2026-08-06,2026-08-06,CE-0018S-2T
CCP-44900,,CEDAR-PLACE-000024-GR,CEDAR-ADMREG-900003,NIGC_REGION,Region III,NIGC_R1_FY2001_FY2002,2001,2002,nigc_published_state_to_region_legend,property_location_not_tribal_headquarters,VERIFIED_NIGC_OPERATION,MATCHED_NIGC_GAMING_LOCATION,0,high,AZ,Fort McDowell,TRBF-FMCDWL-00,471,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,2026-08-06,2026-08-06,CE-0014F-J0
CCP-86700,,CEDAR-PLACE-000028-8W,CEDAR-ADMREG-900009,NIGC_REGION,Region III,NIGC_R2_FY2003_FY2007,2003,2007,nigc_published_state_to_region_legend,property_location_not_tribal_headquarters,VERIFIED_NIGC_OPERATION,MATCHED_NIGC_GAMING_LOCATION,0,high,AZ,Pinetop,TRBF-WMTNAZ-00,328,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,2026-08-06,2026-08-06,CE-001C7-AR
CCP-40500,,CEDAR-PLACE-000030-ME,CEDAR-ADMREG-900015,NIGC_REGION,Phoenix,NIGC_R3_FY2008_FY2016,2008,2016,nigc_published_state_to_region_legend,property_location_not_tribal_headquarters,VERIFIED_NIGC_OPERATION,MATCHED_NIGC_GAMING_LOCATION,0,high,AZ,Chandler,TRBF-GILARV-00,467,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,2026-08-06,2026-08-06,CE-0014N-PP
CCP-118500,,CEDAR-PLACE-000033-B9,CEDAR-ADMREG-900003,NIGC_REGION,Region III,NIGC_R1_FY2001_FY2002,2001,2002,nigc_published_state_to_region_legend,property_location_not_tribal_headquarters,VERIFIED_NIGC_OPERATION,MATCHED_NIGC_GAMING_LOCATION,0,high,AZ,Yuma,TRBF-QUECHN-00,382,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,2026-08-06,2026-08-06,CE-00191-QJ
