administrative_region_id,region_system_code,region_name,region_system_version,fiscal_year,ggr_usd,ggr_usd_real2025,operation_count,ggr_change_pct,ggr_change_pct_basis,region_mean_ggr_per_operation_usd,region_mean_is_descriptive_only,revenue_measure,geographic_level,allocation_level,includes_nongaming_revenue,measure_note,figure_precision,figure_vintage,deflator_factor_2025,inflation_base_year,region_states_in_force,source_url,source_document,source_document_title,fetched_date,built_date
CEDAR-ADMREG-900006,NIGC_REGION,Eastern Region,NIGC_R1_FY2001_FY2002,2002,3819897000,6524353516.82,22,6.37,computed_from_cedar_series_exact,173631681.82,1,nigc_gross_gaming_revenue,nigc_region,aggregate_only,false,"NIGC gross gaming revenue = gaming win only. EXCLUDES hotel, restaurant, entertainment and retail revenue, and is measured BEFORE wages, operating expenses, debt service, tribal-state compact payments and reinvestment. It is not resort revenue and it is not tribal government income. Published by NIGC at the region level only; NIGC publishes no property-level revenue and Cedar Press does not estimate one.",exact_thousands,own_year_report,1.707992,2025,AL|CT|FL|LA|MS|NC|NY,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,gamingrevenuesbyregion2002to2001.pdf,"Tribal Gaming Revenues by Region, FY 2002 and 2001",2026-08-06,2026-08-06
CEDAR-ADMREG-900004,NIGC_REGION,Region IV,NIGC_R1_FY2001_FY2002,2002,3523690000,6018434330.48,75,8.28,computed_from_cedar_series_exact,46982533.33,1,nigc_gross_gaming_revenue,nigc_region,aggregate_only,false,"NIGC gross gaming revenue = gaming win only. EXCLUDES hotel, restaurant, entertainment and retail revenue, and is measured BEFORE wages, operating expenses, debt service, tribal-state compact payments and reinvestment. It is not resort revenue and it is not tribal government income. Published by NIGC at the region level only; NIGC publishes no property-level revenue and Cedar Press does not estimate one.",exact_thousands,own_year_report,1.707992,2025,IA|MI|MN|NE|ND|SD|WI|WY,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,gamingrevenuesbyregion2002to2001.pdf,"Tribal Gaming Revenues by Region, FY 2002 and 2001",2026-08-06,2026-08-06
CEDAR-ADMREG-900009,NIGC_REGION,Region III,NIGC_R2_FY2003_FY2007,2003,1898522000,3179874366.76,43,6.49,computed_from_cedar_series_exact,44151674.42,1,nigc_gross_gaming_revenue,nigc_region,aggregate_only,false,"NIGC gross gaming revenue = gaming win only. EXCLUDES hotel, restaurant, entertainment and retail revenue, and is measured BEFORE wages, operating expenses, debt service, tribal-state compact payments and reinvestment. It is not resort revenue and it is not tribal government income. Published by NIGC at the region level only; NIGC publishes no property-level revenue and Cedar Press does not estimate one.",exact_thousands,own_year_report,1.674921,2025,AZ|CO|NM|NV-S,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,gamingrevenuesbyregion2003to2002.pdf,"Tribal Gaming Revenues by Region, FY 2003 and 2002",2026-08-06,2026-08-06
CEDAR-ADMREG-900007,NIGC_REGION,Region I,NIGC_R2_FY2003_FY2007,2004,1601346000,2611885001.38,44,11.24,computed_from_cedar_series_exact,36394227.27,1,nigc_gross_gaming_revenue,nigc_region,aggregate_only,false,"NIGC gross gaming revenue = gaming win only. EXCLUDES hotel, restaurant, entertainment and retail revenue, and is measured BEFORE wages, operating expenses, debt service, tribal-state compact payments and reinvestment. It is not resort revenue and it is not tribal government income. Published by NIGC at the region level only; NIGC publishes no property-level revenue and Cedar Press does not estimate one.",exact_thousands,own_year_report,1.631056,2025,AK|ID|OR|WA,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,gamingrevenuesbyregion2004to2003.pdf,"Tribal Gaming Revenues by Region, FY 2004 and 2003",2026-08-06,2026-08-06
CEDAR-ADMREG-900011,NIGC_REGION,Region V,NIGC_R2_FY2003_FY2007,2004,1248089000,2035703051.98,84,51.7,computed_from_cedar_series_exact,14858202.38,1,nigc_gross_gaming_revenue,nigc_region,aggregate_only,false,"NIGC gross gaming revenue = gaming win only. EXCLUDES hotel, restaurant, entertainment and retail revenue, and is measured BEFORE wages, operating expenses, debt service, tribal-state compact payments and reinvestment. It is not resort revenue and it is not tribal government income. Published by NIGC at the region level only; NIGC publishes no property-level revenue and Cedar Press does not estimate one.",exact_thousands,own_year_report,1.631056,2025,KS|OK|TX,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,gamingrevenuesbyregion2004to2003.pdf,"Tribal Gaming Revenues by Region, FY 2004 and 2003",2026-08-06,2026-08-06
CEDAR-ADMREG-900009,NIGC_REGION,Region III,NIGC_R2_FY2003_FY2007,2005,2529128000,3999760291.18,48,18.56,computed_from_cedar_series_exact,52690166.67,1,nigc_gross_gaming_revenue,nigc_region,aggregate_only,false,"NIGC gross gaming revenue = gaming win only. EXCLUDES hotel, restaurant, entertainment and retail revenue, and is measured BEFORE wages, operating expenses, debt service, tribal-state compact payments and reinvestment. It is not resort revenue and it is not tribal government income. Published by NIGC at the region level only; NIGC publishes no property-level revenue and Cedar Press does not estimate one.",exact_thousands,own_year_report,1.581478,2025,AZ|CO|NM|NV-S,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,2005vs2004gmgrevbyregn.pdf,"Tribal Gaming Revenues by Region, FY 2005 and 2004",2026-08-06,2026-08-06
CEDAR-ADMREG-900007,NIGC_REGION,Region I,NIGC_R2_FY2003_FY2007,2006,2080337000,3191586454.62,45,13.73,computed_from_cedar_series_exact,46229711.11,1,nigc_gross_gaming_revenue,nigc_region,aggregate_only,false,"NIGC gross gaming revenue = gaming win only. EXCLUDES hotel, restaurant, entertainment and retail revenue, and is measured BEFORE wages, operating expenses, debt service, tribal-state compact payments and reinvestment. It is not resort revenue and it is not tribal government income. Published by NIGC at the region level only; NIGC publishes no property-level revenue and Cedar Press does not estimate one.",exact_thousands,own_year_report,1.534168,2025,AK|ID|OR|WA,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,gamingrevenuebyregion2006.pdf,"Tribal Gaming Growth, 2006 and 2005",2026-08-06,2026-08-06
CEDAR-ADMREG-900011,NIGC_REGION,Region V,NIGC_R2_FY2003_FY2007,2006,2123169000,3257297938.39,97,22.73,computed_from_cedar_series_exact,21888340.21,1,nigc_gross_gaming_revenue,nigc_region,aggregate_only,false,"NIGC gross gaming revenue = gaming win only. EXCLUDES hotel, restaurant, entertainment and retail revenue, and is measured BEFORE wages, operating expenses, debt service, tribal-state compact payments and reinvestment. It is not resort revenue and it is not tribal government income. Published by NIGC at the region level only; NIGC publishes no property-level revenue and Cedar Press does not estimate one.",exact_thousands,own_year_report,1.534168,2025,KS|OK|TX,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,gamingrevenuebyregion2006.pdf,"Tribal Gaming Growth, 2006 and 2005",2026-08-06,2026-08-06
CEDAR-ADMREG-900009,NIGC_REGION,Region III,NIGC_R2_FY2003_FY2007,2007,2840585000,4242964770.99,44,-2.98,computed_from_cedar_series_exact,64558750.0,1,nigc_gross_gaming_revenue,nigc_region,aggregate_only,false,"NIGC gross gaming revenue = gaming win only. EXCLUDES hotel, restaurant, entertainment and retail revenue, and is measured BEFORE wages, operating expenses, debt service, tribal-state compact payments and reinvestment. It is not resort revenue and it is not tribal government income. Published by NIGC at the region level only; NIGC publishes no property-level revenue and Cedar Press does not estimate one.",exact_thousands,own_year_report,1.493694,2025,AZ|CO|NM|NV-S,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,gamingrevenuebyregion2007.pdf,"Tribal Gaming Revenues by Region, FY 2007 and 2006",2026-08-06,2026-08-06
CEDAR-ADMREG-900018,NIGC_REGION,Oklahoma City,NIGC_R3_FY2008_FY2016,2008,1347242000,1974321177.87,48,17.56,computed_from_cedar_series_exact,28067541.67,1,nigc_gross_gaming_revenue,nigc_region,aggregate_only,false,"NIGC gross gaming revenue = gaming win only. EXCLUDES hotel, restaurant, entertainment and retail revenue, and is measured BEFORE wages, operating expenses, debt service, tribal-state compact payments and reinvestment. It is not resort revenue and it is not tribal government income. Published by NIGC at the region level only; NIGC publishes no property-level revenue and Cedar Press does not estimate one.",exact_thousands,own_year_report,1.465454,2025,OK-W|TX,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,gamingrevenuesbyregion2008to2007.pdf,"Tribal Gaming Revenues by Region, FY 2008 and 2007",2026-08-06,2026-08-06
