band_id,fiscal_year,band_ordinal,band_label,band_lower_usd,band_upper_usd,pct_of_operations,pct_of_revenue,pct_precision,national_operation_count,national_ggr_usd,n_operations_implied_low,n_operations_implied_high,band_aggregate_ggr_implied_low_usd,band_aggregate_ggr_implied_high_usd,per_operation_upper_bound_usd,derivation_note,chart_label_basis,source_url,source_document,source_document_title,source_page,source_quote,operation_count_source_quote,confidence,tier,review_status,fetched_date,built_date
NIGCBAND-5c2d8f5b26c49b53,2022,1,<$25M,,25000000,55.0,5.0,1_percent,519,40937742634,283,288,1842198419,2251575845,25000000,"Counts and aggregate dollars are the published share carried through its own rounding interval (+/-0.5 percentage points) against the operation count and the national GGR total NIGC printed for the same year. NIGC printed the shares, not the counts. The band tells you how many operations sit in a range; it never tells you WHICH, and it may not be turned into a figure for any named property.",Data labels extracted from the PDF text layer. Band edge labels are outlined vector art with no text layer and were read off a 220-dpi render of the chart by hand on 2026-08-07; identical in all four years.,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,GGRFY22_071923_Final.pdf,FY 2022 Gross Gaming Revenue Report,8,8% of gaming operations reported more than $250 million of GGR in FY 2022,"ed from the audited financial statements of 519 gaming operations, made up of 244",high,B,pending_review,2026-08-06,2026-08-07
NIGCBAND-8a0bf84c67b3ceaa,2022,3,$50-100M,50000000,100000000,11.0,10.0,1_percent,519,40937742634,55,59,3889085550,4298462977,100000000,"Counts and aggregate dollars are the published share carried through its own rounding interval (+/-0.5 percentage points) against the operation count and the national GGR total NIGC printed for the same year. NIGC printed the shares, not the counts. The band tells you how many operations sit in a range; it never tells you WHICH, and it may not be turned into a figure for any named property.",Data labels extracted from the PDF text layer. Band edge labels are outlined vector art with no text layer and were read off a 220-dpi render of the chart by hand on 2026-08-07; identical in all four years.,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,GGRFY22_071923_Final.pdf,FY 2022 Gross Gaming Revenue Report,8,8% of gaming operations reported more than $250 million of GGR in FY 2022,"ed from the audited financial statements of 519 gaming operations, made up of 244",high,B,pending_review,2026-08-06,2026-08-07
NIGCBAND-892507e9ce63fdee,2022,5,$250M+,250000000,,8.0,51.0,1_percent,519,40937742634,39,44,20673560030,21082937457,,"Counts and aggregate dollars are the published share carried through its own rounding interval (+/-0.5 percentage points) against the operation count and the national GGR total NIGC printed for the same year. NIGC printed the shares, not the counts. The band tells you how many operations sit in a range; it never tells you WHICH, and it may not be turned into a figure for any named property.",Data labels extracted from the PDF text layer. Band edge labels are outlined vector art with no text layer and were read off a 220-dpi render of the chart by hand on 2026-08-07; identical in all four years.,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,GGRFY22_071923_Final.pdf,FY 2022 Gross Gaming Revenue Report,8,8% of gaming operations reported more than $250 million of GGR in FY 2022,"ed from the audited financial statements of 519 gaming operations, made up of 244",high,B,pending_review,2026-08-06,2026-08-07
NIGCBAND-d6fc9112d9bc7531,2023,2,$25-50M,25000000,50000000,14.0,6.0,1_percent,527,41905347538,72,76,2304794115,2723847590,50000000,"Counts and aggregate dollars are the published share carried through its own rounding interval (+/-0.5 percentage points) against the operation count and the national GGR total NIGC printed for the same year. NIGC printed the shares, not the counts. The band tells you how many operations sit in a range; it never tells you WHICH, and it may not be turned into a figure for any named property.",Data labels extracted from the PDF text layer. Band edge labels are outlined vector art with no text layer and were read off a 220-dpi render of the chart by hand on 2026-08-07; identical in all four years.,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,GGR23_Final.pdf,FY 2023 Gross Gaming Revenue Report,5,9% of gaming operations reported more than $250 million of GGR in FY 2023,"ed from the audited financial statements of 527 gaming operations, made up of",high,B,pending_review,2026-08-06,2026-08-07
NIGCBAND-ff87ef03ca538704,2023,4,$100-250M,100000000,250000000,11.0,24.0,1_percent,527,41905347538,56,60,9847756671,10266810147,250000000,"Counts and aggregate dollars are the published share carried through its own rounding interval (+/-0.5 percentage points) against the operation count and the national GGR total NIGC printed for the same year. NIGC printed the shares, not the counts. The band tells you how many operations sit in a range; it never tells you WHICH, and it may not be turned into a figure for any named property.",Data labels extracted from the PDF text layer. Band edge labels are outlined vector art with no text layer and were read off a 220-dpi render of the chart by hand on 2026-08-07; identical in all four years.,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,GGR23_Final.pdf,FY 2023 Gross Gaming Revenue Report,5,9% of gaming operations reported more than $250 million of GGR in FY 2023,"ed from the audited financial statements of 527 gaming operations, made up of",high,B,pending_review,2026-08-06,2026-08-07
NIGCBAND-9ab9cec3d10d63cc,2024,1,<$25M,,25000000,54.3,4.9,0.1_percent,532,43852030848,289,289,2126823496,2170675527,25000000,"Counts and aggregate dollars are the published share carried through its own rounding interval (+/-0.05 percentage points) against the operation count and the national GGR total NIGC printed for the same year. NIGC printed the shares, not the counts. The band tells you how many operations sit in a range; it never tells you WHICH, and it may not be turned into a figure for any named property.",Data labels extracted from the PDF text layer. Band edge labels are outlined vector art with no text layer and were read off a 220-dpi render of the chart by hand on 2026-08-07; identical in all four years.,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,GGR24_080425.pdf,FY 2024 Gross Gaming Revenue Report,8,9% of gaming operations reported more than $250 million of GGR in FY 2024,"ed from the audited financial statements of 532 gaming operations, made up of 243",high,B,pending_review,2026-08-06,2026-08-07
NIGCBAND-a023164664c3fbb7,2024,3,$50-100M,50000000,100000000,11.7,10.1,0.1_percent,532,43852030848,62,62,4407129100,4450981131,100000000,"Counts and aggregate dollars are the published share carried through its own rounding interval (+/-0.05 percentage points) against the operation count and the national GGR total NIGC printed for the same year. NIGC printed the shares, not the counts. The band tells you how many operations sit in a range; it never tells you WHICH, and it may not be turned into a figure for any named property.",Data labels extracted from the PDF text layer. Band edge labels are outlined vector art with no text layer and were read off a 220-dpi render of the chart by hand on 2026-08-07; identical in all four years.,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,GGR24_080425.pdf,FY 2024 Gross Gaming Revenue Report,8,9% of gaming operations reported more than $250 million of GGR in FY 2024,"ed from the audited financial statements of 532 gaming operations, made up of 243",high,B,pending_review,2026-08-06,2026-08-07
NIGCBAND-2aee0e404cef6be9,2024,5,$250M+,250000000,,8.5,54.5,0.1_percent,532,43852030848,45,45,23877430797,23921282828,,"Counts and aggregate dollars are the published share carried through its own rounding interval (+/-0.05 percentage points) against the operation count and the national GGR total NIGC printed for the same year. NIGC printed the shares, not the counts. The band tells you how many operations sit in a range; it never tells you WHICH, and it may not be turned into a figure for any named property.",Data labels extracted from the PDF text layer. Band edge labels are outlined vector art with no text layer and were read off a 220-dpi render of the chart by hand on 2026-08-07; identical in all four years.,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,GGR24_080425.pdf,FY 2024 Gross Gaming Revenue Report,8,9% of gaming operations reported more than $250 million of GGR in FY 2024,"ed from the audited financial statements of 532 gaming operations, made up of 243",high,B,pending_review,2026-08-06,2026-08-07
NIGCBAND-a1f4b8ab8145aded,2025,2,$25-50M,25000000,50000000,13.8,5.6,0.1_percent,545,46162783570,75,75,2562034488,2608197272,50000000,"Counts and aggregate dollars are the published share carried through its own rounding interval (+/-0.05 percentage points) against the operation count and the national GGR total NIGC printed for the same year. NIGC printed the shares, not the counts. The band tells you how many operations sit in a range; it never tells you WHICH, and it may not be turned into a figure for any named property.",Data labels extracted from the PDF text layer. Band edge labels are outlined vector art with no text layer and were read off a 220-dpi render of the chart by hand on 2026-08-07; identical in all four years.,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,GGR25_071526.pdf,FY 2025 Gross Gaming Revenue Report,7,9% of gaming operations reported more than $250 million of GGR in FY 2025,"the audited financial statements of 545 gaming operations, facilities operated by nearly",high,B,pending_review,2026-08-06,2026-08-07
NIGCBAND-a2196a5c65337b28,2025,4,$100-250M,100000000,250000000,12.1,24.4,0.1_percent,545,46162783570,66,66,11240637799,11286800583,250000000,"Counts and aggregate dollars are the published share carried through its own rounding interval (+/-0.05 percentage points) against the operation count and the national GGR total NIGC printed for the same year. NIGC printed the shares, not the counts. The band tells you how many operations sit in a range; it never tells you WHICH, and it may not be turned into a figure for any named property.",Data labels extracted from the PDF text layer. Band edge labels are outlined vector art with no text layer and were read off a 220-dpi render of the chart by hand on 2026-08-07; identical in all four years.,https://www.nigc.gov/downloads/gross-gaming-revenue-reports/,GGR25_071526.pdf,FY 2025 Gross Gaming Revenue Report,7,9% of gaming operations reported more than $250 million of GGR in FY 2025,"the audited financial statements of 545 gaming operations, facilities operated by nearly",high,B,pending_review,2026-08-06,2026-08-07
