allocation_id,tribe_id,tribe_name,base_allocation,additional_allocated,total_authorized,effective_start,effective_end,measurement_type,compact_or_appendix_cite,source_url,source_quote,fetched_date,tier,confidence,built_date,cedar_uid
WAALLOC-871a61af7c278b73,TRBF-CHEHLS-00,Chehalis,425,250,675,1999-01-28,2015-06-29,AUTHORIZED_MAXIMUM,Appendix X s12.1 (initial) and s12.2 (compliance step-up); unit=player_terminals; CMP-WA-confederated-tribes-of-the-chehali-19930304-V03; Secretarial approval / Federal Register publication 1999-01-28,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1999.01.28_confederated_tribes_of_the_chehalis_reservation_tribal_state_gaming_compact_0.pdf,"herein, provided such provisions adequately preserve and protect the integrity and security of any game or gaming system or component, or accounting or auditing system or component, affected thereby. SECTION 12. TRIBAL LOTTERY SYSTEM TERMINAL ALLOCATIONS 12.1 Initial Allocation. During the first year of operations under this Appendix., the Tribe shall be entitled to an allocation and operation of 425 Player Terminals (""Allocation""). 12.2 Compliance Requirement. Following one year of operation, the SGA shall conduct a review of the Tribal Lottery System operation to determine whether the requir || 2.5 have been satisfied. If the operation is in compliance, the Tribe's Allocation shall be increased to 675 Player Terminals. The following requirements shall be met: 12.2. l There have been no violations of the provisions of the Compact that have resulted in sanctions imposed by the Federal District Court; 12.2.2 There ha",2026-08-07,A,instrument_stated_conditional,2026-08-07,CE-00133-54
WAALLOC-54346eaca90f5d4a,TRBF-KALSPL-00,Kalispel,425,250,675,1999-06-03,2007-05-30,AUTHORIZED_MAXIMUM,Appendix X s12.1 (initial) and s12.2 (compliance step-up); unit=player_terminals; CMP-WA-kalispel-indian-community-of-the-k-19981214-V02; Secretarial approval / Federal Register publication 1999-06-03,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%201999.06.03%20Kalispel%20Indian%20Community%20Tribal%20State%20Gaming%20Compact.pdf,"herein, provided such provisions adequately preserve and protect the integrity and security of any game or gaming system or component, or accounting or auditing system or component, affected thereby. SECTION 12. TRIBAL LOTTERY SYSTEM TERMINAL ALLOCATIONS 12.1 Initial Allocation. During the first year of operations under this Appendix, the Tribe shall be entitled to an allocation and operation of 425 Player Terminals (""Allocation""). 12.2 Compliance Requirement. Following one year of operation, the SGA shall conduct a review of the Tribal Lottery System operation to determine whether the require || 2.5 have been satisfied. If the operation is in compliance, the Tribe's Allocation shall be increased to 675 Player Terminals. The following requirements shall be met: 12.2.1 There have been no violations of the provisions of the Compact that have resulted in sanctions imposed by the Federal District Court; 12.2.2 There hav",2026-08-07,A,instrument_stated_conditional,2026-08-07,CE-0015K-FM
WAALLOC-e8525b3db47276b6,TRBF-LUMMIT-00,Lummi,425,250,675,2001-02-27,2007-05-30,AUTHORIZED_MAXIMUM,Appendix X s12.1 (initial) and s12.2 (compliance step-up); unit=player_terminals; CMP-WA-lummi-tribe-of-the-lummi-reservati-19951218-V02; Secretarial approval / Federal Register publication 2001-02-27,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202001.02.27%20Lummi%20Tribe%20Tribal%20State%20Gaming%20Compact._0.pdf,"herein, provided such provisions adequately preserve and protect the integrity and security of any game or gaming system or component, or accounting or auditing system or component, affected thereby. SECTION 12. TRIBAL LOTTERY SYSTEM TERMINAL ALLOCATIONS 12.1 Initial Allocation. During the first year of operations under this Appendix, the Tribe shall be entitled to an allocation and operation of 425 Player Terminals (""Allocation""). 12.2 Compliance Requirement. Following one year of operation, the SGA shall conduct a review of the Tribal Lottery System operation to determine whether the require || 2.5 have been satisfied. If the operation is in compliance, the Tribe's Allocation shall be increased to 675 Player Terminals. The following requirements shall be met: 12.2.1 There have been no violations of the provisions of the Compact that have resulted in sanctions imposed by the Federal District Court; 12.2.2 There hav",2026-08-07,A,instrument_stated_conditional,2026-08-07,CE-0016F-W0
WAALLOC-fcdab1c29374c4a2,TRBF-MCKLSH-00,Muckleshoot,425,250,675,1999-01-28,2007-05-30,AUTHORIZED_MAXIMUM,Appendix X s12.1 (initial) and s12.2 (compliance step-up); unit=player_terminals; CMP-WA-muckleshoot-indian-tribe-19930506-V03; Secretarial approval / Federal Register publication 1999-01-28,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_1999.01.28_muckleshoot_indian_tribe_tribal_state_gaming_compact.pdf,"herein, provided such provisions adequately preserve and protect the integrity and security of any game or gaming system or component, or accounting or auditing system or component, affected thereby. SECTION 12. TRIBAL LOTTERY SYSTEM TERMINAL ALLOCATIONS 12.I Initial Allocation. During the first year of operations under this Appendix, the Tribe shall be entitled to an allocation and operation of 425 Player Terminals (""Allocation""). 12.2 Compliance Reguirement. Following one year of operation, the SGA shall conduct a review of the Tribal Lottery System operation to determine whether the require || 2.5 have been satisfied. If the operation is in compliance, the Tribe's Allocation shall be increased to 675 Player Terminals. The following requirements shall be met: 12.2. l There have been no violations of the provisions of the Compact that have resulted in sanctions imposed by the Federal District Court; 12.2.2 There ha",2026-08-07,A,instrument_stated_conditional,2026-08-07,CE-0016Q-C8
WAALLOC-1556c256e7a37507,TRBF-NOOKSK-00,Nooksack,975,0,975,2007-05-31,2019-01-01,AUTHORIZED_MAXIMUM,Appendix X2 s12.1; unit=player_terminals; CMP-WA-nooksack-indian-tribe-19920623-V06; Secretarial approval / Federal Register publication 2007-05-31,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2007.05.31_nooksack_indian_tribe_tribal_state_gaming_compact.pdf,"and protect the integrity and security of any game or gaming system or component, or accounting or auditing system or component, affected thereby. SECTION 12. TRIBAL LOTTERY SYSTEM PLAYER TERMINAL ACQUISITION AND OPERATION 12.1 Allocation. The Tribe shall be entitled to an allocation of, and may operate or transfer the ability to operate, up to 975 Player Terminals (“Allocation”). 12.1.1 If the Tribe has not previously operated a gaming facility, the SGA shall conduct a standard compliance review commencing on the one year anniversary of the facility’s opening to determine whether the followin",2026-08-07,A,instrument_stated,2026-08-07,CE-0017M-ZD
WAALLOC-b5216952945d2417,TRBF-PUYLLP-00,Puyallup,975,0,975,2007-05-31,2018-01-16,AUTHORIZED_MAXIMUM,Appendix X2 s12.1; unit=player_terminals; CMP-WA-puyallup-tribe-of-the-puyallup-res-20041014-V03; Secretarial approval / Federal Register publication 2007-05-31,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2007.05.31_puyallup_tribe_tribal_state_gaming_compact_0.pdf,"and protect the integrity and security of any game or gaming system or component, or accounting or auditing system or component, affected thereby. SECTION 12. TRIBAL LOTTERY SYSTEM PLAYER TERMINAL ACQUISITION AND OPERATION 12.1 Allocation. The Tribe shall be entitled to an allocation of, and may operate or transfer the ability to operate, up to 975 Player Terminals (“Allocation”). 12.1.1 If the Tribe has not previously operated a gaming facility, the SGA shall conduct a standard compliance review commencing on the one year anniversary of the facility’s opening to determine whether the followin",2026-08-07,A,instrument_stated,2026-08-07,CE-0018W-M5
WAALLOC-a71adee380aeb205,TRBF-SAMISH-00,Samish,425,250,675,2000-06-21,2007-05-30,AUTHORIZED_MAXIMUM,Appendix X s12.1 (initial) and s12.2 (compliance step-up); unit=player_terminals; CMP-WA-samish-indian-nation-20000621-V01; Secretarial approval / Federal Register publication 2000-06-21,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202000.06.21%20Samish%20Indian%20Nation%20Tribal%20State%20Gaming%20Compact.pdf,"herein, provided such provisions adequately preserve and protect the integrity and security of any game or gaming system or component, or accounting or auditing system or component, affected thereby. SECTION 12. TRIBAL LOTTERY SYSTEM TERMINAL ALLOCATIONS 12.1 Initial Allocation. During the first year of operations under this Appendix, the Tribe shall be entitled to an allocation and operation of 425 Player Terminals (""Allocation""). 12.2 Compliance Requirement. Following one year of operation, the SGA shall - conduct a review of the Tribal Lottery System operation to determine whether the requi || 2.5 have been satisfied. If the operation is in compliance, the Tribe's Allocation shall be increased to 675 Player Terminals. The following requirements shall be met: 12.2.1 There have been no violations of the provisions of the Compact that have resulted in sanctions imposed by the Federal District Court; 12.2.2 There hav",2026-08-07,A,instrument_stated_conditional,2026-08-07,CE-0019G-H9
WAALLOC-a20e8da910e20478,TRBF-SKOKOM-00,Skokomish,425,250,675,1999-05-14,2015-06-03,AUTHORIZED_MAXIMUM,Appendix X s12.1 (initial) and s12.2 (compliance step-up); unit=player_terminals; CMP-WA-skokomish-indian-tribe-19950906-V02; Secretarial approval / Federal Register publication 1999-05-14,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%201999.05.14%20Skokomish%20Indian%20Tribe%20Tribal%20State%20%20Gaming%20Compact.pdf,"erein, provided such provisions adequately preserve and protect the integrity and security of any game or gaming system or component, or accounting or auditing system or component, affected thereby. SECTION 12. TRIBAL LOTTERY SYSTEM TERMINAL ALLOCATIONS 12. l Initial Allocation. During the first year of operations under this Appendix, the Tribe shall be entitled to an allocation and operation of 425 Player Terminals (""Allocation""). 12.2 Compliance Requirement. Following one year of operation, the SGA shall conduct a review of the Tribal Lottery System operation to determine whether the require || 2.5 have been satisfied. If the operation is in compliance, the Tribe's Allocation shall be increased to 675 Player Terminals. The following requirements shall be met: 12.2.1 There have been no violations of the provisions of the Compact that have resulted in sanctions imposed by the Federal District Court; 12.2.2 There hav",2026-08-07,A,instrument_stated_conditional,2026-08-07,CE-001A5-M6
WAALLOC-9ac3912210230bb3,TRBF-SPKANE-00,Spokane,900,0,900,2007-04-30,2008-10-23,AUTHORIZED_MAXIMUM,Appendix Spokane s5; unit=player_terminals; CMP-WA-spokane-tribe-of-the-spokane-reser-20070430-V01; Secretarial approval / Federal Register publication 2007-04-30,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2007.04.30_spokane_tribe_tribal_state_gaming_compact.pdf,"However, if the Tribe operates all of its gaming facilities as entirely smoke free facilities, the Tribe shall be excused from making its smoking cessation contribution. 5. Player Terminal Allocation For purposes of this Appendix Spokane, the Tribe shall be entitled to an allocation of nine hundred (900) player terminals (""Allocation""). If, subsequent to the effective date of this Compact, the Secretary of the Interior approves a compact or compact amendment between the State and any authorized Washington tribe that gives such tribe an allocation in excess of 900 player terminals, the parties ",2026-08-07,A,instrument_stated,2026-08-07,CE-001AK-84
WAALLOC-f270049acedaba53,TRBF-STLMSH-00,Stillaguamish,425,250,675,2001-03-21,2021-08-31,AUTHORIZED_MAXIMUM,Appendix X s12.1 (initial) and s12.2 (compliance step-up); unit=player_terminals; CMP-WA-stillaguamish-tribe-of-indians-of-20010321-V01; Secretarial approval / Federal Register publication 2001-03-21,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202001.03.21%20Stillaguamish%20Tribe%20of%20Indians%20Tribal%20State%20Gaming%20Compact%202001_0.pdf,"herein, provided such provisions adequately preserve and protect the integrity and security of any game or gaming system or component, or accounting or auditing system or component, affected thereby. SECTION 12. TRIBAL LOTTERY SYSTEM TERMINAL ALLOCATIONS 12.1 Initial Allocation. During the first year of operations under this Appendix, the Tribe shall be entitled to an allocation and operation of 425 Player Terminals ("" Allocation""). 12.2 Compliance Requirement. Following one year of operation, the SGA shall conduct a review of the Tribal Lottery System operation to determine whether the requir || 2.5 have been satisfied. If the operation is in compliance, the Tribe's Allocation shall be increased to 675 Player Terminals. The following requirements shall be met: 12.2.1 There have been no violations of the provisions of the Compact that have resulted in sanctions imposed by the Federal District Court; 12.2.2 There hav",2026-08-07,A,instrument_stated_conditional,2026-08-07,CE-001AY-AQ
