ferc_ex_parte_party_id,linked_ferc_ex_parte_id,linked_accession_number,elibrary_link_basis,notice_date,fr_document_number,fr_citation,fr_publication_date,item_number,prohibited_or_exempt,docket_numbers_as_printed,primary_docket_number,communication_file_date,communication_file_date_as_printed,presenter_or_requester_as_printed,presenter_or_requester_type,natural_person_caution,footnote_markers,footnote_text_verbatim,footnote_reading,event_class,channel,is_lobbying,resolved_native_entity_id,resolved_native_entity_name,resolution_method,position_relative_to_native_interest,position_basis,table_row_quote,rule_basis,source_url,raw_text_url,retrieved_at,confidence_tier,built_date,party_role,party_role_basis,entity_link_tier,entity_link_refusal_reason,docket_native_party_ids,docket_native_party_names,docket_has_native_party,cedar_uid
FERCXPP-2012-18238-2-EXE,FERCXP-RM98-1-000-20120720-3005,20120720-3005,LINKED to the eLibrary RM98-1 notice document filed on the same date the notice prints as its own.,2012-07-20,2012-18238,77 FR 43821,2012-07-26,2,EXEMPT,P-12690-005,P-12690-005,2012-06-22,6-22-12,FERC Staff,OTHER_ORGANIZATION,"MAY BE A NATURAL PERSON. This presenter matched none of the organisation patterns (agency, state, local government, association, law firm). FERC publishes the name; Cedar Press does not publish datasets about private individuals, so this row is retained for verification and must be filtered or aggregated before any public release. No inference is recorded here about whether the presenter IS an individual.",5,Email record.,"THE PRESENTER COLUMN NAMES FERC'S OWN STAFF AND THE FOOTNOTE NAMES THE OUTSIDE PARTY. The footnote is published verbatim and is NOT parsed into a party field: 'with X', 'from X' and 'forwarding comments of X' are three different relationships and choosing one would be authoring a fact FERC did not state.",ADVOCACY,REGULATORY_EX_PARTE,0,,,,,"NOT_STATED_IN_SOURCE - an off-the-record notice records that a named party communicated about a named docket on a named date. It states no stance, and energy dockets are precisely where coalition lines cross: an environmental group may oppose a project a tribe sponsors, and two tribes may sit on opposite sides of one docket. A position is a property of an OBSERVATION and requires organisation + matter + native entity together (cedar_domain.position_is_addressable); this source supplies no stance leg.",2. P-12690-005............................. 6-22-12 FERC Staff \5\.,18 CFR 385.2201 - prohibited and exempt off-the-record communications are placed in the public file and noticed in the Federal Register,https://www.federalregister.gov/documents/2012/07/26/2012-18238/records-governing-off-the-record-communications,https://www.federalregister.gov/documents/full_text/text/2012/07/26/2012-18238.txt,2026-08-12,B,2026-08-12,EX_PARTE_PRESENTER_OR_REQUESTER,FR ex parte notice table: this party made or requested the communication,,not_a_party_string,,,0,
FERCXPP-2013-02663-2-EXE,FERCXP-RM98-1-000-20130129-3017,20130129-3017,LINKED to the eLibrary RM98-1 notice document filed on the same date the notice prints as its own.,2013-01-29,2013-02663,78 FR 8512,2013-02-06,2,EXEMPT,P-14447-000,P-14447-000,2013-01-15,01-15-13,FERC Staff,OTHER_ORGANIZATION,"MAY BE A NATURAL PERSON. This presenter matched none of the organisation patterns (agency, state, local government, association, law firm). FERC publishes the name; Cedar Press does not publish datasets about private individuals, so this row is retained for verification and must be filtered or aggregated before any public release. No inference is recorded here about whether the presenter IS an individual.",2,Telephone record.,"THE PRESENTER COLUMN NAMES FERC'S OWN STAFF AND THE FOOTNOTE NAMES THE OUTSIDE PARTY. The footnote is published verbatim and is NOT parsed into a party field: 'with X', 'from X' and 'forwarding comments of X' are three different relationships and choosing one would be authoring a fact FERC did not state.",ADVOCACY,REGULATORY_EX_PARTE,0,,,,,"NOT_STATED_IN_SOURCE - an off-the-record notice records that a named party communicated about a named docket on a named date. It states no stance, and energy dockets are precisely where coalition lines cross: an environmental group may oppose a project a tribe sponsors, and two tribes may sit on opposite sides of one docket. A position is a property of an OBSERVATION and requires organisation + matter + native entity together (cedar_domain.position_is_addressable); this source supplies no stance leg.",2. P-14447-000........................... 01-15-13 FERC Staff.\2\,18 CFR 385.2201 - prohibited and exempt off-the-record communications are placed in the public file and noticed in the Federal Register,https://www.federalregister.gov/documents/2013/02/06/2013-02663/records-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2013/02/06/2013-02663.txt,2026-08-12,B,2026-08-12,EX_PARTE_PRESENTER_OR_REQUESTER,FR ex parte notice table: this party made or requested the communication,,not_a_party_string,,,0,
FERCXPP-2013-09350-1-EXE,FERCXP-RM98-1-000-20130415-3001,20130415-3001,LINKED to the eLibrary RM98-1 notice document filed on the same date the notice prints as its own.,2013-04-15,2013-09350,78 FR 23762,2013-04-22,1,EXEMPT,CP13-73-000,CP13-73-000,2013-03-13,03-13-13,FERC Staff,OTHER_ORGANIZATION,"MAY BE A NATURAL PERSON. This presenter matched none of the organisation patterns (agency, state, local government, association, law firm). FERC publishes the name; Cedar Press does not publish datasets about private individuals, so this row is retained for verification and must be filtered or aggregated before any public release. No inference is recorded here about whether the presenter IS an individual.",1,"FERC Staff attended meetings in Tucson, Arizona on March 13,","THE PRESENTER COLUMN NAMES FERC'S OWN STAFF AND THE FOOTNOTE NAMES THE OUTSIDE PARTY. The footnote is published verbatim and is NOT parsed into a party field: 'with X', 'from X' and 'forwarding comments of X' are three different relationships and choosing one would be authoring a fact FERC did not state.",ADVOCACY,REGULATORY_EX_PARTE,0,,,,,"NOT_STATED_IN_SOURCE - an off-the-record notice records that a named party communicated about a named docket on a named date. It states no stance, and energy dockets are precisely where coalition lines cross: an environmental group may oppose a project a tribe sponsors, and two tribes may sit on opposite sides of one docket. A position is a property of an OBSERVATION and requires organisation + matter + native entity together (cedar_domain.position_is_addressable); this source supplies no stance leg.",1. CP13-73-000...................... 03-13-13 FERC Staff.\1\,18 CFR 385.2201 - prohibited and exempt off-the-record communications are placed in the public file and noticed in the Federal Register,https://www.federalregister.gov/documents/2013/04/22/2013-09350/records-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2013/04/22/2013-09350.txt,2026-08-12,B,2026-08-12,EX_PARTE_PRESENTER_OR_REQUESTER,FR ex parte notice table: this party made or requested the communication,,not_a_party_string,,,0,
FERCXPP-2013-15081-1-EXE,FERCXP-RM98-1-000-20130614-3042,20130614-3042,LINKED to the eLibrary RM98-1 notice document filed on the same date the notice prints as its own.,2013-06-14,2013-15081,78 FR 38029,2013-06-25,1,EXEMPT,P-13590-000,P-13590-000,2013-05-24,05-24-13,FERC Staff,OTHER_ORGANIZATION,"MAY BE A NATURAL PERSON. This presenter matched none of the organisation patterns (agency, state, local government, association, law firm). FERC publishes the name; Cedar Press does not publish datasets about private individuals, so this row is retained for verification and must be filtered or aggregated before any public release. No inference is recorded here about whether the presenter IS an individual.",1,Email record.,"THE PRESENTER COLUMN NAMES FERC'S OWN STAFF AND THE FOOTNOTE NAMES THE OUTSIDE PARTY. The footnote is published verbatim and is NOT parsed into a party field: 'with X', 'from X' and 'forwarding comments of X' are three different relationships and choosing one would be authoring a fact FERC did not state.",ADVOCACY,REGULATORY_EX_PARTE,0,,,,,"NOT_STATED_IN_SOURCE - an off-the-record notice records that a named party communicated about a named docket on a named date. It states no stance, and energy dockets are precisely where coalition lines cross: an environmental group may oppose a project a tribe sponsors, and two tribes may sit on opposite sides of one docket. A position is a property of an OBSERVATION and requires organisation + matter + native entity together (cedar_domain.position_is_addressable); this source supplies no stance leg.",1. P-13590-000........................ 05-24-13 FERC Staff.\1\,18 CFR 385.2201 - prohibited and exempt off-the-record communications are placed in the public file and noticed in the Federal Register,https://www.federalregister.gov/documents/2013/06/25/2013-15081/records-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2013/06/25/2013-15081.txt,2026-08-12,B,2026-08-12,EX_PARTE_PRESENTER_OR_REQUESTER,FR ex parte notice table: this party made or requested the communication,,not_a_party_string,,,0,
FERCXPP-2013-21197-1-EXE,FERCXP-RM98-1-000-20130826-3003,20130826-3003,LINKED to the eLibrary RM98-1 notice document filed on the same date the notice prints as its own.,2013-08-26,2013-21197,78 FR 53753,2013-08-30,1,EXEMPT,CP12-507-000CP12-508-000,CP12-507-000CP12-508-000,2013-03-26,03-26-13,FERC Staff,OTHER_ORGANIZATION,"MAY BE A NATURAL PERSON. This presenter matched none of the organisation patterns (agency, state, local government, association, law firm). FERC publishes the name; Cedar Press does not publish datasets about private individuals, so this row is retained for verification and must be filtered or aggregated before any public release. No inference is recorded here about whether the presenter IS an individual.",2,Phone record.,"THE PRESENTER COLUMN NAMES FERC'S OWN STAFF AND THE FOOTNOTE NAMES THE OUTSIDE PARTY. The footnote is published verbatim and is NOT parsed into a party field: 'with X', 'from X' and 'forwarding comments of X' are three different relationships and choosing one would be authoring a fact FERC did not state.",ADVOCACY,REGULATORY_EX_PARTE,0,,,,,"NOT_STATED_IN_SOURCE - an off-the-record notice records that a named party communicated about a named docket on a named date. It states no stance, and energy dockets are precisely where coalition lines cross: an environmental group may oppose a project a tribe sponsors, and two tribes may sit on opposite sides of one docket. A position is a property of an OBSERVATION and requires organisation + matter + native entity together (cedar_domain.position_is_addressable); this source supplies no stance leg.",1. CP12-507-000................... 03-26-13 FERC Staff.\2\ CP12-508-000,18 CFR 385.2201 - prohibited and exempt off-the-record communications are placed in the public file and noticed in the Federal Register,https://www.federalregister.gov/documents/2013/08/30/2013-21197/records-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2013/08/30/2013-21197.txt,2026-08-12,B,2026-08-12,EX_PARTE_PRESENTER_OR_REQUESTER,FR ex parte notice table: this party made or requested the communication,,not_a_party_string,,,0,
FERCXPP-2013-21197-5-EXE,FERCXP-RM98-1-000-20130826-3003,20130826-3003,LINKED to the eLibrary RM98-1 notice document filed on the same date the notice prints as its own.,2013-08-26,2013-21197,78 FR 53753,2013-08-30,5,EXEMPT,P-2305-036,P-2305-036,2013-08-02,08-02-13,FERC Staff,OTHER_ORGANIZATION,"MAY BE A NATURAL PERSON. This presenter matched none of the organisation patterns (agency, state, local government, association, law firm). FERC publishes the name; Cedar Press does not publish datasets about private individuals, so this row is retained for verification and must be filtered or aggregated before any public release. No inference is recorded here about whether the presenter IS an individual.",6,Email record.,"THE PRESENTER COLUMN NAMES FERC'S OWN STAFF AND THE FOOTNOTE NAMES THE OUTSIDE PARTY. The footnote is published verbatim and is NOT parsed into a party field: 'with X', 'from X' and 'forwarding comments of X' are three different relationships and choosing one would be authoring a fact FERC did not state.",ADVOCACY,REGULATORY_EX_PARTE,0,,,,,"NOT_STATED_IN_SOURCE - an off-the-record notice records that a named party communicated about a named docket on a named date. It states no stance, and energy dockets are precisely where coalition lines cross: an environmental group may oppose a project a tribe sponsors, and two tribes may sit on opposite sides of one docket. A position is a property of an OBSERVATION and requires organisation + matter + native entity together (cedar_domain.position_is_addressable); this source supplies no stance leg.",5. P-2305-036..................... 08-02-13 FERC Staff.\6\,18 CFR 385.2201 - prohibited and exempt off-the-record communications are placed in the public file and noticed in the Federal Register,https://www.federalregister.gov/documents/2013/08/30/2013-21197/records-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2013/08/30/2013-21197.txt,2026-08-12,B,2026-08-12,EX_PARTE_PRESENTER_OR_REQUESTER,FR ex parte notice table: this party made or requested the communication,,not_a_party_string,,,0,
FERCXPP-2013-28801-1-EXE,FERCXP-RM98-1-000-20131125-3044,20131125-3044,LINKED to the eLibrary RM98-1 notice document filed on the same date the notice prints as its own.,2013-11-25,2013-28801,78 FR 72674,2013-12-03,1,EXEMPT,CP13-73-000; CP13-74-000,CP13-73-000,2013-10-01,10-01-13,FERC Staff,OTHER_ORGANIZATION,"MAY BE A NATURAL PERSON. This presenter matched none of the organisation patterns (agency, state, local government, association, law firm). FERC publishes the name; Cedar Press does not publish datasets about private individuals, so this row is retained for verification and must be filtered or aggregated before any public release. No inference is recorded here about whether the presenter IS an individual.",1,Meeting attendance record.,"THE PRESENTER COLUMN NAMES FERC'S OWN STAFF AND THE FOOTNOTE NAMES THE OUTSIDE PARTY. The footnote is published verbatim and is NOT parsed into a party field: 'with X', 'from X' and 'forwarding comments of X' are three different relationships and choosing one would be authoring a fact FERC did not state.",ADVOCACY,REGULATORY_EX_PARTE,0,,,,,"NOT_STATED_IN_SOURCE - an off-the-record notice records that a named party communicated about a named docket on a named date. It states no stance, and energy dockets are precisely where coalition lines cross: an environmental group may oppose a project a tribe sponsors, and two tribes may sit on opposite sides of one docket. A position is a property of an OBSERVATION and requires organisation + matter + native entity together (cedar_domain.position_is_addressable); this source supplies no stance leg.",1. CP13-73-000; CP13-74-000................... 10-01-13 FERC Staff \1\.,18 CFR 385.2201 - prohibited and exempt off-the-record communications are placed in the public file and noticed in the Federal Register,https://www.federalregister.gov/documents/2013/12/03/2013-28801/records-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2013/12/03/2013-28801.txt,2026-08-12,B,2026-08-12,EX_PARTE_PRESENTER_OR_REQUESTER,FR ex parte notice table: this party made or requested the communication,,not_a_party_string,,,0,
FERCXPP-2013-28801-7-EXE,FERCXP-RM98-1-000-20131125-3044,20131125-3044,LINKED to the eLibrary RM98-1 notice document filed on the same date the notice prints as its own.,2013-11-25,2013-28801,78 FR 72674,2013-12-03,7,EXEMPT,CP13-483-000,CP13-483-000,2013-11-06,11-06-13,FERC Staff,OTHER_ORGANIZATION,"MAY BE A NATURAL PERSON. This presenter matched none of the organisation patterns (agency, state, local government, association, law firm). FERC publishes the name; Cedar Press does not publish datasets about private individuals, so this row is retained for verification and must be filtered or aggregated before any public release. No inference is recorded here about whether the presenter IS an individual.",5,Telephone record.,"THE PRESENTER COLUMN NAMES FERC'S OWN STAFF AND THE FOOTNOTE NAMES THE OUTSIDE PARTY. The footnote is published verbatim and is NOT parsed into a party field: 'with X', 'from X' and 'forwarding comments of X' are three different relationships and choosing one would be authoring a fact FERC did not state.",ADVOCACY,REGULATORY_EX_PARTE,0,,,,,"NOT_STATED_IN_SOURCE - an off-the-record notice records that a named party communicated about a named docket on a named date. It states no stance, and energy dockets are precisely where coalition lines cross: an environmental group may oppose a project a tribe sponsors, and two tribes may sit on opposite sides of one docket. A position is a property of an OBSERVATION and requires organisation + matter + native entity together (cedar_domain.position_is_addressable); this source supplies no stance leg.",7. CP13-483-000............................... 11-06-13 FERC Staff \5\.,18 CFR 385.2201 - prohibited and exempt off-the-record communications are placed in the public file and noticed in the Federal Register,https://www.federalregister.gov/documents/2013/12/03/2013-28801/records-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2013/12/03/2013-28801.txt,2026-08-12,B,2026-08-12,EX_PARTE_PRESENTER_OR_REQUESTER,FR ex parte notice table: this party made or requested the communication,,not_a_party_string,,,0,
FERCXPP-2014-09591-2-PRO,FERCXP-RM98-1-000-20140422-3066,20140422-3066,LINKED to the eLibrary RM98-1 notice document filed on the same date the notice prints as its own.,2014-04-22,2014-09591,79 FR 23348,2014-04-28,2,PROHIBITED,P-2114,P-2114,2014-04-07,4-7-14,Columbia River Inter- Tribal Fish Commission,OTHER_ORGANIZATION,"MAY BE A NATURAL PERSON. This presenter matched none of the organisation patterns (agency, state, local government, association, law firm). FERC publishes the name; Cedar Press does not publish datasets about private individuals, so this row is retained for verification and must be filtered or aggregated before any public release. No inference is recorded here about whether the presenter IS an individual.",,,,ADVOCACY,REGULATORY_EX_PARTE,0,CE-000R6-WP,Columbia River Inter-Tribal Fish Commission,exact_canonical,,"NOT_STATED_IN_SOURCE - an off-the-record notice records that a named party communicated about a named docket on a named date. It states no stance, and energy dockets are precisely where coalition lines cross: an environmental group may oppose a project a tribe sponsors, and two tribes may sit on opposite sides of one docket. A position is a property of an OBSERVATION and requires organisation + matter + native entity together (cedar_domain.position_is_addressable); this source supplies no stance leg.",2. P-2114.................. 4-7-14 Columbia River Inter- Tribal Fish Commission.,18 CFR 385.2201 - prohibited and exempt off-the-record communications are placed in the public file and noticed in the Federal Register,https://www.federalregister.gov/documents/2014/04/28/2014-09591/records-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2014/04/28/2014-09591.txt,2026-08-12,A,2026-08-12,EX_PARTE_PRESENTER_OR_REQUESTER,FR ex parte notice table: this party made or requested the communication,A,,,,0,CE-000R6-WP
FERCXPP-2016-20633-2-EXE,FERCXP-RM98-1-000-20160823-3048,20160823-3048,LINKED to the eLibrary RM98-1 notice document filed on the same date the notice prints as its own.,2016-08-23,2016-20633,81 FR 59209,2016-08-29,2,EXEMPT,P-553-000,P-553-000,2016-08-05,8-5-2016,Upper Skagit Indian Tribe,OTHER_ORGANIZATION,"MAY BE A NATURAL PERSON. This presenter matched none of the organisation patterns (agency, state, local government, association, law firm). FERC publishes the name; Cedar Press does not publish datasets about private individuals, so this row is retained for verification and must be filtered or aggregated before any public release. No inference is recorded here about whether the presenter IS an individual.",,,,ADVOCACY,REGULATORY_EX_PARTE,0,CE-001BY-F7,Upper Skagit,fr_official_name,,"NOT_STATED_IN_SOURCE - an off-the-record notice records that a named party communicated about a named docket on a named date. It states no stance, and energy dockets are precisely where coalition lines cross: an environmental group may oppose a project a tribe sponsors, and two tribes may sit on opposite sides of one docket. A position is a property of an OBSERVATION and requires organisation + matter + native entity together (cedar_domain.position_is_addressable); this source supplies no stance leg.",2. P-553-000...................... 8-5-2016 Upper Skagit Indian Tribe.,18 CFR 385.2201 - prohibited and exempt off-the-record communications are placed in the public file and noticed in the Federal Register,https://www.federalregister.gov/documents/2016/08/29/2016-20633/records-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2016/08/29/2016-20633.txt,2026-08-12,A,2026-08-12,EX_PARTE_PRESENTER_OR_REQUESTER,FR ex parte notice table: this party made or requested the communication,A,,,,0,CE-001BY-F7
