docket_number,subdocket,docket_prefix,docket_program,applicant_or_licensee_as_recorded,documents_retrieved,total_hits_reported_by_source,date_window_queried,tribal_filer_documents,ex_parte_documents,comment_or_protest_documents,section_106_cross_ref,discovery_source,discovery_quote,seed_source_url,source_url,fetched_date,confidence_tier,built_date,applicant_resolved_native_entity_id,applicant_resolved_native_entity_name,applicant_entity_link_method,applicant_entity_link_tier,applicant_entity_link_refusal_reason,docket_native_party_ids,docket_native_party_names,docket_native_party_roles,docket_native_party_count
CP23-516,000,CP,"natural gas certificate, LNG and pipeline (NGA section 3/7)","East Tennessee Natural Gas, LLC",511,511,1990-01-01..2026-12-31,2,0,275,S106-FR-b407f27737583641,section_106_cross_reference,"OPP can help members of the public, including landowners, environmental justice communities, Tribal members and others, access publicly available information and navigate Commission processes.",https://www.federalregister.gov/documents/2023/09/22/2023-20571/east-tennessee-natural-gas-llc-notice-of-intent-to-prepare-an-environmental-impact-statement-for-the,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-12,A,2026-08-26,,,,,no_spine_match,CE-0011Z-30|CE-00179-XT,Alabama-Coushatta|Mississippi Choctaw,FILER|FILER,2
P-10855,000,P,hydropower licence / relicensing (FPA Part I),Upper Peninsula Power Company,3060,3058,1990-01-01..2026-12-31,5,0,301,S106-FR-b4812172e44de538,section_106_cross_reference,"Robert Powless, Tribal Historic Preservation Officer, Bad River Band of Lake Superior Chippewa Indians, P.O.",https://www.federalregister.gov/documents/2002/07/25/02-18831/upper-peninsula-power-company-notice-of-proposed-restricted-service-list-for-a-programmatic,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-12,A,2026-08-26,,,,,no_spine_match,CE-00160-29,Keweenaw,FILER,1
P-12569,000,P,hydropower licence / relicensing (FPA Part I),"Public Utility District No. 1 of Okanogan County, Washington",269,269,1990-01-01..2026-12-31,6,0,66,S106-FR-6eac5fe931c8de4d,section_106_cross_reference,Fish and Wildlife Agency Recommendations for the Enloe Hydroelectric Project Acronyms and Abbreviations [micro]g microgram AHS Archaeological and Historical Services APE area of potential effect BLM U.S. Bureau of Land Management BMP best management practice [deg]C degrees Celsius cfs cubic feet per,https://www.federalregister.gov/documents/2011/05/17/2011-11757/okanogan-public-utility-district-no-1-of-okanogan-county-wa-notice-of-availability-of-draft,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-12,A,2026-08-26,,,,,no_spine_match,CE-000R6-WP|CE-0013K-5M,Columbia River Inter-Tribal Fish Commission|Confederated Colville,FILER|FILER,2
P-13405,000,P,hydropower licence / relicensing (FPA Part I),"Clean River Power MR-1, LLC",60,60,1990-01-01..2026-12-31,2,0,22,S106-FR-aa32bc00e8ffe4f9;S106-FR-7cc7e8da3a73b0ec,section_106_cross_reference,"Clean River Power MR-3, LLC, Clean River Power MR-1, LLC, Clean River Power MR-5, LLC, Clean River Power MR-2, LLC, Clean River Power MR-7, LLC, and Clean River Power MR-6, LLC as applicants for the Beverly Lock and Dam Water Power Project, Devola Lock and Dam Water Power Project, Malta/McConnelsvil",https://www.federalregister.gov/documents/2015/09/17/2015-23321/notice-of-proposed-restricted-service-list-for-a-programmatic-agreement-for-managing-properties,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-12,A,2026-08-26,,,,,no_spine_match,CE-0016Y-PQ|CE-00189-2A,Miami Tribe of Oklahoma|Peoria Tribe of Indians of Oklahoma,FILER|FILER,2
P-13704,000,P,hydropower licence / relicensing (FPA Part I),"FFP Missouri 2, LLC",45,45,1990-01-01..2026-12-31,1,0,13,S106-FR-6d4c024c8b1b1d97;S106-FR-659b63dc889e6347;S106-FR-b1cdf0f9be510c85;S106-FR-f02d7b1e47b7971a,section_106_cross_reference,"FFP Missouri 2, LLC, as applicant for the proposed Arkabutla Lake Hydroelectric Project, the U.S. Army Corps of Engineers, the Choctaw Nation of Oklahoma, the Jena Band of Choctaw Indians, the Chickasaw Nation, the Mississippi Band of Choctaw Indians, the Quapaw Tribe of Oklahoma, the Tunica-Biloxi ",https://www.federalregister.gov/documents/2013/07/02/2013-15854/ffp-missouri-2-llc-notice-of-proposed-restricted-service-list-for-a-programmatic-agreement,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-12,A,2026-08-26,,,,,no_spine_match,CE-0013Y-77,The Choctaw Nation of Oklahoma,FILER,1
P-14726,000,P,hydropower licence / relicensing (FPA Part I),Pyramid Lake Paiute Tribe,29,29,1990-01-01..2026-12-31,14,0,9,,federal_register_ferc_notice,"Pyramid Lake Paiute Tribe; Notice of Preliminary Permit Application Accepted for Filing and Soliciting Comments, Motions To Intervene, and Competing",https://www.federalregister.gov/documents/2016/02/23/2016-03615/pyramid-lake-paiute-tribe-notice-of-preliminary-permit-application-accepted-for-filing-and,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-12,A,2026-08-26,CE-0018Y-0Q,Pyramid Lake,official_name_containment,B,,CE-0018Y-0Q,Pyramid Lake,APPLICANT_OR_LICENSEE,1
P-1922,000,P,hydropower licence / relicensing (FPA Part I),Ketchikan Public Utilities,498,498,1990-01-01..2026-12-31,1,0,53,S106-FR-02baf278af274c0f,section_106_cross_reference,"Intervenors in the referenced proceeding may attend the meeting; however, participation will be limited to representatives of the SHPO, the Tribes potentially interested in the project (the Ketchikan Indian Community, the Organized Village of Saxman, the Central Council of Tlingit and Haida Indians,",https://www.federalregister.gov/documents/2025/03/05/2025-03497/ketchikan-public-utilities-notice-of-section-106-meeting,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-12,A,2026-08-26,,,,,no_spine_match,CE-00082-MJ|CE-0013X-1E|CE-0007H-9S,Cape Fox Corporation|Confederated Salish|Sealaska Corporation,FILER|FILER|FILER,3
P-2524,000,P,hydropower licence / relicensing (FPA Part I),Grand River Dam Authority,1491,1491,1990-01-01..2026-12-31,0,0,270,S106-FR-8ed95c1aa5d21755;S106-FR-bb923033f03f2c70,section_106_cross_reference,"Eight Tribes Preservation, The Old Post Office Trail, Miami, OK 74354.",https://www.federalregister.gov/documents/2011/04/04/2011-7778/grand-river-dam-authority-salina-pumped-storage-project-notice-of-proposed-restricted-service-list,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-12,A,2026-08-26,,,,,no_spine_match,CE-000SN-VX,Southern Plains Tribal Health Board,FILER,1
P-485,000,P,hydropower licence / relicensing (FPA Part I),Georgia Power Company,1851,1850,1990-01-01..2026-12-31,1,0,270,S106-FR-40e4b50f49bb79ab,section_106_cross_reference,"Amanda Hill or Representative, Alabama Henry Harjo, Kialegee Tribal Historical Commission, 468 South Perry Town, P.O.",https://www.federalregister.gov/documents/2011/05/04/2011-10839/georgia-power-company-project-no-485-063-georgia-and-alabama-bartletts-ferry-hydroelectric-project,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-12,A,2026-08-26,,,,,no_spine_match,CE-001A9-CA,Seminole,FILER,1
RM02-16,000,RM,rulemaking,Hydroelectric License Regulations under the Federal Power Act,233,233,1990-01-01..2026-12-31,17,0,175,S106-FR-3dd00a05ad0b45cb;S106-FR-d35c673297ea0109;S106-FR-d4433ff9a3c0726b;S106-FR-68a893656f892f40;S106-FR-99e4474fc0c35632;S106-FR-5548676cef673d33;S106-FR-6d2324b35b8ba17c,federal_register_ferc_notice;section_106_cross_reference,"ss. In addition, the Commission staff and the Federal Agencies will co-sponsor public and tribal forums for oral or written comments in locations around the country. The Commission staff and the Federal Agencies anticipate the",https://www.federalregister.gov/documents/2002/09/18/02-23655/hydroelectric-license-regulations-under-the-federal-power-act-notice-requesting-comments-and,https://elibrary.ferc.gov/eLibrary/docketsheet,2026-08-12,A,2026-08-26,,,,,no_spine_match,CE-00126-JZ|CE-0012R-Y1|CE-0013T-F3|CE-001BT-Q3|CE-0014B-TW|CE-000RK-AV|CE-00172-KB|CE-00193-34|CE-00144-GD|CE-001A5-M6|CE-001AK-84|CE-0015W-5N,Bad River Band|Caddo|Coeur D'Alene|Umatilla Tribe|Eastern Cherokee|Great Lakes Indian Fish & Wildlife Commission|Menominee|Quinault|Shoshone-Paiute|Skokomish|Spokane|Klamath,FILER|FILER|FILER|FILER|FILER|FILER|FILER|FILER|FILER|FILER|FILER|FILER,12
