client_name,canonical_name,client_role,confidence_tier,n_filings,spend_usd,ruling,evidence,ruled_by,ruled_date,cedar_uid
ALUTIIQ LLC,Afognak Native Corporation,ENTITY,A,7,290000.0,CE-0007J-FJ Afognak Native Corporation,"EVIDENCE - filing: https://lda.gov/filings/public/filing/ae2b9318-8ef4-42d3-8fb7-e0ed1d282004/print/ | registrant: ALUTIIQ, LLC (Anchorage, AK) | LDA client_id(s): 188450 | client state: AK / ppb: AK | 7 filings 2008-2009 | reported spend $290,000. REASONING - Documented in the filing itself: the LD-1 affiliated-organization field on this client names AFOGNAK NATIVE CORPORATION, Kodiak AK. Client state AK, ppb AK; self-filed by ALUTIIQ, LLC from Anchorage; issue text 'legislation relating to Native community economic development, small business programs, government contracting, and Alaska Nati",agent_research+agent_supplied_tribe_id,2026-08-06,CE-0007J-FJ
BARONA BAND OF MISSION INDIANS,Capitan Grande,ENTITY,A,129,3800000.0,CE-000Q8-3R Barona Group of Capitan Grande Band,"EVIDENCE - filing: https://lda.gov/filings/public/filing/f73d4f6f-bbd4-4a5a-9336-cf2d27d9e74f/print/ | registrant: VITELLO CONSULTING (San Juan, None) | LDA client_id(s): 135833,170284,182610,183518 | client state: CA / ppb: CA | 129 filings 1999-2026 | reported spend $3,800,000. REASONING - Component-group rule (see VIEJAS). Client state CA, ppb CA; LDA description 'Native American Tribe'; issue text 'Amendments to IGRA / Interior Approps / House Ways and Means Tax Legislation'. The spine alias for CE-000Q8-3R is 'Capitan Grande Band of Diegueno Mission Indians of California - Barona Group",agent_research+agent_supplied_tribe_id,2026-08-06,CE-000Q8-3R
CHAUBUNAGUNGAMAUG BAND OF NIPMUNK INDIANS,Chaubunagungamaug Band of Nipmuck Indians,ENTITY,A,7,0.0,CE-001CV-2C Chaubunagungamaug Band of Nipmuck Indians,"EVIDENCE - filing: https://lda.gov/filings/public/filing/dd7eb136-7325-4cc5-a49b-0893da4f5a9a/print/ | registrant: THE KITTO LAW FIRM (WASHINGTON, DC) | LDA client_id(s): 113 | client state: MA / ppb: MA | LDA client description: ""(none stated)"" | 7 filings 2004-2007 | reported spend $0. REASONING - Filer misspelling ('Nipmunk' for 'Nipmuck'). Client state and ppb MA on all seven filings, which matches the spine row's state; issue code IND. The spine carries this band in its 64-row state-recognized layer as CE-001CV-2C, so this is an in-scope attribution rather than an unrecognized-petition",agent_research+agent_supplied_tribe_id,2026-08-06,CE-001CV-2C
CHOCTAW NATION,The Choctaw Nation of Oklahoma,ENTITY,A,3,40000.0,CE-0013Y-77 The Choctaw Nation of Oklahoma,"EVIDENCE - filing: https://lda.gov/filings/public/filing/e616d613-96a7-4555-aefa-0daf28371125/print/ | registrant: WILMER CUTLER PICKERING HALE AND DORR LLP (Washington, DC) | LDA client_id(s): 151825 | client state: OK / ppb: OK | 3 filings 2016-2016 | reported spend $40,000. REASONING - Four Choctaw candidates were listed (Oklahoma, Jena LA, Mississippi Band, Clifton Choctaw LA). Client state OK and ppb OK leave exactly one, and 'Choctaw Nation' is that tribe's own name - the Mississippi entity is the Mississippi Band of Choctaw Indians and the Louisiana ones are Jena Band and Clifton Chocta",agent_research+agent_supplied_tribe_id,2026-08-06,CE-0013Y-77
COLUSA INDIAN COMMUNITY,"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California",ENTITY,A,72,2000000.0,CE-0012Q-R8 Cachil DeHe Band of Wintun Indians of the Colusa Indian Community,"EVIDENCE - filing: https://lda.gov/filings/public/filing/4f81f5ec-a836-4412-bc65-af0dd9c43cfe/print/ | registrant: PACE, LLP (FORMERLY PACE-CAPSTONE) (Washington, DC) | LDA client_id(s): 135926,160938,180865 | client state: CA / ppb: CA | 72 filings 2005-2026 | reported spend $2,000,000. REASONING - Same shape as Trinidad: the spine short name is 'Cachil DeHe' and the Federal Register name is 'Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California'. Client state CA, ppb CA; LDA descriptions 'Indian Tribe' and 'Tribal Government'; registrant PACE L",agent_research+agent_supplied_tribe_id,2026-08-06,CE-0012Q-R8
"CROSSROADS STRATEGIES, LLC ON BEHALF OF SPOKANE TRIBE OF INDIANS",Spokane Tribe of the Spokane Reservation,ENTITY,A,16,150000.0,CE-001AK-84 Spokane Tribe of Indians,"EVIDENCE - filing: https://lda.gov/filings/public/filing/c4381418-8343-4d40-816e-c50afa8ea520/print/ | registrant: CAPITOL STRATEGIES US, LLC (Bethesda, MD) | LDA client_id(s): 54389 | client state: DC / ppb: DC | 16 filings 2023-2026 | reported spend $150,000. REASONING - Intermediary client resolved by the filing's own LD-1 affiliated-organization disclosure: SPOKANE TRIBE OF INDIANS, Wellpinit WA - the Spokane Reservation seat. LDA description 'lobbying firm on behalf of Federally Recognized Indian Tribe'.",agent_research+agent_supplied_tribe_id,2026-08-06,CE-001AK-84
FALLON PAIUTE SHOSSHONE TRIBES,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",ENTITY,A,4,0.0,CE-0014D-6E Fallon Paiute-Shoshone Tribe,"EVIDENCE - filing: https://lda.gov/filings/public/filing/6e9df37e-4dad-4204-9804-e8c056beca0b/print/ | registrant: ANDERSONTUELL, LLP (Washington, DC) | LDA client_id(s): 152 | client state: (blank) / ppb: (blank) | LDA client description: ""(none stated)"" | 4 filings 2007-2008 | reported spend $0. REASONING - Filer misspelling ('Shosshone') with the hyphen dropped. The spine row CE-0014D-6E carries canonical name 'Paiute-Shoshone' with the Fallon reservation encoded in its id. The word-order hazard is live here - the spine also holds CE-00144-GD 'Shoshone-Paiute' (Duck Valley), a differe",agent_research+agent_supplied_tribe_id,2026-08-06,CE-0014D-6E
FORT SILL APACHE,Fort Sill—Chiricahua—Warm Springs—Apache Tribe (previously listed as Fort Sill Apache Tribe of Oklahoma),ENTITY,A,18,430000.0,CE-0014G-RS Fort Sill Apache Tribe of Oklahoma,"EVIDENCE - filing: https://lda.gov/filings/public/filing/7087cb46-741f-4cfe-ac7a-5d7e44930efe/print/ | registrant: DENTONS US LLP (Washington, DC) | LDA client_id(s): 145001 | client state: OK / ppb: OK | 18 filings 2014-2018 | reported spend $430,000. REASONING - G6 over-strict refusal, cleared. Client state OK, ppb OK, LDA description 'Tribal nation', registrant Dentons US LLP. The spine's canonical name is the long Federal Register form 'Fort Sill-Chiricahua-Warm Springs-Apache Tribe'; the tribe's own short name is Fort Sill Apache Tribe. Exactly one such tribe exists.",agent_research+agent_supplied_tribe_id,2026-08-06,CE-0014G-RS
GOLDBELT INC.,"Goldbelt, Inc.",ENTITY,A,31,490000.0,"CE-0008Y-WE Goldbelt, Incorporated","EVIDENCE - filing: https://lda.gov/filings/public/filing/8912dec4-02aa-499e-8b16-073fcee5dda8/print/ | registrant: BURRELL INTERNATIONAL GROUP LLC (Washington, DC) | LDA client_id(s): 199001 | client state: VA / ppb: AK | 31 filings 2019-2026 | reported spend $490,000. REASONING - Goldbelt, Incorporated is the ANCSA urban corporation for Juneau, now in the spine as CE-0008Y-WE. ppb_state AK; LDA description 'government contracting and services'; issue text 'NDAA and Defense Appropriations for Cyber-Security and small business 8(A) Program' - the ANC 8(a) contracting profile. CAUTION for who",agent_research+agent_supplied_tribe_id,2026-08-06,CE-0008Y-WE
GUIDIVILLE BAND OF POMO INDIANS,Guidiville Rancheria of California,ENTITY,A,5,20000.0,CE-0014V-TC Guidiville Rancheria of California,"EVIDENCE - filing: https://lda.gov/filings/public/filing/2c92c13b-8074-4b06-b93b-e3d65bf3c593/print/ | registrant: FIRST STRATEGIC (Phoenix, AZ) | LDA client_id(s): 174559 | client state: CA / ppb: CA | 5 filings 2005-2006 | reported spend $20,000. REASONING - Client state CA, ppb CA; issue text 'Indian Gaming Regulatory Act'. 'Guidiville' is the stem of exactly one federally recognized entity.",agent_research+agent_supplied_tribe_id,2026-08-06,CE-0014V-TC
