registrant_id,registrant_name,evidence_route,claim,relationship_to_native_entity,native_entity_id,native_entity_canonical_name,native_entity_class,evidence_tier,tier_is_inherited,match_basis,evidence_verbatim,evidence_url,evidence_source,identifier_type,identifier,asserted_by_source,built_by_script,built_date,n_supporting_filings,inherited_confidence,inherited_attribution_method,tier_declared_reason,path_weakest_edge,cedar_uid
25090,MICCOSUKEE TRIBE OF INDIANS OF FLORIDA,R1_SELF_FILED_ON_OWN_BEHALF,NATIVE_ENTITY,IS_OR_IS_OWNED_BY_THE_NAMED_NATIVE_ENTITY,TRBF-MCSKEE-00,Miccosukee,Federally recognized tribe,B,1,"self_filed=1 on 11 filings; entity link method core_token_set, confidence high","The registrant filed on its own behalf: registrant ""MICCOSUKEE TRIBE OF INDIANS OF FLORIDA"" and client ""MICCOSUKEE TRIBE OF INDIANS OF FLORIDA"" are the same organisation on the face of the filing.",https://lda.gov/filings/public/filing/59d4d9bf-96a2-4628-8d53-4df048ade35f/print/,Senate LDA filing (lda.senate.gov) + native_entity_lobbying_disclosures.csv,,,,182_rule_lobbying_registrant_native_ownership.py,2026-09-01,11,high,core_token_set,,,CE-0016R-J1
401106112,NANA REGIONAL CORPORATION,R1_SELF_FILED_ON_OWN_BEHALF,NATIVE_ENTITY,IS_OR_IS_OWNED_BY_THE_NAMED_NATIVE_ENTITY,ANRC-NANARC-00,"NANA Regional Corporation, Incorporated",Alaska Native Regional Corporation,C,1,"self_filed=1 on 22 filings; entity link method contains_canonical, confidence medium","The registrant filed on its own behalf: registrant ""NANA REGIONAL CORPORATION"" and client ""NANA REGIONAL CORPORATION"" are the same organisation on the face of the filing.",https://lda.gov/filings/public/filing/6fc49b75-e67f-4d27-9c64-555616dee9d8/print/,Senate LDA filing (lda.senate.gov) + native_entity_lobbying_disclosures.csv,,,,182_rule_lobbying_registrant_native_ownership.py,2026-09-01,22,medium,contains_canonical,,,CE-0007G-30
401109618,COOK INLET REGION INC.,R1_SELF_FILED_ON_OWN_BEHALF,NATIVE_ENTITY,IS_OR_IS_OWNED_BY_THE_NAMED_NATIVE_ENTITY,ANRC-CKINLT-00,"Cook Inlet Region, Incorporated",Alaska Native Regional Corporation,B,1,"self_filed=1 on 7 filings; entity link method exact_normalized, confidence high","The registrant filed on its own behalf: registrant ""COOK INLET REGION INC."" and client ""COOK INLET REGION INC"" are the same organisation on the face of the filing.",https://lda.gov/filings/public/filing/f6d4ac7d-6533-4276-a70c-50c8cbe277c4/print/,Senate LDA filing (lda.senate.gov) + native_entity_lobbying_disclosures.csv,,,,182_rule_lobbying_registrant_native_ownership.py,2026-09-01,7,high,exact_normalized,,,CE-0007D-HN
301072,ARCTIC SLOPE REGIONAL CORP,R1_SELF_FILED_ON_OWN_BEHALF,NATIVE_ENTITY,IS_OR_IS_OWNED_BY_THE_NAMED_NATIVE_ENTITY,ANRC-ARCSLO-00,Arctic Slope Regional Corporation,Alaska Native Regional Corporation,B,1,"self_filed=1 on 5 filings; entity link method exact_normalized, confidence high","The registrant filed on its own behalf: registrant ""ARCTIC SLOPE REGIONAL CORP"" and client ""ARCTIC SLOPE REGIONAL CORP"" are the same organisation on the face of the filing.",https://lda.gov/filings/public/filing/8c206895-0ada-4bc4-a45e-76c29f3e9a25/print/,Senate LDA filing (lda.senate.gov) + native_entity_lobbying_disclosures.csv,,,,182_rule_lobbying_registrant_native_ownership.py,2026-09-01,5,high,exact_normalized,,,CE-00078-KR
400828460,AFOGNAK NATIVE CORPORATION,R1_SELF_FILED_ON_OWN_BEHALF,NATIVE_ENTITY,IS_OR_IS_OWNED_BY_THE_NAMED_NATIVE_ENTITY,AKNF-AFGNAK-00-KONIAG,Afognak,Federally recognized Alaska Native Village,B,1,"self_filed=1 on 6 filings; entity link method exact_subsidiary, confidence high","The registrant filed on its own behalf: registrant ""AFOGNAK NATIVE CORPORATION"" and client ""AFOGNAK NATIVE CORPORATION"" are the same organisation on the face of the filing.",https://lda.gov/filings/public/filing/08e9c0c1-9973-44df-8a18-df7e9327c81e/print/,Senate LDA filing (lda.senate.gov) + native_entity_lobbying_disclosures.csv,,,,182_rule_lobbying_registrant_native_ownership.py,2026-09-01,6,high,exact_subsidiary,,,CE-00002-CJ
88052,NATIVE AMERICAN RIGHTS FUND,R3_REGISTRANT_NAME_EQUALS_A_SPINE_ENTITY,NATIVE_ENTITY,IS_THE_NAMED_NATIVE_ENTITY,ITO-RGHTSF-00,Native American Rights Fund,Intertribal Organization,B,0,corporate-form-preserving normalized equality against the spine (canonical_or_official),"Registrant name ""NATIVE AMERICAN RIGHTS FUND"" equals spine entity ""Native American Rights Fund"" (ITO-RGHTSF-00, Intertribal Organization).",,data/spine/cedar_entity_spine.csv,,,,182_rule_lobbying_registrant_native_ownership.py,2026-09-01,,,,"declared B, not inherited: a name equality is a match, not a ruling. No spine row asserts that this LDA registrant is this entity.",,CE-000SH-3S
401103911,NANTICOKE LENNI-LENAPE TRIBAL NATION,R3_REGISTRANT_NAME_EQUALS_A_SPINE_ENTITY,NATIVE_ENTITY,IS_THE_NAMED_NATIVE_ENTITY,TRBS-NANTCK-00,Nanticoke Lenni-Lenape Tribal Nation,State-recognized tribe,B,0,corporate-form-preserving normalized equality against the spine (canonical_or_official),"Registrant name ""NANTICOKE LENNI-LENAPE TRIBAL NATION"" equals spine entity ""Nanticoke Lenni-Lenape Tribal Nation"" (TRBS-NANTCK-00, State-recognized tribe).",,data/spine/cedar_entity_spine.csv,,,,182_rule_lobbying_registrant_native_ownership.py,2026-09-01,,,,"declared B, not inherited: a name equality is a match, not a ruling. No spine row asserts that this LDA registrant is this entity.",,CE-001DS-VA
26535,NATIONAL AMERICAN INDIAN HOUSING COUNCIL,R3_REGISTRANT_NAME_EQUALS_A_SPINE_ENTITY,NATIVE_ENTITY,IS_THE_NAMED_NATIVE_ENTITY,ITO-HOUSIN-00,National American Indian Housing Council,Intertribal Organization,B,0,corporate-form-preserving normalized equality against the spine (canonical_or_official),"Registrant name ""NATIONAL AMERICAN INDIAN HOUSING COUNCIL"" equals spine entity ""National American Indian Housing Council"" (ITO-HOUSIN-00, Intertribal Organization).",,data/spine/cedar_entity_spine.csv,,,,182_rule_lobbying_registrant_native_ownership.py,2026-09-01,,,,"declared B, not inherited: a name equality is a match, not a ruling. No spine row asserts that this LDA registrant is this entity.",,CE-000RR-8R
25090,MICCOSUKEE TRIBE OF INDIANS OF FLORIDA,R5_IDENTIFIER_ATTRIBUTED_IN_THE_LEDGER,NATIVE_OWNED,OWNED_BY_THE_NAMED_NATIVE_ENTITY,TRBF-MCSKEE-00,Miccosukee,Federally recognized tribe,C,1,UEI HPH4GLNZJV75 is attributed in the identifier ledger by method 'hand' at tier A,Manual attribution with citation,,cedar_identifier_ledger_final.csv,UEI,HPH4GLNZJV75,IDENTIFIER_GRAPH_NODE,182_rule_lobbying_registrant_native_ownership.py,2026-09-01,,A,,,"min(ledger A, identifier assertion C) = C",CE-0016R-J1
400305430,NANA DEVELOPMENT CORPORATION,R5_IDENTIFIER_ATTRIBUTED_IN_THE_LEDGER,NATIVE_OWNED,OWNED_BY_THE_NAMED_NATIVE_ENTITY,ANRC-NANARC-00,"NANA Regional Corporation, Incorporated",Alaska Native Regional Corporation,C,1,UEI PUJCW9UH2455 is attributed in the identifier ledger by method 'agent_research_two_leg' at tier A,Agent-researched 2026-08-06: firm-declared parent + retrieved document,https://,cedar_identifier_ledger_final.csv,UEI,PUJCW9UH2455,IDENTIFIER_GRAPH_NODE,182_rule_lobbying_registrant_native_ownership.py,2026-09-01,,A,,,"min(ledger A, identifier assertion C) = C",CE-0007G-30
