registrant_id,registrant_name,registrant_name_variants,n_name_variants,house_registrant_id,registrant_description_lda_verbatim,registrant_city,registrant_state,registrant_zip,registrant_country,registrant_street,registrant_lda_contact_name,registrant_record_updated,n_filings_corpus,n_clients_corpus,first_filing_year_corpus,last_filing_year_corpus,n_filings_native_clients,n_native_clients,n_distinct_native_entities,native_entity_classes,n_clients_in_corpus_not_keyed_native,n_filings_org_type_barred,first_filing_year_native,last_filing_year_native,spend_reported_usd,spend_sensitivity_percell_max_usd,spend_sensitivity_naive_sum_usd,n_filings_reporting_no_dollar,issue_codes,n_distinct_issue_codes,share_filings_issue_IND_pct,government_entities_lobbied,n_distinct_lobbyists_corpus,n_lobbyist_rows_corpus,n_lobbyist_rows_with_covered_position,covered_positions_verbatim_top,self_filed_filings_corpus,is_self_filer,serves_native_entities,native_ownership_status,native_ownership_basis,native_ownership_evidence_quote,native_ownership_evidence_url,native_ownership_evidence_tier,native_ownership_entity_id,native_ownership_routes,n_ownership_routes,data_quality_flag,source,built_date
36127,"SONOSKY, CHAMBERS, SACHSE, ENDRESON & PERRY, LLP","SONOSKY, CHAMBERS, SACHSE, ENDRESON & PERRY, LLP",1,32732,Law Firm,"Washington, D.C.",DC,20005,US,"1425 K Street, N.W.",MARY PAVEL,2026-07-06,2525,71,1999,2026,1858,55,55,Federally recognized tribe:50|Federal-level self-governance consortium:2|Federally recognized Alaska Native Village:1|Federal-level constituency entity:1|Alaska Native Regional Corporation:1,0,0,1999,2026,12499000.0,12529000.0,13369000.0,1147,IND:1002|BUD:891|TRA:84|DIS:46|HCR:25|ENG:11|LAW:10|ROD:6|GAM:5|ENV:5,18,47.8,"SENATE:1278|HOUSE OF REPRESENTATIVES:1268|Bureau of Indian Affairs (BIA):346|Office of Management & Budget (OMB):175|Indian Health Service:170|Interior, Dept of (DOI):160|White House Office:95|Bureau of Reclamation:82|Justice, Dept of (DOJ):49|Federal Highway Administration (FHA):37",31,5340,394,"Special Assistant to the President, White House Domestic Policy Council:158|Staff Director and Chief Counsel for the Senate Committee on Indian Affairs:138|Staff Director/Chief Counsel Senate Committee on Indian Affairs:16",0,0,1,NO_CLAIM_FOUND,"No retrieved evidence establishes that this registrant is a Native entity or is Native-owned. NO_CLAIM_FOUND means nobody has established a claim, NOT that the registrant is not Native. The firm-self-statement route (R6) is NOT_CHECKED in this run: the session's web-search budget was exhausted, so no firm's own published ownership statement was retrieved.",,,,,R6_FIRM_SELF_STATEMENT:NOT_CHECKED,0,,"Senate LDA filings API (lda.senate.gov) registrant record and filings, via code/lobbying_pull",2026-08-26
30495,"PACE, LLP (FORMERLY PACE-CAPSTONE)","PACE, LLP (FORMERLY PACE-CAPSTONE)",1,33662,Lobbying Firm,Washington,DC,20003,US,"412 First St SE, Suite 175",DEVIN RHINERSON,2026-07-20,882,25,1999,2026,793,21,21,Federally recognized tribe:20|Alaska Native Regional Corporation:1,0,0,1999,2026,29203000.0,29213000.0,32241000.0,63,IND:691|ENV:106|TAX:79|DIS:77|GAM:53|NAT:52|ENG:49|WEL:39|TRA:24|LAW:23,14,56.0,"HOUSE OF REPRESENTATIVES:717|SENATE:716|Interior, Dept of (DOI):355|Bureau of Indian Affairs (BIA):343|Environmental Protection Agency (EPA):97|Indian Health Service:78|Treasury, Dept of:75|Justice, Dept of (DOJ):68|Transportation, Dept of (DOT):57|Natl Indian Gaming Commission:55",16,5219,1973,Legislative Assistant:860|Legislative Director:563|Communications Director:336,0,0,1,NO_CLAIM_FOUND,"No retrieved evidence establishes that this registrant is a Native entity or is Native-owned. NO_CLAIM_FOUND means nobody has established a claim, NOT that the registrant is not Native. The firm-self-statement route (R6) is NOT_CHECKED in this run: the session's web-search budget was exhausted, so no firm's own published ownership statement was retrieved.",,,,,R6_FIRM_SELF_STATEMENT:NOT_CHECKED,0,,"Senate LDA filings API (lda.senate.gov) registrant record and filings, via code/lobbying_pull",2026-08-26
39815,"VAN NESS FELDMAN, LLP","VAN NESS FELDMAN, LLP",1,30171,Law and Public Policy Firm,Washington,DC,20006,US,2000 Pennsylvania Ave.,CARLOS FLORES,2026-07-30,617,23,1999,2026,447,15,15,Federally recognized tribe:10|Alaska Native Regional Corporation:5,0,0,1999,2026,6315000.0,6335000.0,6520000.0,220,NAT:287|IND:249|ENG:88|BUD:76|ENV:68|TAX:32|ECN:25|GOV:23|TRA:17|EDU:16,18,25.8,"SENATE:348|HOUSE OF REPRESENTATIVES:335|Interior, Dept of (DOI):264|Agriculture, Dept of (USDA):66|Bureau of Land Management (BLM):64|Army, Dept of (Corps of Engineers):58|Treasury, Dept of:51|State, Dept of (DOS):51|Environmental Protection Agency (EPA):45|U.S. Forest Service:45",25,2928,422,"President's Council on Environmental Quality, Legal Intern to the General Counsel, 2006-2007; U.S. EPA, Legal Intern, Office of Enforcement and Compliance Assurance, 2006; Office of U.S. Senator Ted Stevens (RAK), LC, 2001-2003.:240|President's Council on Environmental Quality, Legal Intern to the General Counsel, 2006-2007; U.S. EPA, Legal Intern, Office of Enforcement and Compliance Assurance, 2006; Office of U.S. Senator Ted Stevens (R-AK), LC, 2001-2003.:116|Staff Assistant, Senate Committee on Appropriations (2015-2017); Professional Staff Member, Senate Committee on Appropriations (2017-2024); Subcommittee Clerk/Staff Director (2020-2021/2023-2024).:35",0,0,1,NO_CLAIM_FOUND,"No retrieved evidence establishes that this registrant is a Native entity or is Native-owned. NO_CLAIM_FOUND means nobody has established a claim, NOT that the registrant is not Native. The firm-self-statement route (R6) is NOT_CHECKED in this run: the session's web-search budget was exhausted, so no firm's own published ownership statement was retrieved.",,,,,R6_FIRM_SELF_STATEMENT:NOT_CHECKED,0,,"Senate LDA filings API (lda.senate.gov) registrant record and filings, via code/lobbying_pull",2026-08-26
12516,DORSEY & WHITNEY LLP,DORSEY & WHITNEY LLP,1,31770,Law firm,Minneapolis,MN,55402,US,50 South 6th Street,NATHAN WEBSTER,2026-07-30,283,36,1999,2007,260,31,31,Federally recognized tribe:28|Federally recognized Alaska Native Village:1|State-recognized tribe:1|Alaska Native Regional Corporation:1,0,0,1999,2007,1410000.0,1430000.0,1430000.0,202,IND:139|BUD:49|TAX:21|GAM:14|TRA:7|DIS:1|ECN:1|ENV:1|MMM:1,9,59.4,"SENATE:156|HOUSE OF REPRESENTATIVES:154|Interior, Dept of (DOI):147|Health & Human Services, Dept of (HHS):23|Transportation, Dept of (DOT):10|Justice, Dept of (DOJ):8|Agriculture, Dept of (USDA):5|Federal Highway Administration (FHA):4|Indian Health Service:4|Natl Indian Gaming Commission:2",22,1302,6,"SENIOR COUNSEL, SENATE COMM ON INDIAN AFFAIRS:5|CHIEF HEALTH ANALYST, SENATE FINANCE COMMITTEE:1",0,0,1,NO_CLAIM_FOUND,"No retrieved evidence establishes that this registrant is a Native entity or is Native-owned. NO_CLAIM_FOUND means nobody has established a claim, NOT that the registrant is not Native. The firm-self-statement route (R6) is NOT_CHECKED in this run: the session's web-search budget was exhausted, so no firm's own published ownership statement was retrieved.",,,,,R6_FIRM_SELF_STATEMENT:NOT_CHECKED,0,,"Senate LDA filings API (lda.senate.gov) registrant record and filings, via code/lobbying_pull",2026-08-26
401104785,CAPITOL HILL POLICY GROUP LLC,CAPITOL HILL POLICY GROUP LLC,1,43954,government relations and public affairs,Washington,DC,20002,US,"820 1st Street NE, Suite 710",ROBERT ODAWI PORTER,2026-07-29,252,11,2018,2026,240,10,10,Federally recognized tribe:9|Alaska Native Regional Corporation:1,0,0,2018,2026,8050000.0,8120000.0,8580000.0,16,IND:230|NAT:26|HOM:16|ECN:10,4,81.6,"HOUSE OF REPRESENTATIVES:219|SENATE:219|Interior, Dept of (DOI):186|Treasury, Dept of:116|Agriculture, Dept of (USDA):93|Energy, Dept of:39|Commerce, Dept of (DOC):36|Transportation, Dept of (DOT):33|Federal Communications Commission (FCC):29|Housing & Urban Development, Dept of (HUD):23",6,899,49,"â€‹Legislative Assistant, Sen. Ted Stevens; Counsel, Senate Commerce Committee; Staff Director, Senate Commerce Committee:11|Legislative Staff, Sen. Daniel Akaka, Senate Committee on Indian Affairs; Legislative Staff, Sen. Byron Dorgan, Senate Committee on Indian Affairs:9|Chief of Staff, Sen. John D. Rockefeller IV; Deputy Staff Director, Senate Commerce, Science, and Transportation Committee; Senior LA, Sen. Rockefeller; Senior Policy Advisor, Rep. Max Sandlin; Senior Projects Assistant / LA, Rep. Paul Kanjorski:8",0,0,1,NO_CLAIM_FOUND,"No retrieved evidence establishes that this registrant is a Native entity or is Native-owned. NO_CLAIM_FOUND means nobody has established a claim, NOT that the registrant is not Native. The firm-self-statement route (R6) is NOT_CHECKED in this run: the session's web-search budget was exhausted, so no firm's own published ownership statement was retrieved.",,,,,R6_FIRM_SELF_STATEMENT:NOT_CHECKED,0,,"Senate LDA filings API (lda.senate.gov) registrant record and filings, via code/lobbying_pull",2026-08-26
5404,"BARNES & THORNBURG, LLP","BARNES & THORNBURG, LLP",1,30212,Law firm.,Washington,DC,20004,US,555 12th Street N.W.,MATTHEW MORGAN,2026-07-30,286,10,2003,2026,174,7,7,Federally recognized tribe:7,0,0,2003,2026,8310000.0,8310000.0,8820000.0,34,IND:163|BUD:110|GAM:88|GOV:59|AGR:57|TAX:57|EDU:50|HCR:50|HOU:50|LAW:50,11,22.0,"HOUSE OF REPRESENTATIVES:155|SENATE:155|Interior, Dept of (DOI):134|Health & Human Services, Dept of (HHS):102|Office of Management & Budget (OMB):91|Small Business Administration (SBA):66|Transportation, Dept of (DOT):53|Education, Dept of:48|Justice, Dept of (DOJ):44|Executive Office of the President (EOP):42",24,2674,640,"Counsel, Senator Harry Reid; Counsel, Senate Asst. Majority Leader.:155|Counsel, Senator Harry Reid; Counsel, Asst. Majority Leader.:102|Leg Asst Sen Kelly Ayotte, Leg Asst Sen Mark Kirk:78",0,0,1,NO_CLAIM_FOUND,"No retrieved evidence establishes that this registrant is a Native entity or is Native-owned. NO_CLAIM_FOUND means nobody has established a claim, NOT that the registrant is not Native. The firm-self-statement route (R6) is NOT_CHECKED in this run: the session's web-search budget was exhausted, so no firm's own published ownership statement was retrieved.",,,,,R6_FIRM_SELF_STATEMENT:NOT_CHECKED,0,,"Senate LDA filings API (lda.senate.gov) registrant record and filings, via code/lobbying_pull",2026-08-26
318551,"ANDERSONTUELL, LLP","ANDERSONTUELL, LLP",1,39245,Native American Law Firm,Washington,DC,20002,US,"503 C Street, NE",MICHAEL J. ANDERSON,2022-04-06,216,22,2007,2011,164,13,13,Federally recognized tribe:13,0,0,2007,2011,1383664.98,1393664.98,1488664.98,117,IND:81|GAM:12|GOV:12|BUD:11|CAW:11|CON:11|ECN:11|HOU:11|RES:11|ENV:1,10,47.1,"HOUSE OF REPRESENTATIVES:66|SENATE:66|Bureau of Indian Affairs (BIA):63|Interior, Dept of (DOI):56|Justice, Dept of (DOJ):33",6,1045,882,PARTNER:409|ASSOC:147|Partner:122,0,0,1,NO_CLAIM_FOUND,"No retrieved evidence establishes that this registrant is a Native entity or is Native-owned. NO_CLAIM_FOUND means nobody has established a claim, NOT that the registrant is not Native. The firm-self-statement route (R6) is NOT_CHECKED in this run: the session's web-search budget was exhausted, so no firm's own published ownership statement was retrieved.",,,,,R6_FIRM_SELF_STATEMENT:NOT_CHECKED,0,,"Senate LDA filings API (lda.senate.gov) registrant record and filings, via code/lobbying_pull",2026-08-26
317732,FRANKLIN CREEK CONSULTING,FRANKLIN CREEK CONSULTING,1,40186,Consulting and Lobbying Firm,Washington,DC,20003,US,909 New Jersey Ave SE,THOMAS BRIERTON,2026-01-21,236,9,2007,2026,148,6,6,Federally recognized tribe:6,0,0,2007,2026,4412000.0,4412000.0,4538000.0,16,IND:142|GAM:50|ECN:1,3,73.6,"HOUSE OF REPRESENTATIVES:134|SENATE:134|Bureau of Indian Affairs (BIA):125|Natl Indian Gaming Commission:46|Interior, Dept of (DOI):41|Justice, Dept of (DOJ):23|Transportation, Dept of (DOT):4|UNDETERMINED:2",2,306,290,"Senior Professional Staff, House Resources Committee:164|Senior Professional Staff House Resources Committee:58|Senior Professional Staff, House Natural Resources Committee:30",0,0,1,NO_CLAIM_FOUND,"No retrieved evidence establishes that this registrant is a Native entity or is Native-owned. NO_CLAIM_FOUND means nobody has established a claim, NOT that the registrant is not Native. The firm-self-statement route (R6) is NOT_CHECKED in this run: the session's web-search budget was exhausted, so no firm's own published ownership statement was retrieved.",,,,,R6_FIRM_SELF_STATEMENT:NOT_CHECKED,0,,"Senate LDA filings API (lda.senate.gov) registrant record and filings, via code/lobbying_pull",2026-08-26
401106112,NANA REGIONAL CORPORATION,NANA REGIONAL CORPORATION,1,,Alaska Native regional corporation involved in community development,Anchorage,AK,99502,US,909 W 9th Ave,JEFFERY BOLTON,2026-07-24,22,1,2021,2026,22,1,1,Alaska Native Regional Corporation:1,0,0,2021,2026,1520000.0,1520000.0,1520000.0,1,DEF:22|SMB:22|IND:11,3,20.0,"HOUSE OF REPRESENTATIVES:21|SENATE:21|Small Business Administration (SBA):17|Interior, Dept of (DOI):2|White House Office:2|Treasury, Dept of:1",1,55,0,,22,1,1,NATIVE_OWNED,UEI QGSQK26MBMR6 is attributed in the identifier ledger by method 'agent_research_two_leg' at tier A,Agent-researched 2026-08-06: firm-declared parent + retrieved document,https://,B,CE-0007G-30,R1_SELF_FILED_ON_OWN_BEHALF|R5_IDENTIFIER_ATTRIBUTED_IN_THE_LEDGER,2,SELF_FILER_NOT_A_HIRED_FIRM,"Senate LDA filings API (lda.senate.gov) registrant record and filings, via code/lobbying_pull",2026-08-26
40043339,"ALUTIIQ, LLC","ALUTIIQ, LLC",1,39948,Alaska Native Corporaiton; government contracting,Anchorage,AK,99503,US,3909 Arctic Blvd,JANA M. TURVEY,2022-04-06,7,1,2008,2009,7,1,1,Federally recognized Alaska Native Village:1,0,0,2008,2009,290000.0,290000.0,290000.0,1,IND:7|SMB:7|DEF:6,3,35.0,HOUSE OF REPRESENTATIVES:6|SENATE:6,1,20,0,,0,0,1,NATIVE_ENTITY,"self_filed=1 on 7 filings; entity link method exact_subsidiary, confidence high | FLAG ALASKA_VILLAGE_GOVERNMENT_VS_VILLAGE_CORPORATION: the claimed entity is a village GOVERNMENT and the registrant's own name carries a corporate form. The village corporation is a different legal person. Inherited from the source and held for the same ruling.","The registrant filed on its own behalf: registrant ""ALUTIIQ, LLC"" and client ""ALUTIIQ LLC"" are the same organisation on the face of the filing.",https://lda.gov/filings/public/filing/ae2b9318-8ef4-42d3-8fb7-e0ed1d282004/print/,B,CE-00002-CJ,R1_SELF_FILED_ON_OWN_BEHALF,1,,"Senate LDA filings API (lda.senate.gov) registrant record and filings, via code/lobbying_pull",2026-08-26
