entity_id,canonical_name,entity_type,entity_state,filing_year,total_lobbying_spend_usd,spend_from_client_income_usd,spend_from_registrant_expenses_usd,n_filings,n_self_filed_filings,n_unique_registrants,top_lobbying_issue_codes,top_government_entities,cedar_uid
AKNF-AFGNAK-00-KONIAG,Afognak,Federally recognized Alaska Native Village,AK,2008,190000.0,0.0,190000.0,5,5,1,IND:5|SMB:5|DEF:4,HOUSE OF REPRESENTATIVES:4|SENATE:4,CE-00002-CJ
AKNF-AFGNAK-00-KONIAG,Afognak,Federally recognized Alaska Native Village,AK,2012,270000.0,130000.0,140000.0,7,3,2,DEF:6|IND:6|SMB:6|BUD:4|HOM:4,HOUSE OF REPRESENTATIVES:6|SENATE:6|White House Office:4|Small Business Administration (SBA):2,CE-00002-CJ
AKNF-AFGNAK-00-KONIAG,Afognak,Federally recognized Alaska Native Village,AK,2016,120000.0,120000.0,0.0,4,0,1,BUD:4|DEF:4|IND:4,HOUSE OF REPRESENTATIVES:4|SENATE:4,CE-00002-CJ
AKNF-CHSHNA-00-AHTNAI,Cheesh-Na,Federally recognized Alaska Native Village,AK,2006,0.0,0.0,0.0,2,0,1,IND:2|TRA:1,"Interior, Dept of (DOI):2",CE-00016-96
AKNF-KTCHKN-00-SEALSK-TLNGHD,Ketchikan,Federally recognized Alaska Native Village,AK,2003,0.0,0.0,0.0,2,0,1,GOV:2|IND:2,Bureau of Indian Affairs (BIA):1|HOUSE OF REPRESENTATIVES:1|SENATE:1,CE-00034-7M
AKNF-KTCHKN-00-SEALSK-TLNGHD,Ketchikan,Federally recognized Alaska Native Village,AK,2007,0.0,0.0,0.0,3,0,1,ECN:3|IND:3|TRA:3|HOU:1,"HOUSE OF REPRESENTATIVES:2|Interior, Dept of (DOI):2|SENATE:2|Transportation, Dept of (DOT):1",CE-00034-7M
AKNF-KTCHKN-00-SEALSK-TLNGHD,Ketchikan,Federally recognized Alaska Native Village,AK,2011,0.0,0.0,0.0,4,0,1,IND:4,"HOUSE OF REPRESENTATIVES:4|Health & Human Services, Dept of (HHS):4|Housing & Urban Development, Dept of (HUD):4|Interior, Dept of (DOI):4|SENATE:4",CE-00034-7M
AKNF-KTCHKN-00-SEALSK-TLNGHD,Ketchikan,Federally recognized Alaska Native Village,AK,2017,0.0,0.0,0.0,4,0,1,IND:1,Bureau of Indian Affairs (BIA):1|HOUSE OF REPRESENTATIVES:1|SENATE:1,CE-00034-7M
AKNF-MTLKTL-00-TLNGHD,Metlakatla,Federally recognized Alaska Native Village,AK,1999,100000.0,100000.0,0.0,4,0,2,IND:4,"HOUSE OF REPRESENTATIVES:4|SENATE:4|Bureau of Indian Affairs (BIA):2|Defense, Dept of (DOD):2|Health & Human Services, Dept of (HHS):2",CE-0003N-DX
AKNF-MTLKTL-00-TLNGHD,Metlakatla,Federally recognized Alaska Native Village,AK,2003,40000.0,40000.0,0.0,4,0,2,IND:3,"HOUSE OF REPRESENTATIVES:3|SENATE:3|Agriculture, Dept of (USDA):2",CE-0003N-DX
