document_number,publication_date,publication_year,title,agency_names,notice_kind,has_abstract,relevance_tier_from_tier_rule,missed_by_tier_rule,basis
94-4238,1994-02-25,1994,"Notice of Inventory Completion of Native American Human Remains from the Hawaiian Islands in the Collections of the Peabody Museum of Natural History, Yale University",Interior Department,inventory_completion,0,title_subject,0,FR standardised notice title prescribed by 43 CFR 10; does not depend on abstract availability
94-17582,1994-07-20,1994,"Notice of Inventory Completion for Native American Human Remains from Maine in the Possession of the Robert Abbe Museum, Bar Harbor, ME",Interior Department,inventory_completion,0,title_subject,0,FR standardised notice title prescribed by 43 CFR 10; does not depend on abstract availability
94-27078,1994-11-02,1994,Notice of Intent To Repatriate Cultural Items in the Possession of the USDA Forest Service,Interior Department,intent_to_repatriate,0,body_only_unverifiable,1,FR standardised notice title prescribed by 43 CFR 10; does not depend on abstract availability
94-28902,1994-11-23,1994,"Notice of Inventory Completion for Native Hawaiian Remains From Sunset Beach, North Shore of Oahu, HI, in the Possession of the University of Alaska Museum, University of Alaska Fairbanks, in Fairbanks, AK",Interior Department,inventory_completion,0,title_subject,0,FR standardised notice title prescribed by 43 CFR 10; does not depend on abstract availability
95-1876,1995-01-25,1995,"Notice of Intent to Repatriate a Cultural Item in the Possession of the Navajo Nation Museum, Window Rock, Arizona",Interior Department,intent_to_repatriate,0,weak_term_only,1,FR standardised notice title prescribed by 43 CFR 10; does not depend on abstract availability
95-3686,1995-02-15,1995,"Notice of Intent to Repatriate a Cultural Item in the Possession of the Robert Hull Flemming Museum of the University of Vermont, Burlington, Vermont",Interior Department,intent_to_repatriate,0,body_only_unverifiable,1,FR standardised notice title prescribed by 43 CFR 10; does not depend on abstract availability
95-8419,1995-04-06,1995,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects From Nebraska and Kansas in the Possession of the Nebraska State Historical Society, Lincoln, NE",Interior Department,inventory_completion,0,title_subject,0,FR standardised notice title prescribed by 43 CFR 10; does not depend on abstract availability
95-14294,1995-06-12,1995,"Notice of Inventory Completion of Native American Human Remains from Kaena Point, Oahu, HI in the Possession of the Hood Museum of Art, Dartmouth College",Interior Department,inventory_completion,0,title_subject,0,FR standardised notice title prescribed by 43 CFR 10; does not depend on abstract availability
95-16402,1995-07-05,1995,"Notice of Intent to Repatriate Native American Items in the Possession of the Hood Museum of Art, Dartmouth College, Hanover, NH",Interior Department,intent_to_repatriate,0,title_subject,0,FR standardised notice title prescribed by 43 CFR 10; does not depend on abstract availability
95-19927,1995-08-11,1995,"Notice of Inventory Completion for Native American Human Remains in the Possession of Knife River Indian Villages National Historic Site, National Park Service, Stanton, ND",Interior Department; National Park Service,inventory_completion,0,title_subject,0,FR standardised notice title prescribed by 43 CFR 10; does not depend on abstract availability
