surrogate_entity_id,entity_class,fiscal_year,canonical_name,identifier_type,identifier,recipient_states,n_contract_rows,total_obligations_usd,total_obligations_real2025_usd,rows_with_a_native_setaside_flag,obligations_with_a_native_setaside_flag,n_funding_agencies,funding_agencies,sectors,top_setaside,extent_competed_modal,evidence_tier,evidence_grade,sam_self_certification,firm_legal_name_is_person,publish_name,publish_federal_identifier,publishable_contract_facts,temporal_caveat,source_table,built_date,built_by,cedar_uid
CEDAR-ENT-000048,Individually Native-owned business,2009,Bank Of Cherokee County,UEI,CSAJDZ3BPJ23,OK,1,2500.00,3641.17,0,0.00,1,"Energy, Department Of",52,None reported,NOT COMPETED,A,elijah_ruling,NO,UNKNOWN,0,0,Y,contract rows end FY2009; a page fetched 2026-08-26 is 17 years later and cannot testify about ownership then,prime_contracts.csv (read only),2026-08-26,code/242_build_individual_native_firm_contracts.py,CE-000NV-BK
CEDAR-ENT-000050,Individually Native-owned business,2011,Cherokee Termite And Pest Control,UEI,DAMRKNM3XD77,OK,1,15192.00,21419.19,0,0.00,1,Indian Health Service,56,Other,COMPETED UNDER SAP,A,elijah_ruling,NO,UNKNOWN,0,0,Y,contract rows end FY2013; a page fetched 2026-08-26 is 13 years later and cannot testify about ownership then,prime_contracts.csv (read only),2026-08-26,code/242_build_individual_native_firm_contracts.py,CE-000NX-Q5
CEDAR-ENT-000052,Individually Native-owned business,2003,Cherokee - Technical Specialis,UEI,DRDHKE3BJNU7,FL,1,244681.00,409821.35,0,0.00,1,Dept Of Defense,54,None reported,NOT COMPETED,A,elijah_ruling,NO,UNKNOWN,0,0,Y,contract rows end FY2003; a page fetched 2026-08-26 is 23 years later and cannot testify about ownership then,prime_contracts.csv (read only),2026-08-26,code/242_build_individual_native_firm_contracts.py,CE-000NZ-3Q
CEDAR-ENT-000053,Individually Native-owned business,2005,"Cherokee Advanced Systems, Inc",UEI,E1QNMEUVCJH5,AL,1,-30511.00,-48252.48,1,-30511.00,1,Dept Of Defense,33,8(a),NOT AVAILABLE FOR COMPETITION,A,elijah_ruling,YES,0,1,1,Y,contract rows end FY2011; a page fetched 2026-08-26 is 15 years later and cannot testify about ownership then,prime_contracts.csv (read only),2026-08-26,code/242_build_individual_native_firm_contracts.py,CE-000P0-E0
CEDAR-ENT-000053,Individually Native-owned business,2011,"Cherokee Advanced Systems, Inc",UEI,E1QNMEUVCJH5,AL,1,-305.86,-431.23,1,-305.86,1,Dept Of Defense,33,8(a),NOT AVAILABLE FOR COMPETITION,A,elijah_ruling,YES,0,1,1,Y,contract rows end FY2011; a page fetched 2026-08-26 is 15 years later and cannot testify about ownership then,prime_contracts.csv (read only),2026-08-26,code/242_build_individual_native_firm_contracts.py,CE-000P0-E0
CEDAR-ENT-000054,Individually Native-owned business,2006,Cherokee Chainlink And Construction Incorporated,UEI,FHDUMPMKEPC3,CA,39,1665567.36,2555260.14,4,309602.24,3,Bureau Of Reclamation|Dept Of Defense|National Park Service,23|Not given,Other,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,A,elijah_ruling,YES,0,1,1,Y,contract rows end FY2014; a page fetched 2026-08-26 is 12 years later and cannot testify about ownership then,prime_contracts.csv (read only),2026-08-26,code/242_build_individual_native_firm_contracts.py,CE-000P1-MS
CEDAR-ENT-000054,Individually Native-owned business,2010,Cherokee Chainlink And Construction Incorporated,UEI,FHDUMPMKEPC3,CA,5,113900.74,163901.35,1,0.00,1,Dept Of Defense,23,Other,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,A,elijah_ruling,YES,0,1,1,Y,contract rows end FY2014; a page fetched 2026-08-26 is 12 years later and cannot testify about ownership then,prime_contracts.csv (read only),2026-08-26,code/242_build_individual_native_firm_contracts.py,CE-000P1-MS
CEDAR-ENT-000054,Individually Native-owned business,2014,Cherokee Chainlink And Construction Incorporated,UEI,FHDUMPMKEPC3,CA,1,0.00,0.00,1,0.00,1,National Oceanic And Atmospheric Administration,23,8(a),NOT COMPETED UNDER SAP,A,elijah_ruling,YES,0,1,1,Y,contract rows end FY2014; a page fetched 2026-08-26 is 12 years later and cannot testify about ownership then,prime_contracts.csv (read only),2026-08-26,code/242_build_individual_native_firm_contracts.py,CE-000P1-MS
CEDAR-ENT-000055,Individually Native-owned business,2004,The Cherokee 8A Group Incorporated,UEI,GKUMJS8XRVP5,NJ,51,3534359.00,5764737.40,32,1570771.00,1,Dept Of Defense,23|56|Not given,8(a),NOT AVAILABLE FOR COMPETITION,A,elijah_ruling,YES,0,1,1,Y,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,prime_contracts.csv (read only),2026-08-26,code/242_build_individual_native_firm_contracts.py,CE-000P2-TJ
CEDAR-ENT-000055,Individually Native-owned business,2008,The Cherokee 8A Group Incorporated,UEI,GKUMJS8XRVP5,NJ,107,13704828.29,20083795.36,88,7033611.57,2,Dept Of Defense|U.S. Coast Guard,23|33|56,8(a),NOT AVAILABLE FOR COMPETITION,A,elijah_ruling,YES,0,1,1,Y,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,prime_contracts.csv (read only),2026-08-26,code/242_build_individual_native_firm_contracts.py,CE-000P2-TJ
