surrogate_entity_id,entity_class,canonical_name,identifier_type,identifier,state,ruling_class,ruling_text,ruling_note,ruled_by,ruled_date,ruling_source_file,ruling_source_line,refuses_tribal_link_not_native_ownership,native_ownership_evidence_type,native_ownership_evidence_quote,native_ownership_evidence_url,native_ownership_evidence_date,native_ownership_evidence_n_legs,ruling_outcome,ruling_outcome_meaning,evidence_tier,tier_source,evidence_grade,web_pass_evidence_tier,web_pass_tier_basis,web_pass_independence,owner_tribal_affiliation_named,owner_tribal_affiliation_source,owner_tribal_affiliation_basis,owner_tribal_affiliation_resolved_to_tribe_id,owner_self_identifies_with_is_never_an_ownership_edge,sam_self_certification,sam_flags_asserted,sam_self_certification_note,ownership_asserted_as_of,contract_fy_min,contract_fy_max,temporal_gap_years,temporal_caveat,n_contract_rows,total_obligations_usd,privacy_class,firm_legal_name_is_person,consent_status,consent_date,consent_source,publish_name,publish_surrogate_id_only,publish_federal_identifier,publish_contract_facts,dnb_open_data_attaches,publication_policy_inherited_from,built_date,built_by,cedar_uid
CEDAR-ENT-000048,Individually Native-owned business,Bank Of Cherokee County,UEI,CSAJDZ3BPJ23,OK,INDIVIDUAL_NATIVE,individually_native_owned,owned by individual Cherokees,Elijah Moreno,2026-08-05,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,1011,0,Company website,owned by individual Cherokees,https://www.bankofcherokeecounty.net/about/our-story,2026-08-05,1,AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP,The owner affirmed that a private Native individual or family owns this firm. A positive ruling: promote.,A,"OUTCOME 'AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP' via RULING_OUTCOME (the ruling table carries no tier column). NOT derived from attribution_method: method membership says a human decided, never what they decided.",elijah_ruling,B,SELF_DESCRIPTION + OWNER_RULING(INDIVIDUAL_NATIVE/Company website),SELF_ASSERTION_ONLY,owned by individual Cherokees,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,SELF_STATED,,1,NO,,"SAM socio-economic flags are the filer's own self-certification. They are recorded in `sam_self_certification` and are never a tier, a class or a leg of evidence. Measured: americanIndianOwned = YES on 2,846 of 8,273 rows of the TRIBAL extract, so the flag does not separate individual from entity ownership; and 57.2% of attributed prime dollars carry no Native set-aside at all, so its absence is not evidence against.",2026-08-05,2009,2009,17,contract rows end FY2009; a page fetched 2026-08-26 is 17 years later and cannot testify about ownership then,1,2500.00,NO_CORPORATE_FORM,UNKNOWN,NOT_ASKED,,,0,1,0,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",nrc_meeting_participants ('Cedar Press names an individual only where a public professional capacity is established'); ferc_ex_parte_parties ('Cedar Press does not publish datasets about private individuals.'),2026-08-26,code/241_promote_individual_native_firms_in_place.py,CE-000NV-BK
CEDAR-ENT-000052,Individually Native-owned business,Cherokee - Technical Specialis,UEI,DRDHKE3BJNU7,FL,INDIVIDUAL_NATIVE,individually_native_owned,owned by individual Cherokees,Elijah Moreno,2026-08-05,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,1045,0,Narrative note,owned by individual Cherokees,,2026-08-05,0,AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP,The owner affirmed that a private Native individual or family owns this firm. A positive ruling: promote.,A,"OUTCOME 'AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP' via RULING_OUTCOME (the ruling table carries no tier column). NOT derived from attribution_method: method membership says a human decided, never what they decided.",elijah_ruling,B,OWNER_RULING(INDIVIDUAL_NATIVE/Narrative note),SELF_ASSERTION_ONLY,owned by individual Cherokees,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,OWNER_NARRATIVE_NOTE,,1,NO,,"SAM socio-economic flags are the filer's own self-certification. They are recorded in `sam_self_certification` and are never a tier, a class or a leg of evidence. Measured: americanIndianOwned = YES on 2,846 of 8,273 rows of the TRIBAL extract, so the flag does not separate individual from entity ownership; and 57.2% of attributed prime dollars carry no Native set-aside at all, so its absence is not evidence against.",2026-08-05,2003,2003,23,contract rows end FY2003; a page fetched 2026-08-26 is 23 years later and cannot testify about ownership then,1,244681.00,NO_CORPORATE_FORM,UNKNOWN,NOT_ASKED,,,0,1,0,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",nrc_meeting_participants ('Cedar Press names an individual only where a public professional capacity is established'); ferc_ex_parte_parties ('Cedar Press does not publish datasets about private individuals.'),2026-08-26,code/241_promote_individual_native_firms_in_place.py,CE-000NZ-3Q
CEDAR-ENT-000056,Individually Native-owned business,"Cherokee Construction, Inc.",UEI,GMKPWHJ5DDH9,GA,INDIVIDUAL_NATIVE,individually_native_owned,owned by individual Cherokees,Elijah Moreno,2026-08-05,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,1022,0,CAGE registry lookup,owned by individual Cherokees,https://cage.dla.mil/Search/Details?id=325254,2026-08-05,1,AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP,The owner affirmed that a private Native individual or family owns this firm. A positive ruling: promote.,A,"OUTCOME 'AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP' via RULING_OUTCOME (the ruling table carries no tier column). NOT derived from attribution_method: method membership says a human decided, never what they decided.",elijah_ruling,B,OWNER_RULING(INDIVIDUAL_NATIVE/CAGE registry lookup),INDEPENDENT_CORROBORATION,owned by individual Cherokees,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,SELF_STATED,,1,NO,,"SAM socio-economic flags are the filer's own self-certification. They are recorded in `sam_self_certification` and are never a tier, a class or a leg of evidence. Measured: americanIndianOwned = YES on 2,846 of 8,273 rows of the TRIBAL extract, so the flag does not separate individual from entity ownership; and 57.2% of attributed prime dollars carry no Native set-aside at all, so its absence is not evidence against.",2026-08-05,2000,2000,26,contract rows end FY2000; a page fetched 2026-08-26 is 26 years later and cannot testify about ownership then,2,12575.00,CORPORATE_FORM_PRESENT,0,NOT_ASKED,,,1,0,1,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",nrc_meeting_participants ('Cedar Press names an individual only where a public professional capacity is established'); ferc_ex_parte_parties ('Cedar Press does not publish datasets about private individuals.'),2026-08-26,code/241_promote_individual_native_firms_in_place.py,CE-000P3-0B
CEDAR-ENT-000060,Individually Native-owned business,Cherokee Energy Management & Construction Inc,UEI,JWJTGRKJRJC4,VA,INDIVIDUAL_NATIVE,individually_native_owned,owned by individual Cherokees,Elijah Moreno,2026-08-05,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,1025,0,Company website,owned by individual Cherokees,http://cherokee-energy.com/about/,2026-08-05,1,AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP,The owner affirmed that a private Native individual or family owns this firm. A positive ruling: promote.,A,"OUTCOME 'AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP' via RULING_OUTCOME (the ruling table carries no tier column). NOT derived from attribution_method: method membership says a human decided, never what they decided.",elijah_ruling,B,SELF_DESCRIPTION + OWNER_RULING(INDIVIDUAL_NATIVE/Company website),SELF_ASSERTION_ONLY,owned by individual Cherokees,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,SELF_STATED,,1,NO,,"SAM socio-economic flags are the filer's own self-certification. They are recorded in `sam_self_certification` and are never a tier, a class or a leg of evidence. Measured: americanIndianOwned = YES on 2,846 of 8,273 rows of the TRIBAL extract, so the flag does not separate individual from entity ownership; and 57.2% of attributed prime dollars carry no Native set-aside at all, so its absence is not evidence against.",2026-08-05,2010,2015,11,contract rows end FY2015; a page fetched 2026-08-26 is 11 years later and cannot testify about ownership then,8,2548509.86,CORPORATE_FORM_PRESENT,0,NOT_ASKED,,,1,0,1,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",nrc_meeting_participants ('Cedar Press names an individual only where a public professional capacity is established'); ferc_ex_parte_parties ('Cedar Press does not publish datasets about private individuals.'),2026-08-26,code/241_promote_individual_native_firms_in_place.py,CE-000P7-RF
CEDAR-ENT-000064,Individually Native-owned business,Cherokee Veterans Construction,UEI,L1DMC8BPD2N5,CA,INDIVIDUAL_NATIVE,individually_native_owned,owned by individual Cherokees,Elijah Moreno,2026-08-05,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,1044,0,CAGE registry lookup,owned by individual Cherokees,https://cage.dla.mil/Search/Details?id=1371066,2026-08-05,1,AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP,The owner affirmed that a private Native individual or family owns this firm. A positive ruling: promote.,A,"OUTCOME 'AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP' via RULING_OUTCOME (the ruling table carries no tier column). NOT derived from attribution_method: method membership says a human decided, never what they decided.",elijah_ruling,B,OWNER_RULING(INDIVIDUAL_NATIVE/CAGE registry lookup),INDEPENDENT_CORROBORATION,owned by individual Cherokees,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,SELF_STATED,,1,NO,,"SAM socio-economic flags are the filer's own self-certification. They are recorded in `sam_self_certification` and are never a tier, a class or a leg of evidence. Measured: americanIndianOwned = YES on 2,846 of 8,273 rows of the TRIBAL extract, so the flag does not separate individual from entity ownership; and 57.2% of attributed prime dollars carry no Native set-aside at all, so its absence is not evidence against.",2026-08-05,2010,2020,6,contract rows end FY2020; a page fetched 2026-08-26 is 6 years later and cannot testify about ownership then,23,2003282.64,CORPORATE_FORM_PRESENT,0,NOT_ASKED,,,1,0,1,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",nrc_meeting_participants ('Cedar Press names an individual only where a public professional capacity is established'); ferc_ex_parte_parties ('Cedar Press does not publish datasets about private individuals.'),2026-08-26,code/241_promote_individual_native_firms_in_place.py,CE-000PB-GK
CEDAR-ENT-000068,Individually Native-owned business,Cherokee Construction Inc,UEI,M3JMQDRNMKT8,KS,INDIVIDUAL_NATIVE,individually_native_owned,owned by individual Cherokees,Elijah Moreno,2026-08-05,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,1020,0,CAGE registry lookup,owned by individual Cherokees,https://cage.dla.mil/Search/Details?id=979259,2026-08-05,1,AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP,The owner affirmed that a private Native individual or family owns this firm. A positive ruling: promote.,A,"OUTCOME 'AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP' via RULING_OUTCOME (the ruling table carries no tier column). NOT derived from attribution_method: method membership says a human decided, never what they decided.",elijah_ruling,B,OWNER_RULING(INDIVIDUAL_NATIVE/CAGE registry lookup),INDEPENDENT_CORROBORATION,owned by individual Cherokees,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,SELF_STATED,,1,NO,,"SAM socio-economic flags are the filer's own self-certification. They are recorded in `sam_self_certification` and are never a tier, a class or a leg of evidence. Measured: americanIndianOwned = YES on 2,846 of 8,273 rows of the TRIBAL extract, so the flag does not separate individual from entity ownership; and 57.2% of attributed prime dollars carry no Native set-aside at all, so its absence is not evidence against.",2026-08-05,2015,2018,8,contract rows end FY2018; a page fetched 2026-08-26 is 8 years later and cannot testify about ownership then,4,128443.30,CORPORATE_FORM_PRESENT,0,NOT_ASKED,,,1,0,1,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",nrc_meeting_participants ('Cedar Press names an individual only where a public professional capacity is established'); ferc_ex_parte_parties ('Cedar Press does not publish datasets about private individuals.'),2026-08-26,code/241_promote_individual_native_firms_in_place.py,CE-000PF-8Q
CEDAR-ENT-000072,Individually Native-owned business,Cherokee Integrated Technologi,UEI,NN15J7FQRWV4,TX,INDIVIDUAL_NATIVE,individually_native_owned,owned by individual Cherokees,Elijah Moreno,2026-08-05,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,1036,0,CAGE registry lookup,owned by individual Cherokees,https://cage.dla.mil/Search/Details?id=404293,2026-08-05,1,AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP,The owner affirmed that a private Native individual or family owns this firm. A positive ruling: promote.,A,"OUTCOME 'AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP' via RULING_OUTCOME (the ruling table carries no tier column). NOT derived from attribution_method: method membership says a human decided, never what they decided.",elijah_ruling,B,OWNER_RULING(INDIVIDUAL_NATIVE/CAGE registry lookup),INDEPENDENT_CORROBORATION,owned by individual Cherokees,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,SELF_STATED,,1,NO,,"SAM socio-economic flags are the filer's own self-certification. They are recorded in `sam_self_certification` and are never a tier, a class or a leg of evidence. Measured: americanIndianOwned = YES on 2,846 of 8,273 rows of the TRIBAL extract, so the flag does not separate individual from entity ownership; and 57.2% of attributed prime dollars carry no Native set-aside at all, so its absence is not evidence against.",2026-08-05,2004,2004,22,contract rows end FY2004; a page fetched 2026-08-26 is 22 years later and cannot testify about ownership then,1,58845.00,POSSIBLE_PERSONAL_NAME,UNKNOWN,NOT_ASKED,,,0,1,0,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",nrc_meeting_participants ('Cedar Press names an individual only where a public professional capacity is established'); ferc_ex_parte_parties ('Cedar Press does not publish datasets about private individuals.'),2026-08-26,code/241_promote_individual_native_firms_in_place.py,CE-000PK-0V
CEDAR-ENT-000076,Individually Native-owned business,"Cherokee Information Services,",UEI,SE78D4FEDA87,VA,INDIVIDUAL_NATIVE,individually_native_owned,owned by individual Cherokees,Elijah Moreno,2026-08-05,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,1034,0,Company website,owned by individual Cherokees,https://www.axseum.com/our-story/about-axseum/,2026-08-05,1,AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP,The owner affirmed that a private Native individual or family owns this firm. A positive ruling: promote.,A,"OUTCOME 'AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP' via RULING_OUTCOME (the ruling table carries no tier column). NOT derived from attribution_method: method membership says a human decided, never what they decided.",elijah_ruling,B,SAM_SELF_CERT(reported_8a|reported_native_preference) + OWNER_RULING(INDIVIDUAL_NATIVE/Company website),SELF_ASSERTION_ONLY,owned by individual Cherokees,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,SELF_STATED,,1,YES,reported_8a|reported_native_preference,"SAM socio-economic flags are the filer's own self-certification. They are recorded in `sam_self_certification` and are never a tier, a class or a leg of evidence. Measured: americanIndianOwned = YES on 2,846 of 8,273 rows of the TRIBAL extract, so the flag does not separate individual from entity ownership; and 57.2% of attributed prime dollars carry no Native set-aside at all, so its absence is not evidence against.",2026-08-05,2000,2021,5,contract rows end FY2021; a page fetched 2026-08-26 is 5 years later and cannot testify about ownership then,493,244636568.68,CORPORATE_FORM_PRESENT,0,NOT_ASKED,,,1,0,1,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",nrc_meeting_participants ('Cedar Press names an individual only where a public professional capacity is established'); ferc_ex_parte_parties ('Cedar Press does not publish datasets about private individuals.'),2026-08-26,code/241_promote_individual_native_firms_in_place.py,CE-000PQ-RZ
CEDAR-ENT-000080,Individually Native-owned business,Mitchell Consulting Services Group Inc,UEI,PMLZCBF9U569,OK,INDIVIDUAL_NATIVE,OWNER_NAMED,"individual native. ""The company is a Native American owned, small, disadvantaged business with operating locations in Oklahoma City, OK, Colorado Springs, CO, and Lanham, MD."" https://mcsgtech.com/about/",Elijah Moreno,2026-08-07,review/rulings_inbox_2026-08-07_elijah.csv,,0,Owner note with URL,"individual native. ""The company is a Native American owned, small, disadvantaged business with operating locations in Oklahoma City, OK, Colorado Springs, CO, and Lanham, MD."" https://mcsgtech.com/about/",https://mcsgtech.com/about/,2026-08-07,1,AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP,The owner affirmed that a private Native individual or family owns this firm. A positive ruling: promote.,A,"OUTCOME 'AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP' via RULING_OUTCOME (the ruling table carries no tier column). NOT derived from attribution_method: method membership says a human decided, never what they decided.",elijah_ruling,B,SAM_SELF_CERT(reported_8a|reported_native_preference) + SELF_DESCRIPTION + OWNER_RULING(INDIVIDUAL_NATIVE/Owner note with URL),SELF_ASSERTION_ONLY,"individual native. ""The company is a Native American owned, small, disadvantaged business with operating locations in Oklahoma City, OK, Colorado Springs, CO, and Lanham, MD."" https://mcsgtech.com/about/",review/rulings_inbox_2026-08-07_elijah.csv,SELF_STATED,,1,YES,reported_8a|reported_native_preference,"SAM socio-economic flags are the filer's own self-certification. They are recorded in `sam_self_certification` and are never a tier, a class or a leg of evidence. Measured: americanIndianOwned = YES on 2,846 of 8,273 rows of the TRIBAL extract, so the flag does not separate individual from entity ownership; and 57.2% of attributed prime dollars carry no Native set-aside at all, so its absence is not evidence against.",2026-08-07,2011,2022,4,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,2253,80863052.39,CORPORATE_FORM_PRESENT,0,NOT_ASKED,,,1,0,1,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",nrc_meeting_participants ('Cedar Press names an individual only where a public professional capacity is established'); ferc_ex_parte_parties ('Cedar Press does not publish datasets about private individuals.'),2026-08-26,code/241_promote_individual_native_firms_in_place.py,CE-000PV-G3
CEDAR-ENT-000084,Individually Native-owned business,"Hal Hays Construction, Inc.",UEI,EM35E72WAL33,CA,INDIVIDUAL_NATIVE,INDIVIDUAL_NATIVE,surprisingly Native American owned https://www.halhays.com/our-history/,Elijah Moreno,2026-08-08,review/rulings_inbox_2026-08-08_elijah_batch2.csv,,0,Owner note with URL,surprisingly Native American owned https://www.halhays.com/our-history/,https://www.halhays.com/our-history/,2026-08-08,1,AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP,The owner affirmed that a private Native individual or family owns this firm. A positive ruling: promote.,A,"OUTCOME 'AFFIRM_INDIVIDUAL_NATIVE_OWNERSHIP' via RULING_OUTCOME (the ruling table carries no tier column). NOT derived from attribution_method: method membership says a human decided, never what they decided.",elijah_ruling,B,SAM_SELF_CERT(reported_8a|reported_native_preference) + SELF_DESCRIPTION + OWNER_RULING(INDIVIDUAL_NATIVE/Owner note with URL),SELF_ASSERTION_ONLY,surprisingly Native American owned https://www.halhays.com/our-history/,review/rulings_inbox_2026-08-08_elijah_batch2.csv,SELF_STATED,,1,YES,reported_8a|reported_native_preference,"SAM socio-economic flags are the filer's own self-certification. They are recorded in `sam_self_certification` and are never a tier, a class or a leg of evidence. Measured: americanIndianOwned = YES on 2,846 of 8,273 rows of the TRIBAL extract, so the flag does not separate individual from entity ownership; and 57.2% of attributed prime dollars carry no Native set-aside at all, so its absence is not evidence against.",2026-08-08,2004,2022,4,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,815,455345441.73,CORPORATE_FORM_PRESENT,0,NOT_ASKED,,,1,0,1,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",nrc_meeting_participants ('Cedar Press names an individual only where a public professional capacity is established'); ferc_ex_parte_parties ('Cedar Press does not publish datasets about private individuals.'),2026-08-26,code/241_promote_individual_native_firms_in_place.py,CE-000PZ-87
