verification_id,awardee_uei,cage_code_modal,awardee_name_modal,awardee_name_variants,recipient_state_modal,candidate_basis,n_contract_rows,total_obligations_usd,fy_min,fy_max,obligations_rank_among_unattributed,sam_self_certification,sam_flags_asserted,sam_flag_contract_rows,sam_flag_row_share,sam_setaside_values,self_description,self_description_sentence,self_description_url,self_description_fetch_date,self_description_http_status,self_description_ownership_kind,third_party,third_party_source_type,third_party_sentence,third_party_url,third_party_fetch_date,tribal_affiliation_named,tribal_affiliation_name,tribal_affiliation_source,prior_owner_ruling,prior_owner_ruling_note,prior_owner_ruling_evidence_url,prior_owner_ruling_source_file,prior_owner_ruling_date,prior_ruling_honored,name_trap_warning,temporal_caveat,prime_source_files,built_date,researcher_note,web_pass_batch,web_pass_matched_on,web_pass_verification_id,sam_fine_flags,sam_fine_flags_source,sam_individual_vs_entity,third_party_independence,prior_owner_ruling_evidence_type,evidence_tier,tier_basis,evidence_independence,ownership_class,ownership_class_source,privacy_class,publishable_entity_name,publishable_sentence,publishable_contract_facts,dnb_open_data_attaches,verification_built_date
INV-0005,FM2KJG6M5363,4CS13,"Copper River Information Technology, Llc","Copper River Information Technology, Llc | Copper River Information Technology, Llc, | Copper River Information Technology Limited Liability Company",AK,TOP400_FLAGGED,1720,471401841.02,2007,2022,7,YES,reported_8a|reported_buy_indian|reported_indian_business|reported_native_preference,906,0.5267,8(a)(900) | Buy Indian(5) | Indian Business(1),CLAIM_FOUND,Owned by the Native Village of Eyak,https://copperrivermc.com/copper-river-information-technology/,2026-08-26,200,TRIBAL_ENTITY,NOT_FOUND,,,,,YES,Native Village of Eyak,https://copperrivermc.com/copper-river-information-technology/,,,,,,,trap_token:river,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,master prime file.dta(1720),2026-08-26,"Page is on the corporate family site of parent Copper River Management Company. Same page classifies the firm as ""Graduated 8(a). Federally Recognized, Alaska Native, Tribal Owned, Small Disadvantaged Business."" The input name-trap token ""river"" is incidental here - ownership is stated independently of the name.",output_batch_01.csv,UEI,INV-0005,flag_tribally_owned_firm=1/1,"sam_prime_contracts_fy2000_2007.csv (TRIBAL variant only, 2026-08-26)",ENTITY_ASSERTED,,,B,SAM_SELF_CERT(reported_8a|reported_buy_indian|reported_indian_business|reported_native_preference) + SELF_DESCRIPTION,SELF_ASSERTION_ONLY,TRIBAL_ENTITY,SELF_DESCRIPTION,CORPORATE_FORM_PRESENT,Y,Y,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",2026-08-26
INV-0017,L1AAFNAP5HF3,3SWH2,Terathink Corporation,Terathink Corporation,VA,TOP400_FLAGGED,376,272205671.36,2007,2022,22,YES,reported_8a|reported_native_preference,91,0.242,8(a)(91),NO_SITE_FOUND,,https://www.terathink.com/,2026-08-26,tls_cert_mismatch,,FOUND,TRADE_PRESS,TeraThink is a Native American-owned information technology (IT) and management consulting firm focused on providing the highest level of value to their customers.,https://www.prnewswire.com/news-releases/terathink-awarded-12m-task-order-to-perform-independent-verification-and-validation-ivv-services-for-veterans-affairs-financial-management-business-transformation-fmbt-program-300756445.html,2026-08-26,NO,,,,,,,,,,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,master prime file.dta(376),2026-08-26,"TeraThink no longer has its own website: terathink.com resolves but presents a certificate valid only for www.cgi.com / web.cgi.com. CGI acquired TeraThink, merger closed March 31, 2020 per CGI's own release, and the CGI announcement does not describe TeraThink's prior ownership. The quoted sentence is TeraThink's own boilerplate inside a PR Newswire release dated November 28, 2018 - i.e. company-issued copy distributed by a newswire, contemporaneous with the contract period; coded TRADE_PRESS for want of a better bucket. No tribe named.",output_batch_01.csv,UEI,INV-0017,,,,SELF_SOURCED_AGGREGATOR,,C,SAM_SELF_CERT(reported_8a|reported_native_preference),FEDERAL_SELF_CERT_ONLY,NATIVE_UNSPECIFIED,THIRD_PARTY,CORPORATE_FORM_PRESENT,Y,Y,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",2026-08-26
INV-0032,K5BEUJL83NZ3,1T5H3,"Northcon, Inc.","Northcon, Inc. | Northcon Incorporated | Northcon, Inc | Northcon Inc",ID,TOP400_FLAGGED,1734,238683954.44,2002,2022,38,YES,reported_8a|reported_native_preference,227,0.1309,8(a)(227),CLAIM_FOUND,"Northcon Construction is a Native American owned business and an 8 (a) graduate, serving federal & commercial markets across the nation.",https://www.northconinc.com/,2026-08-26,200,NATIVE_UNSPECIFIED,NOT_FOUND,,,,,NO,,,INDIVIDUAL_NATIVE,individual native. Founded by Randy and Renay Smith 1977. https://www.northconinc.com/about/,https://www.northconinc.com/about/,review/rulings_inbox_2026-08-07_elijah.csv,2026-08-07,YES,,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,master prime file.dta(1734),2026-08-26,"Prior ruling INDIVIDUAL_NATIVE is NOT challenged; the site's own sentence just does not distinguish individual vs tribal, hence NATIVE_UNSPECIFIED. The /about/ page (https://www.northconinc.com/about/, 2026-08-26, 200) publishes the owners' names itself: 'Northcon, Inc. was founded by owners Randy and Renay Smith in 1977.' and 'The newly formed Native American owned company quickly grew from subcontract work...' No tribe named anywhere on the site. Contract rows FY2002-FY2022.",output_batch_02.csv,UEI,INV-0032,,,,,Owner note with URL,B,SAM_SELF_CERT(reported_8a|reported_native_preference) + SELF_DESCRIPTION + OWNER_RULING(INDIVIDUAL_NATIVE/Owner note with URL),SELF_ASSERTION_ONLY,INDIVIDUAL_NATIVE,OWNER_RULING,CORPORATE_FORM_PRESENT,Y,Y,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",2026-08-26
INV-0079,SJLFSX6YPEE7,0WV72,"Southwestern Dakotah, Inc.","Southwestern Dakotah, Inc. | Southwestern Dakotah Incorporated | Southwestern Dakotah Inc | Southwestern Dakotah, Inc",AZ,TOP400_FLAGGED,180,148408603.2,2001,2022,94,YES,reported_8a|reported_native_preference,14,0.0778,8(a)(14),NO_CLAIM_FOUND,,https://www.swdakotah.com/,2026-08-26,200,,FOUND,OTHER,The owner of this business is Native American.,"https://www.buzzfile.com/business/Southwestern-Dakotah,-Inc.-520-663-0970",2026-08-26,NO,,,,,,,,,,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,master prime file.dta(180),2026-08-26,"The company's own site (Tucson AZ, 'Established and incorporated in 1992') carries a mission statement, company facts and contact details but no ownership statement of any kind, and /about returns HTTP 404. Buzzfile, retrieved through a text proxy after a direct 403, also states 'Southwestern Dakotah, Inc. is a women owned business' and 'Southwestern Dakotah, Inc. is a minority owned business'. Buzzfile is a commercial data aggregator, not a certifying body, so this is corroboration of moderate strength only. A search snippet indicates an SBA certification-search profile exists at search.certifications.sba.gov for UEI SJLFSX6YPEE7 describing the firm as 'Native American-owned, woman-owned small business (WOSB)', but the live page rendered no content for me, so it is not recorded. Name-trap note: 'Dakotah' in the name carries no evidentiary weight and no source found names a specific tribe. Contracts FY2001-FY2022.",output_batch_03.csv,UEI,INV-0079,,,,SELF_SOURCED_AGGREGATOR,,C,SAM_SELF_CERT(reported_8a|reported_native_preference),FEDERAL_SELF_CERT_ONLY,NATIVE_UNSPECIFIED,THIRD_PARTY,CORPORATE_FORM_PRESENT,Y,Y,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",2026-08-26
INV-0105,P2NVQ79L5QM5,3DA11,"Northwind Engineering, Llc","Northwind Engineering, Llc | Northwind Engineering, L.L.C.",PA,TOP400_FLAGGED,526,113342451.89,2008,2022,132,YES,reported_8a|reported_native_preference,296,0.5627,8(a)(296),CLAIM_FOUND,Ms. Darcia North Wind is the managing member and majority owner of Northwind Engineering.,https://www.northwindeng.com/,2026-08-26,200,INDIVIDUAL_NATIVE,NOT_FOUND,,,,,YES,"Chippewa Cree - enrolled member, Rocky Boy's Reservation, Montana",https://www.northwindeng.com/,INDIVIDUAL_NATIVE,https://www.northwindeng.com/,https://www.northwindeng.com/,review/rulings_inbox_2026-08-08_elijah_batch2.csv,2026-08-08,YES,,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,master prime file.dta(526),2026-08-26,"prior_owner_ruling INDIVIDUAL_NATIVE is the project owner's settled ruling and is not re-litigated; this row ADDS the website sentence. The company's own site also states verbatim: 'Ms. North Wind is a Chippewa Cree American Indian, and an enrolled tribal member of the Rocky Boy Reservation in Montana.' That is the strongest individual-Native evidence in the batch: a named tribe AND an enrollment assertion, published by the company itself. Owner's personal name is company-published. Contract rows FY2008-2022; page fetched 2026-08-26.",output_batch_04.csv,UEI,INV-0105,,,,,Owner note with URL,B,SAM_SELF_CERT(reported_8a|reported_native_preference) + SELF_DESCRIPTION + OWNER_RULING(INDIVIDUAL_NATIVE/Owner note with URL),SELF_ASSERTION_ONLY,INDIVIDUAL_NATIVE,OWNER_RULING,CORPORATE_FORM_PRESENT,Y,Y,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",2026-08-26
INV-0123,RSALNLGDVE29,1XVZ0,"Kauffman & Associates, Inc.","Kauffman & Associates, Inc. | Kauffman And Associates Incorporated (0375) | Kauffman And Associates, Inc. | Kauffman & Assoc Inc",WA,TOP400_FLAGGED,432,97204212.37,2000,2022,154,YES,reported_8a|reported_buy_indian|reported_indian_business|reported_native_preference,105,0.2431,8(a)(87) | Buy Indian(17) | Indian Business(1),CLAIM_FOUND,an American Indian– and woman-owned management consulting firm,https://kauffmaninc.com/about-us/,2026-08-26,200,INDIVIDUAL_NATIVE,FOUND,OTHER,"The business is owned by Jo Ann Kauffman, who is a proud member of the Nez Perce tribe.",https://nativebusinesscenter.com/native-business-spotlight/kauffman-associates-inc/,2026-08-26,YES,Nez Perce Tribe,nativebusinesscenter.com Native Business Spotlight (third party); the company's own site also publishes owner Jo Ann Kauffman's Nez Perce affiliation on kauffmaninc.com/team/jo-ann-kauffman/,,,,,,,,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,master prime file.dta(432),2026-08-26,"The About Us fetch returned only the ownership clause quoted here; it is recorded verbatim as retrieved rather than stitched into a fuller sentence. The page footer also lists Woman-Owned Small Business (WOSB), Minority Women-Owned Small Business (MWOSB) and Indian Small Business Economic Enterprise (ISBEE). Contract rows run FY2000-FY2022 and the firm is still trading, so the 2026 page is a plausible but not proof-level guide to ownership across those years.",output_batch_05.csv,UEI,INV-0123,,,,INDEPENDENT,,A,SAM_SELF_CERT(reported_8a|reported_buy_indian|reported_indian_business|reported_native_preference) + SELF_DESCRIPTION + THIRD_PARTY(OTHER/INDEPENDENT),INDEPENDENT_CORROBORATION,INDIVIDUAL_NATIVE,SELF_DESCRIPTION,CORPORATE_FORM_PRESENT,Y,Y,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",2026-08-26
INV-0173,GELWJ7YV1RM5,3UPZ8,Hidden Water Inc,"Hidden Water Inc | Hidden Water, Inc | Hidden Water Incorporated",KS,TOP400_FLAGGED,5176,68507999.91,2007,2022,218,YES,reported_8a|reported_indian_business|reported_native_preference,1763,0.3406,8(a)(1755) | Indian Business(8),CLAIM_FOUND,We are a Native American owned small business that specializes in hazardous waste management and environmental consulting.,https://www.hiddenwaterinc.com,2026-08-26,200,NATIVE_UNSPECIFIED,NOT_FOUND,,,,,NO,,,INDIVIDUAL_NATIVE,individual Native American owned. https://www.hiddenwaterinc.com/,https://www.hiddenwaterinc.com/,review/rulings_inbox_2026-08-07_elijah.csv,2026-08-07,YES,,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,master prime file.dta(5176),2026-08-26,"Prior owner ruling INDIVIDUAL_NATIVE is settled and not revisited; this row only adds the website sentence. The company's own words say ""Native American owned"" without specifying individual vs entity and without naming a tribe, so ownership_kind is recorded as NATIVE_UNSPECIFIED on the strength of the sentence alone. One third-party aggregator labels the firm an ""Alaska Native Corporation""; that is unsupported by anything on the company site and is not recorded. Current page describes 2026 ownership; contracts run FY2007-FY2022.",output_batch_07.csv,UEI,INV-0173,,,,,Owner note with URL,B,SAM_SELF_CERT(reported_8a|reported_indian_business|reported_native_preference) + SELF_DESCRIPTION + OWNER_RULING(INDIVIDUAL_NATIVE/Owner note with URL),SELF_ASSERTION_ONLY,INDIVIDUAL_NATIVE,OWNER_RULING,CORPORATE_FORM_PRESENT,Y,Y,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",2026-08-26
INV-0193,CC4NWVGGBQU7,5ZM95,"Sweat, Llc","Sweat, Llc | Sweat Llc",FL,TOP400_FLAGGED,124,61573071.5,2010,2021,246,YES,reported_8a|reported_native_preference,117,0.9435,8(a)(117),SITE_UNREACHABLE,,http://www.sweat8a.com,2026-08-26,200_EMPTY_BODY,,FOUND,OTHER,"Sweat US, LLC is an SBA 8(a) SDB, Native American owned small business which specializes in contracting for federal, state, and commercial clients.",https://www.sweatusllc.com,2026-08-26,NO,,,,,,,,,,contract rows end FY2021; a page fetched 2026-08-26 is 5 years later and cannot testify about ownership then,master prime file.dta(124),2026-08-26,"ENTITY-MATCH CAUTION. The SAM record for UEI CC4NWVGGBQU7 (SWEAT LLC, Milton FL, registration expired 2023-01-23) lists http://www.sweat8a.com as the company website; that host returns HTTP 200 with an empty body (parked or blank), so no sentence from the awardee's own site could be retrieved. The sentence in the third-party columns is from sweatusllc.com, whose stated legal name is ""Sweat US, LLC"" — a DIFFERENT named entity in what appears to be the same family (a Sweat JV LLC and a Second Nature Sweat LLC JV also exist). I could not confirm these are the same legal entity, so this must not be treated as the awardee's own statement. Contracts FY2010-FY2021.",output_batch_07.csv,UEI,INV-0193,,,,RELATED_PARTY,,B,SAM_SELF_CERT(reported_8a|reported_native_preference) + THIRD_PARTY(OTHER/RELATED_PARTY),SELF_ASSERTION_ONLY,NATIVE_UNSPECIFIED,THIRD_PARTY,CORPORATE_FORM_PRESENT,Y,Y,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",2026-08-26
INV-0207,Z5LENCNB82N1,5P9E7,"Hickory Ground Solutions, Llc","Hickory Ground Solutions, Llc",VA,TOP400_FLAGGED,109,58478299.92,2010,2022,263,YES,reported_8a|reported_native_preference,93,0.8532,8(a)(93),CLAIM_FOUND,HGS is an SBA Certified 8(a) Native American-Owned Small Business.,https://web.archive.org/web/20220115130847/https://hickoryground.com/,2026-08-26,200,INDIVIDUAL_NATIVE,FOUND,OTHER,"Hickory Ground Solutions, LLC (HGS) is a Native American owned 8 (a) company",https://biz.prlog.org/hickoryground/,2026-08-26,YES,Muscogee (Creek) Nation -- Coweta tribal town,Archived company page https://web.archive.org/web/20220115130847/https://hickoryground.com/about-our-name/,,,,,,,,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,master prime file.dta(109),2026-08-26,"hickoryground.com no longer serves the company site (301 loop to a non-resolving host), so the company's own words were read from the Internet Archive capture of 2022-01-15 -- contemporaneous with the FY2022 end of the contract rows, which is a good rather than a bad match here. The archived 'About Our Name' page states: 'Our Founder and CEO, Bart Morrison, is directly descended through his Great Grandmother from the Coweta tribal town in Oklahoma, one of four mother towns established after the Creek Nation settled in Oklahoma.' Third-party PRLog profile is company-submitted, so it is weak corroboration.",output_batch_08.csv,UEI,INV-0207,,,,SELF_SOURCED_AGGREGATOR,,B,SAM_SELF_CERT(reported_8a|reported_native_preference) + SELF_DESCRIPTION,SELF_ASSERTION_ONLY,INDIVIDUAL_NATIVE,SELF_DESCRIPTION,CORPORATE_FORM_PRESENT,Y,Y,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",2026-08-26
INV-0324,NL3CX9G6P8X4,3H5F6,"Cherokee Fire Protection, Llc","Cherokee Fire Protection, Llc | Cherokee Fire Protection Llc",MD,PRIOR_OWNER_RULING,28,2601728.21,2008,2020,,YES,reported_8a|reported_native_preference,21,0.75,8(a)(21),SITE_UNREACHABLE,,https://www.ckfpe.com/,2026-08-26,TLS_HANDSHAKE_ERROR,,NOT_FOUND,,,,,NO,,,INDIVIDUAL_NATIVE,owned by individual Cherokees,https://cage.dla.mil/Search/Details?id=694467,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,2026-08-05,YES,trap_token:cherokee,contract rows end FY2020; a page fetched 2026-08-26 is 6 years later and cannot testify about ownership then,master prime file.dta(28),2026-08-26,"The opengovus SAM mirror for UEI NL3CX9G6P8X4 (fetched 2026-08-26, HTTP 200) resolves this firm to 'CHEROKEE FIRE PROTECTION ENGINEERING, LLC', 331 Partridge Ct, Clarksville, TN, corporate URL 'www.CKfpe.com'. WebFetch of https://www.ckfpe.com/ failed with an SSL handshake error (TLSV1_ALERT_INTERNAL_ERROR) — not a 404/403, so SITE_UNREACHABLE. Worth a manual browser retry. CAUTION FOR THE NEXT RESEARCHER: a similarly-named live site, https://cherokeyfireprotection.com/ (note the 'Cherokey' spelling), is a DIFFERENT company — it carries WBENC and Texas HUB certifications and no Native claim — do not treat it as this firm. Yahoo also surfaced directory listings for a 'Cherokee Fire Protection' at 6 W Main St, Middletown, MD 21769 (mapquest/yellowpages/superpages), consistent with the MD state in the input but with no ownership statement. Standing ruling untouched.",output_batch_12.csv,UEI,INV-0323,,,,,CAGE registry lookup,A,SAM_SELF_CERT(reported_8a|reported_native_preference) + OWNER_RULING(INDIVIDUAL_NATIVE/CAGE registry lookup),INDEPENDENT_CORROBORATION,INDIVIDUAL_NATIVE,OWNER_RULING,CORPORATE_FORM_PRESENT,Y,Y,Y,"NO - prime_contracts is BGOV/USAspending-sourced, not SAM entity extract",2026-08-26
