identifier_type,identifier,entity_name,ruling_text,ruling_class,ruling_note,evidence_type,evidence_url,ruled_by,ruled_date,source_line,n_propagated_rows
UEI,CSAJDZ3BPJ23,,individually_native_owned,INDIVIDUAL_NATIVE,owned by individual Cherokees,Company website,https://www.bankofcherokeecounty.net/about/our-story,Elijah Moreno,2026-08-05,1011,3
UEI,DRDHKE3BJNU7,,individually_native_owned,INDIVIDUAL_NATIVE,owned by individual Cherokees,Narrative note,,Elijah Moreno,2026-08-05,1045,3
UEI,GMKPWHJ5DDH9,,individually_native_owned,INDIVIDUAL_NATIVE,owned by individual Cherokees,CAGE registry lookup,https://cage.dla.mil/Search/Details?id=325254,Elijah Moreno,2026-08-05,1022,3
UEI,JWJTGRKJRJC4,,individually_native_owned,INDIVIDUAL_NATIVE,owned by individual Cherokees,Company website,http://cherokee-energy.com/about/,Elijah Moreno,2026-08-05,1025,6
UEI,L1DMC8BPD2N5,,individually_native_owned,INDIVIDUAL_NATIVE,owned by individual Cherokees,CAGE registry lookup,https://cage.dla.mil/Search/Details?id=1371066,Elijah Moreno,2026-08-05,1044,6
UEI,M3JMQDRNMKT8,,individually_native_owned,INDIVIDUAL_NATIVE,owned by individual Cherokees,CAGE registry lookup,https://cage.dla.mil/Search/Details?id=979259,Elijah Moreno,2026-08-05,1020,4
UEI,NN15J7FQRWV4,,individually_native_owned,INDIVIDUAL_NATIVE,owned by individual Cherokees,CAGE registry lookup,https://cage.dla.mil/Search/Details?id=404293,Elijah Moreno,2026-08-05,1036,3
UEI,SE78D4FEDA87,,individually_native_owned,INDIVIDUAL_NATIVE,owned by individual Cherokees,Company website,https://www.axseum.com/our-story/about-axseum/,Elijah Moreno,2026-08-05,1034,12
UEI,PMLZCBF9U569,Mitchell Consulting Services Group Inc,OWNER_NAMED,INDIVIDUAL_NATIVE,"individual native. ""The company is a Native American owned, small, disadvantaged business with operating locations in Oklahoma City, OK, Colorado Springs, CO, and Lanham, MD."" https://mcsgtech.com/about/",Owner note with URL,https://mcsgtech.com/about/,Elijah Moreno,2026-08-07,,0
UEI,EM35E72WAL33,Hal Hays Construction Inc.,INDIVIDUAL_NATIVE,INDIVIDUAL_NATIVE,surprisingly Native American owned https://www.halhays.com/our-history/,Owner note with URL,https://www.halhays.com/our-history/,Elijah Moreno,2026-08-08,,0
