anc_id,corporation_name,anc_class,status,uei,cage_code,parent_entity_class,confidence_tier,note,source,source_url,fetched_date,cedar_uid,cedar_uid_basis,entity_resolution_status,row_is_a_corporation,row_disposition,row_disposition_basis,row_disposition_date
ANC-7b96ad60ab078123,Ahtna Incorporated,ANC_REGIONAL,active_per_source,,,ANC,C,,ANCSA Regional/Village Corporation list (lbblawyers.com),https://ancsa.lbblawyers.com/native-corporations.htm,2026-08-05,CE-00076-76,"exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by corporation_name (as_recorded), candidate set restricted to ANRC/ANVC handles because parent_entity_class=ANC makes this row an ANCSA corporation and never a village tribe",resolved,Y,CORPORATION,,2026-09-02
ANC-8bdc6ac8ac30c6ea,Bristol Bay Native Corporation,ANC_REGIONAL,active_per_source,,,ANC,C,,ANCSA Regional/Village Corporation list (lbblawyers.com),https://ancsa.lbblawyers.com/native-corporations.htm,2026-08-05,CE-0007A-ZA,"exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by corporation_name (as_recorded), candidate set restricted to ANRC/ANVC handles because parent_entity_class=ANC makes this row an ANCSA corporation and never a village tribe",resolved,Y,CORPORATION,,2026-09-02
ANC-8dc72a954b6666d8,"Doyon, Limited",ANC_REGIONAL,active_per_source,,,ANC,C,,ANCSA Regional/Village Corporation list (lbblawyers.com),https://ancsa.lbblawyers.com/native-corporations.htm,2026-08-05,CE-0007E-QE,"exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by corporation_name (as_recorded), candidate set restricted to ANRC/ANVC handles because parent_entity_class=ANC makes this row an ANCSA corporation and never a village tribe",resolved,Y,CORPORATION,,2026-09-02
ANC-fb6157560c9eb9a2,The Thirteenth Regional Corporation,ANC_REGIONAL,defunct_historically_contracting,,,ANC,C,"Regional corporation for Alaska Natives residing outside Alaska. Bankrupt/defunct, so omitted from current rosters, but held federal contracts historically. Required for any backward-looking contracting panel.",Added per Elijah 2026-08-05; absent from current-state rosters,https://ancsa.lbblawyers.com/native-corporations.htm,2026-08-05,,,unresolved,Y,CANONICAL_THIRTEENTH_REGIONAL,"The Thirteenth Regional Corporation and The 13th Regional Corporation are ONE corporation entered twice. It is a real ANCSA regional corporation - for Alaska Natives resident outside Alaska - and Cedar's spine holds 12 ANRC handles, none of them this one. MINT PROPOSED, not minted here: the spine belongs to another workstream. 0 rows in ancsa_filings_index.csv depend on it, so the mint is low-risk. Count the CANONICAL row only.",2026-09-02
ANC-0d26934bd956e352,Alakanuk Native Corporation,ANC_VILLAGE,active_per_source,,,ANC,C,,ANCSA Regional/Village Corporation list (lbblawyers.com),https://ancsa.lbblawyers.com/native-corporations.htm,2026-08-05,CE-0007M-V4,"exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by corporation_name (as_recorded), candidate set restricted to ANRC/ANVC handles because parent_entity_class=ANC makes this row an ANCSA corporation and never a village tribe",resolved,Y,CORPORATION,,2026-09-02
ANC-9747eedad3cf7ca9,Askinuk Corporation,ANC_VILLAGE,active_per_source,,,ANC,C,,ANCSA Regional/Village Corporation list (lbblawyers.com),https://ancsa.lbblawyers.com/native-corporations.htm,2026-08-05,CE-0007N-1X,"exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by corporation_name (as_recorded), candidate set restricted to ANRC/ANVC handles because parent_entity_class=ANC makes this row an ANCSA corporation and never a village tribe",resolved,Y,CORPORATION,,2026-09-02
ANC-30ae5ef4cbea49ed,"Azachorok, Inc",ANC_VILLAGE,active_per_source,,,ANC,C,,ANCSA Regional/Village Corporation list (lbblawyers.com),https://ancsa.lbblawyers.com/native-corporations.htm,2026-08-05,CE-0007S-S1,"exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by corporation_name (as_recorded), candidate set restricted to ANRC/ANVC handles because parent_entity_class=ANC makes this row an ANCSA corporation and never a village tribe",resolved,Y,CORPORATION,,2026-09-02
ANC-5080e70af9140991,Beaver Kwit’chin Corporation,ANC_VILLAGE,active_per_source,,,ANC,C,,ANCSA Regional/Village Corporation list (lbblawyers.com),https://ancsa.lbblawyers.com/native-corporations.htm,2026-08-05,CE-00081-ES,"exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by corporation_name (as_recorded), candidate set restricted to ANRC/ANVC handles because parent_entity_class=ANC makes this row an ANCSA corporation and never a village tribe",resolved,Y,CORPORATION,,2026-09-02
ANC-7a5a33c7676ea227,Brevig Mission Native Corporation,ANC_VILLAGE,active_per_source,,,ANC,C,,ANCSA Regional/Village Corporation list (lbblawyers.com),https://ancsa.lbblawyers.com/native-corporations.htm,2026-08-05,CE-00080-80,"exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by corporation_name (as_recorded), candidate set restricted to ANRC/ANVC handles because parent_entity_class=ANC makes this row an ANCSA corporation and never a village tribe",resolved,Y,CORPORATION,,2026-09-02
ANC-0e44703e0a0e3b1b,Chaluka Corporation,ANC_VILLAGE,active_per_source,,,ANC,C,,ANCSA Regional/Village Corporation list (lbblawyers.com),https://ancsa.lbblawyers.com/native-corporations.htm,2026-08-05,CE-00083-TB,"exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by corporation_name (as_recorded), candidate set restricted to ANRC/ANVC handles because parent_entity_class=ANC makes this row an ANCSA corporation and never a village tribe",resolved,Y,CORPORATION,,2026-09-02
