party_link_id,object_type,object_id,entity_id,entity_name,entity_is_native,party_role,relationship,interest_share_pct,basis,confidence,source_url,fetched_date,built_date,cedar_uid,cedar_uid_basis
PL-RRE-OSMRE-AML-FY2013-CROWTRIBE-PRE-RECIPIENT,revenue_event,RRE-OSMRE-AML-FY2013-CROWTRIBE-PRE,TRBF-CROWMT-00,Crow,1,recipient,parent_native_entity,100,OSMRE FY2013 AML grant distribution table names the tribe and the amount; resolve_entity/core,A,https://web.archive.org/web/2018id_/http://www.osmre.gov/resources/grants/docs/FY13GrantDist.pdf,2026-09-01,2026-09-01,CE-0013W-VN,exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by entity_id=TRBF-CROWMT-00
PL-RRE-OSMRE-AML-FY2013-NAVAJONATION-PRE-RECIPIENT,revenue_event,RRE-OSMRE-AML-FY2013-NAVAJONATION-PRE,TRBF-NAVAJO-00,Navajo,1,recipient,parent_native_entity,100,OSMRE FY2013 AML grant distribution table names the tribe and the amount; resolve_entity/core,A,https://web.archive.org/web/2018id_/http://www.osmre.gov/resources/grants/docs/FY13GrantDist.pdf,2026-09-01,2026-09-01,CE-0017F-1G,exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by entity_id=TRBF-NAVAJO-00
PL-RRE-OSMRE-AML-FY2014-HOPITRIBE-PRE-RECIPIENT,revenue_event,RRE-OSMRE-AML-FY2014-HOPITRIBE-PRE,TRBF-HOPIAZ-00,Hopi,1,recipient,parent_native_entity,100,OSMRE FY2014 AML grant distribution table names the tribe and the amount; resolve_entity/core,A,https://web.archive.org/web/2018id_/http://www.osmre.gov/resources/grants/docs/FY14GrantDist.pdf,2026-09-01,2026-09-01,CE-00153-F4,exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by entity_id=TRBF-HOPIAZ-00
PL-RRE-OSMRE-AML-FY2015-CROWTRIBE-PRE-RECIPIENT,revenue_event,RRE-OSMRE-AML-FY2015-CROWTRIBE-PRE,TRBF-CROWMT-00,Crow,1,recipient,parent_native_entity,100,OSMRE FY2015 AML grant distribution table names the tribe and the amount; resolve_entity/core,A,https://web.archive.org/web/2018id_/http://www.osmre.gov/resources/grants/docs/FY15GrantDist.pdf,2026-09-01,2026-09-01,CE-0013W-VN,exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by entity_id=TRBF-CROWMT-00
PL-RRE-OSMRE-AML-FY2016-HOPITRIBE-PRE-RECIPIENT,revenue_event,RRE-OSMRE-AML-FY2016-HOPITRIBE-PRE,TRBF-HOPIAZ-00,Hopi,1,recipient,parent_native_entity,100,OSMRE FY2016 AML grant distribution table names the tribe and the amount; resolve_entity/core,A,https://www.osmre.gov/sites/default/files/inline-files/FY16GrantDist.pdf,2026-09-01,2026-09-01,CE-00153-F4,exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by entity_id=TRBF-HOPIAZ-00
PL-RRE-OSMRE-AML-FY2017-CROWTRIBE-PRE-RECIPIENT,revenue_event,RRE-OSMRE-AML-FY2017-CROWTRIBE-PRE,TRBF-CROWMT-00,Crow,1,recipient,parent_native_entity,100,OSMRE FY2017 AML grant distribution table names the tribe and the amount; resolve_entity/core,A,https://www.osmre.gov/sites/default/files/inline-files/FY17GrantDist.pdf,2026-09-01,2026-09-01,CE-0013W-VN,exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by entity_id=TRBF-CROWMT-00
PL-RRE-OSMRE-AML-FY2017-NAVAJONATION-PRE-RECIPIENT,revenue_event,RRE-OSMRE-AML-FY2017-NAVAJONATION-PRE,TRBF-NAVAJO-00,Navajo,1,recipient,parent_native_entity,100,OSMRE FY2017 AML grant distribution table names the tribe and the amount; resolve_entity/core,A,https://www.osmre.gov/sites/default/files/inline-files/FY17GrantDist.pdf,2026-09-01,2026-09-01,CE-0017F-1G,exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by entity_id=TRBF-NAVAJO-00
PL-RRE-OSMRE-AML-FY2019-CROWTRIBE-PRE-RECIPIENT,revenue_event,RRE-OSMRE-AML-FY2019-CROWTRIBE-PRE,TRBF-CROWMT-00,Crow,1,recipient,parent_native_entity,100,OSMRE FY2019 AML grant distribution table names the tribe and the amount; resolve_entity/core,A,https://www.osmre.gov/sites/default/files/inline-files/FY19GrantDistFINAL.pdf,2026-09-01,2026-09-01,CE-0013W-VN,exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by entity_id=TRBF-CROWMT-00
PL-RRE-OSMRE-AML-FY2019-NAVAJONATION-PRE-RECIPIENT,revenue_event,RRE-OSMRE-AML-FY2019-NAVAJONATION-PRE,TRBF-NAVAJO-00,Navajo,1,recipient,parent_native_entity,100,OSMRE FY2019 AML grant distribution table names the tribe and the amount; resolve_entity/core,A,https://www.osmre.gov/sites/default/files/inline-files/FY19GrantDistFINAL.pdf,2026-09-01,2026-09-01,CE-0017F-1G,exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by entity_id=TRBF-NAVAJO-00
PL-RRE-OSMRE-AML-FY2020-HOPITRIBE-PRE-RECIPIENT,revenue_event,RRE-OSMRE-AML-FY2020-HOPITRIBE-PRE,TRBF-HOPIAZ-00,Hopi,1,recipient,parent_native_entity,100,OSMRE FY2020 AML grant distribution table names the tribe and the amount; resolve_entity/core,A,https://www.osmre.gov/sites/default/files/inline-files/FY20GrantDist.pdf,2026-09-01,2026-09-01,CE-00153-F4,exact lookup in data/spine/cedar_identity_register.csv (register_status=active) by entity_id=TRBF-HOPIAZ-00
