enterprise_edge_id,enterprise_id,child_name_as_recorded,parent_name_as_recorded,owner_hub_cedar_uid,cedar_uid,owner_hub_name,relationship,relation_class,relationship_as_recorded,depth_as_recorded,ownership_percent_stated,evidence_class,source_review_status,source_id,source_url,source_document,source_fiscal_year,source_edition_date,quote,hub_resolution_method,hub_resolution_note,retrieved_date
NESTREL-001868841F2C94,CEDAR-NEST-000693-7X,"Eyak Resources, LLC",The Eyak Corporation,CE-0008V-A3,CE-0008V-A3,Eyak Corporation,wholly_owned,ownership,wholly_owned,1,,audited_annual_report_as_45_55_139,reviewed,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),The_Eyak_Corporation_2016__df160516.pdf,2016,2016-12-31,"include the accounts of The Eyak Corporation and its wholly-owned subsidiaries, Eyak Development Corporation, Cordova Central, LLC, The Aeonian Group, LLC, Eyak Services, LLC, Eyak Resources, LLC, NorthTide Group, LLC, Eyak Technology, LLC, EG Solutions, LLC, Radio Bay, LLC, Solutions71, LLC and a 51% owned subsidiary, Orca International Management, LLC (collectively, the Company)",exact_normalized_name,,2026-09-02
NESTREL-00C054099C3922,CEDAR-NEST-000045-KN,"AAA Valley Gravel, LLC",Ahtna Inc,CE-00076-76,CE-00076-76,"Ahtna, Incorporated",wholly_owned,ownership,wholly_owned,1,,audited_annual_report_as_45_55_139,reviewed,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),2016__Ahtna_Inc.__2016_Ahtna_Annual_Report_FINAL_no-bleed-Emailable__a4dd8db9.txt,2016,2016-12-31,"include the accounts of Ahtna, Incorporated, its wholly-owned subsidiaries (Ahtna Construction & Primary Products Corporation, Ahtna Development Corporation, Ahtna Facilities Services, Inc., Ahtna Technical Services, Inc., Ahtna Government Services Corporation, Ahtna Engineering Services, LLC, AKHI, LLC, Ahtna Design Build Inc., Ahtna Environmental Inc., Koht’aene Enterprises Company, LLC, Ahtna Support and Training Services, LLC, Ahtna Technologies, Inc., Ahtna Netiye’, Inc., Tolsona Oil & Gas Exploration LLC, Ahtna Global, LLC, Ahtna Logistics, LLC, AAA Valley Gravel, LLC and Ahtna Professional Services, Inc.), and its majority-owned joint ventures (AKHI Construction JV, Ahtna Hart-Crowser JV, Ahtna-CDM Smith JV and APSI-Centerra I, LLC), which are",exact_normalized_name,,2026-09-02
NESTREL-010FBFA381C010,CEDAR-NEST-000969-C1,"Katmai Educational Services, LLC",Ouzinkie Native Corporation,CE-000BA-KA,CE-000BA-KA,Ouzinkie Native Corporation,wholly_owned,ownership,wholly_owned,1,,audited_annual_report_as_45_55_139,reviewed,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),Ouzinkie_Native_Corporation_2024__6241071a.pdf,2024,2024-12-31,"include the accounts of Ouzinkie Native Corporation and its wholly owned subsidiaries include (collectively, the Company), ONC Properties, LLC (OP), ONC Properties of Ohio, LLC (OHO) Ouzinkie Aviation, LLC (OA), Katmai Government Services, LLC (KGS), Ouzinkie Tourism, LLC (OT), Katmai Wilderness Lodge, LLC (KWL) (KWL is consolidated in OT), Real Florida Adventures (RFA) (RFA is consolidated in OT), HZB, Inc., Spruce Island Fuel, LLC (SIF), Spruce Island Properties, LLC (SIP), Spruce Island Storage (SIS), Ouzinkie Log Cabins (OLC), LLC, Ouzinkie Educational Services, LLC (OES) and NUNA Properties (NUNA). Katmai Government Services, LLC includes its wholly owned subsidiaries, Katmai Management Services, LLC (KMS), Katmai Support Services, LLC (KSS), Katmai Information Technolo",exact_normalized_name,,2026-09-02
NESTREL-017139A8D52024,CEDAR-NEST-000103-SZ,"APSI-Centerra II, LLC",Ahtna Inc,CE-00076-76,CE-00076-76,"Ahtna, Incorporated",wholly_owned,ownership,wholly_owned,1,,audited_annual_report_as_45_55_139,reviewed,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),2018__Ahtna_Inc.__2018_Ahtna_Annual_Report_4-22-19__b9757300.txt,2018,2018-12-31,"include the accounts of Ahtna, Incorporated, its wholly- owned subsidiaries (Ahtna Construction & Primary Products Company, LLC, Ahtna Development Corporation, Ahtna Facility Services, Incorporated, Ahtna Technical Services, Inc., Ahtna Government Services Corporation, Ahtna Engineering Services, LLC, AKHI, LLC, Ahtna Design Build Inc., Ahtna Environmental, Inc., Ahtna Support and Training Services, LLC, Ahtna Technologies, Inc., Ahtna Netiye’, LLC, Tolsona Oil & Gas Exploration LLC, Ahtna Global, LLC, Ahtna Logistics, LLC, AAA Valley Gravel, LLC and Ahtna Professional Services, Inc.), and its majority-owned joint ventures (Ahtna-CDM Smith JV, Ahtna CDM JV, APSI-Centerra I, LLC and APSI-Centerra II, LLC), which are",exact_normalized_name,,2026-09-02
NESTREL-01F1100A117A09,CEDAR-NEST-001076-1D,"TDX Global, LLC",Tanadgusix Corporation,CE-000CR-CR,CE-000CR-CR,Tanadgusix Corporation (TDX),wholly_owned,ownership,wholly_owned,1,,audited_annual_report_as_45_55_139,reviewed,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),Tanadgusix_Corporation_2025__85e33893.pdf,2025,2025-12-31,"include the accounts of the Parent and its wholly owned subsidiaries (collectively, the Company), Pribilof Bering Seafoods, LLC; Pribilof Development Co., LLC; and TDX Holdings, LLC, which holds second tier wholly-owned subsidiaries Alaska-Seattle Hotel Investment, LLC; Alaska Park, LLC; International Inn, LLC; Bering Sea Eccotech, LLC; Bering Sea Environmental, LLC; BSET, LLC; BSH, LLC; BSX, LLC; TDX Combat Training Services, LLC, TDX Net, LLC; Sand Point Services, LLC; TDX Quality, LLC; TDX Global, LLC; TDX Global Solutions, LLC; St. Paul Fuel, LLC; St. Paul Island Tour, LLC; Sand Point Generating, LLC; TDX Power Services, LLC; TDX St. Paul Wind, LLC; and TDX Power, LLC, which holds third tier wholly owned subsidiaries TDX North Slope Generating, LLC; TDX",exact_normalized_name,,2026-09-02
NESTREL-0246C42623F42D,CEDAR-NEST-000699-BK,"OPTA Government Solutions, LLC",The Eyak Corporation,CE-0008V-A3,CE-0008V-A3,Eyak Corporation,wholly_owned,ownership,wholly_owned,1,,audited_annual_report_as_45_55_139,reviewed,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),The_Eyak_Corporation_2024__1fe1c2d0.pdf,2024,2024-12-31,"include the accounts of The Eyak Corporation and its wholly-owned subsidiaries, Eyak Development Corporation (""EDC""), Cordova Central, LLC (""CCL""), Eyak Services, LLC (""ESL""), Eyak Technology, LLC (""EyakTek""), Eyak Resources, LLC (""ERL""), NorthTide Group, LLC (""NTGL""), The Aeonian Group, LLC (""AGL""), Radio Bay, LLC (""RBL""), Controller Bay, LLC (""CBL""), Solutions71, LLC (""S71""), OPTA Government Solutions, LLC (""OPTA""), and Longhouse Government Solutions, LLC (""LGS"") and a 51% owned subsidiary, Orca International Management, LLC (""OIM"") (collectively, the Company)",exact_normalized_name,,2026-09-02
NESTREL-02CCDD8880C38C,CEDAR-NEST-000098-V2,"Ahtna-UNIT JV, LLC",Ahtna Inc,CE-00076-76,CE-00076-76,"Ahtna, Incorporated",joint_venture,affiliation,joint_venture,1,,audited_annual_report_as_45_55_139,reviewed,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),2023__Ahtna_Inc.__2023_Ahtna_Annual_Report_8-30-24__4aa367fd.txt,2023,2023-12-31,"include the accounts of Ahtna, Incorporated, its wholly-owned subsidiaries (Ahtna Construction & Primary Products Company, LLC; Ahtna Development Company, LLC; Ahtna Facility Services, Incorporated; Ahtna Technical Services, LLC; Ahtna Government Services Corporation; Ahtna Engineering Services, LLC; AKHI, LLC; Ahtna Design-Build, Inc.; Ahtna Environmental, Inc.; Ahtna Support and Training Services, LLC; Ahtna Invictus, LLC; Ahtna Technologies, LLC; Ahtna Marine & Construction Company, LLC; Ahtna USA, LLC; Ahtna Netiye’, LLC; Ahtna Global, LLC; Ahtna Logistics, LLC; A.A.A. Valley Gravel, LLC; Ahtna Petrochemical Products, LLC; Ahtna Solutions, LLC; Ahtna Infrastructure & Technologies, LLC; Ahtna Commercial Services, LLC; Ahtna Diversified Holdings, LLC; Ahtna Buil",exact_normalized_name,,2026-09-02
NESTREL-0309E7A557F2C7,CEDAR-NEST-000950-NP,"FDOC, Inc",Ounalashka Corporation,CE-000B9-DH,CE-000B9-DH,Ounalashka Corporation,majority_owned,ownership,majority_owned,1,,audited_annual_report_as_45_55_139,reviewed,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),Ounalashka_Corporation_2023__3aba2028.pdf,2023,2023-12-31,"include the accounts of the Company and its wholly owned and majority-owned subsidiaries. The Company’s subsidiaries are Dutch Harbor Development Corporation, Aleutian Development Corporation, Little Brazil Corporation, FDOC, Inc., Dutch Harbor Aggregate Company, Inc. (DHACI), Ounalashka Properties, Inc., Ounalashka Communications Corporation, Uknadax Corporation, Bidar Corporation, OC Environmental, Ounalashka Corporation/Chena Power LLC, OC Holdings, LLC, and Niigalax Corporation",exact_normalized_name,,2026-09-02
NESTREL-0382D201E952F7,CEDAR-NEST-000412-4W,"Chiulista Services, Inc",Calista Corporation,CE-0007B-53,CE-0007B-53,Calista Corporation,wholly_owned,ownership,wholly_owned,1,,audited_annual_report_as_45_55_139,reviewed,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),2016__Calista_Corporation__2016_Calista_Annual_Annual_Report_6-15-17__caa44a9f.txt,2016,2016-12-31,"include the Company’s accounts and its wholly owned subsidiaries, sorted by operating activity: Construction, equipment, and excavation: Real estate: Alaska Crane, Ltd. Aulukista, LLC Bilista Holding, LLC (BHL) Calista Real Estate, LLC (CRE) Brice Civil Constructors, Inc.*# Ena Holding, LLC Brice Engineering, LLC* Indian Creek Real Estate, LLC Brice Environmental Services Corporation (BESC) Gambell Properties, LLC Brice Equipment, LLC Settlers Bay Properties, Inc.* Brice Incorporated (BI) Tunista, Inc. (TI) Brice Investments, LLC Real Estate Ventures, LLC (REV) Brice Marine, LLC Yungcarvik, LLC Browns Hill Quarry, LLC Federal contracting: STG, Inc. Bista Expediting, Inc.* STG Pacific, LLC Chiulista Services, Inc. Terra Foundations, Inc. Tunista Logistics",exact_normalized_name,,2026-09-02
NESTREL-77B8BB9A318FA0,CEDAR-NEST-001085-QE,"Doyon, Limited",Tozitna Limited,CE-000CT-RA,CE-000CT-RA,"Tozitna, Ltd.",shareholding_or_ancestry,affiliation,shareholding_or_ancestry,1,,audited_annual_report_as_45_55_139,reviewed,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),Tozitna_Limited_2016__bfa008d5.pdf,2016,2016-12-31,"include the accounts of Tozitna, Limited and its wholly owned subsidiary, Tanana Gas Company. Tozitna, Limited (the Corporation) was incorporated in Alaska on July 30, 1973. It is the Tanana village corporation organized pursuant to the Alaska Native Claims Settlement Act of 1971 (ANCSA) and is located in the geographic region encompassed by the regional ANCSA corporation, Doyon, Limited. Distributions to the Corporation from the Alaska Native Fund were recorded as the carrying value of common stock. The Corporation derives its income primarily from the management of its investments in marketable securities and distributions from 7(j) Resource Revenue. Tanana Gas Company is a wholly owned subsidiary of Tozitna, Limited. Tanana Gas derives its income primarily fr",exact_normalized_name,"DOWNGRADED from ownership to a tie: publisher CE-000CT-RA and named firm CE-0007E-QE are both ANCSA corporations, and ANCSA_OWNERSHIP_RULING rules 4/5 make the regional/village and village/village link shareholding or ancestry, never ownership",2026-09-02
