enterprise_id,enterprise_name,enterprise_name_normalized,name_variants_observed,owner_hub_cedar_uid,cedar_uid,owner_hub_handle,owner_hub_name,owner_hub_entity_class,owner_class,owner_hub_state,parent_enterprise_id,parent_name,parent_is_hub,hierarchy_level,relationship,relation_class,relationship_as_recorded,ownership_percent_stated,sector,status,status_basis,city,state_province,address_basis,address_is_publishable,uei,cage_code,identifier_basis,uei_candidate,uei_candidate_basis,identifier_status,in_federal_contracting,in_federal_contracting_basis,identity_scope,assertion_class,evidence_class,n_source_observations,n_distinct_sources,evidence_human_reviewed,n_auto_ruled_observations,first_observed_year,last_observed_year,enterprise_existing_cedar_uid,constellation_edge_id,constellation_note,source_id,source_url,source_document,source_edition_date,hub_resolution_method,hub_resolution_note,record_scope,population_basis,publishable,publishable_basis,retrieved_date,built_by_script,built_date,fpds_parent_corroboration,fpds_parent_corroboration_route,fpds_declared_parent_uei,fpds_declared_parent_name,fpds_declared_parent_observations,fpds_parent_resolves_to,fpds_parent_corroboration_basis,duplicate_name_variant_group,duplicate_name_variant_basis
CEDAR-NEST-001630-JQ,Goldbelt Hawk Llc,goldbelt hawk,,CE-0006B-0K,CE-0006B-0K,AKNF-TLNGHD-00-SEALSK,Tlingit & Haida,Federally recognized tribe,tribal_government,AK,,Tlingit & Haida,Y,1,unspecified,affiliation,unspecified,,"Trade, Transportation, & Utilities",operating,named by its owner in a source dated 2026,NEWPORT NEWS,VA,parent's own subsidiary listing,Y,DMU6FQHKFMS5,,UEI from the SBA Dynamic Small Business Search extract,,,external_identifier,Y,published identifier found in the FPDS universe,owner_research_dataset_named_enterprise,OWNERSHIP,parent_self_published_company_list,1,1,N,1,2026,2026,,,,OWNERV6,https://www.goldbelt.com/directory/,"native_entity_enterprise_dataset_v6_geocoded.csv (the owner's research dataset, on this machine at ~/Desktop/dissertation/data/tribal_federal_spending/clean/) :: https://www.goldbelt.com/directory/",2026-04-29,source_supplied_cedar_uid,,BUSINESS,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,code/1072_tribally_owned_enterprises.py,2026-09-02,PARENT_UNRESOLVED,rung1_published_uei,P9QQX7RT8E98,GOLDBELT  INCORPORATED,806,,"declared FPDS parent 'GOLDBELT  INCORPORATED' (P9QQX7RT8E98) observed 806x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to (no Cedar entity); NEST asserts owner hub AKNF-TLNGHD-00-SEALSK. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",NESTDUP-0002,"2 enterprises under owner hub AKNF-TLNGHD-00-SEALSK share the parenthetical-stripped normalised name 'GOLDBELT HAWK'; the variant is acronym_like. NEST clusters on (owner hub, normalised name) and a trailing parenthetical survives normalisation, so a restatement of a firm already held became a second row instead of raising the first row's source count. FLAGGED, NOT MERGED - a CEDAR-NEST id is never retired as a side effect."
CEDAR-NEST-000056-N8,"Ahtna Design-Build, Inc",ahtna design build,"AHTNA DESIGN-BUILD, INC | Ahtna Design Build, Inc | Ahtna Design-Build",CE-00076-76,CE-00076-76,ANRC-AHTNAI-00,"Ahtna, Incorporated",Alaska Native Regional Corporation,alaska_native_corporation,AK,CEDAR-NEST-000064-A0,"Ahtna Federal Holdings, LLC",N,2,wholly_owned,ownership,subsidiary | unspecified | wholly_owned,,"civil, marine, infrastructure, environmental and facilities construction",operating,named by its owner in a source dated 2026 and first seen 2016,IRVINE,CA,parent's own subsidiary listing,Y,DRHWW9QLHMM5,8BYQ4,CAGE published by the parent (audited_annual_report_as_45_55_139),,,external_identifier,Y,published identifier found in the FPDS universe,parent_asserted_subsidiary,OWNERSHIP,audited_annual_report_as_45_55_139,14,3,Y,3,2016,2026,,,,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),2025__Ahtna_Inc.__2025_Ahtna_Inc._Annual_Report_4-28-2026__caf1c725.txt,2025-12-31,exact_normalized_name,,BUSINESS,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,code/1072_tribally_owned_enterprises.py,2026-09-02,CORROBORATED,rung1_published_uei,HM1PS6FAK6U7,AHTNA  INCORPORATED,145,ANRC-AHTNAI-00,"declared FPDS parent 'AHTNA  INCORPORATED' (HM1PS6FAK6U7) observed 145x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to ANRC-AHTNAI-00; NEST asserts owner hub ANRC-AHTNAI-00. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-000063-ZQ,"Ahtna Facility Services, Incorporated",ahtna facility services,"Ahtna Facility Services, Inc",CE-00076-76,CE-00076-76,ANRC-AHTNAI-00,"Ahtna, Incorporated",Alaska Native Regional Corporation,alaska_native_corporation,AK,,"Ahtna, Incorporated",Y,1,wholly_owned,ownership,subsidiary | unspecified | wholly_owned,,Professional & Business Services,operating,named by its owner in a source dated 2026 and first seen 2018,WEST SACRAMENTO,CA,parent's own subsidiary listing,Y,KLAQCDRRYG24,,UEI from the SBA Dynamic Small Business Search extract,,,external_identifier,Y,published identifier found in the FPDS universe,parent_asserted_subsidiary,OWNERSHIP,audited_annual_report_as_45_55_139,10,3,Y,2,2018,2026,,,,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),2025__Ahtna_Inc.__2025_Ahtna_Inc._Annual_Report_4-28-2026__caf1c725.txt,2025-12-31,exact_normalized_name,,BUSINESS,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,code/1072_tribally_owned_enterprises.py,2026-09-02,CORROBORATED,rung1_published_uei,HM1PS6FAK6U7,AHTNA  INCORPORATED,23,ANRC-AHTNAI-00,"declared FPDS parent 'AHTNA  INCORPORATED' (HM1PS6FAK6U7) observed 23x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to ANRC-AHTNAI-00; NEST asserts owner hub ANRC-AHTNAI-00. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-000095-47,"Ahtna Technical Services, LLC",ahtna technical services,"Ahtna Technical Services Inc | Ahtna Technical Services, Inc",CE-00076-76,CE-00076-76,ANRC-AHTNAI-00,"Ahtna, Incorporated",Alaska Native Regional Corporation,alaska_native_corporation,AK,,"Ahtna, Incorporated",Y,1,wholly_owned,ownership,subsidiary | unspecified | wholly_owned,,Professional & Business Services,operating,named by its owner in a source dated 2026 and first seen 2016,ANCHORAGE,AK,parent's own subsidiary listing,Y,JZUNQG1Q4ZU6,,UEI from the SBA Dynamic Small Business Search extract,,,external_identifier,Y,published identifier found in the FPDS universe,parent_asserted_subsidiary,OWNERSHIP,audited_annual_report_as_45_55_139,12,3,Y,1,2016,2026,,,,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),2025__Ahtna_Inc.__2025_Ahtna_Inc._Annual_Report_4-28-2026__caf1c725.txt,2025-12-31,exact_normalized_name,,BUSINESS,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,code/1072_tribally_owned_enterprises.py,2026-09-02,CORROBORATED,rung1_published_uei,HM1PS6FAK6U7,AHTNA  INCORPORATED,3118,ANRC-AHTNAI-00,"declared FPDS parent 'AHTNA  INCORPORATED' (HM1PS6FAK6U7) observed 3118x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to ANRC-AHTNAI-00; NEST asserts owner hub ANRC-AHTNAI-00. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-000139-PK,ASRC Federal Broadleaf,asrc federal broadleaf,,CE-00078-KR,CE-00078-KR,ANRC-ARCSLO-00,Arctic Slope Regional Corporation,Alaska Native Regional Corporation,alaska_native_corporation,AK,CEDAR-NEST-000153-AH,"ASRC Federal Holding Company, LLC",N,2,subsidiary,ownership,subsidiary | unspecified,,"Digital Ops & IT Modernization, Professional Services , Software, Apps & Analytics",operating,named by its owner in a source dated 2026,RESTON,Virginia,"SBA Dynamic Small Business Search extract, matched on published UEI",Y,DGA4AQ4DJYY9,5RWC4,CAGE published by the parent (parent_self_published_company_list); UEI resolved from that CAGE via fpds_uei_cage_map.csv,,,external_identifier,Y,published identifier found in the FPDS universe,parent_asserted_subsidiary,OWNERSHIP,parent_self_published_company_list,3,3,Y,1,2026,2026,,,,shard-E,https://www.asrcfederal.com/companies/,www_asrcfederal_com_7e9a6106.html,,source_supplied_cedar_uid,,BUSINESS,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,code/1072_tribally_owned_enterprises.py,2026-09-02,CORROBORATED,rung1_published_uei,CY16XXPHX213,ARCTIC SLOPE REGIONAL CORPORATION,325,ANRC-ARCSLO-00,"declared FPDS parent 'ARCTIC SLOPE REGIONAL CORPORATION' (CY16XXPHX213) observed 325x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to ANRC-ARCSLO-00; NEST asserts owner hub ANRC-ARCSLO-00. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-000146-02,ASRC Federal Data Networx,asrc federal data networx,"Asrc Federal Data Networx, Llc",CE-00078-KR,CE-00078-KR,ANRC-ARCSLO-00,Arctic Slope Regional Corporation,Alaska Native Regional Corporation,alaska_native_corporation,AK,CEDAR-NEST-000153-AH,"ASRC Federal Holding Company, LLC",N,2,subsidiary,ownership,subsidiary | unspecified,,"Software, Apps & Analytics , Digital Ops & IT Modernization , Professional Services",operating,named by its owner in a source dated 2026,BELTSVILLE,MD,parent's own subsidiary listing,Y,H8L4SLLMSV15,7JVR1,CAGE published by the parent (parent_self_published_company_list),,,external_identifier,Y,published identifier found in the FPDS universe,parent_asserted_subsidiary,OWNERSHIP,parent_self_published_company_list,3,3,Y,2,2026,2026,,,,shard-E,https://www.asrcfederal.com/companies/,www_asrcfederal_com_7e9a6106.html,,source_supplied_cedar_uid,,BUSINESS,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,code/1072_tribally_owned_enterprises.py,2026-09-02,CORROBORATED,rung1_published_uei,CY16XXPHX213,ARCTIC SLOPE REGIONAL CORPORATION,51,ANRC-ARCSLO-00,"declared FPDS parent 'ARCTIC SLOPE REGIONAL CORPORATION' (CY16XXPHX213) observed 51x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to ANRC-ARCSLO-00; NEST asserts owner hub ANRC-ARCSLO-00. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-000441-Q1,"Tunista Logistics Solutions, LLC",tunista logistics solutions,"Tunista Logistics Solutions, Llc",CE-0007B-53,CE-0007B-53,ANRC-CALSTA-00,Calista Corporation,Alaska Native Regional Corporation,alaska_native_corporation,AK,,Calista Corporation,Y,1,wholly_owned,ownership,operating company | subsidiary | unspecified | wholly_owned,,"Aerospace, Aviation & Defense",operating,named by its owner in a source dated 2026 and first seen 2016,ANCHORAGE,AK,parent's own subsidiary listing,Y,GXL8H2H5H3E5,,UEI from the SBA Dynamic Small Business Search extract,,,external_identifier,Y,published identifier found in the FPDS universe,parent_asserted_subsidiary,OWNERSHIP,audited_annual_report_as_45_55_139,7,4,Y,1,2016,2026,,,,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),2020__Calista_Corporation__2020_Calista_Annual_Report_5-21-21__b0419760.txt,2020-12-31,exact_normalized_name,,BUSINESS,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,code/1072_tribally_owned_enterprises.py,2026-09-02,PARENT_UNRESOLVED,rung1_published_uei,R62EUDBEJH75,YULISTA HOLDING  LLC,351,,"declared FPDS parent 'YULISTA HOLDING  LLC' (R62EUDBEJH75) observed 351x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to (no Cedar entity); NEST asserts owner hub ANRC-CALSTA-00. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",NESTDUP-0015,"2 enterprises under owner hub ANRC-CALSTA-00 share the parenthetical-stripped normalised name 'TUNISTA LOGISTICS SOLUTIONS'; the variant is acronym_like. NEST clusters on (owner hub, normalised name) and a trailing parenthetical survives normalisation, so a restatement of a firm already held became a second row instead of raising the first row's source count. FLAGGED, NOT MERGED - a CEDAR-NEST id is never retired as a side effect."
CEDAR-NEST-002101-BF,United Tribes Technical College,united tribes technical college,UNITED TRIBES TECHNICAL COLLEGE,CE-00125-C6,CE-00125-C6,TRBF-AUBURN-00,United Auburn,Federally recognized tribe,tribal_government,CA,,United Auburn,Y,1,unspecified,affiliation,unspecified,,Other services or Not given,operating,named by its owner in a source dated 2026,BISMARCK,ND,parent's own subsidiary listing,Y,G81MSXW3MJR3,1RKV3,CAGE published by the parent (parent_self_published_company_list),,,external_identifier,Y,published identifier found in the FPDS universe,owner_research_dataset_named_enterprise,OWNERSHIP,parent_self_published_company_list,2,1,N,2,2026,2026,CE-0011B-BC,,,OWNERV6,,"native_entity_enterprise_dataset_v6_geocoded.csv (the owner's research dataset, on this machine at ~/Desktop/dissertation/data/tribal_federal_spending/clean/)",2026-05-01,source_supplied_cedar_uid,this enterprise is already a Cedar entity: TCU-NTDTRB-00 (Tribal College or University),BUSINESS,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,code/1072_tribally_owned_enterprises.py,2026-09-02,PARENT_UNRESOLVED,rung1_published_uei,XV4ETUC6N323,ND ASSOCIATES OF TRIBAL COLLEGES,1605,,"declared FPDS parent 'ND ASSOCIATES OF TRIBAL COLLEGES' (XV4ETUC6N323) observed 1605x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to (no Cedar entity); NEST asserts owner hub TRBF-AUBURN-00. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-003610-R5,Navajo Agricultural Products Industry,navajo agricultural products industry,,CE-0017F-1G,CE-0017F-1G,TRBF-NAVAJO-00,Navajo,Federally recognized tribe,tribal_government,AZ,,Navajo,Y,1,unspecified,affiliation,unspecified,,Manufacturing,operating,named by its owner in a source dated 2026,FARMINGTON,NM,parent's own subsidiary listing,Y,MJS4APR9J673,,UEI from the SBA Dynamic Small Business Search extract,,,external_identifier,Y,published identifier found in the FPDS universe,owner_research_dataset_named_enterprise,OWNERSHIP,owner_research_dataset_hand_ruling,1,1,Y,0,2026,2026,,CONST-3090D61876F6,"the service constellation records a relationship between this firm and this hub; cedar_constellation_edges.csv is SERVICE (who serves whom), NEST is OWNERSHIP AND CORPORATE AFFILIATION - the two corroborate, they do not duplicate",OWNERV6,,"native_entity_enterprise_dataset_v6_geocoded.csv (the owner's research dataset, on this machine at ~/Desktop/dissertation/data/tribal_federal_spending/clean/)",2026-04-27,source_supplied_cedar_uid,,BUSINESS,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,code/1072_tribally_owned_enterprises.py,2026-09-02,CORROBORATED,rung1_published_uei,KEBVZNK93W87,"NAVAJO NATION TRIBAL GOVERNMENT, THE",37,TRBF-NAVAJO-00,"declared FPDS parent 'NAVAJO NATION TRIBAL GOVERNMENT, THE' (KEBVZNK93W87) observed 37x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to TRBF-NAVAJO-00; NEST asserts owner hub TRBF-NAVAJO-00. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",NESTDUP-0051,"2 enterprises under owner hub TRBF-NAVAJO-00 share the parenthetical-stripped normalised name 'NAVAJO AGRICULTURAL PRODUCTS INDUSTRY'; the variant is acronym_like. NEST clusters on (owner hub, normalised name) and a trailing parenthetical survives normalisation, so a restatement of a firm already held became a second row instead of raising the first row's source count. FLAGGED, NOT MERGED - a CEDAR-NEST id is never retired as a side effect."
CEDAR-NEST-004386-96,The Tohono O'Odham Nation,the tohono o'odham nation,THE TOHONO OODHAM NATION,CE-001B9-HT,CE-001B9-HT,TRBF-THNODM-00,Tohono O'odham,Federally recognized tribe,tribal_government,AZ,,Tohono O'odham,Y,1,unspecified,affiliation,unspecified,,Professional & Business Services,operating,named by its owner in a source dated 2026,TUCSON,AZ,parent's own subsidiary listing,Y,REJWGHV4EX91,,UEI from the SBA Dynamic Small Business Search extract,,,external_identifier,Y,published identifier found in the FPDS universe,owner_research_dataset_named_enterprise,OWNERSHIP,owner_research_dataset_resolver_output,2,1,N,2,2026,2026,,,,OWNERV6,,"native_entity_enterprise_dataset_v6_geocoded.csv (the owner's research dataset, on this machine at ~/Desktop/dissertation/data/tribal_federal_spending/clean/)",2026-04-27,source_supplied_cedar_uid,,BUSINESS,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,code/1072_tribally_owned_enterprises.py,2026-09-02,CORROBORATED,rung1_published_uei,CVJDAJDG27P5,"TOHONO O'ODHAM NATION, THE",25,TRBF-THNODM-00,"declared FPDS parent 'TOHONO O'ODHAM NATION, THE' (CVJDAJDG27P5) observed 25x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to TRBF-THNODM-00; NEST asserts owner hub TRBF-THNODM-00. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",NESTDUP-0058,"2 enterprises under owner hub TRBF-THNODM-00 share the parenthetical-stripped normalised name 'TOHONO O ODHAM NATION'; the variant is unknown. NEST clusters on (owner hub, normalised name) and a trailing parenthetical survives normalisation, so a restatement of a firm already held became a second row instead of raising the first row's source count. FLAGGED, NOT MERGED - a CEDAR-NEST id is never retired as a side effect."
