newsletter_id,cedar_uid,tribe_id,publisher_name,entity_class,state,publication_name,record_status,channel_type,channel_url,channel_host,format,issue_cadence,archive_earliest_year,archive_latest_year,archive_span_years,archive_depth_n_issues,archive_depth_basis,back_issues_open,business_content,business_content_terms,n_recent_issue_urls,recent_issue_urls,discovery_technique,http_status,retrieved_date,source_shard,served_tribe_id,note
NLTR-CE-00124-6D-0155a2d1,CE-00124-6D,TRBF-ASHAWN-00,Absentee-Shawnee,Federally recognized tribe,OK,Newsletters | Absentee Shawnee Tribe,publication_channel,newsletter,https://www.astribe.com/newsletters,astribe.com,PDF_ISSUES,,2010,2026,17,60,PDF issue links counted on the channel page,no,yes,casino; employment; gaming,3,"['https://astribe.com/assets/Code_of_Conduct_Ethics_2014.pdf', 'Code of Conduct'] | ['https://www.astribe.com/assets/Constitution.pdf', 'Constitution'] | ['https://www.astribe.com/sites/default/files/newsletter/january_2026_ast_news.pdf', 'january_2026_ast_news.pdf']",rendered page link (shard A probe),200,2026-09-01,shard_a,,channel-page signal only; issue bodies not read
NLTR-CE-0013X-1E-4e85ca91,CE-0013X-1E,TRBF-CSKTFR-00,Confederated Salish,Federally recognized tribe,MT,Confederated Salish & Kootenai Tribes,publication_channel,press_release,https://cskt.org/,cskt.org,PDF_ISSUES,,1980,2026,47,14,PDF issue links counted on the channel page,no,yes,budget; business; economic development; employment; gaming,3,"['https://cskt.org/wp-content/uploads/2024/03/FORM-APPLICATION-FOR-SERVICE-10-1-2016.pdf', ''] | ['https://cskt.org/wp-content/uploads/2024/03/2024-JOB-APPLICATION.pdf', ''] | ['https://cskt.org/wp-content/uploads/2024/10/Sand-gravel-permit-application.pdf', '']",rendered page link (shard A probe),200,2026-09-01,shard_a,,channel-page signal only; issue bodies not read
NLTR-CE-0015M-ND-c6612af5,CE-0015M-ND,TRBF-KARUKT-00,Karuk,Federally recognized tribe,CA,Karuk Tribal Newsletter,publication_channel,newsletter,https://www.karuk.us/category/newsletters,karuk.us,HTML post per issue linking a PDF on a Webflow CDN,quarterly (seasonal),2022,2026,5,16,16 issue-like links on the archive page; years seen 2022-2026,yes,carries business/economic-development content,,1,https://cdn.prod.website-files.com/688c1cb081691210b159523e/6a95dfa062bc623fbb10f7c7_68420%20Karuk.pdf,hand-verified tribal newspaper (shard B),200,2026-09-01,shard_b,,site also runs separate Press Releases and Announcements categories
NLTR-CE-0016Y-PQ-113862cd,CE-0016Y-PQ,TRBF-MIAMIT-00,Miami Tribe of Oklahoma,Federally recognized tribe,OK,Monthly Calendar &amp; Events - Miamination.com,publication_channel,press_release,https://www.miamination.com/event-page/,miamination.com,PDF issues; HTML posts,monthly,2023,2026,4,7,dated items linked on the channel page,yes,yes,business; economic development; employment; gaming,3,https://www.miamination.com/event/fall-gathering-in-kiihkayonki-fort-wayne-in/?event_date=2026-09-12 | https://www.miamination.com/event/grass-burning-moon/?event_date=2026-09-14 | http://miamination.com/wp-content/uploads/2026/06/2026-web.pdf.pdf,rendered page + hidden-endpoint sweep (shard C),,2026-09-01,shard_c,,"term frequency over the channel page text; a page-level signal, not a read of the issues themselves"
NLTR-CE-0017X-NE-4337ae21,CE-0017X-NE,TRBF-ONDANY-00,Oneida,Federally recognized tribe,NY,Press | Turning Stone Resort Casino,publication_channel,press_release,https://www.turningstone.com/press/news,turningstone.com,PDF issues; HTML posts,annual,2017,2026,10,75,dated items linked on the channel page,yes,yes,award; casino; construction; economic development; expansion; gaming; job; llc; partnership,3,https://www.turningstone.com/evolution | https://www.turningstone.com/press/news/gaming/turning-stone-awarded-2026-1-best-overall-gaming-resort-in-new-york-during-historic-year-of-transformation | https://www.turningstone.com/press/news/gaming/world-series-of-poker-announces-second-2026-circuit-event-at-turning-stone-resort-casino,rendered page + hidden-endpoint sweep (shard C),,2026-09-01,shard_c,,"term frequency over the channel page text; a page-level signal, not a read of the issues themselves"
NLTR-CE-00186-GZ-9a28f4bb,CE-00186-GZ,TRBF-PAWNEE-00,Pawnee Nation of Oklahoma,Federally recognized tribe,OK,News | Pawnee Nation of Oklahoma,publication_channel,press_release,https://pawneenation.org/news-2/,pawneenation.org,HTML posts,quarterly; annual,2020,2026,7,9,dated items linked on the channel page,yes,yes,business; employment; gaming; grant; invest; job,3,https://pawneenation.org/2026-youth-supplemental-funding-applications-are-now-open-until-sept-30th-2026-get-your-application-in/ | https://pawneenation.org/back-to-school-free-haircuts-august-17-2026/ | https://pawneenation.org/updated-and-revised-pawnee-nation-drip-act-of-2022/,rendered page + hidden-endpoint sweep (shard C),,2026-09-01,shard_c,,"term frequency over the channel page text; a page-level signal, not a read of the issues themselves"
NLTR-CE-0015F-QG-324631a6,CE-0015F-QG,TRBF-JEMEZP-00,Pueblo of Jemez,Federally recognized tribe,NM,The Walatowan (back-issue archive),publication_channel,newsletter,https://www.jemezpueblo.org/newsletters/,jemezpueblo.org,PDF issues,monthly,2019,2021,3,20,20 issue-like links on the archive page; years seen 2019-2021,yes,carries business/economic-development content,,2,https://www.jemezpueblo.org/wp-content/uploads/2026/07/July-NewsLetter-712026.pdf | https://www.jemezpueblo.org/wp-content/uploads/2026/06/June-NewsLetter-3529-FINAL.pdf,hand-verified tribal newspaper (shard B),200,2026-09-01,shard_b,,archive page carries 2020-2021 back issues
NLTR-CE-001AT-JK-2e123db2,CE-001AT-JK,TRBF-SRPMCP-00,Salt River,Federally recognized tribe,AZ,O'Odham Action News,publication_channel,newsletter,https://oan.srpmic-nsn.gov/,oan.srpmic-nsn.gov,PDF issues; HTML posts,annual,2025,2026,2,2,"stated on page: ""team composed of 12 Indigenous student-athletes to participate in the annual 2026 Babe Ruth World Series in Florence, Alabama.– Salt River Pima-Ma""",y,not_assessable_issues_are_image_scans,1 sampled issues all returned <200 characters of extractable text; the publication is distributed as image-only PDFs,2,https://oan.srpmic-nsn.gov/wp-content/uploads/2025/12/OAN_Aug-20_website.pdf | https://oan.srpmic-nsn.gov/wp-content/uploads/2025/12/OAN_Aug-20_website.pdf,shard D web probe,200,2026-09-01,shard_d,,outcome=FETCHED
NLTR-CE-001AF-G0-bc21a832,CE-001AF-G0,TRBF-SNOQLM-00,Snoqualmie,Federally recognized tribe,WA,Events News,publication_channel,newsletter,https://snoqualmietribe.us/newsletters/,snoqualmietribe.us,PDF issues; HTML posts,annual,2018,2026,9,81,"stated on page: ""Newsletters | Snoqualmie Indian Tribe Government 2026 Annual General Council Meeting Submit an Agenda Item Tribal Council Enrollme""",uncertain,unknown,"business/economic keywords on the channel page: business, casino - NOT yet confirmed against issue contents",3,https://snoqualmietribe.us/wp-content/uploads/Newsletters/February2026r_Compressed.pdf | https://snoqualmietribe.us/wp-content/uploads/Newsletters/MARCH-Tribal-Member-Newsletter_small.pdf | https://snoqualmietribe.us/wp-content/uploads/Newsletters/APRIL-Tribal-Member-Newsletter.pdf,shard D web probe,200,2026-09-01,shard_d,,outcome=FETCHED
NLTR-CE-001BC-35-ac796240,CE-001BC-35,TRBF-TLWDNI-00,Tolowa Dee-ni',Federally recognized tribe,CA,CA News,publication_channel,newsletter,https://www.tolowa.gov/m/newsflash,tolowa.gov,Facebook link only,annual,2026,2026,1,3,"stated on page: ""ur community proudly celebrates our resilience. Together, at the 19th Annual Dee-ni' Srii-nis, we honor our Taa-laa-wa Dee-ni' K’wii-daa-naa~-ye'""","y (html posts, open)",unknown,business/economic keywords on the channel page: employment - NOT yet confirmed against issue contents,3,https://www.tolowa.gov/m/newsflash/Home/Detail/12 | https://www.tolowa.gov/m/newsflash/Home/Detail/12 | https://www.tolowa.gov/FormCenter/Committee-Commission-Board-Application-9/Committee-Commission-or-Board-Applicatio-51,shard D web probe,200,2026-09-01,shard_d,,outcome=FETCHED
