cedar_uid,canonical_name,entity_class,state,has_live_site,site_url,site_url_class,probe_status,n_channels,best_channel_type,best_channel_url,archive_earliest_year,archive_latest_year,probed_by,note
CE-00124-6D,Absentee-Shawnee Tribe of Indians of Oklahoma,Federally recognized tribe,OK,yes,https://www.thunderbirdcasinoshawnee.com/,own_live_site,found,1,newsletter,https://www.astribe.com/newsletters,2010,2026,shard_a,
CE-00005-YX,Native Village of Akhiok,Federally recognized Alaska Native Village,AK,yes,https://maps.commerce.alaska.gov/server/rest/services/Contacts/CDO_Contacts_Federally_Recognized_Tribes/MapServer/0/query?where=OBJECTID%3D2&outFields=*&returnGeometry=false&f=json,third_party_api_endpoint,found,1,newsletter,https://kodiakhealthcare.org/who-we-are/publications/,2025,2026,gap_sweep,
CE-0000G-0G,Village of Anaktuvuk Pass,Federally recognized Alaska Native Village,AK,yes,https://maps.commerce.alaska.gov/server/rest/services/Contacts/CDO_Contacts_Federally_Recognized_Tribes/MapServer/0/query?where=OBJECTID%3D11&outFields=*&returnGeometry=false&f=json,third_party_api_endpoint,found,2,newsletter,https://arcticslope.org/news/newsletters/,2026,2026,gap_sweep,
CE-0010B-6W,Association of Village Council Presidents,Federal-level self-governance consortium,AK,yes,https://web.archive.org/web/20260101033312/https://www.avcp.org/avcp-news/annual-reports/,wayback_snapshot_only,found,4,newsletter,https://web.archive.org/web/20260101033539/https://www.avcp.org/avcp-news/newsletters/,2017,2026,shard_f,
CE-00079-SH,Bering Straits Native Corporation,Alaska Native Regional Corporation,AK,yes,https://beringstraits.com/,own_live_site,found,5,newsletter,https://beringstraits.com/the-agluktuk-news/,2016,2026,shard_e,
CE-0012G-ES,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Federally recognized tribe,MT,yes,https://glacierpeakscasino.com/,own_live_site,found,1,press_release,https://blackfeetnation.com/lands/businesses/,2025,2025,shard_a,
CE-0007A-ZA,Bristol Bay Native Corporation,Alaska Native Regional Corporation,AK,yes,https://www.bbnc.net/,own_live_site,found,7,newsletter,https://www.bbnc.net/news-media-filter/?category=newsletters,2016,2026,shard_e,
CE-0012W-P5,"California Valley Miwok Tribe, California",Federally recognized tribe,CA,yes,https://cvmt-nsn.gov/,own_live_site,found,1,news_page,https://cvmt-nsn.gov/feed/,2026,2026,gap_sweep,
CE-00133-54,Confederated Tribes of the Chehalis Reservation,Federally recognized tribe,WA,yes,https://www.luckyeagle.com/,own_live_site,found,2,newsletter,https://www.chehalistribe.org/wp-content/uploads/2025/05/Bicycle-Connections-Survey-newsletter-text.pdf,2019,2026,gap_sweep,
CE-00132-ZB,Chicken Ranch Rancheria of Me-Wuk Indians of California,Federally recognized tribe,CA,yes,https://chickenranchcasinoresort.com/,own_live_site,found,1,press_release,https://chickenranchrancheria.org/updates-press,2020,2025,shard_a,
