flow_id,funder_key,funder_ein,funder_name_as_filed,funder_name_canonical,funder_state,funder_is_donor_advised_fund,tax_year,tax_period_end,recipient_name_as_filed,recipient_ein,recipient_city,recipient_state,recipient_target_key,recipient_target_name,recipient_resolved_target,recipient_match_basis,recipient_matched_alias,recipient_unit_identified,recipient_icwa_position,recipient_icwa_position_source,grant_status,cash_grant_usd,noncash_assistance_usd,purpose_verbatim,recipient_relationship_as_filed,recipient_foundation_status_as_filed,funder_identity_basis,irc_section_as_filed,form_type,form_schedule,return_type,object_id,source_url,zip_member,irs_downloads_page,irs_index_url,evidence_class,carries_institutional_position,row_caveat,retrieved_date,built_date,built_by_script,cedar_funder_spine_entity_id,cedar_funder_spine_canonical_name,cedar_funder_spine_entity_class,cedar_funder_native_entity_class,cedar_funder_link_tier,cedar_funder_link_basis,cedar_funder_link_key,cedar_funder_link_sources,cedar_recipient_spine_entity_id,cedar_recipient_spine_canonical_name,cedar_recipient_spine_entity_class,cedar_recipient_native_entity_class,cedar_recipient_link_tier,cedar_recipient_link_basis,cedar_recipient_link_key,cedar_recipient_link_sources,cedar_uid
201713199349103301-00041,KOCHFDN,480918408,Charles Koch Foundation,CHARLES KOCH FOUNDATION,VA,0,2016,2016-12-31,George Mason University Foundation,,Fairfax,VA,GMUF,GEORGE MASON UNIVERSITY FOUNDATION INC,GMUF,recipient_name_phrase_match_no_ein_on_form,GEORGE MASON UNIVERSITY FOUNDATION,GMU_UNIT_NOT_IDENTIFIED,B_AFFILIATED_INDIVIDUAL:NOT_STATED,LITPOS-00043,PAID_DURING_YEAR,13399270.00,,GOS/Return of partially unused funds,NONE,PC,"EIN resolved against the full IRS EO BMF (1,957,340 organisations).",,IRS Form 990-PF,Part XV line 3a (Grants paid during the year),990PF,201713199349103301,https://apps.irs.gov/pub/epostcard/990/xml/2017/download990xml_2017_3.zip,201713199349103301_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,https://apps.irs.gov/pub/epostcard/990/xml/2018/index_2018.csv,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position. The George Mason University Foundation receives on behalf of the whole university. A grant whose purpose does not name Mercatus or the Scalia Law School CANNOT be attributed to either.",2026-08-12,2026-08-12,code/140_build_grantmaker_funding_flows.py,,,,,,,,,,,,,,,,,
201713199349103301-00317,KOCHFDN,480918408,Charles Koch Foundation,CHARLES KOCH FOUNDATION,VA,0,2016,2016-12-31,Cato Institute,,Washington,DC,CATO,CATO INSTITUTE,CATO,recipient_name_phrase_match_no_ein_on_form,CATO INSTITUTE,NOT_APPLICABLE_SINGLE_LEGAL_PERSON,C_INSTITUTIONAL_ACTION:OPPOSED_TO_TRIBAL_PARTIES,LITPOS-00002,PAID_DURING_YEAR,105691.00,,Educational Programs,NONE,PC,"EIN resolved against the full IRS EO BMF (1,957,340 organisations).",,IRS Form 990-PF,Part XV line 3a (Grants paid during the year),990PF,201713199349103301,https://apps.irs.gov/pub/epostcard/990/xml/2017/download990xml_2017_3.zip,201713199349103301_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,https://apps.irs.gov/pub/epostcard/990/xml/2018/index_2018.csv,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,2026-08-12,code/140_build_grantmaker_funding_flows.py,,,,,,,,,,,,,,,,,
201733059349100703-00049,TEMPLETON,621322826,JOHN TEMPLETON FOUNDATION,JOHN TEMPLETON FOUNDATION,PA,0,2016,2016-12-31,Board of Trustees of Leland Stanford Junior Univ,,San Francisco,CA,STANFORD,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,STANFORD,recipient_name_phrase_match_no_ein_on_form,BOARD OF TRUSTEES OF THE LELAND STANFORD,STANFORD_UNIT_NOT_IDENTIFIED,B_AFFILIATED_INDIVIDUAL:NOT_STATED,LITPOS-00044,PAID_DURING_YEAR,53058.00,,Dual perspectives on emergence quantum criticality,None,PC,"EIN resolved against the full IRS EO BMF (1,957,340 organisations).",,IRS Form 990-PF,Part XV line 3a (Grants paid during the year),990PF,201733059349100703,https://apps.irs.gov/pub/epostcard/990/xml/2017/download990xml_2017_5.zip,201733059349100703_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,https://apps.irs.gov/pub/epostcard/990/xml/2017/index_2017.csv,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position. The Hoover Institution is a unit of Stanford University and files no Form 990 of its own; it is absent from the full IRS EO BMF. A grant to Stanford whose purpose does not name Hoover CANNOT be claimed to have reached Hoover.",2026-08-12,2026-08-12,code/140_build_grantmaker_funding_flows.py,,,,,,,,,,,,,,,,,
201733059349100703-00053,TEMPLETON,621322826,JOHN TEMPLETON FOUNDATION,JOHN TEMPLETON FOUNDATION,PA,0,2016,2016-12-31,Board of Trustees of Leland Stanford Junior Univ,,San Francisco,CA,STANFORD,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,STANFORD,recipient_name_phrase_match_no_ein_on_form,BOARD OF TRUSTEES OF THE LELAND STANFORD,STANFORD_UNIT_NOT_IDENTIFIED,B_AFFILIATED_INDIVIDUAL:NOT_STATED,LITPOS-00044,PAID_DURING_YEAR,288446.00,,Spiritual curiosity and the experience of God,None,PC,"EIN resolved against the full IRS EO BMF (1,957,340 organisations).",,IRS Form 990-PF,Part XV line 3a (Grants paid during the year),990PF,201733059349100703,https://apps.irs.gov/pub/epostcard/990/xml/2017/download990xml_2017_5.zip,201733059349100703_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,https://apps.irs.gov/pub/epostcard/990/xml/2017/index_2017.csv,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position. The Hoover Institution is a unit of Stanford University and files no Form 990 of its own; it is absent from the full IRS EO BMF. A grant to Stanford whose purpose does not name Hoover CANNOT be claimed to have reached Hoover.",2026-08-12,2026-08-12,code/140_build_grantmaker_funding_flows.py,,,,,,,,,,,,,,,,,
201823199349104557-00123,KOCHFDN,480918408,Charles Koch Foundation,CHARLES KOCH FOUNDATION,VA,0,2017,2017-12-31,Cato Institute,,Washington,DC,CATO,CATO INSTITUTE,CATO,recipient_name_phrase_match_no_ein_on_form,CATO INSTITUTE,NOT_APPLICABLE_SINGLE_LEGAL_PERSON,C_INSTITUTIONAL_ACTION:OPPOSED_TO_TRIBAL_PARTIES,LITPOS-00002,PAID_DURING_YEAR,224317.00,,Educational Programs,None,PC,"EIN resolved against the full IRS EO BMF (1,957,340 organisations).",,IRS Form 990-PF,Part XV line 3a (Grants paid during the year),990PF,201823199349104557,https://apps.irs.gov/pub/epostcard/990/xml/2018/download990xml_2018_4.zip,201823199349104557_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,https://apps.irs.gov/pub/epostcard/990/xml/2019/index_2019.csv,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,2026-08-12,code/140_build_grantmaker_funding_flows.py,,,,,,,,,,,,,,,,,
201823199349104557-00388,KOCHFDN,480918408,Charles Koch Foundation,CHARLES KOCH FOUNDATION,VA,0,2017,2017-12-31,Pacific Legal Foundation,,Sacramento,CA,PLF,PACIFIC LEGAL FOUNDATION,PLF,recipient_name_phrase_match_no_ein_on_form,PACIFIC LEGAL FOUNDATION,NOT_APPLICABLE_SINGLE_LEGAL_PERSON,C_INSTITUTIONAL_ACTION:OPPOSED_TO_TRIBAL_PARTIES,LITPOS-00004,PAID_DURING_YEAR,83600.00,,General Operating Support,None,PC,"EIN resolved against the full IRS EO BMF (1,957,340 organisations).",,IRS Form 990-PF,Part XV line 3a (Grants paid during the year),990PF,201823199349104557,https://apps.irs.gov/pub/epostcard/990/xml/2018/download990xml_2018_4.zip,201823199349104557_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,https://apps.irs.gov/pub/epostcard/990/xml/2019/index_2019.csv,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,2026-08-12,code/140_build_grantmaker_funding_flows.py,,,,,,,,,,,,,,,,,
201843099349100509-00317,TEMPLETON,621322826,JOHN TEMPLETON FOUNDATION,JOHN TEMPLETON FOUNDATION,PA,0,2017,2017-12-31,Stanford University,,Palo Alto,CA,STANFORD,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,STANFORD,recipient_name_phrase_match_no_ein_on_form,STANFORD UNIVERSITY,STANFORD_UNIT_NOT_IDENTIFIED,B_AFFILIATED_INDIVIDUAL:NOT_STATED,LITPOS-00044,PAID_DURING_YEAR,206680.00,,Consciousness and creativity at dawn of settled,None,PC,"EIN resolved against the full IRS EO BMF (1,957,340 organisations).",,IRS Form 990-PF,Part XV line 3a (Grants paid during the year),990PF,201843099349100509,https://apps.irs.gov/pub/epostcard/990/xml/2018/download990xml_2018_7.zip,201843099349100509_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,https://apps.irs.gov/pub/epostcard/990/xml/2018/index_2018.csv,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position. The Hoover Institution is a unit of Stanford University and files no Form 990 of its own; it is absent from the full IRS EO BMF. A grant to Stanford whose purpose does not name Hoover CANNOT be claimed to have reached Hoover.",2026-08-12,2026-08-12,code/140_build_grantmaker_funding_flows.py,,,,,,,,,,,,,,,,,
201843099349100509-00321,TEMPLETON,621322826,JOHN TEMPLETON FOUNDATION,JOHN TEMPLETON FOUNDATION,PA,0,2017,2017-12-31,Stanford University,,Stanford,CA,STANFORD,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,STANFORD,recipient_name_phrase_match_no_ein_on_form,STANFORD UNIVERSITY,STANFORD_UNIT_NOT_IDENTIFIED,B_AFFILIATED_INDIVIDUAL:NOT_STATED,LITPOS-00044,PAID_DURING_YEAR,99999.00,,The BICEP3 Experiment: A Multi-frequency Follow-up,None,PC,"EIN resolved against the full IRS EO BMF (1,957,340 organisations).",,IRS Form 990-PF,Part XV line 3a (Grants paid during the year),990PF,201843099349100509,https://apps.irs.gov/pub/epostcard/990/xml/2018/download990xml_2018_7.zip,201843099349100509_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,https://apps.irs.gov/pub/epostcard/990/xml/2018/index_2018.csv,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position. The Hoover Institution is a unit of Stanford University and files no Form 990 of its own; it is absent from the full IRS EO BMF. A grant to Stanford whose purpose does not name Hoover CANNOT be claimed to have reached Hoover.",2026-08-12,2026-08-12,code/140_build_grantmaker_funding_flows.py,,,,,,,,,,,,,,,,,
201903199349102110-00176,KOCHFDN,480918408,Charles Koch Foundation,CHARLES KOCH FOUNDATION,VA,0,2018,2018-12-31,Barry Goldwater Institute For Public Policy Resear,,Phoenix,AZ,GOLDWATER,BARRY GOLDWATER INSTITUTE FOR PUBLIC POLICY RESEARCH,GOLDWATER,recipient_name_phrase_match_no_ein_on_form,GOLDWATER INSTITUTE FOR PUBLIC POLICY,NOT_APPLICABLE_SINGLE_LEGAL_PERSON,C_INSTITUTIONAL_ACTION:OPPOSED_TO_TRIBAL_PARTIES,LITPOS-00001,PAID_DURING_YEAR,100000.00,,General Operating Support,None,PC,"EIN resolved against the full IRS EO BMF (1,957,340 organisations).",,IRS Form 990-PF,Part XV line 3a (Grants paid during the year),990PF,201903199349102110,https://apps.irs.gov/pub/epostcard/990/xml/2019/download990xml_2019_2.zip,201903199349102110_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,https://apps.irs.gov/pub/epostcard/990/xml/2020/index_2020.csv,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,2026-08-12,code/140_build_grantmaker_funding_flows.py,,,,,,,,,,,,,,,,,
201913179349101336-00061,TEMPLETON,621322826,JOHN TEMPLETON FOUNDATION,JOHN TEMPLETON FOUNDATION,PA,0,2018,2018-12-31,Cato Institute,,Washington,DC,CATO,CATO INSTITUTE,CATO,recipient_name_phrase_match_no_ein_on_form,CATO INSTITUTE,NOT_APPLICABLE_SINGLE_LEGAL_PERSON,C_INSTITUTIONAL_ACTION:OPPOSED_TO_TRIBAL_PARTIES,LITPOS-00002,PAID_DURING_YEAR,21700.00,,Life in Numbers: Measuring Global Inequality,None,PC,"EIN resolved against the full IRS EO BMF (1,957,340 organisations).",,IRS Form 990-PF,Part XV line 3a (Grants paid during the year),990PF,201913179349101336,https://apps.irs.gov/pub/epostcard/990/xml/2019/download990xml_2019_3.zip,201913179349101336_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,https://apps.irs.gov/pub/epostcard/990/xml/2020/index_2020.csv,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,2026-08-12,code/140_build_grantmaker_funding_flows.py,,,,,,,,,,,,,,,,,
