funder_key,funder_ein,funder_name_canonical,funder_is_donor_advised_fund,recipient_resolved_target,recipient_side,overlap_tier,n_grants,cash_grant_usd_total,tax_years,recipient_unit_identified_breakdown,recipient_match_basis_breakdown,example_purposes_verbatim,funder_gave_to_both_sides_unit_identified,funder_gave_to_both_sides_institution_level,evidence_class,carries_institutional_position,row_caveat,built_date,built_by_script
BRADLEY,396037928,LYNDE AND HARRY BRADLEY FOUNDATION INC,0,CATO,DOCUMENTED_ANTI_ICWA_INSTITUTIONAL_ACTOR,ANTI_ICWA_SIDE,5,1550000.00,"2020,2021,2022,2023,2024",NOT_APPLICABLE_SINGLE_LEGAL_PERSON=5,recipient_name_phrase_match_no_ein_on_form=5,,1,1,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,code/140_build_grantmaker_funding_flows.py
BRADLEY,396037928,LYNDE AND HARRY BRADLEY FOUNDATION INC,0,TPPF,DOCUMENTED_ANTI_ICWA_INSTITUTIONAL_ACTOR,ANTI_ICWA_SIDE,5,725000.00,"2020,2021,2022,2023,2024",NOT_APPLICABLE_SINGLE_LEGAL_PERSON=5,recipient_name_phrase_match_no_ein_on_form=5,,1,1,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,code/140_build_grantmaker_funding_flows.py
BRADLEY,396037928,LYNDE AND HARRY BRADLEY FOUNDATION INC,0,STANFORD,HOST_INSTITUTION_UNIT_NOT_IDENTIFIED,INSTITUTION_LEVEL,30,1800000.00,"2020,2021,2023,2024",STANFORD_UNIT_NOT_IDENTIFIED=30,recipient_name_phrase_match_no_ein_on_form=30,,1,1,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,code/140_build_grantmaker_funding_flows.py
COORS,510172279,ADOLPH COORS FOUNDATION,0,PLF,DOCUMENTED_ANTI_ICWA_INSTITUTIONAL_ACTOR,ANTI_ICWA_SIDE,7,730000.00,"2019,2020,2021,2022,2023,2024,2025",NOT_APPLICABLE_SINGLE_LEGAL_PERSON=7,recipient_name_phrase_match_no_ein_on_form=7,,0,1,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,code/140_build_grantmaker_funding_flows.py
DONORSCAPITAL,541934032,DONORS CAPITAL FUND INC,1,PLF,DOCUMENTED_ANTI_ICWA_INSTITUTIONAL_ACTOR,ANTI_ICWA_SIDE,1,100000.00,2020,NOT_APPLICABLE_SINGLE_LEGAL_PERSON=1,recipient_ein_on_filed_schedule=1,,1,0,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,code/140_build_grantmaker_funding_flows.py
DONORSTRUST,522166327,DONORS TRUST INC,1,NCLA,DOCUMENTED_ANTI_ICWA_INSTITUTIONAL_ACTOR,ANTI_ICWA_SIDE,6,4576500.00,"2020,2021,2022,2023,2024",NOT_APPLICABLE_SINGLE_LEGAL_PERSON=6,recipient_ein_on_filed_schedule=6,,1,1,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,code/140_build_grantmaker_funding_flows.py
DONORSTRUST,522166327,DONORS TRUST INC,1,HOOVER_UNIT_IDENTIFIED,HOOVER_OR_MERCATUS_UNIT_IDENTIFIED,UNIT_IDENTIFIED,13,2414670.00,"2020,2021,2022,2023,2024",HOOVER_NAMED_IN_TEXT=13,recipient_ein_on_filed_schedule=13,for general operations | for Human Prosperity Project | Military History Working Group under the direction of Victor Davis Hanson | to be used as needed,1,1,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,code/140_build_grantmaker_funding_flows.py
KOCHFDN,480918408,CHARLES KOCH FOUNDATION,0,CATO,DOCUMENTED_ANTI_ICWA_INSTITUTIONAL_ACTOR,ANTI_ICWA_SIDE,7,5075091.00,"2016,2017,2018,2020,2021,2022",NOT_APPLICABLE_SINGLE_LEGAL_PERSON=7,recipient_name_phrase_match_no_ein_on_form=7,,1,1,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,code/140_build_grantmaker_funding_flows.py
KOCHFDN,480918408,CHARLES KOCH FOUNDATION,0,TPPF,DOCUMENTED_ANTI_ICWA_INSTITUTIONAL_ACTOR,ANTI_ICWA_SIDE,4,3030946.00,"2016,2017,2018,2020",NOT_APPLICABLE_SINGLE_LEGAL_PERSON=4,recipient_name_phrase_match_no_ein_on_form=4,,1,1,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,code/140_build_grantmaker_funding_flows.py
SEARLE,367244615,SEARLE FREEDOM TRUST,0,HOOVER_UNIT_IDENTIFIED,HOOVER_OR_MERCATUS_UNIT_IDENTIFIED,UNIT_IDENTIFIED,3,240000.00,"2020,2021,2022",HOOVER_NAMED_IN_TEXT=3,recipient_name_phrase_match_no_ein_on_form=3,RESEARCH | RESEARCH | RESEARCH,1,1,FUNDER_ACTIVITY,0,"A shared funder is not a shared position. This row records that a foundation made a grant; it does not state that the recipient holds, endorses or is aware of any position taken by any other grantee of the same foundation. EvidenceClass.FUNDER_ACTIVITY does not carry an institutional position.",2026-08-12,code/140_build_grantmaker_funding_flows.py
