ein,org_name,tax_year,form_type,total_revenue,total_expenses,total_assets,total_liabilities,program_service_revenue,contributions_grants,lobbying_expenditure,n_employees,pdf_url,source_url,retrieved_date,tax_period,form_type_raw,has_financial_data,pre_2000_flag,lobbying_indicator_990pf,propaganda_indicator_990pf,lobbying_field_basis,n_employees_basis,net_assets_end,officer_compensation,state,confidence_tier,bmf_990_tier,in_tier_a,in_recheck_candidate,in_placename_risk,source_dataset,filing_updated,filing_regime,schedc_expected,schedc_basis,schedc_source_url,schedc_object_id,schedc_present,schedc_501h_election,schedc_501h_basis,schedc_total_lobbying,schedc_direct_lobbying,schedc_grassroots_lobbying,schedc_nonelecting_total,schedc_lobbying_nontaxable,schedc_grassroots_nontaxable,schedc_exempt_purpose_expend,schedc_political_expenditure,schedc_527_amount,schedc_dues_lobbying_political,schedc_dues_received,schedc_used_volunteers,schedc_used_paid_staff,schedc_used_media,schedc_used_mailings,schedc_used_publications,schedc_used_grants,schedc_used_direct_contact,schedc_used_rallies,schedc_used_other,form990_lobbying_activities_ind,form990_political_activity_ind,form990_part9_lobbying_fees,form990pf_influence_legislation_ind,form990pf_legislative_political_ind,schedc_lobbying_usd,schedc_lobbying_basis,schedc_built_date,cedar_spine_entity_id,cedar_spine_canonical_name,cedar_spine_entity_class,cedar_native_entity_class,cedar_link_tier,cedar_link_basis,cedar_link_key,cedar_link_sources
010514750,Penobscot Community Health Center,2016,990,69322801,70087986,40884305,25442461,60577626,8701151,,,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F010514750_201612_990_2017092214762622.pdf,https://projects.propublica.org/nonprofits/api/v2/organizations/010514750.json,2026-08-05,201612,,1,0,,,not_exposed_by_api,not_exposed_by_api,15441844,1430131,ME,A,full_990,1,0,0,ProPublica Nonprofit Explorer API v2,2018-12-10T23:10:33.589Z,990_or_990EZ,1,irs_efile_xml_schedule_c,https://s3.amazonaws.com/irs-form-990/201731359349301423_public.xml,201731359349301423,1,0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,,,,,schedule_c_filed_no_expenditure_reported,2026-08-07,CE-0018D-TE,Penobscot Nation,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment,EIN 010514750,np_orgs
471377524,Chickasaw Inkana Foundation,2020,990,954494,649604,2580407,54999,0,947008,,,https://projects.propublica.org/nonprofits/download-filing?path=05_2021_prefixes_46-47%2F471377524_202012_990_2021052418177945.pdf,https://projects.propublica.org/nonprofits/api/v2/organizations/471377524.json,2026-08-05,202012,,1,0,,,not_exposed_by_api,not_exposed_by_api,2525408,0,MS,A,full_990,1,0,0,ProPublica Nonprofit Explorer API v2,2022-07-01T20:33:47.725Z,990_or_990EZ,1,irs_efile_xml_schedule_c,https://s3.amazonaws.com/irs-form-990/202131339349302058_public.xml,202131339349302058,1,0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,40000,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,40000,,,40000,schedc_part2b_nonelecting_total,2026-08-07,CE-00135-HP,The Chickasaw Nation,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment;state_conflict:MS!=OK,EIN 471377524,np_orgs
480554339,Kansas Humane Society Of Wichita Inc,2019,990,3710030,4233883,10821982,222132,1334572,1954734,,,https://projects.propublica.org/nonprofits/download-filing?path=12_2020_prefixes_46-54%2F480554339_201912_990_2020120117460557.pdf,https://projects.propublica.org/nonprofits/api/v2/organizations/480554339.json,2026-08-05,201912,,1,0,,,not_exposed_by_api,not_exposed_by_api,10599850,159842,KS,A,full_990,1,0,0,ProPublica Nonprofit Explorer API v2,2021-08-30T18:59:13.590Z,990_or_990EZ,1,irs_efile_xml_schedule_c,https://s3.amazonaws.com/irs-form-990/202022449349301302_public.xml,202022449349301302,1,1,"derived: Schedule C Part II-A completed, which only a 501(h) electing filer does",15000,15000,,,320586,80147,3411721,,,,,,,,,,,,,,1,0,15000,,,15000,schedc_part2a_501h_electing_total,2026-08-07,CE-001C5-Y6,"Wichita and Affiliated Tribes (Wichita, Keechi, Waco, & Tawakonie), Oklahoma",Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment;state_conflict:KS!=OK,EIN 480554339,np_orgs
481253246,Pawnee Valley Community Hospital Inc,2018,990,18737550,15325589,12730812,11368918,18363867,63086,,,https://projects.propublica.org/nonprofits/download-filing?path=08_2019_prefixes_47-52%2F481253246_201806_990_2019081616574836.pdf,https://projects.propublica.org/nonprofits/api/v2/organizations/481253246.json,2026-08-05,201806,,1,0,,,not_exposed_by_api,not_exposed_by_api,1361894,420640,KS,A,full_990,1,0,1,ProPublica Nonprofit Explorer API v2,2021-08-30T18:37:58.546Z,990_or_990EZ,1,irs_efile_xml_schedule_c,https://s3.amazonaws.com/irs-form-990/201941359349310464_public.xml,201941359349310464,1,1,"derived: Schedule C Part II-A completed, which only a 501(h) electing filer does",,,,3436,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,,,3436,schedc_part2b_nonelecting_total,2026-08-07,,,,,,,,
481253246,Pawnee Valley Community Hospital Inc,2023,990,21487951,19837006,13655211,10957054,20743423,572117,,,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F481253246_202306_990_2024062122568944.pdf,https://projects.propublica.org/nonprofits/api/v2/organizations/481253246.json,2026-08-05,202306,,1,0,,,not_exposed_by_api,not_exposed_by_api,2698157,193150,KS,A,full_990,1,0,1,ProPublica Nonprofit Explorer API v2,2025-08-05T16:09:38.821Z,990_or_990EZ,1,irs_efile_xml_schedule_c,https://s3.amazonaws.com/irs-form-990/202401319349303885_public.xml,202401319349303885,1,0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,3369,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,3369,,,3369,schedc_part2b_nonelecting_total,2026-08-07,,,,,,,,
731153337,Ascension Living Via Christi Village Ponca City,2020,990,8083522,8774006,6380293,3412437,7809487,78080,,,,https://projects.propublica.org/nonprofits/api/v2/organizations/731153337.json,2026-08-05,202006,,1,0,,,not_exposed_by_api,not_exposed_by_api,2967856,170378,MO,A,full_990,1,0,1,ProPublica Nonprofit Explorer API v2,2022-07-01T20:37:04.630Z,990_or_990EZ,1,irs_efile_xml_schedule_c,https://s3.amazonaws.com/irs-form-990/202121349349303617_public.xml,202121349349303617,1,0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,221,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,221,,,221,schedc_part2b_nonelecting_total,2026-08-07,,,,,,,,
731402750,Pawnee Development Foundation Inc,2017,990,496070,309397,2965440,22312,487125,0,,,,https://projects.propublica.org/nonprofits/api/v2/organizations/731402750.json,2026-08-05,201706,,1,0,,,not_exposed_by_api,not_exposed_by_api,2943128,1000,OK,A,full_990,1,0,0,ProPublica Nonprofit Explorer API v2,2019-10-15T18:09:08.848Z,990_or_990EZ,1,irs_efile_xml_schedule_c,https://s3.amazonaws.com/irs-form-990/201821319349302632_public.xml,201821319349302632,1,0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,schedule_c_filed_no_expenditure_reported,2026-08-07,,,,,,,,
860098923,Yavapai Community Hospital Association,2016,990,330191868,302716312,378010744,124976619,332398229,855032,,,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F860098923_201612_990_2017112914988421.pdf,https://projects.propublica.org/nonprofits/api/v2/organizations/860098923.json,2026-08-05,201612,,1,0,,,not_exposed_by_api,not_exposed_by_api,253034125,4197895,AZ,A,full_990,1,0,1,ProPublica Nonprofit Explorer API v2,2018-12-10T23:08:40.500Z,990_or_990EZ,1,irs_efile_xml_schedule_c,https://s3.amazonaws.com/irs-form-990/201732939349301418_public.xml,201732939349301418,1,1,"derived: Schedule C Part II-A completed, which only a 501(h) electing filer does",,,,39017,,,,,,,,0,0,0,0,0,0,1,0,0,1,0,39071,,,39017,schedc_part2b_nonelecting_total,2026-08-07,,,,,,,,
860098923,Yavapai Community Hospital Association,2020,990,398084779,381030954,582751353,172896324,377040692,13490168,,,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F860098923_202012_990_2022010719418082.pdf,https://projects.propublica.org/nonprofits/api/v2/organizations/860098923.json,2026-08-05,202012,,1,0,,,not_exposed_by_api,not_exposed_by_api,409855029,4959540,AZ,A,full_990,1,0,1,ProPublica Nonprofit Explorer API v2,2022-07-01T20:39:22.788Z,990_or_990EZ,1,irs_efile_xml_schedule_c,https://s3.amazonaws.com/irs-form-990/202123099349303367_public.xml,202123099349303367,1,0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,28650,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,28650,,,28650,schedc_part2b_nonelecting_total,2026-08-07,,,,,,,,
860206928,West Yavapai Guidance Clinic,2018,990,43582704,42733268,23140524,11833309,43280423,74537,,,https://projects.propublica.org/nonprofits/download-filing?path=05_2019_prefixes_82-86%2F860206928_201806_990_2019051716313424.pdf,https://projects.propublica.org/nonprofits/api/v2/organizations/860206928.json,2026-08-05,201806,,1,0,,,not_exposed_by_api,not_exposed_by_api,11307215,0,AZ,A,full_990,1,0,1,ProPublica Nonprofit Explorer API v2,2021-08-30T18:40:30.549Z,990_or_990EZ,1,irs_efile_xml_schedule_c,https://s3.amazonaws.com/irs-form-990/201931069349300343_public.xml,201931069349300343,1,0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,2919,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,,,,2919,schedc_part2b_nonelecting_total,2026-08-07,,,,,,,,
