ein,org_name,tax_year,return_type,schedc_filed,schedc_501h_election,lobbying_expenditure,grassroots_lobbying,direct_lobbying,political_activity,partix_line11d_lobbying_fees,total_revenue,total_expenses,schedc_expected,source_url,retrieved_date,tier,confidence,built_date
201037643,Movement Strategy Center,2017,990,1,1,72933,45727,27206,0,0,17977042,13048523,1,"https://apps.irs.gov/pub/epostcard/990/xml/2018/download990xml_2018_2.zip (IRS e-file return object_id 201811299349301656, member 201811299349301656_public.xml)",2026-08-07,A,"Every figure is read from this EIN's own filed Form 990, retrieved from the IRS e-file archive and keyed on the return's object id. This row records a filing fact about one organisation. It does not state that any grant paid for any lobbying, and no column in this dataset supports that reading. Lobbying reported on a Form 990 is disclosed, lawful activity within the limits of the organisation's tax status; many organisations elect 501(h) precisely to report it transparently. Reporting basis: schedc_part2a_501h_electing_total. derived: Schedule C Part II-A completed, which only a 501(h) electing filer does Part IX line 11d counts fees paid to OUTSIDE lobbyists and Schedule C counts the organisation's OWN expenditure; they are kept in separate columns and are never added.",2026-08-07
232067636,PENNSYLVANIA COALITION AGAINST RAPE,2018,990,1,1,69134,14658,54476,0,69134,19642281,19620444,1,"https://apps.irs.gov/pub/epostcard/990/xml/2019/download990xml_2019_2.zip (IRS e-file return object_id 201910399349301046, member 201910399349301046_public.xml)",2026-08-07,A,"Every figure is read from this EIN's own filed Form 990, retrieved from the IRS e-file archive and keyed on the return's object id. This row records a filing fact about one organisation. It does not state that any grant paid for any lobbying, and no column in this dataset supports that reading. Lobbying reported on a Form 990 is disclosed, lawful activity within the limits of the organisation's tax status; many organisations elect 501(h) precisely to report it transparently. Reporting basis: schedc_part2a_501h_electing_total. derived: Schedule C Part II-A completed, which only a 501(h) electing filer does Part IX line 11d counts fees paid to OUTSIDE lobbyists and Schedule C counts the organisation's OWN expenditure; they are kept in separate columns and are never added.",2026-08-07
232067636,PENNSYLVANIA COALITION AGAINST RAPE,2022,990,1,1,43647,21641,22006,0,43647,20202267,20268234,1,"https://apps.irs.gov/pub/epostcard/990/xml/2023/2023_TEOS_XML_02A.zip (IRS e-file return object_id 202320399349300947, member 202320399349300947_public.xml)",2026-08-07,A,"Every figure is read from this EIN's own filed Form 990, retrieved from the IRS e-file archive and keyed on the return's object id. This row records a filing fact about one organisation. It does not state that any grant paid for any lobbying, and no column in this dataset supports that reading. Lobbying reported on a Form 990 is disclosed, lawful activity within the limits of the organisation's tax status; many organisations elect 501(h) precisely to report it transparently. Reporting basis: schedc_part2a_501h_electing_total. derived: Schedule C Part II-A completed, which only a 501(h) electing filer does Part IX line 11d counts fees paid to OUTSIDE lobbyists and Schedule C counts the organisation's OWN expenditure; they are kept in separate columns and are never added.",2026-08-07
237222333,THE TRUST FOR PUBLIC LAND,2017,990,1,1,653643,37662,615981,0,191112,144275734,149097290,1,"https://apps.irs.gov/pub/epostcard/990/xml/2017/download990xml_2017_3.zip (IRS e-file return object_id 201712979349301371, member 201712979349301371_public.xml)",2026-08-07,A,"Every figure is read from this EIN's own filed Form 990, retrieved from the IRS e-file archive and keyed on the return's object id. This row records a filing fact about one organisation. It does not state that any grant paid for any lobbying, and no column in this dataset supports that reading. Lobbying reported on a Form 990 is disclosed, lawful activity within the limits of the organisation's tax status; many organisations elect 501(h) precisely to report it transparently. Reporting basis: schedc_part2a_501h_electing_total. derived: Schedule C Part II-A completed, which only a 501(h) electing filer does Part IX line 11d counts fees paid to OUTSIDE lobbyists and Schedule C counts the organisation's OWN expenditure; they are kept in separate columns and are never added.",2026-08-07
237222333,THE TRUST FOR PUBLIC LAND,2022,990,1,1,515241,36783,478458,0,157050,193309210,171537007,1,"https://apps.irs.gov/pub/epostcard/990/xml/2023/2023_TEOS_XML_05A.zip (IRS e-file return object_id 202321299349302472, member 202321299349302472_public.xml)",2026-08-07,A,"Every figure is read from this EIN's own filed Form 990, retrieved from the IRS e-file archive and keyed on the return's object id. This row records a filing fact about one organisation. It does not state that any grant paid for any lobbying, and no column in this dataset supports that reading. Lobbying reported on a Form 990 is disclosed, lawful activity within the limits of the organisation's tax status; many organisations elect 501(h) precisely to report it transparently. Reporting basis: schedc_part2a_501h_electing_total. derived: Schedule C Part II-A completed, which only a 501(h) electing filer does Part IX line 11d counts fees paid to OUTSIDE lobbyists and Schedule C counts the organisation's OWN expenditure; they are kept in separate columns and are never added.",2026-08-07
421178333,IOWA COALITION AGAINST SEXUAL ASSAULT,2017,990,1,1,21035,9408,11627,0,10000,3588787,3561816,1,"https://apps.irs.gov/pub/epostcard/990/xml/2018/download990xml_2018_7.zip (IRS e-file return object_id 201841939349301324, member 201841939349301324_public.xml)",2026-08-07,A,"Every figure is read from this EIN's own filed Form 990, retrieved from the IRS e-file archive and keyed on the return's object id. This row records a filing fact about one organisation. It does not state that any grant paid for any lobbying, and no column in this dataset supports that reading. Lobbying reported on a Form 990 is disclosed, lawful activity within the limits of the organisation's tax status; many organisations elect 501(h) precisely to report it transparently. Reporting basis: schedc_part2a_501h_electing_total. derived: Schedule C Part II-A completed, which only a 501(h) electing filer does Part IX line 11d counts fees paid to OUTSIDE lobbyists and Schedule C counts the organisation's OWN expenditure; they are kept in separate columns and are never added.",2026-08-07
421178333,IOWA COALITION AGAINST SEXUAL ASSAULT,2021,990,1,1,24941,6854,18087,0,14948,2872680,2831324,1,"https://apps.irs.gov/pub/epostcard/990/xml/2022/2022_TEOS_XML_01A.zip (IRS e-file return object_id 202231339349303218, member 202231339349303218_public.xml)",2026-08-07,A,"Every figure is read from this EIN's own filed Form 990, retrieved from the IRS e-file archive and keyed on the return's object id. This row records a filing fact about one organisation. It does not state that any grant paid for any lobbying, and no column in this dataset supports that reading. Lobbying reported on a Form 990 is disclosed, lawful activity within the limits of the organisation's tax status; many organisations elect 501(h) precisely to report it transparently. Reporting basis: schedc_part2a_501h_electing_total. derived: Schedule C Part II-A completed, which only a 501(h) electing filer does Part IX line 11d counts fees paid to OUTSIDE lobbyists and Schedule C counts the organisation's OWN expenditure; they are kept in separate columns and are never added.",2026-08-07
462210531,Sustainable Economies Law Center,2020,990,1,1,20693,9299,11394,0,0,4044690,1623647,1,"https://apps.irs.gov/pub/epostcard/990/xml/2021/2021_TEOS_XML_01A.zip (IRS e-file return object_id 202103079349300130, member 202103079349300130_public.xml)",2026-08-07,A,"Every figure is read from this EIN's own filed Form 990, retrieved from the IRS e-file archive and keyed on the return's object id. This row records a filing fact about one organisation. It does not state that any grant paid for any lobbying, and no column in this dataset supports that reading. Lobbying reported on a Form 990 is disclosed, lawful activity within the limits of the organisation's tax status; many organisations elect 501(h) precisely to report it transparently. Reporting basis: schedc_part2a_501h_electing_total. derived: Schedule C Part II-A completed, which only a 501(h) electing filer does Part IX line 11d counts fees paid to OUTSIDE lobbyists and Schedule C counts the organisation's OWN expenditure; they are kept in separate columns and are never added.",2026-08-07
462210531,Sustainable Economies Law Center,2024,990,1,1,17843,14142,3701,0,0,6374044,5215729,1,"https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11D.zip (IRS e-file return object_id 202513119349303641, member 202513119349303641_public.xml)",2026-08-07,A,"Every figure is read from this EIN's own filed Form 990, retrieved from the IRS e-file archive and keyed on the return's object id. This row records a filing fact about one organisation. It does not state that any grant paid for any lobbying, and no column in this dataset supports that reading. Lobbying reported on a Form 990 is disclosed, lawful activity within the limits of the organisation's tax status; many organisations elect 501(h) precisely to report it transparently. Reporting basis: schedc_part2a_501h_electing_total. derived: Schedule C Part II-A completed, which only a 501(h) electing filer does Part IX line 11d counts fees paid to OUTSIDE lobbyists and Schedule C counts the organisation's OWN expenditure; they are kept in separate columns and are never added.",2026-08-07
840611876,NATIVE AMERICAN RIGHTS FUND INC,2023,990,1,1,56540,2287,54253,0,0,18937073,18740140,1,"https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_06A.zip (IRS e-file return object_id 202431509349300623, member 202431509349300623_public.xml)",2026-08-07,A,"Every figure is read from this EIN's own filed Form 990, retrieved from the IRS e-file archive and keyed on the return's object id. This row records a filing fact about one organisation. It does not state that any grant paid for any lobbying, and no column in this dataset supports that reading. Lobbying reported on a Form 990 is disclosed, lawful activity within the limits of the organisation's tax status; many organisations elect 501(h) precisely to report it transparently. Reporting basis: schedc_part2a_501h_electing_total. derived: Schedule C Part II-A completed, which only a 501(h) electing filer does Part IX line 11d counts fees paid to OUTSIDE lobbyists and Schedule C counts the organisation's OWN expenditure; they are kept in separate columns and are never added. Membership organisation: funded by its tribal members and advocating on their behalf is its stated purpose, not a concealed channel. Membership dues are not a Schedule I grant and appear in no public filing, so the ordinary way a tribe funds such a body is invisible by construction.",2026-08-07
