ein,org_name,state,confidence_tier,bmf_990_tier,in_tier_a,in_recheck_candidate,in_placename_risk,api_status,n_filings_returned,n_filings_with_financials,first_filing_year,latest_filing_year,latest_year,latest_form_type,total_revenue,total_expenses,total_assets,total_liabilities,program_service_revenue,contributions_grants,scale_band,scale_band_basis,bmf_revenue_amt,ntee_code,review_flag,propublica_url,source_dataset,source_url,retrieved_date
060672790,Pequot Library Association,CT,A,full_990,1,0,0,ok,23,14,2002,2024,2024,990,1687305,1797423,8364327,188016,174826,1130856,1m_10m,"latest filing with parsed financials (tax_prd 202406, form 990)",2559972,B71Z,civic_or_place_descriptor_in_name,https://projects.propublica.org/nonprofits/organizations/60672790,ProPublica Nonprofit Explorer API v2,https://projects.propublica.org/nonprofits/api/v2/organizations/060672790.json,2026-08-05
150586252,United Way Of Cayuga County Inc,NY,A,full_990,1,0,1,ok,23,13,2001,2023,2023,990,943750,871295,3412587,48935,3517,845413,50k_1m,"latest filing with parsed financials (tax_prd 202306, form 990)",570580,T70Z,civic_or_place_descriptor_in_name,https://projects.propublica.org/nonprofits/organizations/150586252,ProPublica Nonprofit Explorer API v2,https://projects.propublica.org/nonprofits/api/v2/organizations/150586252.json,2026-08-05
201006334,Colville Rotary Charitable Foundation,WA,A,990_EZ,1,0,1,ok,13,7,2005,2021,2021,990EZ,0,0,1,0,0,0,under_50k,"latest filing with parsed financials (tax_prd 202106, form 990EZ)",64883,T30,civic_or_place_descriptor_in_name,https://projects.propublica.org/nonprofits/organizations/201006334,ProPublica Nonprofit Explorer API v2,https://projects.propublica.org/nonprofits/api/v2/organizations/201006334.json,2026-08-05
237302070,Cowlitz County Search & Rescue,WA,A,990_EZ,1,0,1,ok,12,3,2001,2023,2023,990EZ,85835,37559,119577,1402,1210,71511,50k_1m,"latest filing with parsed financials (tax_prd 202312, form 990EZ)",51633,M230,civic_or_place_descriptor_in_name,https://projects.propublica.org/nonprofits/organizations/237302070,ProPublica Nonprofit Explorer API v2,https://projects.propublica.org/nonprofits/api/v2/organizations/237302070.json,2026-08-05
262193319,Otoe County Genealogical Society,NE,A,990_N,1,0,1,ok,2,1,2012,2013,2013,990EZ,8,771,0,0,0,90,under_50k,"latest filing with parsed financials (tax_prd 201312, form 990EZ)",0,A99,civic_or_place_descriptor_in_name,https://projects.propublica.org/nonprofits/organizations/262193319,ProPublica Nonprofit Explorer API v2,https://projects.propublica.org/nonprofits/api/v2/organizations/262193319.json,2026-08-05
272662317,Kiowa County Ks Media Center Foundation,KS,A,full_990,1,0,1,ok,15,13,2010,2024,2023,990,244704,266896,153632,8800,137459,107172,50k_1m,"latest filing with parsed financials (tax_prd 202312, form 990)",288920,A30,civic_or_place_descriptor_in_name,https://projects.propublica.org/nonprofits/organizations/272662317,ProPublica Nonprofit Explorer API v2,https://projects.propublica.org/nonprofits/api/v2/organizations/272662317.json,2026-08-05
300662076,Springfield Kickapoo Baseball Booster Club,MO,A,full_990,1,0,1,ok,13,13,2011,2023,2023,990,254670,203283,126168,0,241977,0,50k_1m,"latest filing with parsed financials (tax_prd 202312, form 990)",249041,N11,civic_or_place_descriptor_in_name,https://projects.propublica.org/nonprofits/organizations/300662076,ProPublica Nonprofit Explorer API v2,https://projects.propublica.org/nonprofits/api/v2/organizations/300662076.json,2026-08-05
421216277,Chickasaw Athletic Booster Club,IA,A,990_EZ,1,0,0,ok,21,13,2003,2023,2023,990EZ,54206,75687,120956,0,0,0,50k_1m,"latest filing with parsed financials (tax_prd 202312, form 990EZ)",66609,N12,civic_or_place_descriptor_in_name,https://projects.propublica.org/nonprofits/organizations/421216277,ProPublica Nonprofit Explorer API v2,https://projects.propublica.org/nonprofits/api/v2/organizations/421216277.json,2026-08-05
461423669,Rotary Club Of Onondaga North Foundation Inc,NY,A,990_N,1,0,1,ok,1,1,2018,2018,2018,990EZ,-201,3456,9126,0,0,30,under_50k,"latest filing with parsed financials (tax_prd 201806, form 990EZ)",0,P80,civic_or_place_descriptor_in_name,https://projects.propublica.org/nonprofits/organizations/461423669,ProPublica Nonprofit Explorer API v2,https://projects.propublica.org/nonprofits/api/v2/organizations/461423669.json,2026-08-05
476033777,Otoe County Agricultural Society,NE,A,full_990,1,0,1,ok,27,13,1998,2024,2023,990,515323,525708,1796749,148000,182128,185893,50k_1m,"latest filing with parsed financials (tax_prd 202312, form 990)",486127,N52Z,civic_or_place_descriptor_in_name,https://projects.propublica.org/nonprofits/organizations/476033777,ProPublica Nonprofit Explorer API v2,https://projects.propublica.org/nonprofits/api/v2/organizations/476033777.json,2026-08-05
