EIN,entity_id,org_name,classification_ruling,evidence,tier,tier_basis,state,city,ntee_code,confidence_tier,funnel_stage,review_flag,review_flag_token,excluded_by_prior_ruling,exclusion_reason,canonical_name_token_match,n_coders_agree,bmf_in_snapshot,bmf_status,bmf_subsection,bmf_filing_req_cd,bmf_foundation_cd,bmf_irs_ruling_yyyymm,bmf_tax_period,bmf_revenue_amt,bmf_asset_amt,bmf_income_amt,source_files,source_dataset,source_url,bmf_vintage_fetched,built_date,placename_risk_flag,ruling_authority,ruling_confidence,ruling_date,tribe_canonical_name,entity_match_method,entity_tier,entity_match_basis,entity_keyed_date,cedar_spine_entity_id,cedar_spine_canonical_name,cedar_spine_entity_class,cedar_native_entity_class,cedar_link_tier,cedar_link_basis,cedar_link_key,cedar_link_sources,cedar_uid,disposition,disposition_basis,name_match_support,name_match_shared_tokens,name_match_support_measured_against,keyed_name_match_support,keyed_name_match_shared_tokens,keyed_name_match_residue,keyed_state_agreement,key_review_disposition,key_review_basis,key_redirect_proposed_entity_id,key_redirect_proposed_name,placename_refusal_rung,placename_refusal_basis,placename_refusal_date
453221112,,AHTNA INTERTRIBAL RESOURCE COMMISSION,UNRULED,"BMF name matched canonical tribe CE-00076-76 (Ahtna, Incorporated) via irs_bmf_canonical_match; ICR 4/5 coders agree (A_distinctive=1, B_state=1, C_ntee=0, D_strong=1, E_usaspending=1); survived place-name filter and v2 ambiguous-token strict filter; present in IRS EO BMF snapshot (STATUS=01, SUBSECTION=03, TAX_PERIOD=202409)",full_990,"BMF FILING_REQ_CD=01; REVENUE_AMT=1,694,193, ASSET_AMT=1,500,350 above 990-EZ thresholds",AK,GLENNALLEN,C30,A,verified_strict,,,0,,Ahtna Incorporated,4,1,01,03,01,15,201405,202409,1694193,1500350,1694193,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,,,,,Ahtna Incorporated,containment,B,resolver_containment,2026-08-06,CE-00076-76,Ahtna Incorporated,Alaska Native Regional Corporation,ANC,B,script 70 name pass: resolver_containment,EIN 453221112,ein_uei_bridge_to_ledger; np_orgs,CE-00076-76,NATIVE_VERIFIED_STRICT,funnel_stage=verified_strict,distinctive_token,AHTNA,Ahtna Incorporated,distinctive_token,AHTNA,COMMISSION|INTERTRIBAL|RESOURCE,Y,SUPPORTED,shares AHTNA with the keyed entity; state agreement Y; residue 3.,,,,,
920092584,CE-00074-VM,YAKUTAT TLINGIT TRIBE,UNRULED,"BMF name matched canonical tribe CE-00074-VM (Yakutat) via irs_bmf_canonical_match; ICR 5/5 coders agree (A_distinctive=1, B_state=1, C_ntee=1, D_strong=1, E_usaspending=1); survived place-name filter and v2 ambiguous-token strict filter; present in IRS EO BMF snapshot (STATUS=01, SUBSECTION=03, TAX_PERIOD=202412)",990_EZ,"BMF FILING_REQ_CD=01; REVENUE_AMT=59,173 < 200k and ASSET_AMT=153,685 < 500k (990-EZ eligibility thresholds)",AK,YAKUTAT,P840,A,verified_strict,,,0,,Yakutat Tlingit Tribe,5,1,01,03,01,15,199304,202412,59173,153685,422075,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,,,,,Yakutat Tlingit Tribe,alias,A,resolver_alias;name match clears placename and civic flags,2026-08-06,CE-00074-VM,Yakutat Tlingit Tribe,Federally recognized Alaska Native Village,tribe,A,script 70 name pass: resolver_alias;name match clears placename and civic flags,EIN 920092584,ein_uei_bridge_to_ledger; np_orgs,CE-00074-VM,NATIVE_VERIFIED_STRICT,funnel_stage=verified_strict,distinctive_token,YAKUTAT,Yakutat Tlingit Tribe,distinctive_token,TLINGIT|TRIBE|YAKUTAT,,Y,SUPPORTED,shares TLINGIT|YAKUTAT with the keyed entity; state agreement Y; residue 0.,,,,,
953464248,,NAVAJO NATION BAR ASSOCIATION,UNRULED,"BMF name matched canonical tribe CE-0017F-1G (Navajo) via irs_bmf_canonical_match; ICR 5/5 coders agree (A_distinctive=1, B_state=1, C_ntee=1, D_strong=1, E_usaspending=1); survived place-name filter and v2 ambiguous-token strict filter; present in IRS EO BMF snapshot (STATUS=01, SUBSECTION=06, TAX_PERIOD=202412)",990_EZ,"BMF FILING_REQ_CD=01; REVENUE_AMT=189,062 < 200k and ASSET_AMT=5,315 < 500k (990-EZ eligibility thresholds)",AZ,WINDOW ROCK,S41,A,verified_strict,,,0,,"Navajo Nation, Arizona, New Mexico, & Utah",5,1,01,06,01,00,201409,202412,189062,5315,189062,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,,,,,"Navajo Nation, Arizona, New Mexico, & Utah",containment,B,resolver_containment,2026-08-06,CE-0017F-1G,"Navajo Nation, Arizona, New Mexico, & Utah",Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment,EIN 953464248,np_orgs,CE-0017F-1G,NATIVE_VERIFIED_STRICT,funnel_stage=verified_strict,distinctive_token,NAVAJO,"Navajo Nation, Arizona, New Mexico, & Utah",distinctive_token,NATION|NAVAJO,BAR,Y,SUPPORTED,shares NAVAJO with the keyed entity; state agreement Y; residue 1.,,,,,
134351009,,FRIENDS OF LA LAGUNA INC,UNRULED,"BMF name matched canonical tribe CE-00167-CR (La Jolla) via irs_bmf_canonical_match; ICR 3/5 coders agree (A_distinctive=1, B_state=1, C_ntee=1, D_strong=0, E_usaspending=0); survived place-name filter and v2 ambiguous-token strict filter; present in IRS EO BMF snapshot (STATUS=01, SUBSECTION=03, TAX_PERIOD=202512)",990_N,"BMF FILING_REQ_CD=02 (990-N e-Postcard, under filing threshold)",CA,SAN GABRIEL,A80,A,verified_strict,,,0,,"La Jolla Band of Luiseno Indians, California",3,1,01,03,02,15,201504,202512,0,0,0,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,,,,,"Pueblo of Laguna, New Mexico",containment,B,resolver_containment;state_conflict:CA!=NM,2026-08-06,CE-00161-82,"Pueblo of Laguna, New Mexico",Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment;state_conflict:CA!=NM,EIN 134351009,np_orgs,CE-00161-82,NATIVE_VERIFIED_STRICT,funnel_stage=verified_strict,generic_token_only,LA,"La Jolla Band of Luiseno Indians, California",distinctive_token,LAGUNA|OF,FRIENDS,N,SUPPORTED,shares LAGUNA with the keyed entity; state agreement N; residue 1.,,,,,
811658622,,LUMBEE RIVER PRODUCTIONS INC,UNRULED,"AGENT-RESEARCHED: CauseIQ/ProPublica show only a dormant film-and-video 501(c)(3) in Loganville GA, president David Bryan Crespo, ~$700 lifetime revenue, with no mission statement. No retrievable evidence of Native control, Native-focused mission, or place-name origin. | confidence=n/a",990_N,"BMF FILING_REQ_CD=02 (990-N e-Postcard, under filing threshold)",GA,LOGANVILLE,A31,A,verified_strict,,,0,,"Lumbee Tribe of North Carolina (See Supplementary Information supra, noting conditions on the Tribe's eligibility for Federal services)",3,1,01,03,02,15,201611,202412,0,0,0,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,unstated,2026-08-05,,containment,B,resolver_containment;state_conflict:GA!=NC,2026-08-06,,,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment;state_conflict:GA!=NC,,np_orgs,,NATIVE_VERIFIED_STRICT,funnel_stage=verified_strict,distinctive_token,LUMBEE,"Lumbee Tribe of North Carolina (See Supplementary Information supra, noting conditions on the Tribe's eligibility for Federal services)",distinctive_token,LUMBEE,PRODUCTIONS,N,REFUSED_PLACE_NAME_IS_THE_ADDRESS,"REFUSED_PLACE_NAME_IS_THE_ADDRESS: the organisation's own name reads 'LUMBEE RIVER' - the token that matched Lumbee is qualified by a geographic-form noun the entity's own name does not carry, so it names a place [P2_TOKEN_QUALIFIED_AS_GEOGRAPHY_IN_THE_NAME]. Prior value SUPPORTED; see placename_refusal_basis. 2026-09-02",,,P2_TOKEN_QUALIFIED_AS_GEOGRAPHY_IN_THE_NAME,"REFUSED_PLACE_NAME_IS_THE_ADDRESS [P2_TOKEN_QUALIFIED_AS_GEOGRAPHY_IN_THE_NAME]: the organisation's own name reads 'LUMBEE RIVER' - the token that matched Lumbee is qualified by a geographic-form noun the entity's own name does not carry, so it names a place. The key is WITHDRAWN, not the row: nothing deleted, cedar_uid untouched, and this says only that the organisation is not THAT entity - it is NOT a finding that the organisation is not Native. code/1155, docs/ENTITY_MATCH_RULES.md. 2026-09-02",2026-09-02
562259380,,LUMBEE LAND DEVELOPMENT INC,tribally_controlled,"AGENT-RESEARCHED: https://projects.propublica.org/nonprofits/organizations/562259380 -- PROMOTION. 990 governing body IS the Lumbee Tribal Council - John L Lowery (Tribal Chairman), Sharon Hunt (Council Speaker), Wendy Moore (Vice Chair), Ricky Harris (Tribal Administrator). IRS address = Lumbee Tribe of NC HQ, 6984 NC Hwy 711 Pembroke. | confidence=high",full_990,"BMF FILING_REQ_CD=01; REVENUE_AMT=38,239,961, ASSET_AMT=102,549,254 above 990-EZ thresholds",NC,PEMBROKE,P50,A,ruled_native_verified,,,0,,"Lumbee Tribe of North Carolina (See Supplementary Information supra, noting conditions on the Tribe's eligibility for Federal services)",4,1,01,03,01,15,201103,202409,38239961,102549254,38239961,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,high,2026-08-05,"Lumbee Tribe of North Carolina (See Supplementary Information supra, noting conditions on the Tribe's eligibility for Federal services)",containment,B,resolver_containment;ruled_native_verified,2026-08-06,CE-0016E-P7,"Lumbee Tribe of North Carolina (See Supplementary Information supra, noting conditions on the Tribe's eligibility for Federal services)",Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment;ruled_native_verified,EIN 562259380,advocacy_passthrough; np_orgs,CE-0016E-P7,NATIVE_RULED_VERIFIED,funnel_stage=ruled_native_verified,distinctive_token,LUMBEE,"Lumbee Tribe of North Carolina (See Supplementary Information supra, noting conditions on the Tribe's eligibility for Federal services)",distinctive_token,LUMBEE,DEVELOPMENT|LAND,Y,SUPPORTED,shares LUMBEE with the keyed entity; state agreement Y; residue 2.,,,,,
730970103,,SEMINOLE NATION HISTORICAL SOCIETY,UNRULED,"BMF name matched canonical tribe CE-001A9-CA (Seminole) via irs_bmf_canonical_match; ICR 3/5 coders agree (A_distinctive=1, B_state=0, C_ntee=0, D_strong=1, E_usaspending=1); survived place-name filter and v2 ambiguous-token strict filter; present in IRS EO BMF snapshot (STATUS=01, SUBSECTION=03, TAX_PERIOD=202412); REVIEW FLAG: org name contains civic/place descriptor 'HISTORICAL SOCIETY' - classic place-name trap, do not treat the tier label as a Native-status ruling",full_990,"BMF FILING_REQ_CD=01; REVENUE_AMT=371,358, ASSET_AMT=1,685,527 above 990-EZ thresholds",OK,WEWOKA,,A,verified_strict,civic_or_place_descriptor_in_name,HISTORICAL SOCIETY,0,,Seminole Tribe of Florida,3,1,01,03,01,15,197611,202412,371358,1685527,466871,candidates|icr_high_confidence|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,,,,,Seminole Tribe of Florida,containment,B,resolver_containment;state_conflict:OK!=FL,2026-08-06,CE-001A9-CA,Seminole Tribe of Florida,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment;state_conflict:OK!=FL,EIN 730970103,np_orgs,CE-001A9-CA,NATIVE_VERIFIED_STRICT,funnel_stage=verified_strict,distinctive_token,SEMINOLE,Seminole Tribe of Florida,distinctive_token,SEMINOLE,HISTORICAL,N,SUPPORTED,shares SEMINOLE with the keyed entity; state agreement N; residue 1.,,,,,
391773613,CE-0010T-0K,COLLEGE OF THE MENOMINEE NATION,tribally_controlled,"AGENT-RESEARCHED: https://www.menominee.edu/about-cmn/ -- PROMOTION. Own site: 'a tribal Land Grant college, chartered by the Menominee People', established 1993 and recognized by Congress in 1994; campuses in Keshena on the Menominee reservation and Green Bay. | confidence=high",full_990,"BMF FILING_REQ_CD=01; REVENUE_AMT=15,458,817, ASSET_AMT=24,436,981 above 990-EZ thresholds",WI,KESHENA,,A,ruled_native_verified,,,0,,Menominee Indian Tribe of Wisconsin,4,1,01,03,01,11,199406,202406,15458817,24436981,16689853,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,high,2026-08-05,Menominee Indian Tribe of Wisconsin,containment,B,resolver_containment;ruled_native_verified,2026-08-06,CE-0010T-0K,College of Menominee Nation,Tribal College or University,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (core),EIN 391773613,advocacy_passthrough; fac_single_audits,CE-00172-KB,NATIVE_RULED_VERIFIED,funnel_stage=ruled_native_verified,distinctive_token,MENOMINEE,Menominee Indian Tribe of Wisconsin,distinctive_token,MENOMINEE|OF,COLLEGE,Y,SUPPORTED,shares MENOMINEE with the keyed entity; state agreement Y; residue 1.,,,,,
223058276,,OSAGE CEMETERY ASSOCIATION INC,UNRULED,"BMF name matched canonical tribe CE-00180-C9 (The Osage Nation) via irs_bmf_canonical_match; present in IRS EO BMF snapshot (STATUS=01, SUBSECTION=13, TAX_PERIOD=202412); REVIEW FLAG: org name contains civic/place descriptor 'CEMETERY ASSOCIATION' - classic place-name trap, do not treat the tier label as a Native-status ruling",full_990,"BMF FILING_REQ_CD=01; REVENUE_AMT=1,272,873, ASSET_AMT=5,085,744 above 990-EZ thresholds",NJ,MARLBORO,,B,canonical_name_match,civic_or_place_descriptor_in_name,CEMETERY ASSOCIATION,0,,The Osage Nation,,1,01,13,01,00,199312,202412,1272873,5085744,1272873,candidates|strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,,,,The Osage Nation,containment,B,resolver_containment;state_conflict:NJ!=OK,2026-08-06,CE-00180-C9,The Osage Nation,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment;state_conflict:NJ!=OK,EIN 223058276,np_orgs,CE-00180-C9,CANDIDATE_NAME_MATCH_UNVERIFIED,funnel_stage=canonical_name_match,distinctive_token,OSAGE,The Osage Nation,distinctive_token,OSAGE,CEMETERY,N,SUPPORTED,shares OSAGE with the keyed entity; state agreement N; residue 1.,,,,,
166068412,,SENECA COUNTY CHILDRENS COMMITTEE INC,UNRULED,"BMF name matched canonical tribe CE-001AB-RW (Seneca-Cayuga Nation) via irs_bmf_canonical_match; present in IRS EO BMF snapshot (STATUS=01, SUBSECTION=03, TAX_PERIOD=202503); REVIEW FLAG: org name contains civic/place descriptor 'COUNTY' - classic place-name trap, do not treat the tier label as a Native-status ruling",990_N,"BMF FILING_REQ_CD=02 (990-N e-Postcard, under filing threshold)",NY,SENECA FALLS,,B,canonical_name_match,civic_or_place_descriptor_in_name,COUNTY,0,,Seneca-Cayuga Nation,,1,01,03,02,15,196612,202503,16914,9063,16914,candidates|strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,HIGH,,,,Seneca Nation of Indians,containment,B,resolver_containment,2026-08-06,CE-001AC-YN,Seneca Nation of Indians,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment,EIN 166068412,np_orgs,CE-001AC-YN,CANDIDATE_NAME_MATCH_UNVERIFIED,funnel_stage=canonical_name_match,distinctive_token,SENECA,Seneca-Cayuga Nation,distinctive_token,SENECA,CHILDRENS|COMMITTEE,Y,SUPPORTED,shares SENECA with the keyed entity; state agreement Y; residue 2.,,,,,
