filer_ein,filer_name_as_filed,filer_state,filer_population,filer_in_np_orgs,filer_is_ruled_native,tax_year,tax_period_end,return_type,object_id,schedule_i_line_seq,recipient_name_as_filed,recipient_ein,recipient_address,recipient_city,recipient_state,recipient_zip,irc_section_as_filed,cash_grant_usd,noncash_assistance_usd,noncash_valuation_method,noncash_description,purpose_as_filed,recipient_ein_in_np_orgs,recipient_np_orgs_name,recipient_np_orgs_tribe_id,recipient_np_orgs_confidence_tier,recipient_in_grantee_990,recipient_reports_lobbying_on_own_990,recipient_bmf_status,recipient_bmf_name,recipient_bmf_state,recipient_bmf_subsection,recipient_bmf_filing_req_cd,recipient_bmf_ntee_cd,recipient_outside_990_universe_signal,recipient_entity_id,recipient_entity_canonical_name,recipient_entity_match_basis,recipient_native_evidence_tier,form_schedule,source_url,zip_member,irs_downloads_page,retrieved_date,built_date,grant_caveat,native_status_caveat,cedar_filer_spine_entity_id,cedar_filer_spine_canonical_name,cedar_filer_spine_entity_class,cedar_filer_native_entity_class,cedar_filer_link_tier,cedar_filer_link_basis,cedar_filer_link_key,cedar_filer_link_sources,cedar_recipient_spine_entity_id,cedar_recipient_spine_canonical_name,cedar_recipient_spine_entity_class,cedar_recipient_native_entity_class,cedar_recipient_link_tier,cedar_recipient_link_basis,cedar_recipient_link_key,cedar_recipient_link_sources,cedar_uid
840640326,American Indian Higher Education Consortium Inc,VA,np_orgs_candidate_tier_B_unruled,1,0,2024,2024-09-30,990,202503449349301560,4,BLACKFEET COMMUNITY COLLEGE,810378943,PO BOX 819,BROWNING,MT,59417,501(C)(3),19500.00,0.00,,,Non-restricted flex funds,1,BLACKFEET COMMUNITY COLLEGE,TRBF-BLCKFT-00,A,1,0,in_full_irs_bmf,BLACKFEET COMMUNITY COLLEGE,MT,03,01,B41Z,0,TCU-BLCKF1-00,Blackfeet Community College,exact+state_agrees,A,IRS Form 990 Schedule I Part II,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_12A.zip,202503449349301560_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,"This row records that the filer reported a grant to the named recipient on its own filed Form 990 Schedule I Part II. It does not state that the grant paid for any lobbying or political activity, and no column in this dataset supports that reading. Schedule I reports a purpose line, not the grant agreement, so whether the grant was restricted is unobservable here.",Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-HGHRDC-00,American Indian Higher Education Consortium,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 840640326,advocacy_passthrough; np_orgs,TCU-BLCKF1-00,Blackfeet Community College,Tribal College or University,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (exact),EIN 810378943,advocacy_passthrough; ein_uei_bridge_to_ledger; fac_single_audits,CE-0010N-2P
840640326,American Indian Higher Education Consortium Inc,VA,np_orgs_candidate_tier_B_unruled,1,0,2024,2024-09-30,990,202503449349301560,24,OGLALA LAKOTA COLLEGE,237135915,PIYA WICONI ROAD PO BOX 490,KYLE,SD,57752,501(C)(3),9750.00,0.00,,,Non-restricted flex funds,1,OGLALA LAKOTA COLLEGE,,A,1,0,in_full_irs_bmf,OGLALA LAKOTA COLLEGE,SD,03,01,B43Z,0,TCU-GLLLKT-00,Oglala Lakota College,exact+state_agrees,A,IRS Form 990 Schedule I Part II,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_12A.zip,202503449349301560_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,"This row records that the filer reported a grant to the named recipient on its own filed Form 990 Schedule I Part II. It does not state that the grant paid for any lobbying or political activity, and no column in this dataset supports that reading. Schedule I reports a purpose line, not the grant agreement, so whether the grant was restricted is unobservable here.",Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-HGHRDC-00,American Indian Higher Education Consortium,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 840640326,advocacy_passthrough; np_orgs,TCU-GLLLKT-00,Oglala Lakota College,Tribal College or University,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (exact),EIN 237135915,advocacy_passthrough; ein_uei_bridge_to_ledger; fac_single_audits,CE-0010Z-YG
330798803,NATIONAL COUNCIL OF URBAN INDIAN HEALTH,DC,np_orgs_candidate_tier_B_unruled,1,0,2024,2024-08-31,990,202531969349303103,5,NATIVE AMERICAN LIFELINES,522225714,1 EAST FRANKLIN STREET SUITE 200,BALTIMORE,MD,21202,501(C)(3),32063.00,0.00,,,"SUPPORT AND DEVELOPMENT OF QUALITY, ACCESSIBLE, AND CULTURALLY SENSITIVE HEALTH CARE PROGRAMS.",1,NATIVE AMERICAN LIFELINES INC,,B,1,0,in_full_irs_bmf,NATIVE AMERICAN LIFELINES INC,MD,03,01,P30,0,UIO-MRCNLF-00,"Native American LifeLines, Inc.",core+state_agrees,A,IRS Form 990 Schedule I Part II,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_07A.zip,202531969349303103_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,"This row records that the filer reported a grant to the named recipient on its own filed Form 990 Schedule I Part II. It does not state that the grant paid for any lobbying or political activity, and no column in this dataset supports that reading. Schedule I reports a purpose line, not the grant agreement, so whether the grant was restricted is unobservable here.",Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-RBNHLT-00,National Council of Urban Indian Health,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 330798803,fac_single_audits; np_orgs,UIO-MRCNLF-00,"Native American LifeLines, Inc.",Urban Indian Organization,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (exact),EIN 522225714,advocacy_passthrough; bie_uio_identifier_links; fac_single_audits,CE-001FJ-VV
363886772,INTERTRIBAL AGRICULTURE COUNCIL,MT,np_orgs_candidate_tier_B_unruled,1,0,2024,2024-12-31,990,202533009349301238,4,INTERTRIBAL TIMBER COUNCIL,931031300,80 SE MADISON STREET SUITE 230,PORTLAND,OR,97214,501(C)(3),7630.00,0.00,,,GENERAL ASSISTANCE,1,INTERTRIBAL TIMBER COUNCIL,ITO-TIMBER-00,B,1,1,in_full_irs_bmf,INTERTRIBAL TIMBER COUNCIL,OR,03,01,C300,0,ITO-TIMBER-00,Intertribal Timber Council,exact+state_not_on_both_sides,A,IRS Form 990 Schedule I Part II,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11C.zip,202533009349301238_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,"This row records that the filer reported a grant to the named recipient on its own filed Form 990 Schedule I Part II. It does not state that the grant paid for any lobbying or political activity, and no column in this dataset supports that reading. Schedule I reports a purpose line, not the grant agreement, so whether the grant was restricted is unobservable here.",Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-GRCLTR-00,Intertribal Agriculture Council,Intertribal Organization,native org,B,script 70 name pass: resolver_core,EIN 363886772,intertribal_register; np_orgs,ITO-TIMBER-00,Intertribal Timber Council,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 931031300,advocacy_passthrough; intertribal_register; np_orgs,CE-000SP-1P
460420063,GREAT PLAINS TRIBAL CHAIRMEN'S HEALTH BOARD,SD,np_orgs_candidate_tier_B_unruled,1,0,2016,2016-09-30,990,201712279349302441,20,TRENTON INDIAN SERVICE AREA,450324907,PO BOX 210,TRENTON,ND,58853,GOV,9000.00,,,,TRIBAL HEALTH,1,TRENTON INDIAN SERVICE AREA CORPORATION,CNSS-TURTLM-TR,B,0,0,in_full_irs_bmf,TRENTON INDIAN SERVICE AREA CORPORATION,ND,03,01,P200,0,CNSS-TURTLM-TR,Trenton Indian Service Area,exact+state_agrees,A,IRS Form 990 Schedule I Part II,https://apps.irs.gov/pub/epostcard/990/xml/2017/download990xml_2017_3.zip,201712279349302441_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,"This row records that the filer reported a grant to the named recipient on its own filed Form 990 Schedule I Part II. It does not state that the grant paid for any lobbying or political activity, and no column in this dataset supports that reading. Schedule I reports a purpose line, not the grant agreement, so whether the grant was restricted is unobservable here.",Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-GRTPL1-00,Great Plains Tribal Leaders Health Board,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 460420063,advocacy_passthrough; fac_single_audits; np_orgs,CNSS-TURTLM-TR,Trenton Indian Service Area,State-level constituency entity,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (core),EIN 450324907,fac_single_audits; np_orgs,CE-000R0-R0
840640326,AMERICAN INDIAN HIGHER EDUCATION CONSORTIUM INC,VA,np_orgs_candidate_tier_B_unruled,1,0,2017,2017-09-30,990,201832229349300713,3,BLACKFEET COMMUNITY COLLEGE,810378943,PO BOX 819,BROWNING,MT,59417,501(C)(3),48400.00,,,,BIE COLLEGE BOUND & DOI RECORDS MANAGEMENT,1,BLACKFEET COMMUNITY COLLEGE,TRBF-BLCKFT-00,A,1,0,in_full_irs_bmf,BLACKFEET COMMUNITY COLLEGE,MT,03,01,B41Z,0,TCU-BLCKF1-00,Blackfeet Community College,exact+state_agrees,A,IRS Form 990 Schedule I Part II,https://apps.irs.gov/pub/epostcard/990/xml/2018/download990xml_2018_5.zip,201832229349300713_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,"This row records that the filer reported a grant to the named recipient on its own filed Form 990 Schedule I Part II. It does not state that the grant paid for any lobbying or political activity, and no column in this dataset supports that reading. Schedule I reports a purpose line, not the grant agreement, so whether the grant was restricted is unobservable here.",Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-HGHRDC-00,American Indian Higher Education Consortium,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 840640326,advocacy_passthrough; np_orgs,TCU-BLCKF1-00,Blackfeet Community College,Tribal College or University,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (exact),EIN 810378943,advocacy_passthrough; ein_uei_bridge_to_ledger; fac_single_audits,CE-0010N-2P
460420063,GREAT PLAINS TRIBAL CHAIRMEN'S HEALTH BOARD,SD,np_orgs_candidate_tier_B_unruled,1,0,2017,2017-09-30,990,201832279349303173,18,TRENTON INDIAN SERVICE AREA,450324907,PO BOX 210,TRENTON,ND,58853,GOV,7500.00,,,,TRIBAL HEALTH,1,TRENTON INDIAN SERVICE AREA CORPORATION,CNSS-TURTLM-TR,B,0,0,in_full_irs_bmf,TRENTON INDIAN SERVICE AREA CORPORATION,ND,03,01,P200,0,CNSS-TURTLM-TR,Trenton Indian Service Area,exact+state_agrees,A,IRS Form 990 Schedule I Part II,https://apps.irs.gov/pub/epostcard/990/xml/2018/download990xml_2018_5.zip,201832279349303173_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,"This row records that the filer reported a grant to the named recipient on its own filed Form 990 Schedule I Part II. It does not state that the grant paid for any lobbying or political activity, and no column in this dataset supports that reading. Schedule I reports a purpose line, not the grant agreement, so whether the grant was restricted is unobservable here.",Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-GRTPL1-00,Great Plains Tribal Leaders Health Board,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 460420063,advocacy_passthrough; fac_single_audits; np_orgs,CNSS-TURTLM-TR,Trenton Indian Service Area,State-level constituency entity,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (core),EIN 450324907,fac_single_audits; np_orgs,CE-000R0-R0
460420063,GREAT PLAINS TRIBAL CHAIRMEN'S HEALTH BOARD,SD,np_orgs_candidate_tier_B_unruled,1,0,2018,2018-09-30,990,201932279349300923,14,TRENTON INDIAN SERVICE AREA,450324907,PO BOX 210,TRENTON,ND,58853,GOV,7500.00,,,,TRIBAL HEALTH,1,TRENTON INDIAN SERVICE AREA CORPORATION,CNSS-TURTLM-TR,B,0,0,in_full_irs_bmf,TRENTON INDIAN SERVICE AREA CORPORATION,ND,03,01,P200,0,CNSS-TURTLM-TR,Trenton Indian Service Area,exact+state_agrees,A,IRS Form 990 Schedule I Part II,https://apps.irs.gov/pub/epostcard/990/xml/2019/download990xml_2019_6.zip,201932279349300923_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,"This row records that the filer reported a grant to the named recipient on its own filed Form 990 Schedule I Part II. It does not state that the grant paid for any lobbying or political activity, and no column in this dataset supports that reading. Schedule I reports a purpose line, not the grant agreement, so whether the grant was restricted is unobservable here.",Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-GRTPL1-00,Great Plains Tribal Leaders Health Board,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 460420063,advocacy_passthrough; fac_single_audits; np_orgs,CNSS-TURTLM-TR,Trenton Indian Service Area,State-level constituency entity,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (core),EIN 450324907,fac_single_audits; np_orgs,CE-000R0-R0
840640326,AMERICAN INDIAN HIGHER EDUCATION CONSORTIUMINC,VA,np_orgs_candidate_tier_B_unruled,1,0,2020,2020-09-30,990,202112289349300231,10,TURTLE MOUNTAIN COMMUNITY COLLEGE,450323401,PO BOX 340,BELCOURT,ND,58316,501(C)(3),195844.00,,,,DOE ADVANCED MANUFACTURING,1,TURTLE MOUNTAIN COLLEGE,TRBF-TURTLM-00,B,1,0,in_full_irs_bmf,TURTLE MOUNTAIN COLLEGE,ND,03,01,B420,0,TCU-TRTLMN-00,Turtle Mountain College,core+state_agrees,A,IRS Form 990 Schedule I Part II,https://apps.irs.gov/pub/epostcard/990/xml/2021/2021_TEOS_XML_01A.zip,2021Redo_allCycles/202112289349300231_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,"This row records that the filer reported a grant to the named recipient on its own filed Form 990 Schedule I Part II. It does not state that the grant paid for any lobbying or political activity, and no column in this dataset supports that reading. Schedule I reports a purpose line, not the grant agreement, so whether the grant was restricted is unobservable here.",Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-HGHRDC-00,American Indian Higher Education Consortium,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 840640326,advocacy_passthrough; np_orgs,TCU-TRTLMN-00,Turtle Mountain College,Tribal College or University,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (core),EIN 450323401,advocacy_passthrough; fac_single_audits,CE-0011R-SH
840640326,AMERICAN INDIAN HIGHER EDUCATION CONSORTIUM INC,VA,np_orgs_candidate_tier_B_unruled,1,0,2022,2022-09-30,990,202322269349302952,5,TURTLE MOUNTAIN COMMUNITY COLLEGE,450323401,PO BOX 340,BELCOURT,ND,58316,501(C)(3),95829.00,0.00,,,"NSF PILOTING A CI-ENABLED TCU RESEARCH COLLABORATION, DOE ADVANCED MANUFACTURING, NSF TCU ADVANCED MANUFACTURING MEETING",1,TURTLE MOUNTAIN COLLEGE,TRBF-TURTLM-00,B,1,0,in_full_irs_bmf,TURTLE MOUNTAIN COLLEGE,ND,03,01,B420,0,TCU-TRTLMN-00,Turtle Mountain College,core+state_agrees,A,IRS Form 990 Schedule I Part II,https://apps.irs.gov/pub/epostcard/990/xml/2023/2023_TEOS_XML_08A.zip,2023_TEOS_XML_08A/202322269349302952_public.xml,https://www.irs.gov/charities-non-profits/form-990-series-downloads,2026-08-07,2026-08-12,"This row records that the filer reported a grant to the named recipient on its own filed Form 990 Schedule I Part II. It does not state that the grant paid for any lobbying or political activity, and no column in this dataset supports that reading. Schedule I reports a purpose line, not the grant agreement, so whether the grant was restricted is unobservable here.",Schedule I is an EIN-keyed filing fact and asserts nothing about the Native status of either the filer or the recipient.,ITO-HGHRDC-00,American Indian Higher Education Consortium,Intertribal Organization,native org,A,script 70 name pass: resolver_exact;name match clears placename and civic flags,EIN 840640326,advocacy_passthrough; np_orgs,TCU-TRTLMN-00,Turtle Mountain College,Tribal College or University,native org,A,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (core),EIN 450323401,advocacy_passthrough; fac_single_audits,CE-0011R-SH
