sub_uei,sub_cage,sub_name,sub_state,prime_uei,prime_cage,prime_name,prime_award_id,subaward_amount,subaward_date,fiscal_year,naics,psc,description,direction,source_file,fetched_date,subaward_number,source_url,sub_parent_uei,sub_parent_cage,sub_parent_name,prime_parent_uei,prime_parent_cage,prime_parent_name,naics_title,psc_title,prime_top_awarding_agency,prime_set_aside,pre_2000_flag,floor_basis_field,source_dataset,source_population,award_kind,subaward_type,prime_award_unique_key,prime_award_amount,subaward_to_prime_ratio,subaward_exceeds_prime_flag,action_date_precedes_ffata_flag,subaward_sam_report_year,prime_native_tribe_id,prime_native_tier,sub_native_tribe_id,sub_native_tier,sub_business_types,prime_awarding_sub_agency,duplicate_status,promoted_date,subaward_amount_real2025,deflator_factor_2025,inflation_base_year,cedar_uid,subaward_sam_report_id,subaward_sam_report_month,subaward_sam_report_last_modified_date,subaward_sam_report_id_basis,subaward_source_record_id,subaward_source_record_id_basis,prime_cedar_uid,sub_cedar_uid,geo_prime_award_recipient_county_fips,geo_prime_award_recipient_county_name,geo_prime_award_recipient_state_fips,geo_prime_award_pop_county_fips,geo_prime_award_pop_county_name,geo_prime_award_pop_state_fips,geo_key_tier,geo_key_basis,geo_subawardee_county_gap_reason,geo_built_date,geo_subawardee_city,geo_subawardee_state_code,geo_subawardee_zip5,geo_subawardee_country_code,geo_subawardee_county_fips,geo_subawardee_county_name,geo_subawardee_state_fips,geo_subawardee_place_dominance_share,geo_subawardee_place_ambiguous,geo_subawardee_basis
FZYKN78D9LJ2,,"NAKUURUQ SOLUTIONS, LLC",VA,FCMQGH4JWE61,,"LYNXNET, LLC",HR01,1204180.82,2016-03-15,2016,541330,,ROVIDE THE SUPPORT NECESSARY TO PROVIDE SUPPORT WITHIN THE CORPORATE OPERATIONS SUPPORT FUNCTIONAL AREAS SPECIFIED HEREIN.,both_sides_native,fy2016,2026-08-05,A16-002982,https://www.usaspending.gov/award/CONT_AWD_HR01_9700_N0017815D8310_9700/,KW9NCQ8W64S4,,NANA REGIONAL CORPORATION INC,KW9NCQ8W64S4,,LYNXNET  LLC,ENGINEERING SERVICES,,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_HR01_9700_N0017815D8310_9700,10077060.46,0.1195,,,2017,ANRC-NANARC-00,B,ANRC-NANARC-00,B,"ALASKAN NATIVE CORPORATION OWNED FIRM,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEPT OF THE NAVY,primary,2026-08-06,1580949.73,1.312884,2025,CE-0007G-30,2FD8D0DE-FCB9-11EF-8E2A-E7034F2D18CD,11,2017-11-15 00:00:00+00,recovered_unique,2FD8D0DE-FCB9-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-0007G-30,CE-0007G-30,51800,SUFFOLK (CITY),51,12005,BAY,12,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,HERNDON,VA,20171,USA,51059,FAIRFAX,51,0.999486,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
UM22ZL79EQ53,,"VISTA DEFENSE TECHNOLOGIES, LLC",IL,F7LSWJF8A2W3,,STS SYSTEMS INTEGRATION,HT001517C0008,2853196.92,2017-02-27,2017,518210,,DATA SCIENCE,both_sides_native,fy2017,2026-08-05,SSI203,https://www.usaspending.gov/award/CONT_AWD_HT001517C0008_9700_-NONE-_-NONE-/,UM22ZL79EQ53,,"VISTA DEFENSE TECHNOLOGIES, LLC",PQUEL5MZFDJ3,,BRISTOL BAY NATIVE CORPORATION,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES",,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_HT001517C0008_9700_-NONE-_-NONE-,13406053.11,0.2128,,,2020,ANRC-BRBYCO-00,A,ANRC-BRBYCO-00,B,"ALASKAN NATIVE CORPORATION OWNED FIRM,MINORITY-OWNED BUSINESS,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEFENSE HEALTH AGENCY (DHA),exact_repeat_within_source,2026-08-06,3680024.86,1.28979,2025,CE-0007A-ZA,314F3642-FCB9-11EF-8E2A-E7034F2D18CD,7,2019-07-24 00:00:00+00,recovered_group_bijection,314F3642-FCB9-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-0007A-ZA,CE-0007A-ZA,48029,BEXAR,48,48029,BEXAR,48,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,ROCK ISLAND,IL,61201,USA,17161,ROCK ISLAND,17,0.920863,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
KWU1UHG2JGG6,,"SOLUTIONS71, LLC",VA,RKJRNHS4MCH4,,"NORTHTIDE GROUP, LLC",FA877117C0005,135817.60,2018-05-01,2018,541519,,PROVIDE IT SUPPORT PERSONNEL IN SUPPORT OF PRIME CONTRACT,both_sides_native,fy2018,2026-08-05,NT18.0016,https://www.usaspending.gov/award/CONT_AWD_FA877117C0005_9700_-NONE-_-NONE-/,JVECDKERKEJ3,,THE EYAK CORP,RKJRNHS4MCH4,,EYAK CORPORATION,OTHER COMPUTER RELATED SERVICES,,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_FA877117C0005_9700_-NONE-_-NONE-,708036.58,0.1918,,,2019,ANVC-EYAKXX-00,B,ANVC-EYAKXX-00,B,"ALASKAN NATIVE CORPORATION OWNED FIRM,MINORITY-OWNED BUSINESS,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEPT OF THE AIR FORCE,exact_repeat_within_source,2026-08-06,171252.82,1.260903,2025,CE-0008V-A3,073ADB0E-FCB9-11EF-8E2A-E7034F2D18CD,2,2019-02-01 00:00:00+00,recovered_group_bijection,073ADB0E-FCB9-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-0008V-A3,CE-0008V-A3,51107,LOUDOUN,51,51107,LOUDOUN,51,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,DULLES,VA,20166,USA,51107,LOUDOUN,51,0.999552,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
HJU2LWN71AE9,,"ASRC ENERGY SERVICES OMEGA, LLC",LA,FD7JDCJ4AMF9,,ASRC FEDERAL SYSTEM SOLUTIONS LLC,FA930016C0001,85000.00,2018-01-19,2018,541712,,ENG/FIELD SUPP,both_sides_native,fy2018,2026-08-05,ASD8-00011 5,https://www.usaspending.gov/award/CONT_AWD_FA930016C0001_9700_-NONE-_-NONE-/,CY16XXPHX213,,ARCTIC SLOPE REGIONAL CORPORATION,CY16XXPHX213,,ARCTIC SLOPE REGIONAL CORPORATION,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_FA930016C0001_9700_-NONE-_-NONE-,138241051.87,0.0006,,,2018,ANRC-ARCSLO-00,A,ANRC-ARCSLO-00,B,"ALASKAN NATIVE CORPORATION OWNED FIRM,MINORITY-OWNED BUSINESS,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEPT OF THE AIR FORCE,primary,2026-08-06,107176.76,1.260903,2025,CE-00078-KR,117F8BC8-FCB9-11EF-8E2A-E7034F2D18CD,2,2018-02-20 00:00:00+00,recovered_unique,117F8BC8-FCB9-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-00078-KR,CE-00078-KR,24033,PRINCE GEORGE'S,24,24033,PRINCE GEORGE'S,24,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,NEW IBERIA,LA,70560,USA,22045,IBERIA,22,0.816327,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
M46UYYHVH4B1,,"AFFIGENT, LLC",VA,NBEWZB8LQ8Z5,,"INUTEQ, LLC",W912DY14F0095,121633.85,2018-05-17,2018,541512,,"88,548.6	MAY 17, 2018 12:00:00 AM	HITS-R DREN	HTR6-00036 0
33,085.25	MAY 18, 2018 12:00:00 AM	HITS-R DREN	HTR6-00046 0",both_sides_native,fy2018,2026-08-05,MULTIPLE; SEE DESC,https://www.usaspending.gov/award/CONT_AWD_W912DY14F0095_9700_GS06F0605Z_4730/,KW9NCQ8W64S4,,NANA REGIONAL CORPORATION INC,CY16XXPHX213,,ASRC FEDERAL HOLDING COMPANY  LLC,COMPUTER SYSTEMS DESIGN SERVICES,,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_W912DY14F0095_9700_GS06F0605Z_4730,108833407.61,0.0011,,,2019,ANRC-ARCSLO-00,A,ANRC-NANARC-00,A,"ALASKAN NATIVE CORPORATION OWNED FIRM,MINORITY-OWNED BUSINESS,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEPT OF THE ARMY,primary,2026-08-06,153368.49,1.260903,2025,CE-00078-KR,046F1874-FCBC-11EF-8E2A-E7034F2D18CD,6,2019-06-04 00:00:00+00,recovered_unique,046F1874-FCBC-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-00078-KR,CE-0007G-30,24033,PRINCE GEORGE'S,24,51059,FAIRFAX,51,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,HERNDON,VA,20171,USA,51059,FAIRFAX,51,0.999486,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
UM22ZL79EQ53,,"VISTA DEFENSE TECHNOLOGIES, LLC",IL,F7LSWJF8A2W3,,STS SYSTEMS INTEGRATION,HT001517C0008,1282234055.80,2019-04-01,2019,518210,,DATA SCIENCE,both_sides_native,fy2019,2026-08-05,SSI348,https://www.usaspending.gov/award/CONT_AWD_HT001517C0008_9700_-NONE-_-NONE-/,UM22ZL79EQ53,,"VISTA DEFENSE TECHNOLOGIES, LLC",PQUEL5MZFDJ3,,BRISTOL BAY NATIVE CORPORATION,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES",,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_HT001517C0008_9700_-NONE-_-NONE-,13406053.11,95.6459,yes,,2020,ANRC-BRBYCO-00,A,ANRC-BRBYCO-00,B,"ALASKAN NATIVE CORPORATION OWNED FIRM,MINORITY-OWNED BUSINESS,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEFENSE HEALTH AGENCY (DHA),primary,2026-08-06,1590525436.54,1.240433,2025,CE-0007A-ZA,314F3B2E-FCB9-11EF-8E2A-E7034F2D18CD,4,2020-04-15 00:00:00+00,recovered_unique,314F3B2E-FCB9-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-0007A-ZA,CE-0007A-ZA,48029,BEXAR,48,48029,BEXAR,48,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,ROCK ISLAND,IL,61201,USA,17161,ROCK ISLAND,17,0.920863,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
KWU1UHG2JGG6,,"SOLUTIONS71, LLC",VA,RKJRNHS4MCH4,,"NORTHTIDE GROUP, LLC",W52P1J18F0072,147596.80,2018-10-22,2019,541519,,PROVIDE PROGRAM ADMINISTRATION SPECIALISTS,both_sides_native,fy2019,2026-08-05,NT18.0049,https://www.usaspending.gov/award/CONT_AWD_W52P1J18F0072_9700_W52P1J18D0076_9700/,JVECDKERKEJ3,,THE EYAK CORP,JVECDKERKEJ3,,EYAK CORPORATION,OTHER COMPUTER RELATED SERVICES,,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_W52P1J18F0072_9700_W52P1J18D0076_9700,13011468.39,0.0113,,,2019,ANVC-EYAKXX-00,B,ANVC-EYAKXX-00,B,"ALASKAN NATIVE CORPORATION OWNED FIRM,MINORITY-OWNED BUSINESS,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEPT OF THE ARMY,primary,2026-08-06,183083.94,1.240433,2025,CE-0008V-A3,79D11A3C-FCBB-11EF-8E2A-E7034F2D18CD,2,2019-02-01 00:00:00+00,recovered_group_bijection,79D11A3C-FCBB-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-0008V-A3,CE-0008V-A3,51107,LOUDOUN,51,51107,LOUDOUN,51,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,DULLES,VA,20166,USA,51107,LOUDOUN,51,0.999552,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
MJNJZE4LAHP6,,CHENEGA FACILITIES MANAGEMENT LLC,TX,ZK84NAU2PBY3,,"CHENEGA HEALTHCARE SERVICES, LLC",W52P1J19F0523,6901015.00,2019-08-09,2019,561210,,LOGISTICS SUPPORT SERVICES,both_sides_native,fy2019,2026-08-05,470032 TO 0523 CFM SUBK00,https://www.usaspending.gov/award/CONT_AWD_W52P1J19F0523_9700_W52P1J18G0039_9700/,ZHEGXL9HYV43,,THE CHENEGA CORPORATION,ZK84NAU2PBY3,,CHENEGA HEALTHCARE SERVICES LLC,FACILITIES SUPPORT SERVICES,,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_W52P1J19F0523_9700_W52P1J18G0039_9700,25881457.21,0.2666,,,2020,ANVC-CHENEG-00,B,ANVC-CHENEG-00,A,"ALASKAN NATIVE CORPORATION OWNED FIRM,MINORITY-OWNED BUSINESS,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEPT OF THE ARMY,primary,2026-08-06,8560246.74,1.240433,2025,CE-00085-6X,7BB938CA-FCBB-11EF-8E2A-E7034F2D18CD,7,2020-07-02 00:00:00+00,recovered_unique,7BB938CA-FCBB-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-00085-6X,CE-00085-6X,48029,BEXAR,48,06053,MONTEREY,06,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,SAN ANTONIO,TX,78249,USA,48029,BEXAR,48,0.902397,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
XG32CSGYKGM8,,"CHEROKEE STRATEGIC SOLUTIONS, L.L.C.",OK,FMWVU3EYSVF7,,"CHEROKEE NATION SYSTEM SOLUTIONS, LLC",140G0120F0521,103238.40,2024-10-01,2025,541990,,SCIENTIFIC AND TECHNICAL SUPPORT SERVICES,both_sides_native,fy2025,2026-08-05,SUB-006548,https://www.usaspending.gov/award/CONT_AWD_140G0120F0521_1434_140G0120D0021_1434/,X1VVTNMDE2F5,,"CHEROKEE NATION RED WING, L.L.C.",TBAHL1WANLF3,,CHEROKEE NATION SYSTEM SOLUTIONS LLC,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",,Department of the Interior (DOI),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_140G0120F0521_1434_140G0120D0021_1434,1217725.05,0.0848,,,2026,TRBF-CHKNAT-00,A,TRBF-CHKNAT-00,A,"BUSINESS OR ORGANIZATION,MINORITY-OWNED BUSINESS,NATIVE AMERICAN OWNED,INDIAN ECONOMIC ENTERPRISE,TRIBALLY OWNED FIRM,FOR PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY",US GEOLOGICAL SURVEY,primary,2026-08-06,103238.4,1.0,2025,CE-00134-BX,8B45002C-A539-4C56-970E-6C70EF077878,7,2026-07-13 00:00:00+00,recovered_unique,8B45002C-A539-4C56-970E-6C70EF077878,sam_subaward_report_id,CE-00134-BX,CE-00134-BX,40143,TULSA,40,01015,CALHOUN,01,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,TULSA,OK,74103,USA,40143,TULSA,40,0.996485,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
XG32CSGYKGM8,,"CHEROKEE STRATEGIC SOLUTIONS, L.L.C.",OK,FMWVU3EYSVF7,,"CHEROKEE NATION SYSTEM SOLUTIONS, LLC",140G0120F0558,114790.80,2024-10-01,2025,541990,,SCIENCE AND TECHNICAL SUPPORT SERVICES.,both_sides_native,fy2025,2026-08-05,SUB-006545,https://www.usaspending.gov/award/CONT_AWD_140G0120F0558_1434_140G0120D0021_1434/,X1VVTNMDE2F5,,"CHEROKEE NATION RED WING, L.L.C.",TBAHL1WANLF3,,CHEROKEE NATION SYSTEM SOLUTIONS  L.L.C.,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",,Department of the Interior (DOI),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_140G0120F0558_1434_140G0120D0021_1434,1029694.36,0.1115,,,2026,TRBF-CHKNAT-00,A,TRBF-CHKNAT-00,A,"BUSINESS OR ORGANIZATION,MINORITY-OWNED BUSINESS,NATIVE AMERICAN OWNED,INDIAN ECONOMIC ENTERPRISE,TRIBALLY OWNED FIRM,FOR PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY",US GEOLOGICAL SURVEY,primary,2026-08-06,114790.8,1.0,2025,CE-00134-BX,8A547281-8CFF-4185-81D5-2AA2844F834C,7,2026-07-13 00:00:00+00,recovered_unique,8A547281-8CFF-4185-81D5-2AA2844F834C,sam_subaward_report_id,CE-00134-BX,CE-00134-BX,40143,TULSA,40,22055,LAFAYETTE,22,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,TULSA,OK,74103,USA,40143,TULSA,40,0.996485,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
