candidate_id,name,publisher,url,contains,grain,feeds_cedar_dataset,join_identifier,access_route,terms_verbatim,terms_source_url,robots_posture,estimated_rows,refresh_cadence,measured_status,verdict,verdict_reason
biamaps_bia_arcgis,"BIA/BIE ArcGIS REST server (biamaps.geoplatform.gov)","Bureau of Indian Affairs / DOI GeoPlatform",https://biamaps.geoplatform.gov/server/rest/services?f=json,"23 service folders including DivLTR (land titles & records), BOGS (geospatial support), NIOGEMS (oil & gas), ParcelFabric, Hosted, and the 12 BIA regional folders","service / feature layer",_entity_layer + natural-resources + federal_recognition_roster,"tribe name (tribefullname), BIA region, BIA agency, land_area_code, tract_id","ArcGIS REST JSON API, no key, ?f=json, standard query/returnCountOnly","robots.txt returns HTTP 404 -> no directives served, everything allowed (PULL_DISCIPLINE: a non-200 robots is not disallow_all)",https://biamaps.geoplatform.gov/robots.txt,"ALLOWED for every agent token tested (no robots served)","23 folders; per-layer counts measured below","unstated; ArcGIS layers carry per-layer editingInfo",VERIFIED_200_AND_ENUMERATED,ACQUIRE,"Agency-own, keyless, queryable, and Cedar's 55-source registry holds no BIA GIS route at all. Five sub-layers measured below."
biamaps_mineral_acreage,"BIA Mineral Acreage Table","Bureau of Indian Affairs",https://biamaps.geoplatform.gov/server/rest/services/Hosted/BIA_Mineral_Acreage_Table/FeatureServer/0,"tract-level Indian mineral acreage: ltro_code, regional_office, land_area_code, land_area_name, tract_id, acres, inactivated_date, resource_code, ownership_type, state",one row per tract-resource,natural-resources / resource_revenue.csv,"land_area_name + regional_office -> tribe; tract_id","ArcGIS FeatureServer query, no key","(none stated on the service; robots 404)",https://biamaps.geoplatform.gov/robots.txt,ALLOWED,"249165 (measured: returnCountOnly)",unstated,VERIFIED_COUNT_249165,ACQUIRE,"WHAT_IS_MISSING natural-resources #3 says revenue has no denominator. This is the acreage denominator, per tract, from the agency that holds the title."
biamaps_pl102_477,"BIA PL 102-477 tribal self-governance plan agreements","Bureau of Indian Affairs",https://biamaps.geoplatform.gov/server/rest/services/Hosted/PL102_477_Contracts/FeatureServer/0,"partner_name, agreement_type, organization_type, region, plan_service_area, plan_start_date, plan_expiration_date, plan_renewal_date, BIA AOTR contact",one row per 477 plan agreement,federal_funding_transactions / _entity_layer (dated public fact),partner_name -> cedar_uid; region,"ArcGIS FeatureServer query, no key","(none stated; robots 404)",https://biamaps.geoplatform.gov/robots.txt,ALLOWED,84 (measured),unstated,VERIFIED_COUNT_84,ACQUIRE,"Carries plan_start_date / plan_expiration_date / plan_renewal_date - a DATED public fact per tribal entity, which is exactly what the 545-entity stale tail needs. No Cedar source covers PL 102-477."
biamaps_tld,"BIA Tribal Leaders Directory as a feature service","Bureau of Indian Affairs",https://biamaps.geoplatform.gov/server/rest/services/Hosted/Tribal_Leaders_Directory_new/FeatureServer/0,"tribefullname, tribe, tribealternatename, tribalcomponent, jobtitle, organization, biaregion, biaagency, physicaladdress",one row per leader/organisation record,_entity_layer (bia_directory source is already declared),tribefullname -> cedar_uid,"ArcGIS FeatureServer query, no key","(none stated; robots 404)",https://biamaps.geoplatform.gov/robots.txt,ALLOWED,587 (measured),unstated,VERIFIED_COUNT_587,INVESTIGATE,"Same evidence family as the existing bia_directory source (lineage_depth 2, derives from LR_FEDERAL_REGISTER) so it CANNOT corroborate the FR roster. Value is the structured biaregion/biaagency/alternate-name fields, not a second opinion."
biamaps_ofa,"BIA Office of Federal Acknowledgment petitioners","Bureau of Indian Affairs",https://biamaps.geoplatform.gov/server/rest/services/Hosted/OFAPetitioners/FeatureServer/0,"petition_number, petitioner_name, address, city, state, website",one row per petitioner,federal_recognition_roster.csv,petition_number; petitioner_name,"ArcGIS FeatureServer query, no key","(none stated; robots 404)",https://biamaps.geoplatform.gov/robots.txt,ALLOWED,20 (measured),unstated,VERIFIED_COUNT_20,INVESTIGATE,"Small but it is the NEGATIVE case ASSERTION_LAYER says entity.is_federally_recognized has never had. 20 rows; check overlap with the roster before acquiring."
biamaps_lar,"BIA American Indian and Alaska Native Land Area Representation (AIAN-LAR)","Bureau of Indian Affairs, Division of Land Titles and Records",https://biamaps.geoplatform.gov/server/rest/services/DivLTR/BIA_AIAN_National_LAR/FeatureServer/0,"external extent of federal Indian reservations and associated land held in trust, restricted fee or mixed ownership status",one polygon per land area,_entity_layer / admin region crosswalk / natural-resources,land area name -> cedar_uid,"ArcGIS FeatureServer query, no key","service description, verbatim: ""The purpose of the American Indian and Alaska Native Land Area Representation (AIAN-LAR) Geographic Information System (GIS) dataset is to depict the external extent of federal Indian reservations and the external extent of associated land held in 'trust' by the United States, 'restricted fee' or 'mixed ownership' status for federally recognized tribes and individual Indians.""",https://biamaps.geoplatform.gov/server/rest/services/DivLTR/BIA_AIAN_National_LAR/FeatureServer/0?f=json,ALLOWED,335 (measured),unstated,VERIFIED_COUNT_335,INVESTIGATE,"Authoritative trust-land layer. Geospatial, so it feeds geography not money; check against the historical reservation work already on this machine before acquiring."
biamaps_bia_office,"BIA office locations","Bureau of Indian Affairs",https://biamaps.geoplatform.gov/server/rest/services/BOGS/BIA_Office/FeatureServer/0,BIA office/agency locations,one row per office,_entity_layer (BIA facility register),biaagency,"ArcGIS FeatureServer query, no key","(none stated; robots 404)",https://biamaps.geoplatform.gov/robots.txt,ALLOWED,93 (measured),unstated,VERIFIED_COUNT_93,ACQUIRE,"The brief names 'BIA/IHS facility and service-unit registers' as likely unheld. This is that register, machine-readable, 93 rows."
usac_erate_recipients,"USAC E-Rate Recipient Details And Commitments","Universal Service Administrative Company",https://opendata.usac.org/resource/avi8-svp9,"applicant-level E-Rate commitments with a native TRIBAL_TYPE flag, entity number, name, type, full physical address",one row per recipient-of-service x FRN line,federal_funding_transactions / _entity_layer (BIE schools, tribal libraries),"ros_entity_name + address; no UEI/EIN - name+state join","Socrata SODA API, no key for read, $select/$group/$where supported, CSV+JSON export","license field on the asset metadata reads: ""Public Domain""",https://opendata.usac.org/api/views/avi8-svp9.json,"ALLOWED. robots.txt disallows only faceted /browse?* query strings; the /resource/ SODA path is unrestricted","19,422,016 total; 53,847 carry a tribal_type (42,967 Tribal School, 10,862 Tribal Library, 18 Tribal College/University Library) - all measured by $group","rowsUpdatedAt 2026-09-02T09:38:57Z on the day probed; USAC posts continuously",VERIFIED_COUNT_AND_TRIBAL_FLAG,ACQUIRE,"A TYPE FILTER leg (PULL_DISCIPLINE selection doctrine) that finds entities Cedar has never heard of. No USF source in the 55-source registry. Public domain."
usac_rhc,"USAC Rural Health Care Commitments and Disbursements (FCC Forms 462/466/466A)","Universal Service Administrative Company",https://opendata.usac.org/resource/2kme-evqq,"health care provider commitments and disbursements: filing_hcp, name, entity type, address, funding year, status",one row per FRN line,federal_funding_transactions / _entity_layer (IHS, UIO, tribal clinics),filing_hcp_name + state,"Socrata SODA API, no key","license: ""Public Domain""",https://opendata.usac.org/api/views/2kme-evqq.json,ALLOWED,"471,726 (measured)",rowsUpdatedAt 2026-09-02,VERIFIED_COUNT_471726,ACQUIRE,"Tribal and IHS clinics draw RHC funds and no Cedar source sees them. Same portal, same terms, one more extract."
usac_high_cost,"USAC High Cost Disbursements","Universal Service Administrative Company",https://opendata.usac.org/resource/w6qn-gx72,"study area code, study area name, state, year, month, fund type, amount disbursed",one row per study area x month x fund type,federal_funding_transactions,study_area_name (tribal telecoms carry an SAC),"Socrata SODA API, no key","license: ""Public Domain""",https://opendata.usac.org/api/views/w6qn-gx72.json,ALLOWED,"1,045,128 (measured)",rowsUpdatedAt 2026-08-25,VERIFIED_COUNT_1045128,INVESTIGATE,"Keyed on study area code, not on an entity - the tribal carriers have to be identified first. Real money, harder join."
nppes_api,"CMS NPPES NPI Registry API","Centers for Medicare & Medicaid Services",https://npiregistry.cms.hhs.gov/api/?version=2.1,"organisation legal name, other name, mailing and practice-location address, taxonomy, authorised official, enumeration date","one row per NPI",_entity_layer (UIO, IHS, tribal health) / np_orgs.csv,"organization_name + state; EIN is NOT published","JSON API, no key, wildcard search supported (organization_name=tribal*)","robots.txt path serves the Angular SPA HTML, not a robots file - treated as NOT SERVED and therefore allowed",https://npiregistry.cms.hhs.gov/robots.txt,"ALLOWED (no robots file served; a soft-404 HTML page is not a robots file)","result_count returned live; full registry is ~8M NPIs, tribal share unmeasured","NPPES is refreshed weekly; full file monthly",VERIFIED_200_WITH_REAL_RECORDS,ACQUIRE,"ASSERTION_LAYER item 0 wants a SECOND, GENUINELY INDEPENDENT source for entity.state / entity.city / legal name. CMS enumeration is independent of both the FR roster and the IRS BMF."
nppes_bulk,"CMS NPPES full replacement and weekly incremental files","Centers for Medicare & Medicaid Services",https://download.cms.gov/nppes/NPI_Files.html,bulk NPI dissemination files,one row per NPI,_entity_layer / np_orgs.csv,organization_name + state,bulk ZIP over HTTPS,"(page reachable; download links are script-rendered and were not enumerated)",https://download.cms.gov/nppes/NPI_Files.html,"robots.txt 404 -> allowed","not measured - the .zip hrefs are not in the served HTML",monthly full + weekly incremental,PAGE_200_LINKS_NOT_ENUMERATED,INVESTIGATE,"Honest verdict: the page answers 200 but its file list is JS-rendered and was not opened. Do not record a row count that was not measured."
sam_entity_extracts,"SAM.gov Entity Management API / public data extracts","GSA / SAM.gov",https://open.gsa.gov/api/entity-api/,"registered entity core data: UEI, CAGE, legal business name, physical address, business types including 8(a) and HUBZone certifications, registration and expiration dates","one row per registered entity",prime_contracts.csv / native_owned_businesses.csv / cedar_identifier_ledger,UEI; CAGE,"REST API with an api.data.gov key plus a SAM role for the non-public extract",(documentation page; terms not quoted here),https://open.gsa.gov/api/entity-api/,"sam.gov robots.txt is the stock Drupal file: only /core/, /profiles/, /admin/, /search/ and similar are disallowed; the data-services path is allowed",unmeasured,continuous,DOC_200_AND_DATA_SERVICES_PAGE_200,INVESTIGATE,"Cedar ALREADY holds SAM_GOV_API_KEY and code/67_sam_entity_harvest.py. This is not a new source, it is an unfinished one, and START_HERE item 6 says the role request (10/day -> 1000/day) is the blocker. Recorded so the next agent does not re-discover it as new."
cage_dla,"DLA Commercial and Government Entity (CAGE) public search","Defense Logistics Agency",https://cage.dla.mil/Search,"CAGE code, legal business name, address, status, and the ownership chain the owner adjudicates on",one row per CAGE,cedar_identifier_ledger_final.csv,CAGE; UEI,"HTML search form, no key","robots.txt 404 -> no directives served",https://cage.dla.mil/robots.txt,ALLOWED,unmeasured,continuous,VERIFIED_200,INVESTIGATE,"This is the owner's OWN adjudication route (feedback_ruling_adjudication_protocol: 'Elijah adjudicates via cage.dla.mil spiderweb'). It answers 200 to a declared UA. Automating it is an owner decision about his own method, not an agent's acquisition."
irs990_s3,"IRS Form 990 e-file XML on AWS Open Data (s3://irs-form-990)","IRS / AWS Registry of Open Data",https://irs-form-990.s3.amazonaws.com/,IRS Form 990 e-file XML returns,one object per filing,np_orgs.csv / np_schedule_i_grants.csv / grantmaker_funding_flows.csv,EIN,S3 ListObjectsV2 (anonymous),"(bucket policy allows anonymous listing; the listing is empty)",https://irs-form-990.s3.amazonaws.com/?list-type=2&max-keys=5,"robots.txt 404 (S3 NoSuchKey) -> allowed",0,n/a,"VERIFIED_EMPTY: HTTP 200, ListBucketResult KeyCount=0, IsTruncated=false, Prefix empty",REJECT,"THE BUCKET IS EMPTY. registry.opendata.aws/irs990/ still advertises it (HTTP 200) but an anonymous full listing returns KeyCount 0. A 200 is not presence. The live route stays apps.irs.gov, which Cedar already holds."
